Date,High,Low,Open,Close,adjust,Volume
2012-01-03,40.6,39.0,39.0,40.6,11.66,20
2012-01-04,42.5,40.5,41.0,42.5,12.21,5010
2012-01-05,42.5,42.5,42.5,42.5,12.21,1020
2012-01-06,42.4,42.0,42.4,42.0,12.06,3000
2012-01-09,42.0,40.0,40.0,42.0,12.06,2120
2012-01-10,41.9,41.9,41.9,41.9,12.04,12000
2012-01-11,41.9,40.0,41.9,40.0,11.49,10500
2012-01-12,38.0,38.0,38.0,38.0,10.92,4800
2012-01-13,39.9,39.9,39.9,39.9,11.46,10
2012-01-16,41.8,41.8,41.8,41.8,12.01,10
2012-01-17,41.8,41.8,41.8,41.8,12.01,0
2012-01-18,43.0,41.8,41.8,42.0,12.06,38630
2012-01-19,42.0,42.0,42.0,42.0,12.06,41000
2012-01-20,42.0,41.5,42.0,41.5,11.92,21420
2012-01-30,43.5,43.5,43.5,43.5,12.5,10
2012-01-31,42.5,41.5,42.5,42.3,12.15,35770
2012-02-01,43.0,43.0,43.0,43.0,12.35,1340
2012-02-02,43.0,43.0,43.0,43.0,12.35,3010
2012-02-03,43.0,43.0,43.0,43.0,12.35,1300
2012-02-06,43.0,43.0,43.0,43.0,12.35,1300
2012-02-07,43.0,42.0,42.0,43.0,12.35,2500
2012-02-08,43.2,42.0,42.0,43.2,12.41,3510
2012-02-09,43.5,42.0,42.0,43.5,12.5,6000
2012-02-10,43.4,42.0,42.0,43.0,12.35,5560
2012-02-13,43.0,41.0,41.2,43.0,12.35,8800
2012-02-14,42.5,42.2,42.5,42.2,12.12,1650
2012-02-15,42.2,40.1,42.2,40.1,11.52,63760
2012-02-16,42.0,40.1,40.1,42.0,12.06,970
2012-02-17,42.0,39.9,42.0,41.0,11.78,57280
2012-02-20,41.9,40.0,41.9,41.9,12.04,16540
2012-02-21,42.0,42.0,42.0,42.0,12.06,7050
2012-02-22,42.0,41.9,42.0,42.0,12.06,10720
2012-02-23,41.8,40.0,40.5,41.8,12.01,6100
2012-02-24,43.7,42.1,43.7,42.1,12.09,4770
2012-02-27,43.1,42.0,43.1,42.0,12.06,2560
2012-02-28,41.5,40.0,41.0,40.9,11.75,4930
2012-02-29,40.9,40.0,40.0,40.9,11.75,5750
2012-03-01,40.5,40.0,40.0,40.5,11.63,5390
2012-03-02,41.0,40.4,40.5,40.4,11.6,4100
2012-03-05,40.9,40.4,40.4,40.8,11.72,21300
2012-03-06,40.8,40.5,40.5,40.8,11.72,570
2012-03-07,41.0,39.7,40.8,41.0,11.78,2530
2012-03-08,41.0,41.0,41.0,41.0,11.78,0
2012-03-09,40.7,39.5,40.0,40.5,11.63,3960
2012-03-12,40.5,38.6,38.6,40.5,11.63,5400
2012-03-13,40.2,39.0,39.0,39.1,11.23,940
2012-03-14,40.0,40.0,40.0,40.0,11.49,230
2012-03-15,40.0,38.4,38.4,40.0,11.49,1000
2012-03-16,40.0,38.6,39.9,40.0,11.49,270
2012-03-19,39.5,39.0,39.5,39.0,11.2,5550
2012-03-20,38.3,38.0,38.2,38.3,11.0,44820
2012-03-21,39.0,38.3,38.9,38.3,11.0,12870
2012-03-22,38.7,38.3,38.7,38.3,11.0,2660
2012-03-23,40.2,38.3,40.2,38.3,11.0,12130
2012-03-26,38.3,37.9,38.3,38.3,11.0,7510
2012-03-27,38.0,37.0,38.0,38.0,10.92,21670
2012-03-28,38.0,37.0,37.0,38.0,10.92,9570
2012-03-29,38.3,38.0,38.3,38.0,10.92,2050
2012-03-30,38.0,37.5,38.0,37.9,10.89,1050
2012-04-03,37.9,36.3,37.9,37.5,10.77,9470
2012-04-04,38.3,37.0,38.3,37.5,10.77,23460
2012-04-05,38.0,36.7,38.0,37.5,10.77,2810
2012-04-06,38.0,36.5,38.0,37.3,10.71,12260
2012-04-09,37.7,37.0,37.0,37.7,10.83,8950
2012-04-10,38.0,37.0,37.1,38.0,10.92,7260
2012-04-11,38.0,37.0,37.1,38.0,10.92,22580
2012-04-12,38.0,37.0,37.0,37.8,10.86,18380
2012-04-13,37.9,36.9,37.9,36.9,10.6,110030
2012-04-16,38.7,36.5,38.0,38.7,11.12,21440
2012-04-17,40.0,38.7,38.7,38.8,11.15,46110
2012-04-18,39.7,37.5,39.7,37.5,10.77,59800
2012-04-19,39.3,38.3,38.7,39.2,11.26,13670
2012-04-20,39.2,38.7,38.9,39.2,11.26,17550
2012-04-23,39.4,39.2,39.4,39.4,11.32,12780
2012-04-24,39.4,38.5,39.4,39.1,11.23,19900
2012-04-25,37.9,36.9,36.9,37.9,11.54,9050
2012-04-26,37.9,37.1,37.5,37.9,11.54,15700
2012-04-27,37.8,37.6,37.6,37.8,11.51,10740
2012-05-02,37.2,37.0,37.2,37.0,11.26,5080
2012-05-03,37.3,37.2,37.3,37.2,11.32,890
2012-05-04,37.2,36.6,37.0,37.1,11.29,19730
2012-05-07,37.4,37.0,37.0,37.4,11.38,14720
2012-05-08,37.8,37.2,37.2,37.5,11.41,15560
2012-05-09,38.9,37.8,37.8,37.9,11.54,10280
2012-05-10,38.0,37.2,38.0,37.9,11.54,18190
2012-05-11,37.8,37.0,37.0,37.7,11.48,4650
2012-05-14,37.7,36.9,37.7,36.9,11.23,3830
2012-05-15,37.0,35.2,35.2,37.0,11.26,7820
2012-05-16,37.0,36.0,36.0,36.1,10.99,5840
2012-05-17,37.0,36.0,36.0,36.2,11.02,3560
2012-05-18,36.2,35.9,36.2,35.9,10.93,15260
2012-05-21,36.4,35.7,35.7,36.1,10.99,1990
2012-05-22,37.0,36.4,37.0,36.5,11.11,8230
2012-05-23,37.3,36.4,36.5,36.9,11.23,6330
2012-05-24,37.3,36.7,36.8,37.0,11.26,1750
2012-05-25,37.8,36.4,36.4,36.5,11.11,4250
2012-05-28,37.4,37.4,37.4,37.4,11.38,30
2012-05-29,39.0,35.6,37.4,35.6,10.84,500
2012-05-30,37.3,37.2,37.3,37.3,11.35,3620
2012-05-31,38.0,36.8,36.8,36.9,11.23,11130
2012-06-01,38.0,37.0,37.5,38.0,11.57,3810
2012-06-04,38.0,36.9,37.0,38.0,11.57,4540
2012-06-05,39.0,37.5,37.5,38.0,11.57,10380
2012-06-06,38.9,38.0,38.0,38.9,11.84,15640
2012-06-07,39.5,37.6,39.0,37.6,11.44,23110
2012-06-08,39.2,37.9,39.2,39.0,11.87,12150
2012-06-11,39.8,39.3,39.3,39.8,12.11,20
2012-06-12,40.0,37.9,39.0,37.9,11.54,2270
2012-06-13,38.8,37.5,38.8,37.5,11.41,5940
2012-06-14,39.0,37.5,39.0,37.8,11.51,5950
2012-06-15,38.1,38.0,38.1,38.0,11.57,630
2012-06-18,38.9,37.8,38.6,38.3,11.66,3060
2012-06-19,39.0,38.3,38.4,38.3,11.66,1120
2012-06-20,38.6,38.4,38.4,38.6,11.75,9690
2012-06-21,38.9,36.7,38.3,38.0,11.57,10210
2012-06-22,38.5,38.4,38.5,38.4,11.69,24210
2012-06-25,38.7,38.5,38.5,38.7,11.78,3100
2012-06-26,38.9,37.2,38.7,38.9,11.84,7050
2012-06-27,38.9,38.4,38.5,38.8,11.81,5000
2012-06-28,39.0,38.2,39.0,38.9,11.84,4300
2012-06-29,39.0,37.5,37.5,39.0,11.87,4010
2012-07-02,38.9,38.8,38.8,38.9,11.84,1980
2012-07-03,38.5,37.5,37.5,38.3,11.66,7560
2012-07-04,39.0,38.4,38.7,38.4,11.69,5710
2012-07-05,39.0,38.3,38.7,38.4,11.69,7000
2012-07-06,38.7,38.7,38.7,38.7,11.78,5000
2012-07-09,39.0,38.0,39.0,38.9,11.84,11190
2012-07-10,38.9,38.0,38.8,38.9,11.84,10980
2012-07-11,39.0,39.0,39.0,39.0,11.87,4600
2012-07-12,39.0,39.0,39.0,39.0,11.87,14000
2012-07-13,40.0,39.0,39.0,39.0,11.87,6310
2012-07-16,39.3,38.1,38.1,39.3,11.96,5100
2012-07-17,39.3,39.3,39.3,39.3,11.96,4100
2012-07-18,39.0,39.0,39.0,39.0,11.87,7640
2012-07-19,39.0,39.0,39.0,39.0,11.87,1000
2012-07-20,39.0,39.0,39.0,39.0,11.87,0
