Date,High,Low,Open,Close,adjust,Volume
2012-01-03,20.0,18.4,20.0,19.4,5.3,55300
2012-01-04,20.1,19.0,19.4,20.1,5.49,61980
2012-01-05,21.0,19.7,19.9,21.0,5.74,52010
2012-01-06,21.1,20.1,21.1,20.8,5.69,37940
2012-01-09,21.0,20.4,21.0,20.5,5.6,53980
2012-01-10,20.6,19.5,19.5,20.5,5.6,61410
2012-01-11,20.5,20.3,20.5,20.3,5.55,62510
2012-01-12,20.4,19.7,19.7,20.1,5.49,60350
2012-01-13,20.2,19.2,20.1,19.2,5.25,66250
2012-01-16,19.8,18.3,18.6,18.4,5.03,78740
2012-01-17,18.9,18.4,18.5,18.9,5.17,79260
2012-01-18,19.1,18.6,19.0,19.1,5.22,65700
2012-01-19,20.0,18.9,19.5,20.0,5.47,75500
2012-01-20,20.2,19.8,20.0,20.0,5.47,41900
2012-01-30,20.3,19.4,20.3,19.4,5.3,98150
2012-01-31,19.7,18.6,19.4,18.6,5.08,116820
2012-02-01,18.8,18.4,18.6,18.6,5.08,115690
2012-02-02,19.0,17.8,18.7,17.8,4.87,105480
2012-02-03,18.6,17.8,18.5,18.5,5.06,4372350
2012-02-06,19.4,18.6,18.9,19.4,5.3,252940
2012-02-07,20.3,19.7,20.2,20.3,5.55,225690
2012-02-08,21.3,20.0,20.3,20.5,5.6,149240
2012-02-09,20.4,19.7,20.4,20.0,5.47,200210
2012-02-10,19.9,19.0,19.3,19.0,5.19,170650
2012-02-13,19.4,18.1,18.5,19.4,5.3,202890
2012-02-14,19.4,19.0,19.4,19.4,5.3,156950
2012-02-15,19.7,18.7,19.7,18.8,5.14,150410
2012-02-16,19.4,18.6,18.8,18.8,5.14,101380
2012-02-17,19.3,18.8,18.8,19.3,5.28,121650
2012-02-20,19.9,19.4,19.4,19.6,5.36,122190
2012-02-21,19.6,18.7,19.5,18.7,5.11,134800
2012-02-22,19.1,18.7,19.0,19.1,5.22,113340
2012-02-23,20.0,19.0,19.2,20.0,5.47,192590
2012-02-24,20.7,20.1,20.4,20.3,5.55,161530
2012-02-27,20.5,19.5,20.3,19.5,5.33,108370
2012-02-28,19.8,18.6,19.5,19.2,5.25,138630
2012-02-29,19.3,18.5,18.5,19.0,5.19,123110
2012-03-01,19.0,18.5,19.0,18.5,5.06,89200
2012-03-02,19.0,18.8,18.9,18.9,5.17,130020
2012-03-05,19.8,19.6,19.6,19.8,5.41,229550
2012-03-06,20.7,20.5,20.7,20.7,5.66,389200
2012-03-07,21.7,21.7,21.7,21.7,5.93,260480
2012-03-08,22.7,22.6,22.7,22.7,6.21,497100
2012-03-09,23.0,22.0,22.0,22.8,6.23,188800
2012-03-12,22.8,22.6,22.8,22.7,6.21,104060
