Date,High,Low,Open,Close,adjust,Volume
2016-03-02,11.3,10.1,11.3,10.1,5.58,287620
2016-03-03,9.4,9.4,9.4,9.4,5.19,84630
2016-03-04,9.3,8.8,8.8,8.8,4.86,673110
2016-03-07,9.3,8.6,8.9,8.9,4.92,514860
2016-03-08,9.0,8.8,8.9,8.9,4.92,499550
2016-03-09,8.7,8.3,8.3,8.3,4.59,253220
2016-03-10,8.4,7.8,7.8,7.9,4.37,530580
2016-03-11,8.1,7.7,7.9,8.0,4.42,554630
2016-03-14,8.0,7.8,8.0,7.9,4.37,481700
2016-03-15,7.9,7.6,7.9,7.8,4.31,552220
2016-03-16,7.8,7.4,7.8,7.7,4.25,666140
2016-03-17,7.7,7.4,7.7,7.7,4.25,546180
2016-03-18,7.8,7.4,7.7,7.6,4.2,607070
2016-03-21,7.7,7.4,7.6,7.5,4.14,519320
2016-03-22,7.6,7.3,7.5,7.5,4.14,537990
2016-03-23,8.0,7.4,7.5,8.0,4.42,692310
2016-03-24,8.5,8.0,8.0,8.3,4.59,638530
2016-03-25,8.6,8.1,8.3,8.3,4.59,797720
2016-03-28,8.6,8.3,8.3,8.5,4.7,645470
2016-03-29,8.6,8.0,8.5,8.1,4.48,820140
2016-03-30,8.3,7.8,7.8,8.1,4.48,499870
2016-03-31,8.1,7.7,8.1,7.8,4.31,243280
2016-04-01,7.8,7.6,7.8,7.8,4.31,769820
2016-04-04,8.0,7.7,7.8,8.0,4.42,601660
2016-04-05,8.1,7.8,8.0,8.1,4.48,508470
2016-04-06,8.1,7.8,8.1,7.8,4.31,771970
2016-04-07,8.1,7.7,7.8,8.1,4.48,692000
2016-04-08,8.1,7.7,8.1,8.0,4.42,682080
2016-04-11,8.2,7.9,7.9,8.2,4.53,618930
2016-04-12,8.2,7.7,8.0,8.1,4.48,395230
2016-04-13,8.1,7.9,8.1,8.1,4.48,226720
2016-04-14,8.1,7.9,8.1,8.1,4.48,328200
2016-04-15,8.1,7.9,8.1,8.1,4.48,254690
2016-04-19,8.1,7.9,8.1,8.1,4.48,241930
2016-04-20,8.1,7.8,8.0,8.0,4.42,243590
2016-04-21,8.0,7.8,8.0,7.9,4.37,260810
2016-04-22,8.0,7.7,7.9,8.0,4.42,450890
2016-04-25,8.0,7.9,8.0,7.9,4.37,798350
2016-04-26,7.9,7.7,7.8,7.9,4.37,475600
2016-04-27,8.0,7.7,7.9,7.8,4.31,721590
2016-04-28,7.9,7.7,7.8,7.7,4.25,327700
2016-04-29,7.9,7.6,7.7,7.7,4.25,297590
2016-05-04,7.8,7.6,7.8,7.7,4.25,238060
