Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.7,8.4,8.4,8.6,3.78,225330
2012-01-04,8.6,8.2,8.6,8.3,3.65,266700
2012-01-05,8.2,7.9,8.2,8.0,3.52,290080
2012-01-06,8.3,8.0,8.2,8.0,3.52,612160
2012-01-09,8.1,7.8,8.1,8.0,3.52,269900
2012-01-10,8.4,8.0,8.0,8.4,3.69,330680
2012-01-11,8.6,8.1,8.4,8.1,3.56,296480
2012-01-12,8.2,8.0,8.1,8.1,3.56,214340
2012-01-13,8.3,8.1,8.1,8.2,3.6,159570
2012-01-16,8.6,8.2,8.3,8.5,3.74,374260
2012-01-17,8.5,8.3,8.4,8.3,3.65,280600
2012-01-18,8.4,8.2,8.2,8.3,3.65,93630
2012-01-19,8.7,8.4,8.4,8.7,3.82,483700
2012-01-20,9.0,8.7,8.8,8.7,3.82,545700
2012-01-30,9.0,8.7,8.8,8.9,3.91,978210
2012-01-31,9.3,8.9,9.0,8.9,3.91,860820
2012-02-01,9.2,8.7,8.9,9.2,4.04,538160
2012-02-02,9.6,9.4,9.5,9.6,4.22,808950
2012-02-03,10.0,9.3,10.0,9.3,4.09,1612400
2012-02-06,9.4,9.0,9.3,9.3,4.09,654200
2012-02-07,9.6,9.2,9.4,9.5,4.17,494400
2012-02-08,9.9,9.5,9.7,9.8,4.31,640000
2012-02-09,9.9,9.5,9.7,9.6,4.22,699270
2012-02-10,9.6,9.2,9.5,9.2,4.04,783470
2012-02-13,9.0,8.8,9.0,8.8,3.87,527520
2012-02-14,9.1,8.8,8.8,9.1,4.0,355780
2012-02-15,9.1,8.8,9.1,8.8,3.87,361420
2012-02-16,9.1,8.7,8.7,8.9,3.91,412090
2012-02-17,9.3,9.0,9.1,9.3,4.09,619130
2012-02-20,9.7,9.6,9.7,9.7,4.26,808450
2012-02-21,10.1,9.7,10.1,9.7,4.26,2368120
2012-02-22,10.1,9.6,9.7,10.1,4.44,1440650
2012-02-23,10.6,10.6,10.6,10.6,4.66,523040
2012-02-24,11.1,11.0,11.1,11.1,4.88,1392150
2012-02-27,11.6,11.2,11.2,11.6,5.1,3262740
2012-02-28,11.8,11.1,11.7,11.1,4.88,2174800
2012-02-29,11.3,10.7,10.9,11.2,4.92,1931200
2012-03-01,11.3,10.9,11.2,11.0,4.83,955090
2012-03-02,11.5,11.0,11.1,11.5,5.05,1912760
2012-03-05,12.0,12.0,12.0,12.0,5.27,501740
2012-03-06,12.5,11.4,12.5,11.6,5.1,4401570
2012-03-07,12.1,11.2,11.6,12.1,5.32,2933030
2012-03-08,12.7,11.9,12.0,12.1,5.32,3449150
2012-03-09,12.6,12.0,12.1,12.4,5.45,1368400
2012-03-12,12.4,11.8,12.4,11.8,5.19,1706300
2012-03-13,12.0,11.5,11.9,11.7,5.14,1109860
2012-03-14,12.0,11.2,11.8,11.2,4.92,1712520
2012-03-15,11.7,10.7,11.0,11.7,5.14,1921210
2012-03-16,12.2,11.7,12.1,11.7,5.14,3073050
2012-03-19,11.2,11.2,11.2,11.2,4.92,140680
2012-03-20,10.7,10.7,10.7,10.7,4.7,201450
2012-03-21,11.2,11.0,11.2,11.2,4.92,4895770
2012-03-22,11.7,11.0,11.0,11.7,5.14,2711610
2012-03-23,12.2,11.7,11.9,11.7,5.14,1751020
2012-03-26,12.0,11.4,11.7,11.6,5.1,1651050
2012-03-27,11.6,11.1,11.4,11.1,4.88,2648480
2012-03-28,10.9,10.6,10.9,10.8,4.75,1587100
2012-03-29,10.9,10.3,10.8,10.3,4.53,1871400
2012-03-30,10.3,9.9,10.0,9.9,4.35,1209620
2012-04-03,10.3,9.9,10.0,10.3,4.53,818120
2012-04-04,10.4,9.8,10.3,9.8,4.31,1123590
2012-04-05,10.2,9.5,9.9,10.2,4.48,1562230
2012-04-06,10.7,10.6,10.7,10.7,4.7,1251180
2012-04-09,11.2,10.9,11.0,11.2,4.92,2099560
2012-04-10,11.6,10.8,11.3,10.8,4.75,1988040
2012-04-11,11.3,11.1,11.2,11.3,4.97,2239970
2012-04-12,11.8,11.8,11.8,11.8,5.19,567760
2012-04-13,12.3,11.8,12.3,11.9,5.23,4471330
2012-04-16,12.4,11.8,11.9,12.3,5.4,2664670
2012-04-17,12.9,12.1,12.4,12.5,5.49,2060130
2012-04-18,12.7,12.0,12.5,12.0,5.27,2000810
2012-04-19,11.9,11.4,11.7,11.4,5.01,2628600
2012-04-20,11.8,11.0,11.3,11.5,5.05,1394610
2012-04-23,12.0,11.6,11.6,11.8,5.19,1202300
2012-04-24,12.3,11.5,11.5,12.3,5.4,2633600
2012-04-25,12.9,12.5,12.7,12.9,5.67,2771770
2012-04-26,13.5,12.8,13.0,13.3,5.84,4670710
2012-04-27,13.9,12.8,13.3,13.8,6.06,2498370
