Date,High,Low,Open,Close,adjust,Volume
2012-01-03,14.7,14.0,14.0,14.7,5.77,510
2012-01-04,14.7,14.0,14.7,14.0,5.5,30
2012-01-05,13.3,13.3,13.3,13.3,5.22,10
2012-01-06,13.9,12.7,12.7,12.7,4.99,130
2012-01-09,12.1,12.1,12.1,12.1,4.75,1200
2012-01-10,12.6,12.6,12.6,12.6,4.95,20
2012-01-11,12.0,12.0,12.0,12.0,4.71,1080
2012-01-12,12.6,11.4,12.6,11.4,4.48,1740
2012-01-13,11.7,11.7,11.7,11.7,4.6,20
2012-01-16,12.2,12.2,12.2,12.2,4.79,200
2012-01-17,12.2,12.2,12.2,12.2,4.79,0
2012-01-18,12.8,12.2,12.2,12.8,5.03,40
2012-01-19,13.3,12.8,12.8,13.3,5.22,710
2012-01-20,13.9,13.9,13.9,13.9,5.46,30
2012-01-30,13.5,13.5,13.5,13.5,5.3,1000
2012-01-31,13.0,12.9,13.0,12.9,5.07,5000
2012-02-01,13.5,12.4,12.4,13.5,5.3,1110
2012-02-02,13.5,13.5,13.5,13.5,5.3,0
2012-02-03,13.5,13.0,13.5,13.0,5.11,560
2012-02-06,13.0,13.0,13.0,13.0,5.11,0
2012-02-07,13.0,13.0,13.0,13.0,5.11,0
2012-02-08,13.6,13.5,13.5,13.6,5.34,100
2012-02-09,14.2,14.2,14.2,14.2,5.58,10
2012-02-10,14.9,13.5,13.5,14.9,5.85,6510
2012-02-13,15.6,15.5,15.6,15.5,6.09,210
2012-02-14,16.2,14.8,14.8,16.2,6.36,1010
2012-02-15,17.0,17.0,17.0,17.0,6.68,10
2012-02-16,17.0,16.2,16.2,17.0,6.68,410
2012-02-17,16.5,16.2,16.2,16.5,6.48,3500
2012-02-20,16.4,16.4,16.4,16.4,6.44,50
2012-02-21,17.2,17.2,17.2,17.2,6.76,30
2012-02-22,18.0,16.4,16.4,18.0,7.07,1010
2012-02-23,18.0,18.0,18.0,18.0,7.07,0
2012-02-24,18.0,18.0,18.0,18.0,7.07,0
2012-02-27,18.0,18.0,18.0,18.0,7.07,0
2012-02-28,18.9,18.9,18.9,18.9,7.42,10
2012-02-29,18.9,18.9,18.9,18.9,7.42,10
2012-03-01,18.9,18.9,18.9,18.9,7.42,0
2012-03-02,19.8,19.8,19.8,19.8,7.78,10
2012-03-05,19.8,18.9,18.9,18.9,7.42,4490
2012-03-06,19.0,18.0,18.1,19.0,7.46,4110
2012-03-07,19.8,19.8,19.8,19.8,7.78,10
2012-03-08,19.8,19.8,19.8,19.8,7.78,0
2012-03-09,18.9,18.9,18.9,18.9,7.42,500
2012-03-12,18.1,18.1,18.1,18.1,7.11,60
2012-03-13,18.1,18.1,18.1,18.1,7.11,0
2012-03-14,17.2,17.2,17.2,17.2,6.76,10
