Date,High,Low,Open,Close,adjust,Volume
2012-01-03,30.0,30.0,30.0,30.0,3.95,0
2012-01-04,30.5,30.5,30.5,30.5,4.02,10
2012-01-05,30.1,30.0,30.1,30.0,3.95,1500
2012-01-06,29.5,29.5,29.5,29.5,3.89,600
2012-01-09,29.5,29.5,29.5,29.5,3.89,0
2012-01-10,29.5,29.5,29.5,29.5,3.89,0
2012-01-11,30.8,30.1,30.1,30.8,4.06,110
2012-01-12,30.8,30.8,30.8,30.8,4.06,1000
2012-01-13,30.8,30.8,30.8,30.8,4.06,0
2012-01-16,31.0,31.0,31.0,31.0,4.08,200
2012-01-17,32.2,31.0,32.2,31.0,4.08,100
2012-01-18,31.0,31.0,31.0,31.0,4.08,0
2012-01-19,32.1,31.8,31.8,31.8,4.19,890
2012-01-20,31.8,31.8,31.8,31.8,4.19,0
2012-01-30,33.3,33.3,33.3,33.3,4.39,10
2012-01-31,34.5,33.0,33.0,34.5,4.54,680
2012-02-01,36.2,34.5,34.5,36.2,4.77,1010
2012-02-02,36.7,35.1,35.1,36.7,4.83,220
2012-02-03,36.7,36.0,36.7,36.0,4.74,5100
2012-02-06,35.7,34.6,35.7,34.6,4.56,6720
2012-02-07,36.0,36.0,36.0,36.0,4.74,10
2012-02-08,36.0,36.0,36.0,36.0,4.74,1000
2012-02-09,36.0,36.0,36.0,36.0,4.74,50
2012-02-10,35.5,35.0,35.0,35.5,4.68,2700
2012-02-13,35.5,35.0,35.5,35.5,4.68,1740
2012-02-14,36.0,35.4,35.4,36.0,4.74,6230
2012-02-15,35.5,35.5,35.5,35.5,4.68,500
2012-02-16,35.5,35.0,35.5,35.0,4.61,1160
2012-02-17,36.0,34.6,36.0,35.5,4.68,70
2012-02-20,35.0,35.0,35.0,35.0,4.61,1530
2012-02-21,35.0,34.0,35.0,34.0,4.48,5000
2012-02-22,34.0,34.0,34.0,34.0,4.48,0
2012-02-23,35.0,35.0,35.0,35.0,4.61,1500
2012-02-24,35.0,34.0,34.8,34.5,4.54,3910
2012-02-27,35.0,35.0,35.0,35.0,4.61,10
2012-02-28,35.0,35.0,35.0,35.0,4.61,1060
2012-02-29,35.0,35.0,35.0,35.0,4.61,330
2012-03-01,35.0,34.5,35.0,34.5,4.54,450
2012-03-02,35.0,34.5,35.0,35.0,4.61,1060
2012-03-05,35.5,35.2,35.5,35.5,4.68,17540
2012-03-06,37.2,35.2,37.2,35.2,4.64,3770
2012-03-07,35.2,35.0,35.2,35.0,4.61,3110
2012-03-08,34.2,34.2,34.2,34.2,4.51,1070
2012-03-09,34.2,34.2,34.2,34.2,4.51,500
2012-03-12,34.1,33.7,33.7,34.1,4.49,530
2012-03-13,33.7,33.7,33.7,33.7,4.44,500
2012-03-14,34.0,33.8,33.8,34.0,4.48,1120
2012-03-15,33.9,32.8,33.0,33.9,4.47,1060
2012-03-16,34.0,33.9,33.9,33.9,4.47,6390
2012-03-19,34.0,33.5,33.5,34.0,4.48,1050
2012-03-20,34.0,33.1,33.1,34.0,4.48,13010
2012-03-21,34.0,33.0,33.0,34.0,4.48,2520
2012-03-22,34.2,34.0,34.1,34.0,4.48,11060
2012-03-23,34.2,34.0,34.1,34.2,4.51,2670
2012-03-26,35.0,34.2,34.2,35.0,4.61,11910
2012-03-27,34.5,34.0,34.5,34.5,4.54,3950
2012-03-28,34.5,34.5,34.5,34.5,4.54,0
2012-03-29,35.3,34.0,34.0,35.3,4.65,3500
2012-03-30,35.5,35.0,35.5,35.0,4.61,2840
2012-04-03,34.5,33.3,34.0,33.5,4.41,39370
2012-04-04,34.5,32.9,34.5,33.0,4.35,24320
2012-04-05,34.0,33.5,34.0,33.5,4.41,1620
2012-04-06,33.4,32.5,33.4,32.5,4.28,17740
2012-04-09,33.3,32.5,32.6,33.3,4.39,5410
2012-04-10,33.9,33.4,33.4,33.9,4.47,4210
2012-04-11,34.4,32.5,34.0,34.4,4.53,3460
2012-04-12,34.9,33.5,33.6,34.9,4.6,3810
2012-04-13,34.9,34.7,34.9,34.7,4.57,1010
2012-04-16,34.7,34.0,34.7,34.0,4.48,1120
2012-04-17,35.0,34.9,34.9,35.0,4.61,1400
2012-04-18,35.0,33.4,34.5,34.9,4.6,10600
2012-04-19,34.5,34.5,34.5,34.5,4.54,730
2012-04-20,33.9,33.3,33.3,33.9,4.47,1030
2012-04-23,33.9,32.3,33.9,32.3,4.25,2960
2012-04-24,33.9,33.5,33.5,33.9,4.47,1090
2012-04-25,34.0,33.9,33.9,33.9,4.47,6490
2012-04-26,34.0,33.9,33.9,33.9,4.47,9150
2012-04-27,34.0,33.9,34.0,34.0,4.48,7410
2012-05-02,35.7,35.4,35.7,35.7,4.7,70130
2012-05-03,37.4,36.0,37.4,37.4,4.93,60560
2012-05-04,39.2,39.0,39.2,39.1,5.15,33560
2012-05-07,41.0,39.1,41.0,40.2,5.3,40090
2012-05-08,40.2,38.2,40.2,39.4,5.19,22600
2012-05-09,39.5,37.5,39.4,37.5,4.94,60550
2012-05-10,37.5,37.3,37.3,37.4,4.93,38680
2012-05-11,37.7,37.4,37.4,37.4,4.93,62500
2012-05-14,37.4,36.6,37.4,36.6,4.82,8320
2012-05-15,36.6,35.1,35.3,35.1,4.62,34700
2012-05-16,28.0,26.6,28.0,27.2,4.49,19750
2012-05-17,27.2,26.1,27.2,26.1,4.31,7390
2012-05-18,26.1,25.3,26.1,25.3,4.18,9110
2012-05-21,26.5,25.3,25.3,26.5,4.38,9540
2012-05-22,27.1,26.0,27.0,26.0,4.29,4810
2012-05-23,25.6,25.0,25.5,25.0,4.13,13370
2012-05-24,26.2,26.2,26.2,26.2,4.33,10
2012-05-25,27.0,26.6,26.8,27.0,4.46,1160
2012-05-28,27.0,26.6,26.6,27.0,4.46,5510
2012-05-29,26.9,25.7,26.5,26.9,4.44,3400
2012-05-30,26.9,26.8,26.9,26.8,4.43,2690
2012-05-31,26.0,25.7,26.0,25.7,4.24,1340
2012-06-01,26.9,25.7,25.7,26.3,4.34,840
2012-06-04,26.5,25.0,26.5,25.0,4.13,2050
2012-06-05,25.0,24.0,24.0,25.0,4.13,5400
2012-06-06,25.9,24.5,24.5,25.5,4.21,2780
2012-06-07,26.5,25.9,26.0,26.0,4.29,6540
2012-06-08,27.0,26.0,26.0,26.3,4.34,3220
2012-06-11,26.4,25.5,25.5,25.8,4.26,190
2012-06-12,27.0,25.4,27.0,26.6,4.39,2060
2012-06-13,26.3,25.5,25.5,26.3,4.34,5050
2012-06-14,26.3,26.0,26.0,26.3,4.34,1370
2012-06-15,27.0,26.3,26.3,27.0,4.46,3120
2012-06-18,27.1,27.0,27.0,27.0,4.46,5000
2012-06-19,27.0,26.9,26.9,27.0,4.46,2770
2012-06-20,27.1,26.9,27.1,26.9,4.44,7860
2012-06-21,27.0,26.8,27.0,26.8,4.43,15460
2012-06-22,26.8,26.6,26.8,26.6,4.39,6700
2012-06-25,26.6,26.1,26.6,26.2,4.33,9400
2012-06-26,26.2,26.0,26.2,26.0,4.29,7500
2012-06-27,26.0,25.8,26.0,25.8,4.26,5290
2012-06-28,25.8,25.7,25.8,25.8,4.26,4020
2012-06-29,26.4,26.0,26.0,26.4,4.36,64010
2012-07-02,27.0,26.5,26.7,26.5,4.38,9560
2012-07-03,26.6,26.0,26.5,26.0,4.29,10910
2012-07-04,26.4,26.2,26.2,26.4,4.36,8080
2012-07-05,26.5,26.0,26.0,26.5,4.38,3300
2012-07-06,26.5,26.5,26.5,26.5,4.38,300
2012-07-09,27.5,26.5,26.5,27.0,4.46,20770
2012-07-10,27.5,27.2,27.2,27.5,4.54,17250
2012-07-11,27.9,27.2,27.2,27.9,4.61,5310
2012-07-12,29.0,27.9,28.0,27.9,4.61,12330
2012-07-13,28.2,27.9,27.9,28.2,4.66,3260
2012-07-16,28.0,28.0,28.0,28.0,4.62,1680
2012-07-17,28.2,28.1,28.2,28.1,4.64,16920
2012-07-18,28.2,28.0,28.1,28.2,4.66,6340
2012-07-19,28.4,28.0,28.0,28.4,4.69,5240
2012-07-20,28.0,27.8,28.0,27.8,4.59,14040
2012-07-23,28.0,27.8,28.0,28.0,4.62,29600
2012-07-24,27.5,27.5,27.5,27.5,4.54,110
2012-07-25,27.5,27.5,27.5,27.5,4.54,0
2012-07-26,28.0,27.0,27.5,28.0,4.62,2050
2012-07-27,28.0,28.0,28.0,28.0,4.62,0
2012-07-30,27.9,27.8,27.9,27.8,4.59,2400
2012-07-31,27.2,27.2,27.2,27.2,4.49,500
2012-08-01,27.4,27.2,27.4,27.3,4.51,630
2012-08-02,27.3,27.3,27.3,27.3,4.51,0
2012-08-03,27.2,27.2,27.2,27.2,4.49,1000
2012-08-06,27.5,27.5,27.5,27.5,4.54,1120
2012-08-07,27.8,27.8,27.8,27.8,4.59,720
2012-08-08,27.8,27.8,27.8,27.8,4.59,3910
2012-08-09,27.8,27.8,27.8,27.8,4.59,120
2012-08-10,27.8,27.1,27.8,27.1,4.48,3010
2012-08-13,27.2,27.0,27.2,27.0,4.46,7500
2012-08-14,28.0,25.8,25.8,27.0,4.46,120
2012-08-15,27.3,27.3,27.3,27.3,4.51,490
2012-08-16,27.8,27.3,27.8,27.3,4.51,190
2012-08-17,27.3,27.3,27.3,27.3,4.51,0
2012-08-20,27.5,27.3,27.5,27.5,4.54,2620
2012-08-21,27.0,26.3,26.3,26.3,4.34,3040
2012-08-22,27.2,27.0,27.0,27.2,4.49,2000
2012-08-23,27.0,26.7,27.0,26.7,4.41,3000
2012-08-24,26.7,26.7,26.7,26.7,4.41,600
2012-08-27,26.7,26.7,26.7,26.7,4.41,5110
2012-08-28,26.7,26.7,26.7,26.7,4.41,0
2012-08-29,26.7,26.7,26.7,26.7,4.41,0
2012-08-30,27.5,27.5,27.5,27.5,4.54,10
2012-08-31,27.5,27.5,27.5,27.5,4.54,0
2012-09-04,27.0,27.0,27.0,27.0,4.46,200
2012-09-05,27.2,27.2,27.2,27.2,4.49,10
2012-09-06,27.4,27.4,27.4,27.4,4.52,10
2012-09-07,27.0,27.0,27.0,27.0,4.46,1160
2012-09-10,27.0,27.0,27.0,27.0,4.46,0
2012-09-11,26.8,26.8,26.8,26.8,4.43,400
2012-09-12,26.9,26.9,26.9,26.9,4.44,20
2012-09-13,28.2,27.5,27.5,28.0,4.62,7590
2012-09-14,29.0,28.5,28.5,29.0,4.79,11780
2012-09-17,29.0,28.3,29.0,29.0,4.79,2460
2012-09-18,28.1,27.6,28.1,28.0,4.62,13010
2012-09-19,28.0,26.6,27.8,28.0,4.62,4750
2012-09-20,26.8,26.6,26.8,26.8,4.43,3110
2012-09-21,28.0,28.0,28.0,28.0,4.62,10
2012-09-24,28.0,28.0,28.0,28.0,4.62,2300
2012-09-25,28.1,28.0,28.0,28.0,4.62,11090
2012-09-26,28.0,28.0,28.0,28.0,4.62,2900
2012-09-27,28.0,28.0,28.0,28.0,4.62,1100
2012-09-28,28.0,28.0,28.0,28.0,4.62,0
2012-10-01,27.1,26.7,27.1,26.8,4.43,8550
2012-10-02,26.8,26.8,26.8,26.8,4.43,15330
2012-10-03,26.8,26.5,26.8,26.5,4.38,170
2012-10-04,26.7,26.7,26.7,26.7,4.41,1200
2012-10-05,28.0,28.0,28.0,28.0,4.62,10
2012-10-08,28.0,28.0,28.0,28.0,4.62,0
2012-10-09,28.0,28.0,28.0,28.0,4.62,210
2012-10-10,28.0,28.0,28.0,28.0,4.62,0
2012-10-11,28.0,28.0,28.0,28.0,4.62,0
2012-10-12,28.0,28.0,28.0,28.0,4.62,0
2012-10-15,28.0,28.0,28.0,28.0,4.62,0
2012-10-16,28.0,28.0,28.0,28.0,4.62,1000
2012-10-17,28.0,28.0,28.0,28.0,4.62,1920
2012-10-18,28.0,28.0,28.0,28.0,4.62,10
2012-10-19,28.0,28.0,28.0,28.0,4.62,0
2012-10-22,28.0,28.0,28.0,28.0,4.62,0
2012-10-23,29.4,28.1,29.4,28.1,4.64,15030
2012-10-24,27.5,27.5,27.5,27.5,4.54,20
2012-10-25,28.8,27.7,28.8,27.7,4.57,230
2012-10-26,27.7,27.7,27.7,27.7,4.57,0
2012-10-29,28.5,28.0,28.0,28.5,4.71,690
2012-10-30,29.5,28.8,29.5,28.8,4.76,850
2012-10-31,29.0,28.8,28.8,29.0,4.79,1580
2012-11-01,29.0,29.0,29.0,29.0,4.79,500
2012-11-02,29.0,29.0,29.0,29.0,4.79,0
2012-11-05,28.8,28.0,28.8,28.0,4.62,9100
2012-11-06,28.0,28.0,28.0,28.0,4.62,0
2012-11-07,28.0,26.7,27.0,28.0,4.62,160
2012-11-08,28.0,28.0,28.0,28.0,4.62,1000
2012-11-09,28.0,26.7,28.0,26.7,4.41,370
2012-11-12,27.6,27.0,27.0,27.2,4.49,330
2012-11-13,28.0,28.0,28.0,28.0,4.62,700
2012-11-14,28.0,28.0,28.0,28.0,4.62,0
2012-11-15,28.0,28.0,28.0,28.0,4.62,0
2012-11-16,27.5,27.5,27.5,27.5,4.54,1000
2012-11-19,27.7,27.7,27.7,27.7,4.57,220
2012-11-20,27.7,27.7,27.7,27.7,4.57,0
2012-11-21,28.5,27.8,27.8,28.5,4.71,60
2012-11-22,28.5,28.0,28.5,28.2,4.66,3050
2012-11-23,28.5,28.5,28.5,28.5,4.71,250
2012-11-26,29.4,28.5,28.5,28.5,4.71,1380
2012-11-27,28.5,27.5,28.5,27.5,4.54,3490
2012-11-28,28.8,28.8,28.8,28.8,4.76,30
2012-11-29,27.6,27.6,27.6,27.6,4.56,20
2012-11-30,28.8,28.8,28.8,28.8,4.76,10
2012-12-03,28.8,28.8,28.8,28.8,4.76,0
2012-12-04,28.8,28.8,28.8,28.8,4.76,0
2012-12-05,28.6,28.0,28.6,28.0,4.62,170
2012-12-06,28.5,28.5,28.5,28.5,4.71,130
2012-12-07,28.8,28.5,28.8,28.5,4.71,510
2012-12-10,29.5,28.6,29.5,28.6,4.72,1120
2012-12-11,29.0,29.0,29.0,29.0,4.79,50
2012-12-12,29.1,29.0,29.0,29.1,4.81,50
2012-12-13,29.1,29.0,29.1,29.0,4.79,1140
2012-12-14,28.0,28.0,28.0,28.0,4.79,20
2012-12-17,28.1,27.6,27.7,28.1,4.81,100
2012-12-18,28.1,28.0,28.0,28.1,4.81,370
2012-12-19,28.2,28.0,28.0,28.2,4.82,580
