Date,High,Low,Open,Close,adjust,Volume
2012-01-03,13.8,13.5,13.5,13.8,6.26,4250
2012-01-04,13.8,13.7,13.7,13.8,6.26,13060
2012-01-05,13.8,13.7,13.7,13.8,6.26,8250
2012-01-06,14.0,13.7,13.7,14.0,6.35,6030
2012-01-09,14.2,14.0,14.2,14.0,6.35,310
2012-01-10,14.2,13.7,14.2,14.0,6.35,3440
2012-01-11,13.7,13.7,13.7,13.7,6.21,3160
2012-01-12,13.6,13.6,13.6,13.6,6.17,1410
2012-01-13,13.9,13.6,13.6,13.9,6.3,1600
2012-01-16,14.0,14.0,14.0,14.0,6.35,10
2012-01-17,13.8,13.8,13.8,13.8,6.26,2000
2012-01-18,13.8,13.7,13.8,13.7,6.21,3200
2012-01-19,13.8,13.8,13.8,13.8,6.26,4010
2012-01-20,14.0,13.8,14.0,14.0,6.35,1570
2012-01-30,14.2,13.9,14.2,14.2,6.44,3090
2012-01-31,14.0,13.7,13.9,13.8,6.26,17240
2012-02-01,13.9,13.8,13.8,13.8,6.26,9960
2012-02-02,14.0,13.8,14.0,13.8,6.26,18170
2012-02-03,13.9,13.5,13.8,13.9,6.3,6510
2012-02-06,14.5,13.7,13.7,13.9,6.3,8670
2012-02-07,14.0,13.8,13.8,14.0,6.35,14690
2012-02-08,14.0,13.8,13.8,14.0,6.35,17450
2012-02-09,14.0,13.8,13.8,14.0,6.35,7200
2012-02-10,13.9,13.8,13.8,13.9,6.3,25600
2012-02-13,14.0,13.9,13.9,13.9,6.3,31790
2012-02-14,14.0,13.8,13.8,13.8,6.26,34600
2012-02-15,14.0,13.7,13.8,14.0,6.35,21520
2012-02-16,14.0,13.8,13.9,14.0,6.35,18970
2012-02-17,14.0,13.8,13.8,14.0,6.35,450
2012-02-20,14.0,13.6,13.8,13.9,6.3,12110
2012-02-21,14.2,14.0,14.0,14.2,6.44,34090
2012-02-22,14.5,14.0,14.0,14.2,6.44,21830
2012-02-23,14.2,14.2,14.2,14.2,6.44,6620
2012-02-24,14.3,14.2,14.2,14.2,6.44,21580
2012-02-27,14.5,14.1,14.2,14.3,6.49,19130
2012-02-28,14.5,14.3,14.5,14.5,6.58,330
2012-02-29,14.6,14.3,14.3,14.6,6.62,9610
2012-03-01,15.3,14.8,14.8,15.3,6.94,9050
2012-03-02,16.0,15.5,15.6,16.0,7.26,61610
2012-03-05,16.8,16.0,16.0,16.8,7.62,12210
2012-03-06,17.2,16.0,17.2,16.0,7.26,9270
2012-03-07,16.6,15.8,16.6,16.2,7.35,2560
2012-03-08,16.5,16.0,16.0,16.3,7.39,6380
2012-03-09,17.0,16.0,16.0,17.0,7.71,10120
2012-03-12,17.0,16.6,16.6,17.0,7.71,8370
2012-03-13,17.4,17.0,17.0,17.4,7.89,26480
2012-03-14,17.4,17.2,17.4,17.3,7.85,18090
2012-03-15,17.1,16.9,17.0,17.0,7.71,23730
2012-03-16,17.0,16.5,16.8,16.8,7.62,5450
2012-03-19,16.4,15.2,15.2,16.4,7.81,690
2012-03-20,15.7,15.6,15.6,15.6,7.43,1810
2012-03-21,16.0,14.9,14.9,16.0,7.62,3860
2012-03-22,15.7,15.2,15.2,15.7,7.48,1320
2012-03-23,15.3,15.0,15.0,15.1,7.19,2350
2012-03-26,14.6,14.5,14.6,14.6,6.95,1720
2012-03-27,14.4,14.2,14.4,14.2,6.76,3330
2012-03-28,14.2,13.5,13.6,14.2,6.76,4730
2012-03-29,14.2,13.6,13.6,14.2,6.76,1690
2012-03-30,14.1,13.6,13.6,13.8,6.57,130
2012-04-03,14.3,13.2,13.2,14.3,6.81,3010
2012-04-04,14.3,14.0,14.3,14.0,6.67,110
2012-04-05,14.2,13.8,13.8,14.2,6.76,3130
2012-04-06,14.5,14.0,14.2,14.3,6.81,6160
2012-04-09,15.0,14.2,15.0,14.7,7.0,4430
2012-04-10,15.0,15.0,15.0,15.0,7.14,10
2012-04-11,15.2,14.4,14.4,14.6,6.95,980
2012-04-12,14.8,14.1,14.1,14.7,7.0,7070
2012-04-13,14.8,14.1,14.1,14.8,7.05,7670
2012-04-16,15.2,14.7,14.7,15.2,7.24,40
2012-04-17,15.0,14.8,15.0,15.0,7.14,6010
2012-04-18,15.0,14.8,14.9,15.0,7.14,4830
2012-04-19,14.5,14.4,14.5,14.4,6.86,1500
2012-04-20,14.9,14.4,14.4,14.9,7.1,4300
2012-04-23,15.1,14.5,15.1,14.5,6.9,6640
2012-04-24,14.9,14.3,14.5,14.3,6.81,6890
2012-04-25,15.0,14.3,14.3,15.0,7.14,18310
2012-04-26,14.8,14.6,14.8,14.6,6.95,560
