Date,High,Low,Open,Close,adjust,Volume
2015-10-07,27.6,27.0,27.0,27.6,20.41,205340
2015-10-08,28.7,27.9,28.0,28.3,20.93,181610
2015-10-09,28.6,28.0,28.4,28.0,20.7,186950
2015-10-12,27.7,27.3,27.5,27.5,20.33,133750
2015-10-13,27.5,27.2,27.3,27.4,20.26,162920
2015-10-14,27.9,27.4,27.4,27.4,20.26,169100
2015-10-15,27.6,27.2,27.4,27.3,20.19,2849200
2015-10-16,27.5,27.3,27.3,27.3,20.19,174900
2015-10-19,27.5,27.2,27.3,27.2,20.11,233650
2015-10-20,27.4,27.1,27.3,27.1,20.04,187110
2015-10-21,27.2,27.0,27.1,27.1,20.04,173790
2015-10-22,27.3,27.0,27.1,27.1,20.04,200300
2015-10-23,27.4,27.2,27.2,27.3,20.19,204390
2015-10-26,27.4,27.1,27.2,27.3,20.19,236250
2015-10-27,27.2,26.9,27.2,27.0,19.97,168800
2015-10-28,27.2,26.9,27.0,26.9,19.89,166420
2015-10-29,27.8,26.9,26.9,27.8,20.56,221300
2015-10-30,29.7,27.3,27.6,29.7,21.96,2292180
2015-11-02,31.7,30.1,30.1,31.7,23.44,211810
2015-11-03,32.5,29.7,31.7,32.0,23.66,212490
2015-11-04,32.0,30.5,30.5,31.7,23.44,232220
2015-11-05,32.0,30.3,30.5,31.8,23.51,225280
2015-11-06,31.8,31.1,31.1,31.3,23.14,223140
2015-11-09,31.5,31.0,31.1,31.3,23.14,209930
2015-11-10,31.9,31.2,31.3,31.7,23.44,266990
2015-11-11,31.9,31.5,31.6,31.7,23.44,220380
2015-11-12,31.7,31.0,31.6,31.6,23.37,222860
2015-11-13,32.2,31.0,31.4,32.0,23.66,336740
2015-11-16,34.0,32.5,32.5,33.4,24.7,367630
2015-11-17,33.4,32.5,33.4,32.7,24.18,270870
2015-11-18,32.7,31.9,32.7,32.5,24.03,219660
2015-11-19,32.7,30.5,30.6,32.2,23.81,222160
2015-11-20,32.3,31.9,32.2,31.9,23.59,242410
2015-11-23,32.0,31.4,31.8,31.4,23.22,155040
2015-11-24,31.5,31.0,31.0,31.1,23.0,160510
2015-11-25,31.9,30.8,31.2,31.5,23.29,238810
2015-11-26,31.6,31.1,31.4,31.1,23.0,206450
2015-11-27,31.2,30.1,31.0,30.1,22.26,189900
2015-11-30,30.8,29.8,30.8,30.0,22.18,217650
2015-12-01,30.4,29.8,30.1,29.8,22.04,175350
2015-12-02,31.5,29.9,30.4,30.4,22.48,276250
2015-12-03,30.7,30.3,30.4,30.4,22.48,143400
2015-12-04,30.4,30.1,30.2,30.2,22.33,124070
2015-12-07,30.2,29.7,30.0,29.8,22.04,145290
2015-12-08,30.0,29.1,29.3,30.0,22.18,168410
2015-12-09,30.2,29.7,30.2,29.8,22.04,166840
2015-12-10,30.0,29.5,30.0,29.6,21.89,158770
2015-12-11,30.0,29.5,29.7,29.7,21.96,141240
2015-12-14,29.8,29.6,29.7,29.7,21.96,143280
2015-12-15,29.9,29.7,29.8,29.8,22.04,145280
2015-12-16,29.9,29.7,29.9,29.8,22.04,161100
2015-12-17,30.0,29.7,29.7,29.9,22.11,123100
2015-12-18,30.2,29.7,29.8,30.0,22.18,236600
2015-12-21,30.2,30.0,30.1,30.1,22.26,274000
2015-12-22,30.7,30.1,30.1,30.4,22.48,319650
2015-12-23,30.4,30.1,30.2,30.2,22.33,177230
2015-12-24,30.4,30.2,30.3,30.3,22.41,170200
2015-12-25,30.4,30.2,30.3,30.3,22.41,120360
2015-12-28,30.4,30.1,30.3,30.1,22.26,170660
2015-12-29,30.3,29.9,30.0,30.2,22.33,160850
2015-12-30,30.4,30.1,30.2,30.2,22.33,162800
2015-12-31,30.2,30.0,30.0,30.0,22.18,150020
2016-01-04,30.1,29.6,29.6,29.6,21.89,163100
2016-01-05,29.6,29.0,29.6,29.0,21.44,190040
2016-01-06,29.5,29.0,29.0,29.2,21.59,167000
2016-01-07,29.2,28.8,29.1,29.0,21.44,134010
2016-01-08,29.0,28.7,29.0,28.7,21.22,189330
2016-01-11,28.8,28.6,28.6,28.7,21.22,151060
2016-01-12,29.0,28.6,28.7,28.8,21.3,151640
2016-01-13,29.0,28.6,29.0,28.7,21.22,171800
2016-01-14,28.6,28.3,28.6,28.5,21.07,158000
2016-01-15,28.7,28.1,28.7,28.1,20.78,153390
2016-01-18,27.8,27.1,27.8,27.3,20.19,187710
2016-01-19,27.9,27.1,27.1,27.8,20.56,172360
2016-01-20,27.8,27.4,27.6,27.5,20.33,146450
2016-01-21,27.6,27.2,27.3,27.3,20.19,169800
2016-01-22,27.6,27.2,27.5,27.5,20.33,178000
2016-01-25,29.4,27.7,27.7,29.4,21.74,258970
2016-01-26,29.4,28.8,29.4,28.8,21.3,160330
2016-01-27,29.4,29.1,29.1,29.1,21.52,159090
