Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.6,7.0,7.6,7.6,3.46,100
2012-01-04,7.6,7.6,7.6,7.6,3.46,0
2012-01-05,7.6,7.3,7.6,7.3,3.32,30
2012-01-06,7.6,7.0,7.0,7.6,3.46,30
2012-01-09,7.9,7.3,7.5,7.9,3.6,41810
2012-01-10,7.9,7.9,7.9,7.9,3.6,10
2012-01-11,7.9,7.9,7.9,7.9,3.6,10
2012-01-12,7.9,7.9,7.9,7.9,3.6,10
2012-01-13,7.9,7.9,7.9,7.9,3.6,0
2012-01-16,7.6,7.6,7.6,7.6,3.46,10
2012-01-17,7.3,7.3,7.3,7.3,3.32,10
2012-01-18,7.5,7.0,7.0,7.5,3.41,2260
2012-01-19,7.5,7.2,7.2,7.5,3.41,1230
2012-01-20,7.5,7.3,7.3,7.5,3.41,2700
2012-01-30,7.5,7.5,7.5,7.5,3.41,3210
2012-01-31,7.6,7.5,7.5,7.6,3.46,7500
2012-02-01,7.4,7.3,7.4,7.3,3.32,3000
2012-02-02,7.6,7.5,7.6,7.6,3.46,4100
2012-02-03,7.6,7.6,7.6,7.6,3.46,3000
2012-02-06,7.6,7.6,7.6,7.6,3.46,0
2012-02-07,7.3,7.3,7.3,7.3,3.32,2000
2012-02-08,7.5,7.5,7.5,7.5,3.41,1050
2012-02-09,7.3,7.3,7.3,7.3,3.32,140
2012-02-10,7.2,7.0,7.2,7.1,3.23,3620
2012-02-13,7.3,6.8,7.3,6.8,3.1,1680
2012-02-14,7.1,6.5,6.7,6.7,3.05,14310
2012-02-15,6.8,6.8,6.8,6.8,3.1,10
2012-02-16,6.5,6.5,6.5,6.5,2.96,1940
2012-02-17,6.8,6.2,6.2,6.8,3.1,9800
2012-02-20,6.8,6.5,6.8,6.5,2.96,850
2012-02-21,6.7,6.3,6.5,6.7,3.05,16010
2012-02-22,7.0,6.6,6.6,7.0,3.19,7120
2012-02-23,7.0,6.8,6.8,7.0,3.19,15000
2012-02-24,7.2,6.7,6.7,7.2,3.28,20850
2012-02-27,7.3,6.9,6.9,7.3,3.32,1560
2012-02-28,7.0,7.0,7.0,7.0,3.19,23060
2012-02-29,6.9,6.9,6.9,6.9,3.14,20
2012-03-01,6.8,6.8,6.8,6.8,3.1,20
2012-03-02,7.0,6.6,6.6,7.0,3.19,28950
2012-03-05,7.3,7.0,7.0,7.3,3.32,13680
2012-03-06,7.6,7.1,7.6,7.4,3.37,93732
2012-03-07,7.3,7.1,7.1,7.1,3.23,8250
2012-03-08,6.8,6.8,6.8,6.8,3.1,31530
2012-03-09,6.8,6.8,6.8,6.8,3.1,0
2012-03-12,6.9,6.8,6.9,6.8,3.1,1140
2012-03-13,7.0,6.6,7.0,6.6,3.0,19800
