Date,High,Low,Open,Close,adjust,Volume
2013-04-08,21.6,21.6,21.6,21.6,9.87,370500
2013-04-09,20.1,20.1,20.1,20.1,9.19,13300
2013-04-10,18.7,18.7,18.7,18.7,8.55,17070
2013-04-11,17.4,17.4,17.4,17.4,7.95,22910
2013-04-12,16.5,16.2,16.2,16.2,7.4,812940
2013-04-15,17.3,16.4,16.5,16.7,7.63,263240
2013-04-16,17.2,16.7,17.2,17.0,7.77,22850
2013-04-17,16.9,16.5,16.5,16.9,7.72,284820
2013-04-18,16.9,16.6,16.9,16.8,7.68,195130
2013-04-22,16.9,16.3,16.3,16.8,7.68,128400
2013-04-23,17.1,16.8,16.9,17.1,7.82,100870
2013-04-24,17.1,16.6,16.6,17.1,7.82,88650
2013-04-25,17.5,16.9,17.0,17.4,7.95,150870
2013-04-26,17.5,16.9,17.1,17.4,7.95,67520
2013-05-02,17.4,17.2,17.4,17.4,7.95,30870
2013-05-03,17.4,16.2,17.4,16.2,7.4,34690
2013-05-06,16.8,16.0,16.5,16.8,7.68,81340
2013-05-07,16.7,16.3,16.6,16.3,7.45,58700
2013-05-08,17.0,16.8,16.9,16.8,7.68,9530
2013-05-09,16.8,16.5,16.8,16.6,7.59,16680
2013-05-10,16.7,16.5,16.6,16.6,7.59,29210
2013-05-13,17.6,17.0,17.0,17.6,8.04,96580
2013-05-14,17.8,17.3,17.5,17.5,8.0,136890
2013-05-15,18.7,17.5,17.5,18.7,8.55,219010
2013-05-16,19.5,18.9,18.9,19.4,8.87,104720
2013-05-17,19.4,18.7,19.4,19.4,8.87,329090
2013-05-20,20.5,19.4,19.4,20.0,9.14,152770
2013-05-21,20.4,19.7,19.7,20.1,9.19,81760
2013-05-22,21.2,20.3,20.4,21.2,9.69,83330
2013-05-23,22.0,20.0,21.2,20.0,9.14,108870
2013-05-24,21.4,20.1,20.1,21.4,9.78,106080
2013-05-27,22.1,21.7,22.0,22.1,10.1,108000
2013-05-28,22.5,21.5,22.5,22.5,10.28,73670
2013-05-29,24.0,22.5,22.5,24.0,10.97,85700
2013-05-30,25.6,25.2,25.3,25.6,11.7,123560
2013-05-31,27.3,26.0,27.3,26.6,12.16,143720
2013-06-03,26.6,24.8,25.1,24.9,11.38,14160
2013-06-04,26.6,23.8,23.9,26.6,12.16,75560
2013-06-05,26.4,24.8,26.4,24.8,11.33,47580
2013-06-06,25.0,23.1,23.2,23.1,10.56,102390
2013-06-07,24.6,22.1,23.5,24.5,11.2,121880
2013-06-10,24.5,23.0,24.5,23.0,10.51,6890
2013-06-11,24.3,23.0,24.3,23.0,10.51,2730
2013-06-12,24.0,22.7,22.7,23.9,10.92,9890
2013-06-13,24.2,23.7,24.0,23.9,10.92,12200
2013-06-14,24.0,23.7,24.0,24.0,10.97,7600
2013-06-17,24.0,23.5,23.8,23.9,10.92,5100
2013-06-18,24.0,22.4,23.5,24.0,10.97,7030
2013-06-19,24.0,24.0,24.0,24.0,10.97,10000
2013-06-20,24.0,22.5,22.5,24.0,10.97,6210
2013-06-21,23.9,23.8,23.8,23.9,10.92,11010
2013-06-24,23.8,22.5,22.5,23.8,10.88,1510
2013-06-25,23.8,22.2,23.0,22.2,10.15,52430
2013-06-26,23.5,22.2,22.2,23.5,10.74,5260
2013-06-27,23.0,22.0,22.1,23.0,10.51,7110
2013-06-28,23.0,21.6,21.6,23.0,10.51,120
2013-07-01,22.8,22.8,22.8,22.8,10.42,4010
2013-07-02,22.8,21.8,22.8,22.1,10.1,53530
