Date,High,Low,Open,Close,adjust,Volume
2012-01-03,40.5,40.5,40.5,40.5,17.29,420
2012-01-04,39.0,38.9,38.9,38.9,16.61,1690
2012-01-05,40.4,40.4,40.4,40.4,17.25,20
2012-01-06,40.4,40.4,40.4,40.4,17.25,1830
2012-01-09,41.0,41.0,41.0,41.0,17.5,200
2012-01-10,41.0,41.0,41.0,41.0,17.5,50
2012-01-11,41.2,41.2,41.2,41.2,17.59,3000
2012-01-12,41.0,40.1,40.1,40.1,17.12,400
2012-01-13,40.1,38.9,40.1,38.9,16.61,3310
2012-01-16,38.2,38.2,38.2,38.2,16.31,160
2012-01-17,40.0,38.3,38.3,40.0,17.08,110
2012-01-18,42.0,38.5,38.5,42.0,17.93,2500
2012-01-19,42.5,42.5,42.5,42.5,18.14,2000
2012-01-20,42.5,41.0,41.0,42.5,18.14,1530
2012-01-30,43.5,41.2,41.2,43.5,18.57,2680
2012-01-31,45.0,43.5,43.5,45.0,19.21,510
2012-02-01,43.5,43.5,43.5,43.5,18.57,5200
2012-02-02,45.0,45.0,45.0,45.0,19.21,20
2012-02-03,45.0,43.0,45.0,43.0,18.36,5180
2012-02-06,43.0,41.7,42.0,43.0,18.36,2090
2012-02-07,43.5,43.5,43.5,43.5,18.57,200
2012-02-08,42.5,42.5,42.5,42.5,18.14,1000
2012-02-09,42.5,42.5,42.5,42.5,18.14,0
2012-02-10,43.1,43.1,43.1,43.1,18.4,3700
2012-02-13,42.5,41.8,42.5,42.5,18.14,4690
2012-02-14,42.8,41.2,41.2,42.8,18.27,16510
2012-02-15,42.8,42.8,42.8,42.8,18.27,0
2012-02-16,42.8,42.8,42.8,42.8,18.27,0
2012-02-17,42.8,42.8,42.8,42.8,18.27,0
2012-02-20,43.9,42.6,42.8,43.9,18.74,1010
2012-02-21,44.0,44.0,44.0,44.0,18.78,20
2012-02-22,43.8,41.8,41.8,43.7,18.66,3610
2012-02-23,43.5,42.6,43.5,43.0,18.36,530
2012-02-24,43.5,43.0,43.0,43.5,18.57,1680
2012-02-27,43.5,42.8,42.8,43.5,18.57,25330
2012-02-28,43.5,42.3,42.4,43.5,18.57,5690
2012-02-29,43.5,43.5,43.5,43.5,18.57,5000
2012-03-01,43.5,43.5,43.5,43.5,18.57,0
2012-03-02,43.5,43.1,43.5,43.5,18.57,1920
2012-03-05,43.5,43.1,43.5,43.1,18.4,1670
2012-03-06,43.5,41.5,43.5,43.1,18.4,2200
2012-03-07,43.1,42.0,43.1,42.0,17.93,1280
2012-03-08,43.0,41.2,41.5,43.0,18.36,1200
2012-03-09,41.5,41.5,41.5,41.5,17.72,1000
2012-03-12,43.0,41.0,41.0,43.0,18.36,4800
2012-03-13,43.8,43.0,43.0,43.8,18.7,320
2012-03-14,43.8,43.8,43.8,43.8,18.7,460
2012-03-15,44.5,44.5,44.5,44.5,19.0,10
2012-03-16,44.5,42.3,44.5,42.3,18.06,3290
2012-03-19,44.0,44.0,44.0,44.0,18.78,70
2012-03-20,44.9,42.0,44.9,42.0,17.93,3470
2012-03-21,42.5,42.0,42.5,42.0,17.93,1150
2012-03-22,41.4,39.9,41.0,41.4,17.67,740
2012-03-23,43.0,40.5,40.5,43.0,18.36,4750
2012-03-26,45.1,43.0,43.0,45.1,19.25,11500
2012-03-27,42.9,42.9,42.9,42.9,18.31,1180
2012-03-28,44.1,41.1,41.1,44.1,18.83,1310
2012-03-29,44.1,44.1,44.1,44.1,18.83,20
2012-03-30,44.1,44.1,44.1,44.1,18.83,10
2012-04-03,43.0,42.3,43.0,42.3,18.06,370
2012-04-04,42.1,42.0,42.1,42.0,17.93,300
2012-04-05,42.0,42.0,42.0,42.0,17.93,10
2012-04-06,41.6,41.6,41.6,41.6,17.76,10
2012-04-09,43.5,41.6,41.7,43.5,18.57,2190
2012-04-10,42.2,42.2,42.2,42.2,18.02,10
2012-04-11,42.2,42.2,42.2,42.2,18.02,0
2012-04-12,42.3,42.3,42.3,42.3,18.06,700
2012-04-13,42.3,41.0,42.3,41.0,17.5,100
2012-04-16,41.0,41.0,41.0,41.0,17.5,40
2012-04-17,41.0,41.0,41.0,41.0,17.5,300
2012-04-18,42.5,42.0,42.5,42.0,17.93,240
2012-04-19,43.0,42.1,42.3,43.0,18.36,930
2012-04-20,43.0,42.5,43.0,43.0,18.36,1900
2012-04-23,45.0,43.0,43.0,45.0,19.21,520
2012-04-24,47.1,45.0,45.0,47.0,20.07,2310
2012-04-25,49.0,45.0,47.5,47.0,20.07,1140
2012-04-26,47.0,47.0,47.0,47.0,20.07,20
2012-04-27,49.0,44.7,47.0,47.9,20.45,1370
2012-05-02,49.0,45.6,49.0,49.0,20.92,1460
2012-05-03,48.0,47.3,48.0,47.3,21.05,80
2012-05-04,45.1,45.0,45.0,45.0,20.03,3640
2012-05-07,45.0,42.8,42.8,44.1,19.63,1420
2012-05-08,46.3,42.6,42.6,46.3,20.61,1210
2012-05-09,46.5,44.0,44.0,46.5,20.7,230
2012-05-10,47.0,44.2,46.5,44.3,19.72,1020
2012-05-11,46.0,44.5,45.9,46.0,20.47,4450
2012-05-14,48.0,48.0,48.0,48.0,21.36,10
2012-05-15,45.6,45.6,45.6,45.6,20.3,2000
2012-05-16,45.6,44.5,45.6,44.5,19.81,4700
