Date,High,Low,Open,Close,adjust,Volume
2012-01-03,13.1,13.1,13.1,13.1,3.47,0
2012-01-04,13.0,12.5,12.5,13.0,3.45,52720
2012-01-05,13.0,13.0,13.0,13.0,3.45,2000
2012-01-06,13.0,13.0,13.0,13.0,3.45,15720
2012-01-09,12.9,12.4,12.4,12.9,3.42,12610
2012-01-10,13.0,12.9,12.9,13.0,3.45,11000
2012-01-11,13.5,12.7,13.4,12.7,3.37,17210
2012-01-12,13.2,12.9,12.9,12.9,3.42,4530
2012-01-13,13.5,13.3,13.3,13.3,3.53,251880
2012-01-16,12.8,12.8,12.8,12.8,3.39,10
2012-01-17,13.2,12.8,13.0,13.2,3.5,16820
2012-01-18,13.2,13.2,13.2,13.2,3.5,10000
2012-01-19,13.8,13.6,13.6,13.8,3.66,6200
2012-01-20,13.3,13.3,13.3,13.3,3.53,10
2012-01-30,13.8,13.8,13.8,13.8,3.66,1000
2012-01-31,14.4,13.8,13.8,13.8,3.66,42220
2012-02-01,14.4,14.0,14.0,14.4,3.82,16650
2012-02-02,15.0,14.3,14.3,14.6,3.87,11780
2012-02-03,15.0,15.0,15.0,15.0,3.98,10
2012-02-06,14.9,14.9,14.9,14.9,3.95,10010
2012-02-07,15.0,15.0,15.0,15.0,3.98,10
2012-02-08,15.2,14.9,14.9,15.2,4.03,27490
2012-02-09,15.3,14.5,14.5,15.3,4.06,130
2012-02-10,15.0,15.0,15.0,15.0,3.98,40010
2012-02-13,14.3,14.3,14.3,14.3,3.79,500
2012-02-14,13.7,13.7,13.7,13.7,3.63,10
2012-02-15,13.7,13.7,13.7,13.7,3.63,0
2012-02-16,14.3,14.0,14.0,14.3,3.79,4550
2012-02-17,15.0,15.0,15.0,15.0,3.98,21640
2012-02-20,15.7,15.4,15.4,15.7,4.16,35610
2012-02-21,15.7,15.7,15.7,15.7,4.16,0
2012-02-22,16.0,15.1,16.0,16.0,4.24,22950
2012-02-23,16.0,15.4,16.0,15.4,4.08,12020
2012-02-24,16.0,15.4,15.4,16.0,4.24,1950
2012-02-27,16.8,16.0,16.0,16.0,4.24,5940
2012-02-28,16.0,15.4,16.0,15.4,4.08,22450
2012-02-29,15.5,15.0,15.0,15.5,4.11,160
2012-03-01,16.0,14.8,15.5,15.5,4.11,2680
2012-03-02,15.9,15.0,15.5,15.9,4.21,5170
2012-03-05,16.6,16.0,16.5,16.6,4.4,41180
2012-03-06,16.9,15.8,16.9,16.7,4.43,8510
2012-03-07,16.0,16.0,16.0,16.0,4.24,310
2012-03-08,16.0,16.0,16.0,16.0,4.24,60
2012-03-09,16.5,16.5,16.5,16.5,4.37,2000
2012-03-12,16.9,15.8,15.8,16.5,4.37,22730
2012-03-13,16.8,16.0,16.0,16.5,4.37,310
2012-03-14,16.2,15.1,16.0,15.1,4.26,15200
2012-03-15,15.7,15.1,15.1,15.7,4.43,2660
2012-03-16,16.0,15.2,15.9,15.8,4.46,7600
2012-03-19,15.2,15.1,15.1,15.1,4.26,10270
2012-03-20,15.8,15.6,15.7,15.8,4.46,11890
2012-03-21,16.2,15.8,15.8,16.2,4.57,2960
2012-03-22,16.1,15.4,15.5,16.1,4.54,14800
2012-03-23,15.5,15.5,15.5,15.5,4.37,7300
2012-03-26,15.8,15.0,15.5,15.8,4.46,25760
2012-03-27,15.8,15.1,15.1,15.8,4.46,12290
2012-03-28,15.7,15.1,15.1,15.2,4.29,4640
2012-03-29,15.0,15.0,15.0,15.0,4.23,20700
2012-03-30,15.5,14.8,15.0,15.5,4.37,1310
2012-04-03,15.8,15.8,15.8,15.8,4.46,10
2012-04-04,15.9,15.2,15.9,15.8,4.46,740
2012-04-05,16.0,15.2,15.2,15.2,4.29,30120
2012-04-06,15.9,15.4,15.6,15.9,4.49,8130
2012-04-09,16.2,16.0,16.2,16.2,4.57,22780
2012-04-10,16.5,16.0,16.0,16.5,4.66,7890
2012-04-11,16.6,16.0,16.5,16.6,4.68,8030
2012-04-12,17.4,16.8,16.8,17.4,4.91,136400
2012-04-13,17.3,17.0,17.1,17.0,4.8,18000
2012-04-16,17.4,17.0,17.4,17.0,4.8,1490
2012-04-17,17.5,16.6,17.4,17.5,4.94,10170
2012-04-18,18.1,17.5,18.1,17.9,5.05,2590
2012-04-19,17.8,17.1,17.8,17.6,4.97,2750
2012-04-20,17.6,17.6,17.6,17.6,4.97,0
2012-04-23,17.1,17.0,17.0,17.0,4.8,11980
2012-04-24,17.4,16.4,16.4,17.4,4.91,3330
2012-04-25,17.5,17.5,17.5,17.5,4.94,70
2012-04-26,17.4,16.8,16.8,17.4,4.91,1010
2012-04-27,17.5,17.5,17.5,17.5,4.94,30
2012-05-02,17.6,16.9,17.5,16.9,4.77,1230
2012-05-03,17.5,16.8,16.8,17.0,4.8,6530
2012-05-04,17.1,17.0,17.0,17.1,4.83,4340
2012-05-07,17.7,17.1,17.4,17.7,4.99,96540
2012-05-08,17.8,17.5,17.8,17.8,5.02,73440
2012-05-09,18.0,17.5,17.5,18.0,5.08,39330
2012-05-10,18.5,18.0,18.0,18.1,5.11,63460
2012-05-11,18.0,17.5,18.0,17.9,5.05,58830
2012-05-14,17.8,17.3,17.8,17.3,4.88,91400
2012-05-15,17.9,17.3,17.3,17.3,4.88,31340
2012-05-16,17.7,17.3,17.5,17.7,4.99,5610
2012-05-17,17.6,17.3,17.3,17.5,4.94,8010
2012-05-18,17.5,17.2,17.4,17.5,4.94,10080
2012-05-21,17.5,17.4,17.4,17.5,4.94,8990
2012-05-22,17.3,17.3,17.3,17.3,4.88,18200
2012-05-23,17.1,17.0,17.1,17.0,4.8,30200
2012-05-24,17.0,16.3,16.9,16.3,4.6,31520
2012-05-25,17.1,17.1,17.1,17.1,4.83,11000
2012-05-28,17.1,17.1,17.1,17.1,4.83,23800
2012-05-29,17.5,17.1,17.3,17.5,4.94,13000
2012-05-30,17.9,17.2,17.2,17.9,5.05,210
2012-05-31,17.1,17.1,17.1,17.1,4.83,540
2012-06-01,17.3,17.1,17.1,17.3,4.88,5970
2012-06-04,16.9,16.9,16.9,16.9,4.77,5000
2012-06-05,17.0,16.9,16.9,17.0,4.8,1100
2012-06-06,17.4,16.9,17.4,17.1,4.83,58750
2012-06-07,17.1,17.1,17.1,17.1,4.83,200
2012-06-08,17.1,17.1,17.1,17.1,4.83,5000
2012-06-11,17.5,17.1,17.1,17.1,4.83,66760
2012-06-12,17.1,17.0,17.0,17.1,4.83,28500
2012-06-13,17.4,17.1,17.1,17.4,4.91,10270
2012-06-14,17.1,16.9,17.0,17.1,4.83,34400
