Date,High,Low,Open,Close,adjust,Volume
2012-01-03,28.1,28.1,28.1,28.1,7.32,70
2012-01-04,28.1,28.1,28.1,28.1,7.32,0
2012-01-05,28.1,28.1,28.1,28.1,7.32,0
2012-01-06,28.1,28.1,28.1,28.1,7.32,0
2012-01-09,28.1,28.1,28.1,28.1,7.32,0
2012-01-10,26.7,26.7,26.7,26.7,6.95,24636
2012-01-11,26.7,26.7,26.7,26.7,6.95,0
2012-01-12,26.7,26.7,26.7,26.7,6.95,0
2012-01-13,26.7,26.7,26.7,26.7,6.95,0
2012-01-16,26.7,26.7,26.7,26.7,6.95,0
2012-01-17,26.7,26.7,26.7,26.7,6.95,0
2012-01-18,26.7,26.7,26.7,26.7,6.95,0
2012-01-19,26.7,26.7,26.7,26.7,6.95,0
2012-01-20,26.7,26.7,26.7,26.7,6.95,0
2012-01-30,26.7,26.7,26.7,26.7,6.95,0
2012-01-31,26.7,26.7,26.7,26.7,6.95,0
2012-02-01,26.7,26.7,26.7,26.7,6.95,0
2012-02-02,27.0,27.0,27.0,27.0,7.03,20
2012-02-03,27.0,27.0,27.0,27.0,7.03,0
2012-02-06,27.0,27.0,27.0,27.0,7.03,0
2012-02-07,28.3,28.3,28.3,28.3,7.37,100
2012-02-08,29.7,29.7,29.7,29.7,7.74,10
2012-02-09,29.7,29.7,29.7,29.7,7.74,0
2012-02-10,29.7,29.7,29.7,29.7,7.74,0
2012-02-13,29.7,29.7,29.7,29.7,7.74,0
2012-02-14,30.5,30.5,30.5,30.5,7.94,10
2012-02-15,30.5,30.5,30.5,30.5,7.94,0
2012-02-16,30.5,30.5,30.5,30.5,7.94,0
2012-02-17,30.5,30.5,30.5,30.5,7.94,0
2012-02-20,31.0,31.0,31.0,31.0,8.07,10
2012-02-21,30.0,30.0,30.0,30.0,7.81,100
2012-02-22,31.0,31.0,31.0,31.0,8.07,10
2012-02-23,31.0,31.0,31.0,31.0,8.07,0
2012-02-24,31.5,31.5,31.5,31.5,8.2,10
2012-02-27,31.5,31.5,31.5,31.5,8.2,0
2012-02-28,31.5,31.5,31.5,31.5,8.2,0
2012-02-29,31.5,31.5,31.5,31.5,8.2,0
2012-03-01,31.5,31.5,31.5,31.5,8.2,0
2012-03-02,30.0,30.0,30.0,30.0,7.81,100
2012-03-05,31.0,30.0,31.0,30.0,7.81,710
2012-03-06,29.0,29.0,29.0,29.0,7.55,2000
2012-03-07,28.0,28.0,28.0,28.0,7.29,500
2012-03-08,28.0,28.0,28.0,28.0,7.29,0
2012-03-09,29.4,27.5,29.4,27.5,7.16,3010
2012-03-12,28.8,28.8,28.8,28.8,7.5,10
2012-03-13,28.5,28.5,28.5,28.5,7.42,10
2012-03-14,28.5,28.5,28.5,28.5,7.42,0
2012-03-15,28.5,28.5,28.5,28.5,7.42,0
2012-03-16,27.3,27.3,27.3,27.3,7.11,10
2012-03-19,27.3,27.3,27.3,27.3,7.11,0
2012-03-20,27.3,27.3,27.3,27.3,7.11,0
2012-03-21,27.3,27.3,27.3,27.3,7.11,0
2012-03-22,27.3,27.3,27.3,27.3,7.11,0
2012-03-23,28.0,28.0,28.0,28.0,7.29,600
2012-03-26,28.0,28.0,28.0,28.0,7.29,0
2012-03-27,28.0,28.0,28.0,28.0,7.29,0
2012-03-28,28.0,28.0,28.0,28.0,7.29,0
2012-03-29,28.0,28.0,28.0,28.0,7.29,0
2012-03-30,28.0,27.0,28.0,27.0,7.03,3000
2012-04-03,26.0,26.0,26.0,26.0,6.77,30
2012-04-04,26.0,26.0,26.0,26.0,6.77,4000
2012-04-05,26.0,26.0,26.0,26.0,6.77,2000
2012-04-06,26.0,26.0,26.0,26.0,6.77,0
2012-04-09,26.0,26.0,26.0,26.0,6.77,0
2012-04-10,26.0,25.9,26.0,25.9,6.75,5800
2012-04-11,27.1,26.0,26.0,27.1,7.06,136000
2012-04-12,26.0,25.8,26.0,25.8,6.72,95620
2012-04-13,26.9,25.8,26.5,26.9,7.01,25200
2012-04-16,26.9,25.6,26.9,25.6,6.67,47880
2012-04-17,26.4,24.5,24.5,26.4,6.88,24840
2012-04-18,26.4,25.2,26.4,25.2,6.56,17300
2012-04-19,25.2,24.0,25.2,24.0,6.25,2040
2012-04-20,25.0,22.9,23.3,22.9,5.96,2670
2012-04-23,24.0,23.9,23.9,24.0,6.25,2380
2012-04-24,25.2,24.0,24.0,25.2,6.56,20200
2012-04-25,25.2,24.1,24.1,25.2,6.56,15010
2012-04-26,24.0,24.0,24.0,24.0,6.25,4190
2012-04-27,24.9,23.0,23.0,24.9,6.49,5820
2012-05-02,25.2,23.8,24.8,25.2,6.56,6580
2012-05-03,25.0,25.0,25.0,25.0,6.51,1170
