Date,High,Low,Open,Close,adjust,Volume
2012-01-03,19.6,18.7,19.6,18.8,4.27,2080
2012-01-04,18.8,18.0,18.8,18.0,4.09,2200
2012-01-05,18.0,17.1,18.0,17.1,3.88,7300
2012-01-06,17.3,16.3,17.1,17.0,3.86,14100
2012-01-09,17.3,16.2,17.0,16.2,3.68,14000
2012-01-10,16.4,16.1,16.4,16.2,3.68,10820
2012-01-11,16.5,16.2,16.5,16.2,3.68,5000
2012-01-12,16.2,15.5,16.2,16.2,3.68,4510
2012-01-13,16.3,16.2,16.2,16.2,3.68,3000
2012-01-16,16.2,15.8,16.2,16.0,3.63,249000
2012-01-17,16.0,15.9,16.0,16.0,3.63,243110
2012-01-18,16.0,15.7,16.0,16.0,3.63,2250
2012-01-19,16.2,15.8,15.8,16.1,3.66,6200
2012-01-20,16.3,15.8,16.2,16.3,3.7,2030
2012-01-30,16.5,16.3,16.3,16.5,3.75,5880
2012-01-31,16.8,16.0,16.5,16.0,3.63,25010
2012-02-01,16.2,15.9,16.2,16.0,3.63,5020
2012-02-02,16.3,15.4,16.2,16.2,3.68,513934
2012-02-03,16.3,15.8,16.2,16.3,3.7,163020
2012-02-06,16.4,15.6,16.3,16.1,3.66,24810
2012-02-07,16.2,16.1,16.1,16.1,3.66,5220
2012-02-08,16.2,16.0,16.1,16.1,3.66,13000
2012-02-09,16.8,15.9,16.8,16.1,3.66,42710
2012-02-10,16.3,16.0,16.2,16.0,3.63,5880
2012-02-13,16.0,15.9,16.0,16.0,3.63,3430
2012-02-14,16.0,15.9,15.9,16.0,3.63,51610
2012-02-15,16.0,15.4,15.4,15.8,3.59,56010
2012-02-16,15.9,15.8,15.8,15.9,3.61,3200
2012-02-17,15.9,15.7,15.9,15.7,3.56,56580
2012-02-20,15.8,15.7,15.7,15.8,3.59,4500
2012-02-21,15.8,15.7,15.7,15.8,3.59,5000
2012-02-22,15.7,15.6,15.6,15.7,3.56,5580
2012-02-23,15.5,15.3,15.5,15.5,3.52,4100
2012-02-24,15.6,15.4,15.6,15.5,3.52,35930
2012-02-27,15.5,15.0,15.5,15.4,3.5,15630
2012-02-28,15.4,15.0,15.1,15.3,3.47,111210
2012-02-29,15.5,14.7,15.4,15.5,3.52,284270
2012-03-01,15.5,14.9,15.5,15.5,3.52,197585
2012-03-02,15.6,15.5,15.5,15.6,3.54,7200
2012-03-05,16.3,15.5,15.6,16.3,3.7,13250
2012-03-06,16.6,15.8,16.6,16.2,3.68,12740
2012-03-07,16.2,15.4,15.4,16.2,3.68,7040
2012-03-08,16.2,15.4,16.0,16.2,3.68,309156
2012-03-09,16.2,15.4,16.0,16.1,3.66,251700
2012-03-12,16.1,15.3,15.5,15.3,3.47,12550
2012-03-13,15.8,14.6,15.5,14.6,3.31,330760
2012-03-14,14.9,14.0,14.9,14.9,3.38,4370
2012-03-15,15.1,14.6,14.8,15.1,3.43,32870
2012-03-16,15.1,14.5,15.1,15.1,3.43,2410
2012-03-19,15.1,14.5,15.1,15.0,3.41,3230
2012-03-20,15.0,14.3,15.0,14.8,3.36,5710
2012-03-21,14.9,14.1,14.8,14.7,3.34,10700
2012-03-22,14.7,14.0,14.7,14.6,3.31,12040
2012-03-23,14.6,13.9,14.6,14.0,3.18,20020
2012-03-26,14.5,13.4,14.3,14.3,3.25,11230
