Date,High,Low,Open,Close,adjust,Volume
2012-01-03,27.0,25.6,27.0,25.6,6.36,3650
2012-01-04,26.8,25.3,25.3,26.8,6.65,15160
2012-01-05,26.8,25.5,26.8,26.0,6.46,23150
2012-01-06,27.3,26.0,26.5,27.3,6.78,42560
2012-01-09,26.5,26.0,26.5,26.0,6.46,30430
2012-01-10,26.0,25.1,25.1,25.6,6.36,27940
2012-01-11,26.7,25.4,25.6,26.7,6.63,31110
2012-01-12,26.8,25.8,26.7,26.7,6.63,6430
2012-01-13,27.8,26.8,26.8,27.8,6.9,35510
2012-01-16,28.5,27.7,28.5,27.7,6.88,7170
2012-01-17,27.2,27.0,27.2,27.0,6.7,6460
2012-01-18,27.6,26.5,26.8,27.6,6.85,9950
2012-01-19,27.9,27.6,27.6,27.9,6.93,4110
2012-01-20,27.9,26.6,27.9,27.7,6.88,15510
2012-01-30,29.0,27.8,27.8,29.0,7.2,49940
2012-01-31,29.4,28.7,29.4,29.3,7.28,26000
2012-02-01,29.4,28.8,29.4,29.4,7.3,21800
2012-02-02,29.5,29.0,29.4,29.5,7.33,7200
2012-02-03,30.0,29.1,30.0,29.1,7.23,5280
2012-02-06,29.1,27.7,28.7,27.7,6.88,11970
2012-02-07,28.0,27.6,27.7,27.6,6.85,40240
2012-02-08,28.7,28.5,28.6,28.6,7.1,34360
2012-02-09,28.6,28.0,28.6,28.0,6.95,8900
2012-02-10,28.1,27.6,27.6,28.0,6.95,17260
2012-02-13,27.9,27.5,27.9,27.5,6.83,7290
2012-02-14,27.0,26.9,27.0,27.0,7.09,5850
2012-02-15,26.5,26.5,26.5,26.5,6.96,5330
2012-02-16,26.5,26.5,26.5,26.5,6.96,0
2012-02-17,26.9,26.9,26.9,26.9,7.06,1570
2012-02-20,27.4,27.0,27.0,27.3,7.17,48400
2012-02-21,27.4,27.1,27.1,27.4,7.2,14030
2012-02-22,27.5,27.0,27.4,27.5,7.22,24300
2012-02-23,27.9,27.5,27.5,27.8,7.3,17920
2012-02-24,27.9,27.7,27.8,27.9,7.33,12440
2012-02-27,28.2,27.8,27.9,28.2,7.41,29090
2012-02-28,28.3,27.0,28.0,27.0,7.09,21640
2012-02-29,27.2,26.9,27.1,27.0,7.09,40330
2012-03-01,27.2,26.9,27.2,26.9,7.06,49510
2012-03-02,27.3,26.9,27.0,27.3,7.17,21000
2012-03-05,28.6,27.3,27.3,28.6,7.51,261330
2012-03-06,30.0,28.0,30.0,28.0,7.35,57060
2012-03-07,28.3,27.6,27.6,28.2,7.41,11370
2012-03-08,28.3,27.5,28.2,27.5,7.22,21970
2012-03-09,27.9,27.0,27.3,27.9,7.33,113150
2012-03-12,27.9,27.1,27.9,27.1,7.12,23540
2012-03-13,27.4,27.1,27.2,27.1,7.12,22700
2012-03-14,27.2,27.0,27.2,27.1,7.12,12640
2012-03-15,27.7,26.8,27.0,27.5,7.22,28140
2012-03-16,28.0,27.4,28.0,27.6,7.25,14150
2012-03-19,27.5,27.0,27.0,27.0,7.09,68330
2012-03-20,27.5,27.1,27.3,27.5,7.22,20080
2012-03-21,27.8,27.4,27.5,27.5,7.22,40470
2012-03-22,27.5,27.0,27.5,27.0,7.09,69940
2012-03-23,27.5,26.8,27.0,26.8,7.04,171720
2012-03-26,27.2,26.8,26.8,27.0,7.09,63190
2012-03-27,27.5,26.5,27.5,26.7,7.01,65680
2012-03-28,26.8,26.4,26.4,26.7,7.01,39810
2012-03-29,26.6,26.0,26.6,26.0,6.83,108280
2012-03-30,26.1,25.5,26.0,25.5,6.7,43480
2012-04-03,26.2,25.7,26.0,25.8,6.78,7590
2012-04-04,26.4,25.5,26.4,25.5,6.7,29940
2012-04-05,25.9,25.4,25.5,25.6,6.72,60660
2012-04-06,26.8,26.2,26.3,26.8,7.04,53500
2012-04-09,28.0,27.5,27.8,28.0,7.35,86150
2012-04-10,28.0,27.5,28.0,27.5,7.22,84600
2012-04-11,28.1,27.6,27.9,28.1,7.38,91340
2012-04-12,29.0,28.0,28.1,28.7,7.54,197810
2012-04-13,29.5,28.5,28.8,28.9,7.59,111490
2012-04-16,29.5,28.5,28.9,29.5,7.75,148700
2012-04-17,29.9,29.5,29.8,29.6,7.77,78430
2012-04-18,29.9,29.0,29.9,29.0,7.62,56590
2012-04-19,30.4,28.0,28.6,28.0,7.35,331550
2012-04-20,29.4,28.2,28.2,29.4,7.72,173490
2012-04-23,30.4,29.5,29.5,29.7,7.8,131410
2012-04-24,30.3,29.2,30.0,30.3,7.96,78430
