Date,High,Low,Open,Close,adjust,Volume
2018-01-25,16.8,16.8,16.8,16.8,12.18,19990
2018-01-26,17.95,17.95,17.95,17.95,13.02,20000
2018-01-29,19.2,19.2,19.2,19.2,13.92,13450
2018-01-30,20.5,20.5,20.5,20.5,14.87,86250
2018-01-31,21.9,21.85,21.9,21.85,15.85,136540
2018-02-01,23.35,22.3,22.4,23.35,16.93,123440
2018-02-02,23.4,22.2,23.4,22.2,16.1,73850
2018-02-05,22.5,22.0,22.0,22.15,16.06,28620
2018-02-06,21.0,20.6,20.9,20.9,15.16,489300
2018-02-07,21.15,21.0,21.0,21.15,15.34,79040
2018-02-08,21.15,21.0,21.15,21.0,15.23,63460
2018-02-09,20.5,20.0,20.5,20.05,14.54,73810
2018-02-12,20.6,20.05,20.6,20.6,14.94,24270
2018-02-13,20.8,20.55,20.55,20.8,15.08,28340
2018-02-21,21.1,20.8,20.8,21.1,15.3,39660
2018-02-22,21.1,21.0,21.05,21.0,15.23,41630
2018-02-23,21.3,21.0,21.0,21.2,15.37,68710
2018-02-26,21.2,21.1,21.15,21.2,15.37,47520
2018-02-27,21.2,20.95,21.2,21.0,15.23,70750
2018-02-28,21.1,20.95,21.0,21.1,15.3,83490
2018-03-01,21.15,21.1,21.1,21.15,15.34,53560
2018-03-02,21.2,21.1,21.15,21.15,15.34,105890
2018-03-05,21.35,21.15,21.15,21.35,15.48,172830
2018-03-06,21.65,21.4,21.4,21.65,15.7,203320
2018-03-07,21.7,21.5,21.55,21.7,15.74,199540
2018-03-08,21.9,21.65,21.7,21.9,15.88,175070
2018-03-09,22.2,21.85,21.9,22.2,16.1,193630
2018-03-12,22.3,22.2,22.3,22.3,16.17,184830
2018-03-13,22.35,22.15,22.3,22.35,16.21,154270
2018-03-14,22.7,22.3,22.3,22.65,16.43,170190
2018-03-15,22.65,22.45,22.55,22.65,16.43,161460
2018-03-16,23.4,22.75,23.3,23.3,16.9,180140
2018-03-19,23.45,23.25,23.4,23.4,16.97,162550
2018-03-20,23.5,23.2,23.4,23.5,17.04,180510
2018-03-21,23.6,23.45,23.5,23.6,17.12,189290
2018-03-22,23.75,23.55,23.65,23.65,17.15,175860
2018-03-23,23.7,23.25,23.6,23.7,17.19,165930
2018-03-26,24.2,23.65,23.65,24.2,17.55,214990
2018-03-27,24.35,24.2,24.2,24.35,17.66,131590
2018-03-28,24.55,24.35,24.35,24.45,17.73,192280
2018-03-29,24.8,24.4,24.4,24.6,17.84,149290
2018-03-30,25.0,24.55,24.6,25.0,18.13,144800
2018-04-02,25.25,25.05,25.05,25.25,18.31,224190
2018-04-03,25.6,25.2,25.25,25.6,18.57,1300040
2018-04-04,26.45,25.6,25.7,26.45,19.18,749850
2018-04-05,27.4,26.45,26.45,27.35,19.83,970980
2018-04-06,28.3,27.35,27.35,28.1,20.38,878070
2018-04-09,28.3,27.3,28.2,27.4,19.87,719700
2018-04-10,27.25,26.0,27.25,26.3,19.07,438110
2018-04-11,26.1,25.0,26.0,25.0,18.13,270010
2018-04-12,25.45,24.45,24.85,25.45,18.46,407610
2018-04-13,26.0,25.5,25.5,25.9,18.78,218050
2018-04-16,26.4,25.85,25.85,26.4,19.15,100720
2018-04-17,26.45,26.05,26.4,26.35,19.11,114930
2018-04-18,26.35,25.7,26.35,26.0,18.86,178960
2018-04-19,25.9,25.0,25.9,25.0,18.13,223510
2018-04-20,25.1,24.55,24.95,25.1,18.2,81610
2018-04-23,25.15,24.5,24.5,24.5,17.77,153710
