Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.7,3.6,3.6,3.7,2.81,14450
2012-01-04,3.7,3.6,3.7,3.6,2.74,44150
2012-01-05,3.6,3.6,3.6,3.6,2.74,0
2012-01-06,3.6,3.6,3.6,3.6,2.74,16500
2012-01-09,3.7,3.5,3.5,3.7,2.81,5550
2012-01-10,3.8,3.6,3.8,3.7,2.81,26550
2012-01-11,3.8,3.7,3.8,3.7,2.81,49460
2012-01-12,3.8,3.8,3.8,3.8,2.89,10
2012-01-13,3.8,3.7,3.8,3.7,2.81,9000
2012-01-16,3.7,3.7,3.7,3.7,2.81,26250
2012-01-17,3.8,3.6,3.7,3.7,2.81,34510
2012-01-18,3.8,3.8,3.8,3.8,2.89,22720
2012-01-19,3.9,3.8,3.8,3.9,2.97,32800
2012-01-20,4.0,3.9,3.9,4.0,3.04,1430
2012-01-30,4.2,4.2,4.2,4.2,3.19,4940
2012-01-31,4.4,4.4,4.4,4.4,3.35,4090
2012-02-01,4.6,4.2,4.2,4.3,3.27,34040
2012-02-02,4.4,4.4,4.4,4.4,3.35,210
2012-02-03,4.6,4.3,4.6,4.3,3.27,9980
2012-02-06,4.5,4.2,4.2,4.5,3.42,11780
2012-02-07,4.6,4.4,4.4,4.6,3.5,2400
2012-02-08,4.8,4.6,4.6,4.8,3.65,20690
2012-02-09,5.0,4.9,4.9,5.0,3.8,8850
2012-02-10,5.0,4.8,4.9,4.8,3.65,45630
2012-02-13,5.0,4.6,4.7,4.8,3.65,13110
2012-02-14,4.8,4.8,4.8,4.8,3.65,20200
2012-02-15,4.9,4.8,4.8,4.8,3.65,19420
2012-02-16,5.0,4.9,4.9,5.0,3.8,2500
2012-02-17,5.1,4.8,5.1,4.8,3.65,4570
2012-02-20,4.9,4.6,4.6,4.9,3.73,13040
2012-02-21,4.8,4.7,4.8,4.7,3.57,4950
2012-02-22,4.9,4.7,4.8,4.9,3.73,53750
2012-02-23,5.1,5.0,5.0,5.0,3.8,514260
2012-02-24,5.0,4.8,4.9,5.0,3.8,18630
2012-02-27,5.1,5.0,5.0,5.1,3.88,12070
2012-02-28,5.0,4.9,5.0,5.0,3.8,36470
2012-02-29,5.1,4.8,5.0,5.0,3.8,61550
2012-03-01,5.0,4.9,4.9,5.0,3.8,39820
2012-03-02,5.2,5.0,5.0,5.1,3.88,14520
