Date,High,Low,Open,Close,adjust,Volume
2012-01-03,40.5,39.2,40.0,39.9,7.07,79520
2012-01-04,40.0,39.0,39.4,39.0,6.91,36660
2012-01-05,39.2,38.5,39.0,39.2,6.94,103500
2012-01-06,39.6,38.8,39.1,39.3,6.96,120550
2012-01-09,39.4,38.4,38.8,38.6,6.84,75280
2012-01-10,38.7,38.1,38.6,38.7,6.86,55220
2012-01-11,38.9,38.4,38.9,38.7,6.86,29780
2012-01-12,38.7,38.0,38.7,38.7,6.86,234870
2012-01-13,38.8,38.0,38.4,38.0,6.73,109340
2012-01-16,38.3,37.4,38.3,38.3,6.79,88060
2012-01-17,38.0,37.0,37.6,37.0,6.55,59730
2012-01-18,38.3,37.2,37.2,38.3,6.79,27190
2012-01-19,38.8,37.7,38.3,38.6,6.84,193890
2012-01-20,38.8,38.4,38.4,38.7,6.86,61490
2012-01-30,39.0,38.4,38.7,38.8,6.87,52660
2012-01-31,38.9,38.3,38.5,38.5,6.82,82210
2012-02-01,38.5,38.0,38.5,38.2,6.77,125920
2012-02-02,39.3,38.2,38.8,38.7,6.86,153590
2012-02-03,39.8,38.7,38.8,38.8,6.87,179440
2012-02-06,39.0,38.4,38.5,38.5,6.82,56020
2012-02-07,38.7,38.3,38.5,38.5,6.82,136930
2012-02-08,38.8,38.3,38.3,38.5,6.82,101350
2012-02-09,38.5,38.2,38.5,38.2,6.77,33680
2012-02-10,38.5,37.8,38.0,38.5,6.82,35830
2012-02-13,38.4,37.9,37.9,38.0,6.73,26100
2012-02-14,38.5,38.0,38.0,38.5,6.82,56180
2012-02-15,38.8,38.2,38.2,38.5,6.82,38150
2012-02-16,38.4,38.3,38.3,38.4,6.8,26240
2012-02-17,38.8,38.3,38.8,38.3,6.79,15100
2012-02-20,38.6,38.2,38.6,38.3,6.79,90930
2012-02-21,38.5,37.8,38.3,37.8,6.7,104280
2012-02-22,37.8,37.3,37.7,37.4,6.63,137950
2012-02-23,38.4,37.0,37.6,38.3,6.79,271210
2012-02-24,39.5,38.3,38.5,39.2,6.94,229810
2012-02-27,39.3,38.8,39.0,39.3,6.96,116350
2012-02-28,39.5,38.5,39.0,39.0,6.91,158590
2012-02-29,40.9,38.7,38.7,40.9,7.25,318960
2012-03-01,42.7,41.1,41.5,42.7,7.56,237500
2012-03-02,43.4,41.8,43.4,42.7,7.56,430460
2012-03-05,44.2,43.0,43.0,43.2,7.65,179670
2012-03-06,43.2,41.1,43.2,41.1,7.28,454090
2012-03-07,41.1,39.4,41.1,39.4,6.98,188120
2012-03-08,39.7,38.0,39.4,38.1,6.75,149050
2012-03-09,38.8,37.8,37.8,38.0,6.73,117660
2012-03-12,38.8,38.0,38.5,38.0,6.73,393650
2012-03-13,38.6,37.8,38.0,38.2,6.77,238830
2012-03-14,38.9,38.0,38.5,38.9,6.89,119320
2012-03-15,39.9,38.1,38.9,39.9,7.07,107030
2012-03-16,40.1,38.5,39.2,38.5,6.82,180770
2012-03-19,38.8,38.1,38.5,38.6,6.84,224070
2012-03-20,38.7,38.2,38.2,38.5,6.82,73680
2012-03-21,39.4,38.4,38.4,38.6,6.84,152860
2012-03-22,38.7,38.4,38.6,38.6,6.84,63060
2012-03-23,38.9,38.4,38.5,38.5,6.82,135850
2012-03-26,38.7,38.2,38.2,38.6,6.84,38840
2012-03-27,39.0,38.3,39.0,38.5,6.82,90420
2012-03-28,38.6,37.9,38.2,38.6,6.84,121840
2012-03-29,39.1,38.4,38.4,38.6,6.84,104900
2012-03-30,39.3,38.6,38.6,39.0,6.91,133260
2012-04-03,39.2,38.7,38.8,39.2,6.94,47820
2012-04-04,39.0,38.7,38.8,38.9,6.89,95950
2012-04-05,39.0,38.8,38.8,38.9,6.89,187788
2012-04-06,39.2,38.6,38.9,39.0,6.91,95840
2012-04-09,39.8,39.1,39.3,39.8,7.05,48110
2012-04-10,40.2,39.8,39.9,40.2,7.12,41110
2012-04-11,41.5,40.1,40.2,41.5,7.35,141760
2012-04-12,43.0,41.5,41.5,43.0,7.62,357790
2012-04-13,44.3,43.1,44.0,43.1,7.64,240320
2012-04-16,44.5,42.8,43.0,44.4,7.87,274890
2012-04-17,44.3,42.7,44.0,44.0,7.8,141590
2012-04-18,44.0,43.1,43.4,43.5,7.71,121680
2012-04-19,43.9,43.0,43.1,43.0,7.62,83940
2012-04-20,43.3,41.5,43.3,43.0,7.62,43470
2012-04-23,44.5,43.0,44.5,43.0,7.62,26380
2012-04-24,43.1,42.8,43.1,43.1,7.64,14260
2012-04-25,43.2,43.0,43.1,43.2,7.65,14490
2012-04-26,44.5,42.8,43.2,44.5,7.88,55340
2012-04-27,44.5,43.0,44.5,43.9,7.78,3270
2012-05-02,43.8,43.1,43.4,43.7,7.74,131320
2012-05-03,43.0,42.0,43.0,42.0,7.44,195010
2012-05-04,43.5,41.5,43.5,41.5,7.35,198210
2012-05-07,42.3,41.2,41.2,41.5,7.35,53570
2012-05-08,42.5,41.5,41.5,42.5,7.53,114530
2012-05-09,43.0,42.3,42.5,42.5,7.53,161360
2012-05-10,42.9,42.1,42.1,42.5,7.53,145720
2012-05-11,42.9,41.8,42.9,42.3,7.49,94390
2012-05-14,42.1,41.6,41.6,41.8,7.41,46790
2012-05-15,41.9,41.4,41.7,41.8,7.41,608379
2012-05-16,41.9,41.6,41.9,41.7,7.39,285220
2012-05-17,41.9,41.7,41.7,41.7,7.39,413510
2012-05-18,42.2,41.5,42.2,41.5,7.35,424120
2012-05-21,41.9,41.0,41.5,41.6,7.37,420140
2012-05-22,41.8,41.4,41.6,41.8,7.41,273920
2012-05-23,41.9,41.4,41.5,41.9,7.42,16080
2012-05-24,41.9,41.4,41.8,41.5,7.35,416140
2012-05-25,42.4,41.5,41.5,41.6,7.37,359530
2012-05-28,42.0,41.5,41.6,41.7,7.39,119610
2012-05-29,41.5,41.3,41.5,41.5,7.44,127870
2012-05-30,41.5,41.4,41.5,41.4,7.42,4220
2012-05-31,41.5,41.2,41.4,41.4,7.42,229400
2012-06-01,41.4,41.4,41.4,41.4,7.42,0
2012-06-04,42.0,39.4,42.0,39.4,7.06,5270
2012-06-05,39.5,39.4,39.4,39.4,7.06,53770
2012-06-06,39.5,39.5,39.5,39.5,7.08,20110
2012-06-07,40.0,39.5,39.5,40.0,7.17,14930
2012-06-08,42.0,41.0,41.0,42.0,7.53,1600
2012-06-11,41.5,41.0,41.0,41.4,7.42,18240
2012-06-12,41.5,40.1,41.2,40.1,7.19,7400
2012-06-13,41.8,40.3,41.0,40.3,7.23,4220
2012-06-14,41.4,40.0,40.0,41.0,7.35,19440
2012-06-15,43.0,40.9,40.9,43.0,7.71,191010
2012-06-18,41.8,41.8,41.8,41.8,7.5,150790
2012-06-19,41.3,41.0,41.3,41.0,7.35,24820
2012-06-20,41.3,40.7,41.3,40.7,7.3,370
2012-06-21,40.6,40.3,40.6,40.4,7.24,13250
2012-06-22,42.0,39.9,39.9,42.0,7.53,188949
2012-06-25,42.5,41.0,41.0,41.8,7.5,39410
2012-06-26,41.5,40.8,41.5,41.5,7.44,17910
2012-06-27,42.9,40.2,40.2,41.9,7.51,47889
2012-06-28,43.0,40.3,40.5,42.9,7.69,166920
2012-06-29,45.0,42.0,43.0,45.0,8.07,68390
2012-07-02,46.4,43.0,46.4,43.0,7.71,21610
2012-07-03,42.0,41.0,41.5,41.5,7.44,24040
2012-07-04,43.0,41.5,41.5,43.0,7.71,13010
2012-07-05,43.0,42.9,42.9,43.0,7.71,3430
2012-07-06,43.9,43.0,43.9,43.1,7.73,16100
2012-07-09,42.0,41.6,41.8,41.6,7.46,21340
