Date,High,Low,Open,Close,adjust,Volume
2012-01-03,21.9,21.5,21.9,21.5,8.47,6020
2012-01-04,22.5,20.5,22.0,21.5,8.47,1000
2012-01-05,20.8,20.5,20.8,20.5,8.08,104800
2012-01-06,20.0,19.5,20.0,19.6,7.72,44420
2012-01-09,20.0,19.6,19.6,20.0,7.88,4250
2012-01-10,20.3,20.0,20.0,20.3,8.0,87210
2012-01-11,20.3,20.3,20.3,20.3,8.0,0
2012-01-12,20.4,19.8,19.8,20.3,8.0,9810
2012-01-13,20.3,19.6,19.6,20.3,8.0,18450
2012-01-16,20.5,20.1,20.1,20.5,8.08,260
2012-01-17,20.6,20.5,20.5,20.5,8.08,3860
2012-01-18,20.6,20.3,20.3,20.6,8.12,1120
2012-01-19,20.8,20.3,20.3,20.8,8.2,170
2012-01-20,20.9,20.8,20.9,20.8,8.2,3000
2012-01-30,21.0,21.0,21.0,21.0,8.27,100
2012-01-31,22.0,21.6,21.6,22.0,8.67,89680
2012-02-01,23.0,21.8,21.8,22.0,8.67,7460
2012-02-02,23.1,23.0,23.0,23.1,9.1,59040
2012-02-03,23.0,23.0,23.0,23.0,9.06,47420
2012-02-06,22.5,22.5,22.5,22.5,8.87,4390
2012-02-07,23.4,23.4,23.4,23.4,9.22,10
2012-02-08,23.4,23.4,23.4,23.4,9.22,24500
2012-02-09,23.4,23.4,23.4,23.4,9.22,53060
2012-02-10,23.5,23.4,23.5,23.5,9.26,37170
2012-02-13,24.6,23.6,23.6,24.6,9.69,27290
2012-02-14,25.7,25.3,25.3,25.5,10.05,48050
2012-02-15,26.0,25.2,26.0,25.5,10.05,101780
2012-02-16,25.8,25.5,25.6,25.8,10.17,17010
2012-02-17,27.0,25.8,26.2,25.8,10.17,29280
2012-02-20,27.0,25.1,25.8,26.0,10.25,67510
2012-02-21,27.3,26.0,27.2,26.0,10.25,78990
2012-02-22,27.3,26.5,27.0,26.5,10.44,66090
2012-02-23,27.8,26.8,27.8,26.8,10.56,4800
2012-02-24,27.6,26.8,27.5,26.8,10.56,16850
2012-02-27,27.9,26.3,27.9,26.3,10.36,13320
2012-02-28,27.6,26.5,26.5,26.7,10.52,60860
2012-02-29,28.0,26.0,27.8,27.0,10.64,64030
2012-03-01,28.3,26.6,26.6,26.7,10.52,14190
2012-03-02,28.0,27.2,27.8,27.5,10.84,292470
2012-03-05,28.8,27.0,28.5,27.0,10.64,12310
2012-03-06,28.0,25.9,28.0,25.9,10.21,32320
2012-03-07,27.1,26.9,27.1,27.1,10.68,15650
2012-03-08,28.2,26.6,28.2,26.6,10.48,8810
2012-03-09,27.9,26.8,27.5,26.8,10.56,72000
2012-03-12,28.1,27.2,27.9,27.2,10.72,81900
2012-03-13,28.5,28.0,28.0,28.5,11.23,35650
2012-03-14,29.9,29.1,29.3,29.9,11.78,85320
2012-03-15,31.3,31.0,31.0,31.3,12.33,176140
2012-03-16,32.8,32.8,32.8,32.8,12.92,45050
2012-03-19,34.4,33.0,34.2,33.0,13.0,95700
2012-03-20,34.6,34.5,34.6,34.6,13.63,87160
2012-03-21,36.3,36.2,36.3,36.3,14.3,213690
2012-03-22,38.1,37.3,38.1,38.1,15.01,221320
2012-03-23,36.3,36.2,36.3,36.2,14.26,5120
2012-03-26,38.0,34.4,34.5,35.0,13.79,507972
2012-03-27,36.0,33.3,34.6,33.3,13.12,595870
2012-03-28,32.0,31.7,31.7,31.7,12.49,104880
2012-03-29,32.5,30.2,32.5,31.6,12.45,290780
2012-03-30,33.0,30.1,30.1,30.4,11.98,214730
2012-04-03,30.0,28.9,29.0,30.0,12.43,14580
2012-04-04,31.5,31.0,31.0,31.4,13.01,5190
2012-04-05,31.9,30.0,30.2,30.2,12.52,9710
2012-04-06,31.4,29.9,31.4,29.9,12.39,2010
2012-04-09,31.3,29.6,30.5,30.5,12.64,11930
2012-04-10,31.5,30.0,31.0,31.3,12.97,4510
2012-04-11,31.3,30.0,30.0,31.3,12.97,6140
2012-04-12,31.3,30.0,31.3,31.2,12.93,9800
2012-04-13,31.3,30.5,30.9,31.1,12.89,14510
2012-04-16,32.6,29.6,29.6,30.4,12.6,5260
2012-04-17,30.4,29.9,30.2,29.9,12.39,5330
2012-04-18,31.3,29.9,29.9,31.3,12.97,28110
2012-04-19,32.8,31.3,32.7,31.3,12.97,15220
2012-04-20,31.7,31.7,31.7,31.7,13.14,7400
2012-04-23,33.0,30.5,33.0,32.9,13.64,970
2012-04-24,33.3,31.3,31.3,33.2,13.76,71540
2012-04-25,34.8,32.0,34.8,32.3,13.39,12560
2012-04-26,33.3,31.6,32.5,33.3,13.8,5520
2012-04-27,34.4,32.1,34.4,33.3,13.8,29960
2012-05-02,34.1,32.0,34.1,32.0,13.26,4560
2012-05-03,33.6,31.6,32.3,33.6,13.93,26080
2012-05-04,35.2,34.0,35.0,35.2,14.59,23290
2012-05-07,36.0,34.2,34.2,36.0,14.92,570
2012-05-08,37.0,34.4,37.0,34.4,14.26,12300
2012-05-09,36.0,34.5,35.9,36.0,14.92,18800
2012-05-10,36.0,35.5,36.0,35.5,14.71,18680
2012-05-11,35.9,34.2,34.3,35.4,14.67,13390
2012-05-14,36.0,33.7,36.0,34.9,14.47,52920
2012-05-15,33.4,33.2,33.4,33.2,13.76,76270
2012-05-16,33.4,32.0,33.2,32.0,13.26,10560
2012-05-17,33.0,30.4,31.0,30.4,12.6,37670
2012-05-18,29.4,28.9,29.4,28.9,11.98,2850
2012-05-21,30.3,28.0,28.0,30.3,12.56,10230
2012-05-22,30.5,30.0,30.5,30.0,12.43,640
2012-05-23,31.0,30.0,30.0,31.0,12.85,9210
2012-05-24,31.0,29.5,31.0,29.6,12.27,8200
2012-05-25,31.0,28.6,28.6,31.0,12.85,4790
2012-05-28,31.0,30.0,31.0,31.0,12.85,6820
2012-05-29,31.0,31.0,31.0,31.0,12.85,0
2012-05-30,32.0,31.0,31.0,32.0,13.26,1310
2012-05-31,32.5,31.0,31.2,32.5,13.47,4980
2012-06-01,32.5,32.5,32.5,32.5,13.47,0
2012-06-04,30.9,30.9,30.9,30.9,12.81,6460
2012-06-05,31.0,30.1,30.1,31.0,12.85,10690
2012-06-06,31.5,29.5,29.5,31.5,13.06,950
2012-06-07,31.5,31.5,31.5,31.5,13.06,0
2012-06-08,32.8,30.0,32.8,30.0,12.43,3310
2012-06-11,31.1,31.1,31.1,31.1,12.89,900
2012-06-12,31.1,31.1,31.1,31.1,12.89,510
2012-06-13,31.1,31.1,31.1,31.1,12.89,0
2012-06-14,32.6,32.6,32.6,32.6,13.51,10
2012-06-15,32.6,32.6,32.6,32.6,13.51,0
2012-06-18,32.6,32.6,32.6,32.6,13.51,0
2012-06-19,32.6,32.0,32.6,32.4,13.43,1430
2012-06-20,32.0,32.0,32.0,32.0,13.26,190
2012-06-21,31.5,31.0,31.0,31.5,13.06,1320
2012-06-22,32.0,32.0,32.0,32.0,13.26,10
2012-06-25,32.3,32.3,32.3,32.3,13.39,100
2012-06-26,32.3,32.3,32.3,32.3,13.39,0
2012-06-27,33.4,32.0,32.0,33.4,13.84,430
2012-06-28,32.5,31.8,31.8,32.5,13.47,1120
2012-06-29,32.1,30.9,30.9,32.1,13.3,510
2012-07-02,32.1,32.1,32.1,32.1,13.3,10
2012-07-03,31.0,30.5,30.5,31.0,12.85,2370
2012-07-04,30.5,30.0,30.5,30.0,12.43,2310
2012-07-05,30.5,30.5,30.5,30.5,12.64,10
2012-07-06,31.9,29.0,29.0,31.9,13.22,250
2012-07-09,32.7,32.7,32.7,32.7,13.55,10
2012-07-10,32.7,32.7,32.7,32.7,13.55,0
2012-07-11,32.7,32.7,32.7,32.7,13.55,0
2012-07-12,32.7,32.7,32.7,32.7,13.55,0
2012-07-13,32.5,32.5,32.5,32.5,13.47,920
2012-07-16,32.5,32.5,32.5,32.5,13.47,0
2012-07-17,32.5,32.5,32.5,32.5,13.47,0
2012-07-18,32.5,32.5,32.5,32.5,13.47,0
2012-07-19,34.0,32.6,34.0,33.4,13.84,220
2012-07-20,33.0,33.0,33.0,33.0,13.68,10
2012-07-23,31.5,31.4,31.4,31.4,13.01,3250
2012-07-24,31.0,29.9,29.9,31.0,12.85,1520
2012-07-25,31.0,31.0,31.0,31.0,12.85,0
2012-07-26,32.5,31.0,31.0,32.5,13.47,140
2012-07-27,32.0,30.9,31.0,31.0,12.85,3440
2012-07-30,30.0,29.5,30.0,29.5,12.23,1700
2012-07-31,30.9,29.5,29.5,30.9,12.81,310
2012-08-01,30.5,29.4,29.4,30.5,12.64,610
2012-08-02,31.0,31.0,31.0,31.0,12.85,10
2012-08-03,31.0,29.5,29.5,31.0,12.85,110
2012-08-06,30.0,29.5,29.5,30.0,12.43,710
2012-08-07,30.0,28.7,30.0,29.9,12.39,1020
2012-08-08,31.0,31.0,31.0,31.0,12.85,10
2012-08-09,31.0,31.0,31.0,31.0,12.85,0
2012-08-10,31.0,30.9,31.0,30.9,12.81,300
2012-08-13,29.5,29.4,29.5,29.4,12.19,970
2012-08-14,30.7,29.4,29.4,29.7,12.31,3540
2012-08-15,30.8,30.8,30.8,30.8,12.77,10
2012-08-16,30.8,30.8,30.8,30.8,12.77,1160
2012-08-17,31.0,30.7,30.8,31.0,12.85,3260
2012-08-20,31.0,30.0,31.0,30.0,12.43,10830
2012-08-21,30.0,28.5,30.0,30.0,12.43,630
2012-08-22,30.0,28.8,30.0,28.8,11.94,1850
2012-08-23,27.6,27.4,27.6,27.4,11.36,11110
2012-08-24,27.1,27.0,27.1,27.1,11.88,3740
2012-08-27,28.4,27.1,28.3,28.3,12.41,5370
2012-08-28,28.4,27.5,27.5,28.4,12.45,230
2012-08-29,28.4,28.4,28.4,28.4,12.45,1000
2012-08-30,28.9,27.5,27.5,28.9,12.67,170
2012-08-31,29.0,27.5,27.5,29.0,12.72,3700
2012-09-04,27.8,27.6,27.8,27.6,12.1,2000
2012-09-05,28.5,26.5,26.5,28.5,12.5,1020
2012-09-06,28.5,28.5,28.5,28.5,12.5,140
2012-09-07,28.0,27.2,28.0,27.2,11.93,8050
2012-09-10,28.2,26.5,28.2,27.5,12.06,1660
2012-09-11,26.6,26.2,26.2,26.6,11.66,1110
2012-09-12,26.6,26.0,26.0,26.6,11.66,410
2012-09-13,25.7,25.5,25.5,25.7,11.27,20
2012-09-14,25.7,24.6,25.7,24.6,10.79,15250
2012-09-17,24.6,23.6,23.6,24.6,10.79,7500
2012-09-18,24.9,23.8,23.8,24.9,10.92,1020
2012-09-19,26.0,23.9,24.0,26.0,11.4,5420
2012-09-20,25.9,25.3,25.3,25.9,11.36,560
2012-09-21,27.0,27.0,27.0,27.0,11.84,700
2012-09-24,25.7,25.7,25.7,25.7,11.27,400
2012-09-25,26.9,25.0,26.9,25.0,10.96,200
2012-09-26,25.1,23.8,25.1,24.7,10.83,8610
2012-09-27,25.3,25.3,25.3,25.3,11.09,10
2012-09-28,25.2,24.1,24.1,25.2,11.05,740
2012-10-01,25.5,25.0,25.5,25.0,10.96,4890
2012-10-02,25.0,25.0,25.0,25.0,10.96,510
2012-10-03,24.8,24.8,24.8,24.8,10.87,10
2012-10-04,24.0,23.6,24.0,23.6,10.35,6490
2012-10-05,24.6,23.6,23.6,24.6,10.79,3020
2012-10-08,24.0,24.0,24.0,24.0,10.52,300
2012-10-09,23.8,23.5,23.8,23.5,10.3,15400
2012-10-10,23.5,23.5,23.5,23.5,10.3,500
2012-10-11,24.6,23.7,24.0,24.6,10.79,3170
2012-10-12,25.0,24.3,24.6,25.0,10.96,3510
2012-10-15,26.0,25.5,25.5,26.0,11.4,4610
2012-10-16,25.5,24.7,25.0,25.5,11.18,23500
2012-10-17,25.5,25.5,25.5,25.5,11.18,2740
2012-10-18,26.7,25.5,25.5,25.7,11.27,250
2012-10-19,25.7,25.6,25.6,25.7,11.27,220
2012-10-22,26.5,25.7,25.7,26.5,11.62,1170
2012-10-23,26.5,26.5,26.5,26.5,11.62,0
2012-10-24,26.5,25.2,26.5,25.2,11.05,2730
2012-10-25,26.3,24.0,26.3,25.0,10.96,5020
2012-10-26,23.8,23.8,23.8,23.8,10.44,2700
2012-10-29,23.5,22.9,22.9,23.1,10.13,1200
2012-10-30,23.5,22.8,22.8,23.5,10.3,1120
2012-10-31,24.0,24.0,24.0,24.0,10.52,920
