Date,High,Low,Open,Close,adjust,Volume
2016-05-27,16.0,15.1,16.0,15.6,9.56,94010
2016-05-30,16.5,15.6,16.5,15.8,9.68,16090
2016-05-31,16.0,15.2,16.0,16.0,9.81,1330
2016-06-01,15.8,15.4,15.4,15.8,9.68,6500
2016-06-02,15.7,15.4,15.5,15.7,9.62,9280
2016-06-03,15.5,15.2,15.2,15.2,9.32,10030
2016-06-06,15.2,15.1,15.2,15.2,9.32,14060
2016-06-07,15.2,15.0,15.0,15.1,9.25,2210
2016-06-08,15.0,14.8,15.0,15.0,9.19,12900
2016-06-09,14.8,14.7,14.8,14.7,9.01,10430
2016-06-10,14.6,14.6,14.6,14.6,8.95,26600
2016-06-13,14.7,14.2,14.7,14.6,8.95,8130
2016-06-14,14.3,14.3,14.3,14.3,8.76,2100
2016-06-15,14.3,14.3,14.3,14.3,8.76,0
2016-06-16,15.0,14.2,15.0,14.9,9.13,2220
2016-06-17,14.8,14.2,14.4,14.8,9.07,1760
2016-06-20,15.0,15.0,15.0,15.0,9.19,10
2016-06-21,15.0,15.0,15.0,15.0,9.19,0
2016-06-22,15.0,14.2,14.3,15.0,9.19,6730
2016-06-23,15.0,14.5,14.5,15.0,9.19,1510
2016-06-24,14.6,14.5,14.6,14.5,8.89,2050
2016-06-27,15.0,13.6,13.6,15.0,9.19,6010
2016-06-28,14.5,14.1,14.2,14.1,8.64,1710
2016-06-29,14.4,14.1,14.4,14.1,8.64,110
2016-06-30,14.4,14.0,14.0,14.4,8.82,2550
2016-07-01,14.2,14.0,14.2,14.0,8.58,3310
2016-07-04,14.1,13.7,13.7,14.1,8.64,130
2016-07-05,14.1,13.8,14.1,14.0,8.58,7510
2016-07-06,14.2,13.8,14.0,14.2,8.7,2280
2016-07-07,14.2,13.8,14.2,13.8,8.46,350
2016-07-08,14.2,14.0,14.2,14.0,8.58,6500
2016-07-11,14.5,13.2,14.0,13.2,8.09,105670
2016-07-12,14.1,13.7,14.0,13.7,8.4,7670
2016-07-13,14.6,13.7,13.7,14.6,8.95,71100
2016-07-14,14.7,14.0,14.7,14.0,8.58,200120
2016-07-15,14.0,14.0,14.0,14.0,8.58,20
2016-07-18,14.5,13.9,14.1,14.5,8.89,26050
2016-07-19,14.8,14.0,14.8,14.0,8.58,390
2016-07-20,14.5,14.1,14.1,14.1,8.64,24930
2016-07-21,14.5,14.0,14.5,14.1,8.64,44860
2016-07-22,14.4,14.0,14.0,14.4,8.82,8030
2016-07-25,14.6,14.2,14.5,14.2,8.7,34500
2016-07-26,14.7,14.2,14.5,14.5,8.89,80480
2016-07-27,14.9,14.2,14.9,14.9,9.13,520
2016-07-28,14.4,14.3,14.3,14.4,8.82,20
2016-07-29,14.7,14.2,14.7,14.6,8.95,7470
2016-08-01,15.2,14.2,15.2,14.5,8.89,20410
2016-08-02,14.2,14.2,14.2,14.2,8.7,10
2016-08-03,14.4,14.0,14.0,14.4,8.82,2010
2016-08-04,14.4,14.4,14.4,14.4,8.82,9010
2016-08-05,14.4,14.2,14.2,14.4,8.82,1010
2016-08-08,14.5,14.0,14.0,14.5,8.89,119140
2016-08-09,14.6,14.1,14.1,14.6,8.95,10730
2016-08-10,14.5,14.5,14.5,14.5,8.89,10000
2016-08-11,14.6,14.5,14.6,14.6,8.95,13020
2016-08-12,14.6,14.6,14.6,14.6,8.95,3010
2016-08-15,14.2,14.2,14.2,14.2,8.7,1000
2016-08-16,14.7,14.2,14.5,14.2,8.7,48300
2016-08-17,14.5,14.5,14.5,14.5,8.89,12010
2016-08-18,14.6,14.5,14.5,14.5,8.89,13300
2016-08-19,15.5,14.5,15.5,14.5,8.89,23340
2016-08-22,14.5,14.5,14.5,14.5,8.89,0
2016-08-23,15.2,14.5,15.2,14.5,8.89,20
2016-08-24,14.5,14.5,14.5,14.5,8.89,8000
2016-08-25,14.5,14.5,14.5,14.5,8.89,12540
2016-08-26,14.5,14.5,14.5,14.5,8.89,126150
2016-08-29,14.5,14.5,14.5,14.5,8.89,2000
2016-08-30,15.1,14.7,14.7,15.1,9.25,108310
2016-08-31,15.3,15.1,15.1,15.3,9.38,450
2016-09-01,15.3,15.1,15.3,15.1,9.25,15010
2016-09-05,15.5,15.1,15.5,15.1,9.25,1110
2016-09-06,16.0,15.4,15.4,16.0,9.81,47060
2016-09-07,16.5,15.5,16.0,15.5,9.5,19460
2016-09-08,15.9,15.2,15.2,15.4,9.44,2880
2016-09-09,15.4,15.4,15.4,15.4,9.44,1000
2016-09-12,15.4,15.4,15.4,15.4,9.44,5550
2016-09-13,16.0,15.4,15.5,16.0,9.81,5930
2016-09-14,16.0,15.6,15.7,15.6,9.56,2800
2016-09-15,16.0,15.4,16.0,15.5,9.5,18040
2016-09-16,16.0,15.5,15.5,15.9,9.74,15350
2016-09-19,16.0,15.0,15.9,15.0,9.19,9350
2016-09-20,16.0,15.1,15.7,15.1,9.25,16890
2016-09-21,15.1,15.1,15.1,15.1,9.25,0
2016-09-22,15.4,15.3,15.3,15.4,9.44,480
2016-09-23,16.45,15.5,15.5,16.45,10.08,47400
2016-09-26,16.5,15.7,16.5,15.7,9.62,330
2016-09-27,16.0,15.7,16.0,15.7,9.62,700
2016-09-28,16.5,15.8,16.3,16.5,10.11,80520
2016-09-29,15.8,15.8,15.8,15.8,9.68,3660
2016-09-30,15.8,15.8,15.8,15.8,9.68,1020
2016-10-03,15.8,15.8,15.8,15.8,9.68,1420
2016-10-04,15.8,15.8,15.8,15.8,9.68,0
2016-10-05,16.0,15.9,16.0,15.9,9.74,2010
2016-10-06,16.2,15.8,16.0,16.2,9.93,4540
2016-10-07,16.0,16.0,16.0,16.0,9.81,6000
2016-10-10,16.0,16.0,16.0,16.0,9.81,14000
2016-10-11,16.0,15.9,16.0,15.9,9.74,700
2016-10-12,15.9,15.9,15.9,15.9,9.74,0
2016-10-13,15.9,15.9,15.9,15.9,9.74,10
2016-10-14,15.9,15.9,15.9,15.9,9.74,0
2016-10-17,16.2,15.9,16.0,16.2,9.93,1540
2016-10-18,16.5,15.7,16.0,15.7,9.62,153480
2016-10-19,16.7,16.0,16.0,16.7,10.23,3480
2016-10-20,16.7,16.7,16.7,16.7,10.23,0
2016-10-21,17.0,16.7,16.7,16.7,10.23,278130
2016-10-24,17.0,16.1,16.1,16.1,9.87,170
2016-10-25,16.1,16.1,16.1,16.1,9.87,3420
2016-10-26,17.0,17.0,17.0,17.0,10.42,200
2016-10-27,17.0,17.0,17.0,17.0,10.42,10
2016-10-28,18.1,16.1,18.1,16.1,9.87,30
2016-10-31,17.0,17.0,16.1,17.0,10.42,10
2016-11-01,17.0,17.0,17.0,17.0,10.42,0
2016-11-02,16.9,16.0,16.0,16.9,10.36,50
2016-11-03,16.9,16.0,16.0,16.9,10.36,660
2016-11-04,16.0,16.0,16.0,16.0,9.81,10
2016-11-07,16.0,16.0,16.0,16.0,9.81,0
2016-11-08,15.8,15.8,15.8,15.8,9.68,10
2016-11-09,15.8,15.8,15.8,15.8,9.68,0
2016-11-10,16.25,16.25,16.25,16.25,9.96,10
2016-11-11,16.5,16.5,16.5,16.5,10.11,5440
2016-11-14,16.5,16.5,16.5,16.5,10.11,0
