Date,High,Low,Open,Close,adjust,Volume
2016-12-06,132.0,132.0,132.0,132.0,116.18,3010
2016-12-07,141.2,141.2,141.2,141.2,124.28,285330
2016-12-08,151.0,151.0,151.0,151.0,132.9,1000
2016-12-09,161.5,151.0,151.0,161.5,142.14,2889410
2016-12-12,172.8,172.8,172.8,172.8,152.09,35690
2016-12-13,184.8,184.8,184.8,184.8,162.65,96830
2016-12-14,197.7,197.7,197.7,197.7,174.0,364380
2016-12-15,211.5,210.0,211.5,211.5,186.15,380050
2016-12-16,226.3,200.0,226.3,225.0,198.03,387520
2016-12-19,225.0,212.0,212.0,212.0,186.59,168190
2016-12-20,211.5,197.2,211.0,197.2,173.56,549710
2016-12-21,203.5,185.0,197.2,200.8,176.73,291750
2016-12-22,209.9,203.0,209.9,203.0,178.67,52460
2016-12-23,203.0,197.1,203.0,200.0,176.03,54810
2016-12-26,198.0,190.0,198.0,197.0,176.03,219870
2016-12-27,199.8,193.1,197.0,198.0,176.92,69880
2016-12-28,199.8,197.1,199.8,198.9,177.73,28530
2016-12-29,198.0,193.0,198.0,197.0,176.03,98560
2016-12-30,198.0,195.5,198.0,197.7,176.65,123740
2017-01-03,197.7,195.9,197.0,197.0,176.03,563170
2017-01-04,198.6,195.0,197.0,197.0,176.03,87490
2017-01-05,198.0,196.0,197.0,197.1,176.12,27170
2017-01-06,209.9,197.2,197.9,206.0,184.07,712390
2017-01-09,208.0,205.0,206.0,205.0,183.18,31390
2017-01-10,206.9,201.5,206.9,204.5,182.73,44540
2017-01-11,210.0,202.0,204.0,210.0,187.64,228480
2017-01-12,213.0,210.0,213.0,210.6,188.18,55290
2017-01-13,212.2,210.6,210.7,211.8,189.25,37670
2017-01-16,211.0,208.0,211.0,209.0,186.75,33890
2017-01-17,217.4,208.1,208.5,216.5,193.45,143760
2017-01-18,225.0,215.3,215.3,223.8,199.98,103480
2017-01-19,225.0,220.0,225.0,223.8,199.98,40040
2017-01-20,225.1,223.0,223.0,223.8,199.98,77940
2017-01-23,223.8,220.5,223.8,222.0,198.37,44360
2017-01-24,224.0,220.0,220.0,222.0,198.37,137100
2017-01-25,223.8,220.0,222.0,223.8,199.98,18800
2017-02-02,223.9,219.0,223.9,219.0,195.69,18560
2017-02-03,222.9,216.4,217.4,217.0,193.9,51700
