Date,High,Low,Open,Close,adjust,Volume
2012-01-03,12.4,12.1,12.4,12.1,5.23,140770
2012-01-04,12.2,12.0,12.1,12.0,5.19,33150
2012-01-05,12.1,11.9,12.0,12.0,5.19,231330
2012-01-06,12.1,12.0,12.0,12.0,5.19,306530
2012-01-09,12.1,11.9,12.0,12.1,5.23,115950
2012-01-10,12.2,12.1,12.1,12.1,5.23,174260
2012-01-11,12.1,12.0,12.0,12.1,5.23,155910
2012-01-12,12.3,12.1,12.1,12.2,5.27,153440
2012-01-13,12.4,12.1,12.2,12.2,5.27,149530
2012-01-16,12.3,12.1,12.2,12.2,5.27,200710
2012-01-17,12.2,12.1,12.2,12.2,5.27,152790
2012-01-18,12.3,12.0,12.2,12.2,5.27,100770
2012-01-19,12.3,12.1,12.3,12.2,5.27,74570
2012-01-20,12.3,12.2,12.3,12.2,5.27,138270
2012-01-30,12.3,12.2,12.3,12.3,5.32,30380
2012-01-31,12.5,12.3,12.4,12.3,5.32,186110
2012-02-01,12.5,12.2,12.5,12.3,5.32,59670
2012-02-02,12.9,12.5,12.7,12.9,5.58,356910
2012-02-03,13.5,12.9,13.4,12.9,5.58,403060
2012-02-06,12.8,12.5,12.7,12.8,5.53,37230
2012-02-07,13.0,12.7,12.8,13.0,5.62,85010
2012-02-08,13.6,13.2,13.3,13.6,5.88,265660
2012-02-09,14.0,13.4,13.8,13.9,6.01,327560
2012-02-10,13.9,13.5,13.9,13.5,5.84,242050
2012-02-13,13.9,13.4,13.5,13.7,5.92,224730
2012-02-14,14.2,13.8,13.9,14.1,6.1,186490
2012-02-15,14.8,14.2,14.2,14.4,6.23,567090
2012-02-16,14.5,14.4,14.5,14.4,6.23,189740
2012-02-17,14.5,14.2,14.4,14.3,6.18,251050
2012-02-20,14.8,14.4,14.8,14.5,6.27,127180
2012-02-21,14.6,14.0,14.6,14.0,6.05,131930
2012-02-22,14.2,13.8,13.9,14.0,6.05,148390
2012-02-23,14.0,13.7,14.0,13.9,6.01,225510
2012-02-24,14.3,13.8,13.9,14.3,6.18,125490
