Date,High,Low,Open,Close,adjust,Volume
2017-05-16,48.0,48.0,48.0,48.0,22.11,421800
2017-05-17,51.3,48.0,51.3,51.0,23.5,1253131
2017-05-18,51.0,48.0,51.0,50.5,23.27,9120
2017-05-19,47.5,47.0,47.0,47.0,21.65,129870
2017-05-22,45.0,43.75,44.0,43.75,20.16,149560
2017-05-23,41.1,40.7,41.1,40.7,18.75,230970
2017-05-24,43.5,39.5,39.5,43.5,20.04,23270
2017-05-25,46.4,43.7,46.4,43.7,20.13,28490
2017-05-26,43.7,41.5,43.0,41.6,19.17,47220
2017-05-29,42.0,40.0,41.6,41.6,19.17,50040
2017-05-30,41.6,40.1,40.2,41.4,19.07,15360
2017-05-31,41.9,41.5,41.5,41.8,19.26,17350
2017-06-01,41.7,41.1,41.5,41.2,18.98,16340
2017-06-02,42.9,41.1,42.9,41.2,18.98,13830
2017-06-05,41.3,40.0,41.1,41.0,18.89,7770
2017-06-06,40.7,40.0,40.2,40.7,18.75,35700
2017-06-07,40.8,40.1,40.8,40.8,18.8,24920
2017-06-08,40.5,40.1,40.1,40.1,18.47,7550
2017-06-09,41.0,40.0,41.0,40.4,18.61,6330
2017-06-12,40.4,40.0,40.4,40.0,18.43,72410
2017-06-13,40.9,40.0,40.9,40.5,18.66,27010
2017-06-14,43.0,40.0,40.0,42.1,19.4,33130
2017-06-15,42.9,41.8,42.9,42.7,19.67,30530
2017-06-16,44.0,42.3,42.5,43.3,19.95,31930
2017-06-19,44.5,43.3,43.3,44.5,20.5,121414
2017-06-20,46.5,45.0,45.0,45.9,21.15,15370
2017-06-21,46.0,44.8,46.0,44.8,20.64,14860
2017-06-22,45.5,44.8,45.5,45.0,20.73,34930
2017-06-23,46.0,44.25,45.0,44.4,20.46,36590
2017-06-26,45.3,44.3,44.3,45.0,20.73,33950
2017-06-27,45.3,44.5,44.6,44.9,20.69,30210
2017-06-28,45.0,44.0,44.4,44.9,20.69,43400
2017-06-29,45.1,43.1,43.1,43.9,20.23,23440
2017-06-30,44.1,43.6,44.1,44.0,20.27,30990
2017-07-03,45.8,44.2,45.8,45.0,20.73,154760
2017-07-04,44.9,43.5,44.5,44.5,21.45,30310
2017-07-05,45.0,43.1,45.0,43.9,21.17,30120
2017-07-06,44.5,43.9,43.9,44.5,21.45,31140
2017-07-07,44.6,44.0,44.0,44.6,21.5,1110
2017-07-10,44.5,43.5,44.4,43.6,21.02,28590
2017-07-11,43.8,43.1,43.8,43.4,20.92,20470
2017-07-12,43.6,43.0,43.4,43.2,20.83,26490
2017-07-13,43.3,41.5,43.2,42.95,20.71,20620
2017-07-14,43.5,41.8,43.5,42.95,20.71,19180
2017-07-17,42.95,42.5,42.9,42.95,20.71,274010
2017-07-18,42.95,41.9,42.95,42.7,20.59,22010
2017-07-19,43.0,40.0,42.7,42.45,20.47,20050
2017-07-20,42.45,39.8,42.45,41.5,20.01,21140
2017-07-21,43.0,40.6,41.5,43.0,20.73,26940
2017-07-24,42.8,41.0,42.8,41.35,19.94,19990
2017-07-25,42.5,41.7,42.5,42.0,20.25,25250
2017-07-26,42.7,41.3,42.0,42.0,20.25,31030
2017-07-27,42.0,41.5,41.5,41.5,20.01,29650
2017-07-28,42.2,41.5,41.5,42.2,20.35,33950
2017-07-31,42.4,41.55,42.1,42.2,20.35,19950
2017-08-01,42.5,42.0,42.4,42.0,20.25,48950
2017-08-02,42.2,41.8,42.0,42.0,20.25,55060
2017-08-03,42.0,41.9,42.0,41.9,20.2,21600
2017-08-04,42.2,41.6,42.2,41.8,20.15,98450
2017-08-07,41.8,39.1,41.75,39.1,18.85,41840
2017-08-08,41.5,40.5,40.5,40.9,19.72,19250
2017-08-09,40.85,40.0,40.85,40.85,19.69,19920
2017-08-10,40.85,40.0,40.85,40.8,19.67,21340
2017-08-11,40.8,40.0,40.8,40.3,19.43,25560
2017-08-14,41.9,40.3,41.0,41.0,19.77,25620
