Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.5,8.4,8.4,8.5,4.04,3560
2012-01-04,8.9,8.5,8.5,8.9,4.23,2000
2012-01-05,9.0,8.6,8.9,9.0,4.28,1380
2012-01-06,9.0,8.8,8.8,8.9,4.23,16860
2012-01-09,9.1,8.7,9.0,9.1,4.33,23030
2012-01-10,9.5,9.2,9.2,9.5,4.52,4390
2012-01-11,9.9,9.1,9.8,9.1,4.33,27330
2012-01-12,9.2,9.1,9.1,9.1,4.33,45050
2012-01-13,9.2,9.1,9.1,9.2,4.37,5010
2012-01-16,9.3,9.0,9.3,9.1,4.33,5400
2012-01-17,9.1,8.9,8.9,9.1,4.33,23680
2012-01-18,9.5,9.1,9.1,9.5,4.52,8880
2012-01-19,9.5,9.2,9.5,9.3,4.42,14520
2012-01-20,9.7,9.4,9.5,9.7,4.61,23240
2012-01-30,10.1,9.5,9.6,10.1,4.8,2620
2012-01-31,10.4,10.0,10.0,10.1,4.8,13390
2012-02-01,10.2,10.0,10.0,10.2,4.85,17320
2012-02-02,10.5,10.2,10.2,10.5,4.99,6120
2012-02-03,11.0,10.1,10.7,10.1,4.8,10960
2012-02-06,10.1,9.8,9.8,10.1,4.8,1470
2012-02-07,10.1,9.8,9.8,9.8,4.66,5410
2012-02-08,10.2,9.8,9.9,10.2,4.85,17360
2012-02-09,10.5,10.1,10.4,10.4,4.94,28200
2012-02-10,10.4,9.9,10.4,9.9,4.71,47040
2012-02-13,9.7,9.6,9.7,9.6,4.56,1590
2012-02-14,10.0,9.4,9.4,10.0,4.75,26440
2012-02-15,10.5,10.3,10.5,10.3,4.9,33790
2012-02-16,10.8,10.4,10.4,10.8,5.13,16710
2012-02-17,11.3,10.6,11.2,11.2,5.32,470
2012-02-20,11.7,11.2,11.4,11.7,5.56,24390
2012-02-21,12.0,11.9,12.0,11.9,5.66,300
2012-02-22,12.0,11.4,11.9,11.9,5.66,5710
2012-02-23,12.4,11.4,12.2,12.4,5.9,96100
2012-02-24,13.0,13.0,13.0,13.0,6.18,17930
2012-02-27,13.6,13.0,13.6,13.6,6.47,41740
2012-02-28,14.2,14.0,14.2,14.2,6.75,89860
2012-02-29,14.9,14.9,14.9,14.9,7.08,269720
2012-03-01,15.6,15.6,15.6,15.6,7.42,47020
2012-03-02,16.3,16.3,16.3,16.3,7.75,18260
2012-03-05,17.1,17.1,17.1,17.1,8.13,490
2012-03-06,17.9,17.9,17.9,17.9,8.51,50920
2012-03-07,18.7,18.7,18.7,18.7,8.89,66900
2012-03-08,19.6,19.6,19.6,19.6,9.32,69430
2012-03-09,20.5,18.7,20.5,19.5,9.27,197830
2012-03-12,18.7,18.6,18.6,18.6,8.84,31750
2012-03-13,17.7,17.7,17.7,17.7,8.42,24260
2012-03-14,16.9,16.9,16.9,16.9,8.03,7390
2012-03-15,17.0,16.1,16.1,16.9,8.03,56890
2012-03-16,17.6,16.2,17.6,16.2,7.7,7110
2012-03-19,16.5,15.8,15.8,16.5,7.84,18500
2012-03-20,17.0,16.4,16.5,17.0,8.08,2790
2012-03-21,17.8,17.0,17.5,17.8,8.46,17560
2012-03-22,17.6,17.0,17.0,17.6,8.37,38120
2012-03-23,18.4,17.1,18.4,17.6,8.37,18180
