Date,High,Low,Open,Close,adjust,Volume
2017-07-12,72.8,72.8,72.8,72.8,30.99,200
2017-07-13,83.7,83.7,83.7,83.7,35.63,2507320
2017-07-14,96.2,96.2,96.2,96.2,40.95,4470
2017-07-17,110.6,100.0,110.6,110.6,47.08,134340
2017-07-18,110.4,105.0,110.0,106.5,45.33,60190
2017-07-19,106.5,96.0,106.5,99.0,42.14,37740
2017-07-20,100.0,91.1,100.0,92.0,39.16,27978
2017-07-21,93.0,89.0,93.0,89.0,37.88,38810
2017-07-24,90.0,88.5,89.0,88.5,37.67,17320
2017-07-25,87.2,78.0,86.0,80.0,34.05,60040
2017-07-26,90.0,81.0,81.0,89.5,38.1,32800
2017-07-27,90.0,86.2,86.2,87.0,37.03,18022
2017-07-28,87.6,85.5,87.6,85.5,36.39,19000
2017-07-31,90.0,86.2,90.0,86.2,36.69,54530
2017-08-01,88.6,86.3,87.0,86.8,36.95,36640
2017-08-02,88.5,85.1,85.1,88.4,37.63,18500
2017-08-03,90.0,87.6,88.0,89.9,38.27,25090
2017-08-04,90.5,89.9,90.0,90.1,38.35,48960
2017-08-07,90.8,90.2,90.2,90.6,38.56,27600
2017-08-08,96.0,90.6,90.6,91.5,38.95,115266
2017-08-09,95.0,93.0,93.0,94.6,40.27,27910
2017-08-10,95.5,94.0,95.0,94.5,40.22,30410
2017-08-11,95.0,91.6,95.0,91.7,39.03,16900
2017-08-14,91.6,90.0,91.6,90.0,38.31,9410
2017-08-15,90.0,89.0,90.0,89.0,37.88,15060
2017-08-16,91.0,90.3,91.0,90.3,38.44,17600
2017-08-17,90.7,90.0,90.6,90.3,38.44,38000
2017-08-18,90.4,89.8,90.0,90.3,38.44,8900
2017-08-21,90.1,89.4,90.0,89.6,38.14,21600
2017-08-22,90.3,89.7,89.7,90.1,38.35,3200
2017-08-23,91.5,89.9,89.9,90.0,38.31,16810
2017-08-24,90.5,90.1,90.2,90.3,38.44,17200
2017-08-25,91.5,90.5,91.5,91.2,38.82,30240
2017-08-28,92.0,90.9,92.0,91.1,38.78,27500
2017-08-29,91.0,90.2,91.0,90.5,38.52,32020
2017-08-30,90.6,89.8,90.6,89.8,38.22,18280
2017-08-31,90.1,89.9,90.1,90.0,38.31,19910
2017-09-01,89.5,88.7,89.5,88.9,37.84,6400
2017-09-05,90.0,89.8,90.0,89.9,38.27,4000
2017-09-07,89.5,89.3,89.5,89.5,38.1,3790
2017-09-08,89.2,89.0,89.2,89.0,37.88,9370
2017-09-12,90.0,89.8,89.8,89.9,38.27,11500
2017-09-13,91.0,90.0,90.9,90.3,38.44,14270
2017-09-14,90.5,89.0,90.5,90.0,38.31,16100
2017-09-15,90.5,88.0,89.0,90.2,38.39,28630
2017-09-18,91.2,90.3,91.2,91.0,38.73,43500
2017-09-19,90.7,90.5,90.5,90.6,38.56,11700
2017-09-20,90.7,90.5,90.5,90.7,38.61,31160
2017-09-21,90.7,90.5,90.7,90.6,38.56,20520
2017-09-22,90.6,90.6,90.6,90.6,38.56,15670
2017-09-25,92.1,90.6,90.6,91.0,38.73,59930
2017-09-26,91.1,90.5,91.1,90.5,38.52,50000
2017-09-27,90.6,90.5,90.6,90.6,38.56,740
2017-09-28,90.8,90.5,90.5,90.8,38.65,80570
2017-09-29,91.0,90.5,90.6,91.0,38.73,22601
2017-10-02,100.0,90.8,90.8,93.5,39.8,44460
2017-10-03,93.5,93.0,93.4,93.4,39.76,11850
2017-10-04,93.1,92.9,93.1,92.9,39.54,10140
2017-10-05,92.6,91.3,92.6,91.3,38.86,11070
2017-10-06,91.5,90.3,91.3,91.1,38.78,7740
2017-10-09,90.8,90.3,90.6,90.8,38.65,2020
2017-10-10,92.0,90.3,90.3,92.0,39.16,6950
2017-10-11,93.5,91.5,91.5,93.5,39.8,217529
2017-10-12,99.0,93.5,93.5,97.0,41.29,583581
2017-10-13,98.0,94.0,98.0,97.5,41.5,45810
2017-10-16,103.0,97.4,97.4,101.5,43.2,71160
2017-10-17,106.0,101.5,104.0,101.5,43.2,27670
2017-10-18,102.0,100.0,100.0,100.0,42.57,28611
2017-10-19,102.1,100.0,100.0,101.5,43.2,21330
2017-10-20,102.9,101.5,101.5,101.6,43.25,69440
2017-10-23,104.0,102.0,102.0,103.0,43.84,34250
2017-10-24,103.6,102.7,103.5,103.2,43.93,10220
2017-10-25,104.5,103.0,103.5,104.3,44.4,21580
2017-10-26,107.0,104.5,104.5,105.4,44.86,47890
2017-10-27,106.5,105.5,106.0,106.5,45.33,32210
2017-10-30,106.9,106.2,106.3,106.3,45.25,33600
2017-10-31,106.6,106.3,106.5,106.5,45.33,25040
2017-11-01,106.6,106.4,106.4,106.5,45.33,24160
2017-11-02,106.7,104.2,106.5,106.3,45.25,18890
2017-11-03,107.0,105.3,107.0,106.2,45.2,25500
2017-11-06,111.5,107.0,107.0,110.0,46.82,39920
2017-11-07,113.0,107.0,112.0,112.7,47.97,51469
2017-11-08,120.0,112.0,112.0,119.0,50.65,68740
2017-11-09,122.5,117.0,120.0,117.0,49.8,41859
2017-11-10,120.0,119.0,119.4,119.9,51.04,51540
2017-11-13,123.0,119.9,121.0,123.0,52.36,28760
2017-11-14,122.5,121.4,121.4,122.0,51.93,18540
2017-11-15,122.0,121.5,122.0,121.5,51.72,1302310
2017-11-16,121.9,121.0,121.8,121.7,51.8,18818
2017-11-17,121.6,119.0,121.6,121.6,51.76,56006
2017-11-20,122.0,120.0,120.0,122.0,51.93,2155956
2017-11-21,122.9,120.1,120.1,122.0,51.93,30130
2017-11-22,122.0,120.2,120.2,121.9,51.89,27150
2017-11-23,122.2,121.0,122.0,121.3,51.63,31360
2017-11-24,121.0,120.0,121.0,120.0,51.08,23530
2017-11-27,121.0,119.9,119.9,120.0,51.08,1267850
2017-11-28,120.3,120.0,120.3,120.0,51.08,402710
2017-11-29,121.0,118.5,120.9,120.0,51.08,10970
2017-11-30,120.0,118.0,120.0,119.0,50.65,1450
2017-12-01,119.0,113.0,118.0,115.0,48.95,41690
2017-12-04,118.5,116.0,116.0,116.0,49.38,17060
2017-12-05,117.0,115.0,116.5,117.0,49.8,459920
2017-12-06,116.1,115.0,116.0,116.1,49.42,49330
2017-12-07,116.0,115.6,116.0,116.0,49.38,44610
2017-12-08,116.0,115.4,116.0,115.4,49.12,1700
2017-12-11,117.5,115.4,115.4,116.0,49.38,3251
2017-12-12,116.2,115.0,116.2,115.0,48.95,44750
2017-12-13,116.0,115.0,115.0,115.0,48.95,52748
2017-12-14,115.5,115.0,115.5,115.1,48.99,43033
2017-12-15,115.6,115.0,115.6,115.0,48.95,45220
2017-12-18,116.0,114.8,116.0,114.8,48.87,52918
2017-12-19,115.0,114.5,115.0,114.5,48.74,13113
2017-12-20,114.9,113.0,114.9,113.6,48.35,310000
2017-12-21,114.0,113.0,114.0,113.5,48.31,2690
2017-12-22,114.9,113.0,113.3,114.9,48.91,8800
2017-12-25,114.2,113.9,113.9,114.2,48.61,33443
2017-12-26,121.3,116.0,116.0,119.0,50.65,93586
2017-12-27,122.1,119.0,122.1,119.0,50.65,395640
2017-12-28,121.0,119.0,119.5,121.0,51.5,98933
2017-12-29,123.0,121.0,121.0,122.0,51.93,36460
2018-01-02,123.0,120.9,121.5,121.0,51.5,26420
2018-01-03,122.0,120.8,120.8,122.0,51.93,74918
2018-01-04,122.4,120.9,121.0,122.4,53.42,219520
2018-01-05,123.0,121.7,123.0,122.8,53.59,516751
2018-01-08,122.7,122.1,122.6,122.5,53.46,24459
2018-01-09,125.0,122.0,122.5,125.0,54.55,39216
2018-01-10,127.0,124.3,124.3,127.0,55.43,1521401
2018-01-11,127.0,126.5,127.0,126.5,55.21,1313610
2018-01-12,127.0,123.0,127.0,124.9,54.51,10359
2018-01-15,124.5,122.0,123.9,124.0,54.12,429968
2018-01-16,123.9,123.0,123.0,123.5,53.9,15920
2018-01-17,123.7,122.6,123.3,123.6,53.94,26020
2018-01-18,123.5,123.0,123.3,123.5,53.9,1864912
2018-01-19,125.5,123.9,123.9,124.9,54.51,33800
2018-01-22,125.5,124.8,124.8,125.1,54.6,19140
2018-01-23,126.5,125.2,125.2,126.5,55.21,11539
2018-01-24,135.0,126.5,126.5,133.4,58.22,39900
2018-01-25,135.0,133.0,133.0,135.0,58.92,21210
2018-01-26,138.5,134.0,134.0,138.0,60.23,27120
2018-01-29,156.5,138.5,138.5,155.0,67.65,108503
2018-01-30,156.4,152.0,152.0,155.0,67.65,33020
2018-01-31,164.0,155.0,155.0,162.0,70.7,442930
2018-02-01,162.0,150.0,162.0,150.5,65.68,26329
2018-02-02,154.5,150.0,150.0,153.9,67.17,26264
2018-02-05,154.0,148.0,153.0,148.0,64.59,20593
2018-02-06,144.0,127.6,127.6,144.0,62.85,70741
2018-02-07,153.6,142.5,142.5,150.0,65.47,7040
2018-02-08,147.3,145.5,147.0,147.0,64.16,14170
2018-02-09,146.0,142.0,146.0,146.0,63.72,6440
2018-02-12,152.0,147.2,149.0,152.0,66.34,48083
2018-02-13,155.0,150.0,150.0,154.9,67.6,7910
2018-02-21,156.5,154.0,154.9,156.5,68.3,14240
2018-02-22,158.0,156.0,156.0,158.0,68.96,12130
2018-02-23,161.0,159.0,161.0,160.3,69.96,19900
2018-02-26,160.5,157.1,160.4,157.2,68.61,16370
2018-02-27,159.4,154.1,159.4,158.9,69.35,8320
2018-02-28,159.5,158.0,158.0,159.5,69.61,17276
2018-03-01,159.0,157.0,157.0,159.0,69.39,300
2018-03-02,160.5,157.0,157.4,160.0,69.83,40910
2018-03-05,161.5,159.8,160.0,161.5,70.48,20310
2018-03-06,165.5,161.0,161.0,165.5,72.23,40570
2018-03-07,166.5,162.9,163.0,166.5,72.67,5458
2018-03-08,165.0,163.0,164.8,164.0,71.58,9970
2018-03-09,164.0,163.0,164.0,163.9,71.53,4400
2018-03-12,164.0,161.0,162.1,163.0,71.14,22495
2018-03-13,163.3,160.5,163.0,160.5,70.05,35970
2018-03-14,162.0,159.0,162.0,159.0,69.39,3574
2018-03-15,160.9,158.0,158.0,160.2,69.92,193490
2018-03-16,162.0,159.2,159.2,161.9,70.66,83464
2018-03-19,161.0,160.3,160.9,161.0,70.27,220787
2018-03-20,163.0,162.0,162.0,162.3,70.83,399140
2018-03-21,163.0,162.1,162.1,162.1,70.75,7816
2018-03-22,162.2,162.0,162.0,162.1,70.75,13780
2018-03-23,163.0,162.0,162.0,162.8,71.05,31254
2018-03-26,166.0,163.0,163.0,165.9,72.41,20440
2018-03-27,178.0,167.0,167.0,178.0,77.69,54075
2018-03-28,177.5,175.5,175.5,177.0,77.25,2720
2018-03-29,178.0,174.0,175.0,177.1,77.29,8060
2018-03-30,178.0,175.0,178.0,176.0,76.81,7937
2018-04-02,184.5,177.3,177.3,184.0,80.3,24527
2018-04-03,192.0,182.0,182.0,192.0,83.8,39500
2018-04-04,199.9,193.0,199.9,196.0,85.54,12420
2018-04-05,195.2,185.0,195.2,189.0,82.49,10808
2018-04-06,190.0,183.0,185.0,190.0,82.92,168990
2018-04-09,193.0,189.5,189.7,193.0,84.23,22130
2018-04-10,196.0,194.0,194.0,196.0,85.54,24746
2018-04-11,196.9,193.0,195.0,196.8,85.89,25270
2018-04-12,198.5,171.0,171.0,198.0,86.41,28770
2018-04-13,199.0,186.1,186.1,198.0,86.41,23031
2018-04-16,197.0,191.0,191.5,196.5,85.76,442930
2018-04-17,197.8,194.0,195.0,197.8,86.33,139285
