Date,High,Low,Open,Close,adjust,Volume
2012-01-03,25.3,25.3,25.3,25.3,8.74,20010
2012-01-04,25.3,25.3,25.3,25.3,8.74,0
2012-01-05,24.1,24.1,24.1,24.1,8.33,20
2012-01-06,24.1,24.1,24.1,24.1,8.33,0
2012-01-09,24.1,24.1,24.1,24.1,8.33,0
2012-01-10,25.0,25.0,25.0,25.0,8.64,280
2012-01-11,25.0,25.0,25.0,25.0,8.64,0
2012-01-12,25.0,25.0,25.0,25.0,8.64,0
2012-01-13,25.0,25.0,25.0,25.0,8.64,0
2012-01-16,26.2,23.8,25.0,23.8,8.23,20680
2012-01-17,22.9,22.8,22.8,22.8,7.88,650
2012-01-18,22.8,22.8,22.8,22.8,7.88,0
2012-01-19,21.9,21.9,21.9,21.9,7.57,30
2012-01-20,21.0,21.0,21.0,21.0,7.26,10
2012-01-30,22.0,20.0,20.0,20.1,6.95,1220
2012-01-31,19.6,19.6,19.6,19.6,6.77,60
2012-02-01,19.1,19.1,19.1,19.1,6.6,10
2012-02-02,18.9,18.7,18.7,18.9,6.53,1000
2012-02-03,18.7,18.7,18.7,18.7,6.46,20
2012-02-06,18.7,18.2,18.7,18.2,6.29,920
2012-02-07,19.1,18.1,18.2,19.1,6.6,30
2012-02-08,19.1,19.1,19.1,19.1,6.6,0
2012-02-09,20.0,18.3,18.3,20.0,6.91,20
2012-02-10,19.9,19.0,19.0,19.9,6.88,20
2012-02-13,20.0,19.9,20.0,19.9,6.88,310
2012-02-14,20.8,19.1,19.1,20.8,7.19,370
2012-02-15,19.8,19.8,19.8,19.8,6.84,10
2012-02-16,19.0,19.0,19.0,19.0,6.57,10
2012-02-17,19.9,19.9,19.9,19.9,6.88,400
2012-02-20,20.8,19.1,19.1,19.3,6.67,43544
2012-02-21,19.3,19.3,19.3,19.3,6.67,0
2012-02-22,20.2,18.7,18.7,20.2,6.98,20
2012-02-23,21.2,20.2,20.2,20.6,7.12,1120
2012-02-24,21.6,20.4,21.6,21.6,7.47,1470
2012-02-27,22.6,21.1,22.6,21.1,7.29,250
2012-02-28,22.1,20.8,22.1,20.9,7.22,720
2012-02-29,20.1,20.1,20.1,20.1,6.95,20
2012-03-01,21.1,20.2,21.1,20.2,6.98,1510
2012-03-02,20.2,20.1,20.1,20.1,6.95,70
2012-03-05,21.1,19.5,19.5,20.3,7.02,150
2012-03-06,21.3,20.4,21.3,21.0,7.26,1700
2012-03-07,22.0,20.6,22.0,20.6,7.12,100
2012-03-08,21.6,20.8,21.6,21.1,7.29,290
2012-03-09,22.1,21.0,22.1,21.2,7.33,550
2012-03-12,21.0,19.1,19.1,19.1,7.0,50
2012-03-13,20.0,18.6,18.6,19.1,7.0,50
2012-03-14,18.6,18.6,18.6,18.6,6.81,40
2012-03-15,19.5,17.9,19.2,19.5,7.14,2120
2012-03-16,20.4,18.8,18.8,19.0,6.96,80
2012-03-19,19.9,18.6,18.6,18.6,6.81,470
2012-03-20,18.6,18.6,18.6,18.6,6.81,0
2012-03-21,18.5,18.5,18.5,18.5,6.78,2320
2012-03-22,19.0,18.6,19.0,18.6,6.81,430
2012-03-23,18.8,18.8,18.8,18.8,6.89,210
2012-03-26,19.7,18.8,18.8,19.7,7.22,20
2012-03-27,20.6,19.0,19.0,19.0,6.96,130
2012-03-28,19.9,18.3,18.3,19.9,7.29,30
2012-03-29,19.0,19.0,19.0,19.0,6.96,20
2012-03-30,18.3,18.3,18.3,18.3,6.7,10
2012-04-03,19.2,17.6,17.6,19.2,7.03,40
2012-04-04,20.1,18.5,20.1,20.1,7.36,40
2012-04-05,20.1,20.1,20.1,20.1,7.36,0
2012-04-06,21.1,19.1,21.1,19.1,7.0,40
2012-04-09,20.0,18.4,18.4,20.0,7.33,120
2012-04-10,20.5,19.2,19.2,20.5,7.51,20
2012-04-11,21.5,21.5,21.5,21.5,7.88,10
2012-04-12,22.4,20.5,20.5,22.4,8.21,30
2012-04-13,22.4,21.3,21.3,22.4,8.21,130
2012-04-16,21.3,21.3,21.3,21.3,7.8,180
2012-04-17,21.2,20.3,20.3,21.2,7.77,1820
2012-04-18,21.0,20.2,20.2,20.3,7.44,1410
2012-04-19,21.3,21.0,21.3,21.0,7.69,20
2012-04-20,21.0,21.0,21.0,21.0,7.69,0
2012-04-23,20.5,20.3,20.5,20.3,7.44,50
2012-04-24,20.5,20.3,20.5,20.3,7.44,210
2012-04-25,20.3,20.0,20.0,20.3,7.44,1520
2012-04-26,20.3,20.3,20.3,20.3,7.44,3030
2012-04-27,20.3,20.3,20.3,20.3,7.44,0
2012-05-02,19.5,19.5,19.5,19.5,7.14,100
