Date,High,Low,Open,Close,adjust,Volume
2012-01-03,9.7,9.5,9.6,9.5,2.25,40990
2012-01-04,9.5,9.5,9.5,9.5,2.25,12500
2012-01-05,9.6,9.5,9.6,9.6,2.27,3110
2012-01-06,9.5,9.5,9.5,9.5,2.25,20
2012-01-09,9.6,9.5,9.5,9.6,2.27,9180
2012-01-10,9.7,9.3,9.3,9.7,2.3,1010
2012-01-11,9.8,9.7,9.7,9.8,2.32,4820
2012-01-12,9.8,9.6,9.8,9.6,2.27,15410
2012-01-13,10.0,9.9,10.0,9.9,2.35,20
2012-01-16,10.0,10.0,10.0,10.0,2.37,10
2012-01-17,10.0,9.9,10.0,10.0,2.37,11050
2012-01-18,10.0,9.9,9.9,10.0,2.37,9120
2012-01-19,10.1,10.0,10.0,10.1,2.39,1100
2012-01-20,10.4,9.8,10.1,10.3,2.44,6730
2012-01-30,10.3,10.3,10.3,10.3,2.44,0
2012-01-31,10.4,10.4,10.4,10.4,2.46,1450
2012-02-01,10.7,9.9,9.9,10.5,2.49,130
2012-02-02,10.8,10.1,10.8,10.4,2.46,7520
2012-02-03,10.2,10.0,10.1,10.2,2.42,5050
2012-02-06,10.3,10.3,10.3,10.3,2.44,10
2012-02-07,10.3,10.1,10.1,10.3,2.44,610
2012-02-08,10.3,10.1,10.3,10.3,2.44,1440
2012-02-09,10.3,10.3,10.3,10.3,2.44,100
2012-02-10,10.3,10.1,10.3,10.2,2.42,4600
2012-02-13,10.3,10.0,10.3,10.1,2.39,18300
2012-02-14,10.6,10.0,10.0,10.6,2.51,58270
2012-02-15,10.6,10.5,10.6,10.5,2.49,12200
2012-02-16,10.7,10.5,10.5,10.7,2.54,144160
2012-02-17,10.6,10.6,10.6,10.6,2.51,4880
2012-02-20,11.0,10.6,10.6,11.0,2.61,40970
2012-02-21,11.4,10.9,10.9,11.3,2.68,8090
2012-02-22,11.3,11.3,11.3,11.3,2.68,30
2012-02-23,11.0,10.9,11.0,10.9,2.58,1530
2012-02-24,11.1,11.0,11.0,11.1,2.63,8860
2012-02-27,11.2,10.6,11.1,11.1,2.63,7570
2012-02-28,11.1,10.8,11.1,10.9,2.58,15840
2012-02-29,10.9,10.6,10.9,10.6,2.51,23560
2012-03-01,10.7,10.6,10.6,10.7,2.54,6000
2012-03-02,11.2,10.7,11.2,11.1,2.63,5310
2012-03-05,11.6,11.5,11.5,11.6,2.75,30770
2012-03-06,12.0,11.3,11.7,11.3,2.68,13370
2012-03-07,11.6,10.9,10.9,11.6,2.75,6890
2012-03-08,11.5,11.2,11.3,11.5,2.73,2260
2012-03-09,11.5,11.0,11.1,11.0,2.61,1390
2012-03-12,11.2,11.2,11.2,11.2,2.65,10
2012-03-13,11.2,10.8,11.0,11.0,2.61,27330
2012-03-14,11.0,10.5,11.0,10.5,2.49,28140
2012-03-15,11.0,10.9,11.0,11.0,2.61,7670
2012-03-16,11.2,11.0,11.2,11.0,2.61,2010
2012-03-19,11.1,10.6,11.0,10.8,2.56,6490
2012-03-20,11.1,10.8,11.1,11.0,2.61,770
2012-03-21,11.1,10.5,11.0,11.0,2.61,38410
2012-03-22,11.2,11.0,11.0,11.2,2.65,90
2012-03-23,11.2,11.0,11.0,11.2,2.65,10340
2012-03-26,11.3,11.0,11.2,11.2,2.65,28170
2012-03-27,11.2,11.0,11.0,11.1,2.63,14490
2012-03-28,11.1,10.9,11.0,11.0,2.61,5960
2012-03-29,11.0,10.9,11.0,10.9,2.58,4200
2012-03-30,11.0,10.9,10.9,11.0,2.61,2610
2012-04-03,11.4,11.3,11.4,11.3,2.68,28500
2012-04-04,11.2,10.8,11.2,10.8,2.56,52860
2012-04-05,10.8,10.8,10.8,10.8,2.56,33400
2012-04-06,11.3,11.3,11.3,11.3,2.68,20
2012-04-09,11.4,10.9,11.3,11.1,2.63,4640
2012-04-10,11.1,10.7,11.1,11.1,2.63,32820
2012-04-11,11.2,10.9,11.2,10.9,2.58,15040
2012-04-12,11.3,10.9,11.0,11.0,2.61,56030
2012-04-13,11.2,11.0,11.0,11.1,2.63,21500
2012-04-16,11.5,11.1,11.1,11.5,2.73,39760
2012-04-17,12.0,11.7,11.9,12.0,2.84,164990
2012-04-18,12.6,12.0,12.0,12.6,2.99,38150
2012-04-19,12.9,12.0,12.9,12.0,2.84,15110
2012-04-20,12.4,11.7,12.0,12.4,2.94,8980
2012-04-23,12.3,12.0,12.1,12.0,2.84,40100
2012-04-24,12.2,12.0,12.2,12.2,2.89,11330
2012-04-25,12.5,12.1,12.1,12.4,2.94,19640
2012-04-26,12.5,12.2,12.5,12.5,2.96,27520
2012-04-27,12.6,12.4,12.5,12.6,2.99,12370
2012-05-02,12.7,12.5,12.6,12.7,3.01,48950
2012-05-03,12.8,12.5,12.8,12.6,2.99,33360
2012-05-04,13.2,12.8,12.8,13.2,3.13,117250
2012-05-07,13.8,13.5,13.5,13.8,3.27,35230
2012-05-08,14.2,13.8,13.9,14.1,3.34,45170
2012-05-09,14.2,13.7,14.2,13.8,3.27,18610
2012-05-10,13.8,13.5,13.6,13.5,3.2,49500
2012-05-11,14.0,13.3,13.4,13.5,3.2,52140
2012-05-14,13.5,13.0,13.5,13.0,3.08,22070
2012-05-15,13.0,12.4,13.0,12.4,2.94,38060
2012-05-16,12.9,12.2,12.9,12.7,3.01,8390
2012-05-17,12.9,12.2,12.7,12.7,3.01,2150
2012-05-18,12.9,12.3,12.9,12.6,2.99,8860
2012-05-21,13.2,12.6,12.6,13.2,3.13,8820
2012-05-22,13.5,13.0,13.2,13.3,3.15,1840
2012-05-23,12.7,12.7,12.7,12.7,3.01,4650
2012-05-24,13.0,12.2,13.0,12.5,2.96,12510
2012-05-25,13.0,12.6,12.6,13.0,3.08,5120
2012-05-28,13.2,12.6,13.2,12.7,3.01,7440
2012-05-29,12.8,12.5,12.5,12.8,3.03,7110
2012-05-30,13.1,12.5,13.1,12.8,3.03,5560
2012-05-31,12.8,12.3,12.6,12.8,3.03,22050
2012-06-01,12.8,12.4,12.5,12.8,3.03,19560
2012-06-04,12.6,12.3,12.5,12.5,2.96,18600
2012-06-05,12.8,12.6,12.6,12.8,3.03,910
2012-06-06,12.8,12.4,12.7,12.8,3.03,2230
2012-06-07,13.0,12.9,12.9,13.0,3.08,14490
2012-06-08,13.1,12.8,13.1,12.8,3.03,3270
2012-06-11,13.1,12.9,12.9,13.0,3.08,1570
2012-06-12,13.1,13.1,13.1,13.1,3.1,10
2012-06-13,13.0,12.9,13.0,12.9,3.06,1430
2012-06-14,13.2,12.8,12.9,12.8,3.03,2820
2012-06-15,13.0,12.8,13.0,12.8,3.03,530
2012-06-18,13.3,13.0,13.3,13.0,3.08,20
2012-06-19,13.1,12.9,13.1,13.0,3.08,2520
2012-06-20,13.0,12.5,13.0,12.9,3.06,13270
2012-06-21,12.9,12.9,12.9,12.9,3.06,5000
2012-06-22,13.0,12.7,13.0,12.9,3.06,5170
2012-06-25,12.7,12.6,12.7,12.7,3.01,6390
2012-06-26,12.9,12.6,12.6,12.9,3.06,3250
2012-06-27,12.9,12.9,12.9,12.9,3.06,30
2012-06-28,12.7,12.5,12.6,12.7,3.01,5250
2012-06-29,12.9,12.5,12.9,12.9,3.06,900
2012-07-02,13.0,12.7,12.9,12.7,3.01,4000
2012-07-03,12.9,12.5,12.8,12.6,2.99,15440
2012-07-04,12.6,12.6,12.6,12.6,2.99,6300
2012-07-05,12.7,12.5,12.7,12.6,2.99,4600
2012-07-06,12.8,12.6,12.6,12.8,3.03,5290
2012-07-09,12.9,12.6,12.9,12.6,2.99,7610
2012-07-10,12.5,12.5,12.5,12.5,2.96,5090
2012-07-11,12.5,12.5,12.5,12.5,2.96,1200
2012-07-12,12.8,12.6,12.8,12.6,2.99,810
2012-07-13,13.2,12.8,12.8,13.2,3.13,11000
2012-07-16,13.0,12.8,13.0,12.8,3.03,3100
2012-07-17,13.1,12.9,13.1,13.1,3.1,11510
2012-07-18,13.2,12.9,13.1,13.2,3.13,6880
2012-07-19,13.2,13.2,13.2,13.2,3.13,1030
2012-07-20,13.3,13.1,13.3,13.2,3.13,420
2012-07-23,13.1,13.0,13.0,13.0,3.08,4480
2012-07-24,13.3,12.9,13.0,12.9,3.06,1550
2012-07-25,13.4,13.1,13.1,13.4,3.18,3600
2012-07-26,13.4,12.8,13.4,13.4,3.18,17600
2012-07-27,13.7,13.5,13.7,13.5,3.2,70
2012-07-30,13.5,13.2,13.5,13.2,3.13,14240
2012-07-31,13.3,13.3,13.3,13.3,3.15,6000
2012-08-01,13.3,13.1,13.2,13.3,3.15,850
2012-08-02,13.5,13.3,13.3,13.3,3.15,18690
2012-08-03,13.3,13.2,13.3,13.2,3.13,8640
2012-08-06,13.3,13.0,13.3,13.3,3.15,7310
2012-08-07,13.4,13.3,13.3,13.4,3.18,4780
2012-08-08,13.5,13.3,13.3,13.5,3.2,2000
2012-08-09,13.6,13.5,13.5,13.5,3.2,8380
2012-08-10,13.6,13.5,13.6,13.6,3.22,14110
2012-08-13,13.6,13.5,13.5,13.6,3.22,6160
2012-08-14,13.7,13.6,13.6,13.7,3.25,6160
2012-08-15,13.8,13.8,13.8,13.8,3.27,1950
2012-08-16,13.9,13.7,13.8,13.8,3.27,11560
2012-08-17,14.0,13.8,13.8,14.0,3.32,10450
2012-08-20,14.1,13.9,14.0,14.0,3.32,36460
2012-08-21,13.9,13.3,13.9,13.4,3.18,17910
2012-08-22,13.4,13.4,13.4,13.4,3.18,5130
2012-08-23,13.3,12.8,13.3,12.9,3.06,28720
2012-08-24,13.5,12.9,12.9,13.5,3.2,4710
2012-08-27,13.5,13.0,13.5,13.0,3.08,14610
2012-08-28,13.2,12.8,13.0,13.2,3.13,5500
2012-08-29,13.5,13.4,13.5,13.5,3.2,2210
2012-08-30,13.6,13.4,13.5,13.6,3.22,1800
2012-08-31,13.6,13.2,13.6,13.2,3.13,7000
2012-09-04,13.3,13.2,13.3,13.3,3.15,5800
2012-09-05,13.3,13.2,13.2,13.3,3.15,390
2012-09-06,13.4,13.3,13.3,13.3,3.15,6100
2012-09-07,13.4,13.3,13.4,13.4,3.18,2110
2012-09-10,13.4,13.1,13.2,13.2,3.13,5500
2012-09-11,13.3,13.1,13.1,13.3,3.15,8540
2012-09-12,13.4,13.1,13.3,13.3,3.15,2810
2012-09-13,13.3,13.2,13.2,13.3,3.15,300
2012-09-14,13.5,13.0,13.5,13.4,3.18,3910
2012-09-17,13.5,13.3,13.3,13.5,3.2,2530
2012-09-18,13.5,13.3,13.5,13.3,3.15,10370
2012-09-19,13.4,13.2,13.2,13.4,3.18,26400
2012-09-20,13.3,13.2,13.3,13.3,3.15,7900
2012-09-21,13.4,13.2,13.2,13.4,3.18,400
2012-09-24,13.4,13.2,13.3,13.3,3.15,2620
2012-09-25,13.3,13.2,13.2,13.2,3.13,2730
2012-09-26,13.4,13.2,13.3,13.4,3.18,76960
2012-09-27,13.5,13.3,13.4,13.4,3.18,2490
2012-09-28,13.5,13.3,13.5,13.5,3.2,4890
2012-10-01,13.5,13.5,13.5,13.5,3.2,23560
2012-10-02,13.6,13.5,13.5,13.6,3.22,1270
2012-10-03,13.6,13.5,13.5,13.6,3.22,1200
2012-10-04,13.6,13.6,13.6,13.6,3.22,3800
2012-10-05,13.7,13.5,13.6,13.7,3.25,15170
2012-10-08,14.0,13.5,13.5,14.0,3.32,1110
2012-10-09,14.0,14.0,14.0,14.0,3.32,2310
2012-10-10,14.1,13.6,14.0,14.1,3.34,2570
2012-10-11,14.0,13.6,13.8,14.0,3.32,13970
2012-10-12,13.8,13.6,13.7,13.8,3.27,9010
2012-10-15,13.8,13.6,13.8,13.8,3.27,3710
2012-10-16,14.0,13.6,13.9,14.0,3.32,11360
2012-10-17,14.0,13.6,14.0,13.9,3.29,7100
2012-10-18,14.0,13.7,13.7,13.9,3.29,6050
2012-10-19,14.0,13.9,14.0,13.9,3.29,30010
2012-10-22,13.9,13.7,13.9,13.9,3.29,2860
2012-10-23,14.0,13.9,14.0,14.0,3.32,9360
2012-10-24,14.5,13.9,14.4,14.5,3.44,102390
2012-10-25,14.4,14.0,14.4,14.0,3.32,57760
2012-10-26,14.3,13.9,13.9,14.2,3.36,213360
2012-10-29,14.2,13.9,14.0,14.1,3.34,100010
2012-10-30,14.2,13.7,14.0,14.2,3.36,73060
2012-10-31,14.2,14.0,14.0,14.2,3.36,180500
2012-11-01,14.5,13.9,14.5,13.9,3.29,118440
2012-11-02,13.9,13.8,13.9,13.8,3.27,72730
2012-11-05,13.8,13.8,13.8,13.8,3.27,23200
2012-11-06,13.9,13.8,13.8,13.8,3.27,39730
2012-11-07,14.0,13.7,13.8,13.8,3.27,71770
2012-11-08,14.1,13.8,13.8,14.1,3.34,50110
2012-11-09,14.0,13.8,13.9,13.8,3.27,11190
2012-11-12,14.2,14.0,14.1,14.2,3.36,56000
2012-11-13,14.3,14.1,14.3,14.2,3.36,85900
2012-11-14,14.1,13.8,14.0,13.9,3.29,209930
2012-11-15,14.0,13.9,14.0,14.0,3.32,5430
2012-11-16,14.0,13.9,14.0,13.9,3.29,2300
2012-11-19,13.9,13.8,13.9,13.8,3.27,20000
2012-11-20,13.8,13.8,13.8,13.8,3.27,18900
2012-11-21,13.8,13.8,13.8,13.8,3.27,10000
2012-11-22,14.1,13.7,13.8,14.1,3.34,26780
2012-11-23,13.8,13.8,13.8,13.8,3.27,1240
2012-11-26,13.8,13.8,13.8,13.8,3.27,2210
2012-11-27,13.8,13.7,13.8,13.8,3.27,24640
2012-11-28,13.9,13.6,13.7,13.8,3.27,20690
2012-11-29,14.1,14.1,14.1,14.1,3.34,120
2012-11-30,13.9,13.8,13.8,13.9,3.29,21550
2012-12-03,14.0,13.8,13.8,14.0,3.32,210
2012-12-04,14.1,14.1,14.1,14.1,3.34,500
2012-12-05,14.0,13.8,14.0,13.9,3.29,24010
2012-12-06,14.0,13.8,14.0,13.8,3.27,7630
2012-12-07,13.9,13.8,13.8,13.9,3.29,20200
2012-12-10,14.0,13.7,13.7,14.0,3.32,280
2012-12-11,13.8,13.8,13.8,13.8,3.27,20000
2012-12-12,14.2,14.0,14.0,14.2,3.36,3170
2012-12-13,14.2,14.2,14.2,14.2,3.36,1330
2012-12-14,13.9,13.8,13.8,13.8,3.27,26020
2012-12-17,13.9,13.7,13.8,13.8,3.27,38700
2012-12-18,13.8,13.8,13.8,13.8,3.27,26680
2012-12-19,14.3,13.7,13.7,14.3,3.39,2230
2012-12-20,14.1,13.8,13.8,14.1,3.34,60010
2012-12-21,13.8,13.8,13.8,13.8,3.27,12900
2012-12-24,14.2,13.8,13.8,14.2,3.36,2110
2012-12-25,14.2,13.8,13.8,14.2,3.36,25490
2012-12-26,14.1,13.8,13.8,14.1,3.34,60080
2012-12-27,14.2,13.8,13.8,14.2,3.36,60020
2012-12-28,14.4,13.9,14.2,14.0,3.32,22460
2013-01-02,14.3,14.2,14.2,14.3,3.39,13860
2013-01-03,14.5,14.0,14.4,14.1,3.34,18170
2013-01-04,14.3,14.1,14.3,14.3,3.39,1030
2013-01-07,14.5,14.1,14.3,14.4,3.41,19800
2013-01-08,15.1,14.3,14.3,15.1,3.58,17540
2013-01-09,15.2,14.4,14.6,14.4,3.41,19790
2013-01-10,14.7,14.1,14.2,14.6,3.46,2860
2013-01-11,14.7,14.4,14.5,14.7,3.48,4840
2013-01-14,14.7,14.4,14.4,14.7,3.48,6140
2013-01-15,15.0,14.7,14.8,15.0,3.55,15880
2013-01-16,15.2,15.0,15.1,15.0,3.55,8310
2013-01-17,15.1,14.8,15.1,14.8,3.51,14710
2013-01-18,15.2,15.0,15.1,15.1,3.58,54620
2013-01-21,15.3,15.1,15.1,15.3,3.63,8720
2013-01-22,15.5,15.0,15.3,15.3,3.63,7130
2013-01-23,15.5,15.2,15.4,15.4,3.65,40120
2013-01-24,15.8,15.4,15.4,15.6,3.7,43940
