Date,High,Low,Open,Close,adjust,Volume
2012-01-03,23.9,23.0,23.0,23.9,18.64,251310
2012-01-04,25.0,23.3,24.0,24.9,19.42,693400
2012-01-05,25.4,24.0,24.0,24.7,19.26,286720
2012-01-06,24.0,23.5,23.9,23.5,18.33,269040
2012-01-09,23.4,22.5,22.6,23.1,18.02,190490
2012-01-10,23.8,22.6,23.1,23.1,18.02,174760
2012-01-11,23.8,22.8,23.8,22.8,17.78,76590
2012-01-12,23.9,23.0,23.4,23.1,18.02,740160
2012-01-13,23.8,23.2,23.7,23.2,18.09,424020
2012-01-16,24.1,23.0,23.0,24.1,18.8,550900
2012-01-17,24.1,23.2,24.1,23.9,18.64,215570
2012-01-18,24.0,23.5,24.0,23.7,18.48,56670
2012-01-19,24.0,23.7,23.7,23.7,18.48,79370
2012-01-20,23.9,23.5,23.7,23.6,18.41,153000
2012-01-30,23.8,23.5,23.8,23.7,18.48,41410
2012-01-31,24.8,23.2,23.2,24.7,19.26,207320
2012-02-01,24.9,24.2,24.9,24.6,19.19,64310
2012-02-02,25.8,24.6,24.6,24.6,19.19,190320
2012-02-03,25.3,23.8,25.1,23.8,18.56,143610
2012-02-06,23.6,22.7,23.0,22.7,17.7,153910
2012-02-07,23.8,22.7,23.1,23.8,18.56,94740
2012-02-08,24.5,23.8,23.8,24.5,19.11,70520
2012-02-09,24.6,23.7,24.6,23.7,18.48,85290
2012-02-10,23.8,23.0,23.8,23.6,18.41,89000
2012-02-13,23.5,22.9,23.0,23.2,18.09,52920
2012-02-14,24.1,23.3,23.7,24.1,18.8,63520
2012-02-15,25.3,24.1,24.6,24.7,19.26,444180
2012-02-16,25.9,24.5,24.5,24.7,19.26,210490
2012-02-17,25.8,25.0,25.8,25.0,19.5,85940
2012-02-20,26.2,26.0,26.1,26.2,20.43,94300
2012-02-21,27.3,24.9,27.3,25.4,19.81,373120
2012-02-22,26.6,25.2,25.4,26.6,20.75,191780
2012-02-23,27.9,26.5,27.2,27.9,21.76,232000
2012-02-24,29.2,27.3,27.3,28.5,22.23,246730
2012-02-27,28.6,27.8,28.5,28.5,22.23,222940
2012-02-28,28.4,27.1,28.2,27.1,21.14,183110
2012-02-29,27.0,25.8,26.0,25.8,20.12,314580
2012-03-01,27.0,25.2,25.2,26.9,20.98,151650
2012-03-02,27.5,26.0,26.1,27.5,21.45,154570
2012-03-05,28.8,28.8,28.8,28.8,22.46,48040
2012-03-06,30.2,29.5,30.2,30.2,23.55,838720
2012-03-07,31.7,29.0,30.2,31.7,24.72,300850
2012-03-08,33.2,32.5,32.9,33.2,25.89,439970
2012-03-09,34.8,33.2,34.8,34.5,26.91,456830
2012-03-12,34.5,32.8,34.5,32.8,25.58,139830
2012-03-13,31.9,31.2,31.2,31.2,24.33,483130
2012-03-14,31.4,29.8,31.2,29.8,23.24,475420
2012-03-15,31.2,28.4,29.2,31.2,24.33,214150
2012-03-16,32.5,29.7,32.0,29.7,23.16,402730
2012-03-19,30.3,29.1,29.2,29.1,22.7,115670
2012-03-20,29.9,28.8,29.0,29.5,23.01,156180
2012-03-21,30.9,29.6,30.3,30.7,23.94,298970
2012-03-22,32.2,30.1,30.5,32.2,25.11,307690
2012-03-23,33.8,33.0,33.4,33.8,26.36,411290
2012-03-26,35.3,33.8,34.9,34.3,26.75,351090
2012-03-27,34.3,32.6,33.2,32.6,25.43,333320
2012-03-28,32.7,31.0,31.6,31.7,24.72,242790
2012-03-29,32.3,30.5,32.0,30.5,23.79,177010
2012-03-30,31.5,30.0,30.0,31.5,24.57,141420
2012-04-03,32.9,31.8,32.9,32.5,25.35,76770
2012-04-04,32.6,31.0,32.5,31.0,24.18,99730
2012-04-05,31.9,30.3,30.3,31.5,24.57,52520
2012-04-06,32.5,31.6,32.0,31.8,24.8,154100
2012-04-09,33.3,31.8,31.8,33.3,25.97,165960
2012-04-10,34.8,33.0,33.9,33.5,26.13,301180
2012-04-11,35.1,33.5,34.9,35.1,27.38,469980
2012-04-12,36.8,36.0,36.3,36.8,28.7,368520
2012-04-13,38.6,36.8,38.0,38.1,29.72,545120
2012-04-16,40.0,37.6,38.1,40.0,31.2,340710
2012-04-17,42.0,39.8,39.9,41.0,31.98,351280
2012-04-18,40.9,39.0,40.5,39.0,30.42,534950
2012-04-19,38.0,37.1,37.2,37.1,28.94,261120
2012-04-20,38.0,35.3,35.8,36.0,28.08,698340
2012-04-23,37.5,36.2,36.2,36.3,28.31,222240
2012-04-24,37.4,35.5,36.3,36.2,28.23,246990
2012-04-25,38.0,36.5,37.5,38.0,29.64,455730
2012-04-26,39.9,37.5,37.5,38.8,30.26,332530
2012-04-27,39.7,38.8,38.8,39.2,30.57,166870
2012-05-02,39.8,38.0,39.2,38.5,30.03,349330
2012-05-03,38.5,36.9,38.0,37.9,29.56,270790
2012-05-04,38.5,37.5,38.5,38.3,29.87,271160
2012-05-07,39.0,37.5,38.8,38.0,29.64,237370
2012-05-08,39.2,37.5,38.2,38.0,29.64,673570
2012-05-09,38.8,37.9,38.4,38.0,29.64,569900
2012-05-10,39.9,38.9,38.9,39.9,31.12,1116640
2012-05-11,39.9,38.3,39.0,38.6,30.11,319550
2012-05-14,38.8,36.7,38.5,36.7,28.62,275510
2012-05-15,37.0,35.0,35.7,35.0,27.3,372200
2012-05-16,35.6,33.7,35.6,34.5,26.91,571490
2012-05-17,35.0,33.9,34.3,33.9,26.44,340190
2012-05-18,33.9,32.3,33.9,32.6,25.43,629030
2012-05-21,34.2,31.8,31.8,34.2,26.67,281850
2012-05-22,35.9,35.0,35.7,35.9,28.0,413630
2012-05-23,37.5,36.7,37.4,36.9,28.78,852830
2012-05-24,37.5,35.4,36.9,36.9,28.78,747490
2012-05-25,38.7,38.0,38.3,38.7,30.18,398050
2012-05-28,39.3,38.0,39.3,38.6,30.11,589190
2012-05-29,38.6,37.0,37.1,38.6,30.11,450330
2012-05-30,38.9,38.2,38.9,38.2,29.79,362010
2012-05-31,38.6,37.1,38.2,38.4,29.95,375790
2012-06-01,39.0,38.4,38.4,38.5,30.03,434870
2012-06-04,38.5,36.6,38.4,36.6,28.55,699200
2012-06-05,38.4,36.4,36.5,37.5,29.25,649630
2012-06-06,37.7,37.0,37.2,37.1,28.94,87440
2012-06-07,38.4,36.6,36.6,37.4,29.17,103020
2012-06-08,38.0,36.8,37.5,36.8,28.7,104680
2012-06-11,38.2,36.0,36.0,37.6,29.33,430740
2012-06-12,38.0,37.1,37.2,37.9,29.56,116310
