Date,High,Low,Open,Close,adjust,Volume
2012-01-03,47.5,47.5,47.5,47.5,37.0,0
2012-01-04,49.8,49.8,49.8,49.8,38.79,490
2012-01-05,51.5,51.5,51.5,51.5,40.12,110
2012-01-06,52.5,49.0,49.0,52.5,40.9,280
2012-01-09,49.9,49.9,49.9,49.9,38.87,100
2012-01-10,51.0,47.5,47.5,49.9,38.87,60
2012-01-11,49.9,49.9,49.9,49.9,38.87,0
2012-01-12,47.5,47.5,47.5,47.5,37.0,10
2012-01-13,45.2,45.2,45.2,45.2,35.21,20
2012-01-16,47.0,43.0,43.0,43.0,33.5,3040
2012-01-17,45.0,40.9,40.9,45.0,35.05,1270
2012-01-18,42.8,42.8,42.8,42.8,33.34,180
2012-01-19,40.7,40.7,40.7,40.7,31.71,190
2012-01-20,42.7,38.7,38.7,42.7,33.26,6710
2012-01-30,44.8,40.6,40.6,44.8,34.9,3020
2012-01-31,46.8,42.6,42.6,42.6,33.19,5660
2012-02-01,40.5,40.5,40.5,40.5,31.55,280
2012-02-02,40.0,38.5,38.5,38.5,29.99,9460
2012-02-03,40.3,36.6,37.0,40.3,31.39,61180
2012-02-06,40.7,40.7,40.7,40.7,31.71,2500
2012-02-07,41.1,40.5,40.5,41.1,32.02,1440
2012-02-08,43.0,41.1,41.1,41.5,32.33,640
2012-02-09,42.0,41.2,41.2,41.9,32.64,62890
2012-02-10,41.9,39.9,39.9,41.9,32.64,2260
2012-02-13,41.9,41.9,41.9,41.9,32.64,0
2012-02-14,41.9,39.9,39.9,41.9,32.64,450
2012-02-15,41.9,39.9,40.0,39.9,31.08,1550
2012-02-16,41.2,41.2,41.2,41.2,32.09,50020
2012-02-17,41.2,41.2,41.2,41.2,32.09,0
2012-02-20,41.0,39.2,39.2,39.2,30.54,4640
2012-02-21,39.8,37.3,37.3,39.8,31.0,41820
2012-02-22,39.7,38.0,39.7,38.0,29.6,3160
2012-02-23,39.5,38.0,38.0,39.5,30.77,3400
2012-02-24,39.4,39.4,39.4,39.4,30.69,20
2012-02-27,39.0,37.5,38.6,37.5,29.21,3360
2012-02-28,38.8,38.0,38.0,38.8,30.22,560
2012-02-29,38.2,36.9,38.2,36.9,28.74,4530
