Date,High,Low,Open,Close,adjust,Volume
2012-01-03,14.0,13.5,13.7,13.5,3.67,402440
2012-01-04,13.7,13.0,13.5,13.3,3.61,609360
2012-01-05,13.3,13.0,13.2,13.1,3.56,848330
2012-01-06,13.0,12.5,13.0,12.5,3.39,1347880
2012-01-09,12.8,12.0,12.8,12.8,3.48,1104080
2012-01-10,13.4,12.7,12.7,13.4,3.64,1976280
2012-01-11,13.8,13.3,13.7,13.4,3.64,846870
2012-01-12,13.4,13.0,13.0,13.2,3.58,405960
2012-01-13,13.6,13.2,13.2,13.6,3.69,846240
2012-01-16,14.2,13.7,13.9,14.0,3.8,1764380
2012-01-17,14.1,13.6,13.9,13.7,3.72,800580
2012-01-18,13.9,13.6,13.6,13.8,3.75,381870
2012-01-19,14.4,13.9,13.9,14.4,3.91,879840
2012-01-20,14.6,14.2,14.6,14.3,3.88,1501230
2012-01-30,15.0,14.1,14.3,15.0,4.07,1821470
2012-01-31,15.7,15.1,15.1,15.1,4.1,1766040
2012-02-01,15.4,14.8,15.1,15.2,4.13,1210080
2012-02-02,15.9,15.5,15.6,15.9,4.32,1248460
2012-02-03,16.4,15.5,16.3,15.7,4.26,2652870
2012-02-06,15.8,15.2,15.7,15.5,4.21,1155640
2012-02-07,15.9,15.3,15.8,15.7,4.26,1702960
2012-02-08,16.4,15.7,15.7,16.3,4.43,2248550
2012-02-09,16.5,15.8,16.0,15.9,4.32,1306000
2012-02-10,15.8,15.2,15.6,15.2,4.13,1840290
2012-02-13,15.2,14.8,15.1,14.8,4.02,1074370
2012-02-14,15.3,14.8,14.9,15.3,4.15,865590
2012-02-15,15.3,14.8,15.3,15.0,4.07,965240
2012-02-16,15.3,14.9,15.1,15.1,4.1,893180
2012-02-17,15.6,15.2,15.3,15.6,4.24,1114220
2012-02-20,16.3,15.9,16.0,16.3,4.43,2644800
2012-02-21,17.1,16.2,17.1,16.4,4.45,2934550
2012-02-22,17.2,16.2,16.3,17.2,4.67,2488450
2012-02-23,18.0,17.2,17.3,18.0,4.89,2978000
2012-02-24,18.5,17.5,18.0,17.5,4.75,2322950
2012-02-27,18.3,17.5,17.8,18.2,4.94,2292880
2012-02-28,18.3,17.3,18.2,17.3,4.7,2321460
2012-02-29,17.6,17.0,17.3,17.5,4.75,1953800
2012-03-01,17.8,17.2,17.6,17.6,4.78,1155720
2012-03-02,18.4,17.6,17.6,18.4,5.0,2829490
2012-03-05,19.3,19.2,19.3,19.3,5.24,1660330
2012-03-06,20.2,18.6,20.2,19.0,5.16,5685620
2012-03-07,19.1,18.4,19.0,19.1,5.19,2220900
2012-03-08,19.0,18.2,18.5,18.2,4.94,2824980
2012-03-09,18.5,17.5,18.2,17.8,4.83,2002440
2012-03-12,17.9,17.1,17.8,17.3,4.7,2010410
2012-03-13,17.9,17.3,17.6,17.9,4.86,1204950
2012-03-14,18.2,17.6,18.1,17.6,4.78,1549850
2012-03-15,18.4,17.3,17.5,18.4,5.0,2406240
2012-03-16,19.3,18.7,19.3,19.3,5.24,5713320
2012-03-19,19.9,19.0,19.1,19.5,5.29,2404540
2012-03-20,20.1,19.4,19.6,20.1,5.46,2068790
2012-03-21,21.1,20.2,20.3,20.4,5.54,2955280
2012-03-22,20.7,19.9,20.0,20.0,5.43,2413670
2012-03-23,20.9,20.0,20.0,20.7,5.62,2639850
2012-03-26,20.9,20.4,20.9,20.4,5.54,2531960
2012-03-27,20.4,19.4,20.2,19.4,5.27,4183400
2012-03-28,19.4,18.6,19.0,19.4,5.27,2397360
2012-03-29,19.6,18.6,19.5,18.7,5.08,2258040
2012-03-30,18.8,18.2,18.5,18.4,5.0,1850360
2012-04-03,19.3,18.4,18.4,19.3,5.24,1736590
2012-04-04,19.8,18.9,19.4,19.1,5.19,1557690
2012-04-05,20.0,18.9,19.1,20.0,5.43,3400130
2012-04-06,20.7,20.0,20.1,20.2,5.49,2741350
2012-04-09,20.8,20.3,20.7,20.8,5.65,2049510
2012-04-10,21.4,20.3,20.9,20.3,5.51,3122220
2012-04-11,21.2,20.5,21.0,20.9,5.68,2549040
2012-04-12,21.6,20.8,21.0,21.1,5.73,3057380
