Date,High,Low,Open,Close,adjust,Volume
2012-01-03,18.0,17.0,17.0,18.0,3.99,2300
2012-01-04,18.4,18.4,18.4,18.4,4.08,20
2012-01-05,19.3,17.5,17.5,19.3,4.28,12570
2012-01-06,19.2,18.5,19.0,18.5,4.1,2550
2012-01-09,18.5,17.6,17.7,18.5,4.1,700
2012-01-10,18.5,18.0,18.0,18.5,4.1,2010
2012-01-11,18.6,18.6,18.6,18.6,4.12,3000
2012-01-12,18.6,18.5,18.6,18.5,4.1,2010
2012-01-13,19.0,19.0,19.0,19.0,4.21,6000
2012-01-16,18.2,18.1,18.1,18.1,4.01,180
2012-01-17,17.7,17.7,17.7,17.7,3.92,1000
2012-01-18,18.0,17.0,18.0,17.3,3.83,11230
2012-01-19,17.8,17.3,17.3,17.8,3.95,1500
2012-01-20,18.1,18.1,18.1,18.1,4.01,2000
2012-01-30,19.0,19.0,19.0,19.0,4.21,1000
2012-01-31,18.1,18.1,18.1,18.1,4.01,550
2012-02-01,17.2,17.2,17.2,17.2,3.81,10000
2012-02-02,17.9,17.0,17.9,17.0,3.77,260
2012-02-03,17.0,16.5,17.0,16.5,3.66,3250
2012-02-06,16.0,16.0,16.0,16.0,3.55,10
2012-02-07,16.5,16.5,16.5,16.5,3.66,200
2012-02-08,16.7,16.7,16.7,16.7,3.7,300
2012-02-09,17.5,17.5,17.5,17.5,3.88,2010
2012-02-10,16.7,16.7,16.7,16.7,3.7,170
2012-02-13,16.9,15.9,16.9,15.9,3.52,1330
2012-02-14,16.0,15.2,15.2,16.0,3.55,3030
2012-02-15,16.8,15.2,15.2,15.2,3.37,12270
2012-02-16,14.6,14.5,14.5,14.5,3.21,16490
2012-02-17,15.2,14.4,15.2,15.2,3.37,5790
2012-02-20,15.9,15.5,15.5,15.5,3.44,1550
2012-02-21,16.1,14.8,16.1,15.0,3.32,7560
2012-02-22,15.3,14.3,15.0,14.3,3.17,79960
2012-02-23,15.0,13.6,15.0,13.6,3.01,176070
2012-02-24,14.2,13.0,14.0,14.2,3.15,220820
2012-02-27,14.9,14.9,14.9,14.9,3.3,2150
2012-02-28,15.6,15.0,15.6,15.6,3.46,17170
2012-02-29,15.3,14.9,15.2,14.9,3.3,27100
2012-03-01,14.4,14.2,14.2,14.2,3.15,58890
2012-03-02,14.2,14.0,14.2,14.0,3.1,21550
2012-03-05,14.7,14.6,14.6,14.7,3.26,85980
2012-03-06,14.7,14.0,14.7,14.0,3.1,42730
2012-03-07,14.0,13.3,14.0,14.0,3.1,67810
2012-03-08,13.6,13.3,13.4,13.6,3.01,32600
2012-03-09,13.7,13.0,13.6,13.5,2.99,201800
2012-03-12,13.8,13.2,13.8,13.3,2.95,18220
2012-03-13,13.5,12.9,13.3,13.0,2.88,33420
2012-03-14,13.4,12.7,13.4,12.7,2.81,61490
2012-03-15,13.3,12.4,12.5,12.7,2.81,76980
2012-03-16,13.2,12.7,12.7,13.1,2.9,163080
2012-03-19,13.4,12.7,12.7,13.2,2.93,34510
2012-03-20,13.8,13.0,13.0,13.8,3.06,65860
2012-03-21,14.4,14.4,14.4,14.4,3.19,18770
2012-03-22,15.1,14.6,15.1,15.1,3.35,293980
2012-03-23,15.8,15.2,15.2,15.8,3.5,241160
2012-03-26,16.4,15.3,15.9,16.0,3.55,119590
2012-03-27,16.3,15.2,15.7,15.2,3.37,177890
2012-03-28,15.2,14.7,14.7,15.2,3.37,105690
2012-03-29,15.7,14.5,14.7,14.5,3.21,87040
2012-03-30,15.0,14.0,14.0,15.0,3.32,29620
2012-04-03,15.5,14.4,15.3,15.1,3.35,27500
2012-04-04,15.3,14.6,14.6,14.6,3.24,75150
2012-04-05,14.8,14.0,14.1,14.7,3.26,15270
2012-04-06,15.4,14.3,14.3,15.2,3.37,74020
2012-04-09,15.8,15.0,15.4,15.2,3.37,106640
2012-04-10,15.4,15.0,15.2,15.0,3.32,50830
2012-04-11,15.6,14.9,15.0,15.6,3.46,76040
2012-04-12,15.8,15.4,15.4,15.6,3.46,33660
2012-04-13,15.6,14.9,15.6,14.9,3.3,46230
2012-04-16,15.4,14.9,14.9,14.9,3.3,33250
2012-04-17,15.3,14.9,15.0,15.3,3.39,56720
2012-04-18,15.3,14.9,15.3,14.9,3.3,41310
2012-04-19,15.2,14.6,15.2,14.6,3.24,35950
2012-04-20,14.9,14.3,14.6,14.6,3.24,42090
2012-04-23,14.9,14.6,14.9,14.8,3.28,17230
2012-04-24,14.8,14.6,14.7,14.7,3.26,15640
2012-04-25,15.2,14.5,14.7,15.1,3.35,36770
2012-04-26,15.5,15.0,15.3,15.2,3.37,29830
2012-04-27,15.2,14.6,15.2,14.6,3.24,4610
2012-05-02,14.8,14.2,14.8,14.5,3.21,22470
2012-05-03,14.6,14.5,14.5,14.6,3.24,8110
2012-05-04,15.0,14.6,14.6,15.0,3.32,16900
2012-05-07,15.3,15.0,15.3,15.3,3.39,81770
2012-05-08,16.0,15.3,15.3,16.0,3.55,217100
2012-05-09,16.8,16.5,16.8,16.8,3.72,134960
2012-05-10,17.6,17.0,17.6,17.5,3.88,109010
2012-05-11,17.1,16.7,17.1,16.7,3.7,124030
2012-05-14,16.1,15.9,16.1,15.9,3.52,41130
2012-05-15,15.3,15.2,15.3,15.2,3.37,40230
2012-05-16,14.8,14.5,14.8,14.5,3.21,60160
2012-05-17,14.9,13.8,14.9,14.0,3.1,52790
2012-05-18,13.5,13.3,13.4,13.4,2.97,123470
2012-05-21,14.0,13.5,14.0,14.0,3.1,34400
2012-05-22,14.5,13.3,14.0,13.5,2.99,208090
2012-05-23,13.4,12.9,13.3,13.0,2.88,275420
2012-05-24,13.4,12.5,13.4,12.5,2.77,29820
2012-05-25,13.1,11.9,13.0,13.1,2.9,512850
2012-05-28,13.7,13.6,13.6,13.7,3.04,93900
2012-05-29,14.2,13.7,14.2,13.7,3.04,29610
2012-05-30,14.1,13.3,14.1,13.7,3.04,1680
2012-05-31,13.6,13.1,13.3,13.1,2.9,54340
2012-06-01,13.4,12.5,13.1,13.0,2.88,43780
2012-06-04,13.2,12.4,13.2,12.4,2.75,37310
2012-06-05,12.9,12.0,12.0,12.9,2.86,13010
2012-06-06,13.0,12.3,12.4,12.6,2.79,13270
2012-06-07,13.2,12.4,12.4,13.1,2.9,23000
2012-06-08,13.3,12.7,13.0,12.7,2.81,15030
2012-06-11,12.9,12.5,12.5,12.8,2.84,23240
2012-06-12,12.6,12.5,12.5,12.6,2.79,3820
2012-06-13,12.5,12.3,12.5,12.3,2.73,7220
2012-06-14,12.4,12.2,12.3,12.3,2.73,8290
2012-06-15,12.3,12.3,12.3,12.3,2.73,26560
2012-06-18,12.3,12.2,12.3,12.3,2.73,25450
2012-06-19,12.3,11.9,12.3,12.0,2.66,16040
2012-06-20,12.1,11.9,12.0,12.0,2.66,49690
2012-06-21,12.0,11.8,12.0,12.0,2.66,41730
2012-06-22,12.0,11.8,12.0,11.9,2.64,12330
2012-06-25,12.0,11.4,11.7,11.4,2.53,106770
2012-06-26,11.2,11.0,11.1,11.0,2.44,26450
2012-06-27,11.0,10.8,11.0,11.0,2.44,39750
2012-06-28,11.0,10.9,11.0,11.0,2.44,13010
2012-06-29,11.1,10.9,10.9,11.0,2.44,62710
2012-07-02,11.0,10.7,10.8,11.0,2.44,16570
2012-07-03,10.9,10.5,10.9,10.5,2.33,31930
2012-07-04,10.6,10.4,10.6,10.5,2.33,49030
2012-07-05,10.5,10.4,10.5,10.5,2.33,13300
2012-07-06,10.8,10.5,10.5,10.5,2.33,194590
2012-07-09,10.5,10.4,10.5,10.4,2.31,73800
2012-07-10,10.5,10.0,10.0,10.4,2.31,41430
2012-07-11,10.8,10.4,10.4,10.4,2.31,40040
2012-07-12,10.7,10.4,10.7,10.4,2.31,64160
2012-07-13,10.7,10.4,10.4,10.7,2.37,145150
2012-07-16,10.7,10.4,10.7,10.4,2.31,42900
2012-07-17,10.8,10.4,10.4,10.4,2.31,105050
2012-07-18,10.9,10.5,10.5,10.9,2.42,222510
2012-07-19,11.4,11.4,11.4,11.4,2.53,32690
2012-07-20,11.9,11.9,11.9,11.9,2.64,229180
2012-07-23,12.4,11.9,11.9,12.0,2.66,193910
2012-07-24,11.7,11.4,11.7,11.4,2.53,140600
2012-07-25,11.6,11.1,11.1,11.1,2.46,46120
2012-07-26,11.5,10.9,11.5,11.1,2.46,48960
2012-07-27,11.5,10.8,11.5,10.8,2.39,99550
2012-07-30,10.9,10.7,10.7,10.7,2.37,65250
2012-07-31,11.2,10.7,10.7,11.0,2.44,26570
2012-08-01,11.0,10.7,10.7,11.0,2.44,135060
2012-08-02,11.2,10.8,11.0,10.9,2.42,27410
2012-08-03,11.4,11.0,11.1,11.4,2.53,60170
2012-08-06,11.5,11.3,11.4,11.4,2.53,55960
2012-08-07,11.4,11.0,11.4,11.4,2.53,25720
2012-08-08,11.4,11.2,11.4,11.4,2.53,16790
2012-08-09,11.5,11.2,11.4,11.4,2.53,55920
2012-08-10,11.6,11.3,11.5,11.3,2.5,54390
2012-08-13,11.5,11.3,11.5,11.4,2.53,29230
2012-08-14,11.5,11.3,11.4,11.4,2.53,64780
2012-08-15,11.4,11.1,11.4,11.2,2.48,35280
2012-08-16,11.3,11.0,11.3,11.0,2.44,87930
2012-08-17,11.3,11.0,11.0,11.2,2.48,21360
2012-08-20,11.4,11.2,11.3,11.2,2.48,11640
2012-08-21,11.1,10.7,11.1,10.7,2.37,126030
2012-08-22,10.7,10.2,10.3,10.2,2.26,189920
2012-08-23,9.9,9.7,9.8,9.7,2.15,100300
2012-08-24,10.1,9.3,9.3,10.0,2.22,60200
2012-08-27,10.0,9.5,9.8,10.0,2.22,106710
2012-08-28,10.0,9.6,9.6,9.9,2.19,29310
2012-08-29,10.3,9.9,10.3,10.2,2.26,3040
2012-08-30,10.6,10.2,10.6,10.2,2.26,20040
2012-08-31,10.4,9.8,10.4,10.1,2.24,20830
2012-09-04,10.4,9.6,9.7,10.4,2.31,17010
2012-09-05,10.6,10.1,10.6,10.1,2.24,25450
2012-09-06,10.4,9.8,10.4,9.8,2.17,52880
2012-09-07,10.2,9.8,10.0,10.0,2.22,125500
2012-09-10,10.4,9.7,10.3,10.0,2.22,26530
2012-09-11,10.5,10.3,10.4,10.5,2.33,195110
2012-09-12,11.0,10.8,10.8,11.0,2.44,125280
2012-09-13,11.5,11.4,11.5,11.5,2.55,103140
2012-09-14,11.9,11.5,11.9,11.7,2.59,119770
2012-09-17,11.7,11.3,11.7,11.3,2.5,107680
2012-09-18,11.4,11.0,11.3,11.1,2.46,75560
2012-09-19,11.5,11.1,11.2,11.3,2.5,28650
2012-09-20,11.3,11.1,11.1,11.2,2.48,46520
2012-09-21,11.4,11.1,11.4,11.3,2.5,27440
2012-09-24,11.6,11.2,11.6,11.3,2.5,60100
2012-09-25,11.4,11.1,11.4,11.1,2.46,38450
2012-09-26,10.0,9.2,10.0,9.4,2.41,20580
2012-09-27,9.3,9.1,9.2,9.1,2.33,27840
2012-09-28,9.0,8.7,8.9,8.8,2.26,23620
2012-10-01,8.8,8.4,8.8,8.4,2.15,12430
2012-10-02,8.6,8.4,8.4,8.6,2.2,17150
2012-10-03,9.0,8.8,9.0,8.8,2.26,1360
2012-10-04,8.9,8.8,8.8,8.8,2.26,20180
2012-10-05,9.0,9.0,9.0,9.0,2.31,10
2012-10-08,9.0,8.6,9.0,8.9,2.28,13160
2012-10-09,9.1,8.7,9.0,8.9,2.28,5800
2012-10-10,8.9,8.6,8.6,8.7,2.23,8020
2012-10-11,9.1,8.5,8.5,8.9,2.28,16910
2012-10-12,9.0,8.8,8.9,9.0,2.31,5160
2012-10-15,9.1,8.9,9.0,9.0,2.31,11080
2012-10-16,9.2,9.0,9.0,9.2,2.36,7470
2012-10-17,9.5,8.8,9.5,8.9,2.28,38450
2012-10-18,9.0,8.5,8.8,8.6,2.2,115510
2012-10-19,8.7,8.3,8.6,8.6,2.2,127760
2012-10-22,8.5,8.2,8.3,8.2,2.1,98090
2012-10-23,8.6,8.0,8.3,8.6,2.2,1056580
2012-10-24,9.0,8.9,9.0,9.0,2.31,90460
2012-10-25,9.0,8.7,9.0,8.7,2.23,29690
2012-10-26,8.7,8.4,8.5,8.6,2.2,50010
2012-10-29,8.7,8.5,8.5,8.7,2.23,18900
2012-10-30,8.6,8.4,8.6,8.5,2.18,43180
2012-10-31,8.6,8.3,8.6,8.5,2.18,420790
2012-11-01,8.5,8.3,8.4,8.3,2.13,14500
2012-11-02,8.2,7.9,8.1,8.0,2.05,49290
2012-11-05,8.3,8.2,8.2,8.3,2.13,11050
2012-11-06,8.6,8.2,8.6,8.4,2.15,12830
2012-11-07,8.7,8.2,8.2,8.6,2.2,56800
2012-11-08,8.6,8.4,8.4,8.4,2.15,34940
2012-11-09,8.5,8.4,8.4,8.4,2.15,11210
2012-11-12,8.6,8.4,8.4,8.5,2.18,43740
2012-11-13,8.6,8.5,8.5,8.6,2.2,23950
2012-11-14,9.0,8.7,8.7,9.0,2.31,113670
2012-11-15,9.4,9.2,9.2,9.4,2.41,227960
2012-11-16,9.7,9.0,9.2,9.5,2.43,59980
2012-11-19,9.6,9.1,9.2,9.1,2.33,65060
2012-11-20,9.2,8.7,8.8,9.0,2.31,32100
2012-11-21,9.2,8.9,9.2,9.2,2.36,20280
2012-11-22,9.0,8.9,8.9,9.0,2.31,5400
2012-11-23,9.1,8.8,9.1,9.1,2.33,9100
2012-11-26,8.9,8.8,8.9,8.8,2.26,24920
2012-11-27,9.2,8.9,9.2,9.2,2.36,17720
2012-11-28,9.2,8.9,9.2,8.9,2.28,20
2012-11-29,9.2,8.9,9.2,8.9,2.28,12130
2012-11-30,9.2,8.7,9.1,8.7,2.23,7000
2012-12-03,9.1,8.8,9.0,9.1,2.33,4320
2012-12-04,9.2,8.8,9.2,8.8,2.26,4920
2012-12-05,9.2,8.8,9.2,9.2,2.36,176130
2012-12-06,9.5,9.2,9.5,9.3,2.38,74750
2012-12-07,9.5,9.0,9.4,9.5,2.43,38840
2012-12-10,9.5,9.1,9.1,9.5,2.43,60290
2012-12-11,9.5,9.1,9.5,9.1,2.33,37010
2012-12-12,9.5,9.1,9.3,9.5,2.43,134910
2012-12-13,9.6,9.2,9.6,9.3,2.38,37520
2012-12-14,9.7,9.3,9.4,9.7,2.49,85800
2012-12-17,10.0,9.4,9.6,10.0,2.56,84220
2012-12-18,10.4,9.6,9.7,10.4,2.67,177950
2012-12-19,10.8,10.0,10.3,10.8,2.77,65030
2012-12-20,11.0,10.5,10.5,11.0,2.82,120310
2012-12-21,11.4,10.5,11.2,11.4,2.92,169550
2012-12-24,11.8,10.9,11.0,11.8,3.02,153400
2012-12-25,12.0,11.3,11.4,12.0,3.08,170920
2012-12-26,12.6,11.5,11.7,12.6,3.23,105050
2012-12-27,13.2,12.4,12.4,13.2,3.38,120010
2012-12-28,13.6,13.0,13.2,13.6,3.49,311350
2013-01-02,13.6,13.0,13.0,13.0,3.33,60630
2013-01-03,12.5,12.4,12.5,12.4,3.18,22000
2013-01-04,12.3,11.8,11.8,12.3,3.15,96470
2013-01-07,12.5,11.8,11.8,11.8,3.02,23910
2013-01-08,12.3,11.8,11.8,12.0,3.08,6350
2013-01-09,12.2,11.4,12.0,11.4,2.92,39500
2013-01-10,11.8,11.3,11.4,11.8,3.02,24350
2013-01-11,12.1,11.4,12.1,11.4,2.92,5040
2013-01-14,11.6,10.9,11.4,11.2,2.87,28300
2013-01-15,11.9,11.3,11.3,11.9,3.05,15640
2013-01-16,12.6,11.8,12.6,12.2,3.13,3650
2013-01-17,12.2,11.8,12.2,12.1,3.1,5270
2013-01-18,12.2,11.5,12.1,11.7,3.0,7570
2013-01-21,11.9,11.4,11.4,11.6,2.97,8110
2013-01-22,11.9,11.4,11.9,11.5,2.95,2130
2013-01-23,11.8,11.3,11.8,11.5,2.95,4220
2013-01-24,11.9,11.1,11.9,11.7,3.0,18590
2013-01-25,12.0,11.7,11.9,11.8,3.02,3330
2013-01-28,12.0,11.8,12.0,11.9,3.05,30680
2013-01-29,11.9,11.8,11.8,11.8,3.02,7210
2013-01-30,11.9,11.6,11.9,11.6,2.97,11760
2013-01-31,12.1,11.4,12.1,11.7,3.0,13810
2013-02-01,11.8,11.4,11.8,11.4,2.92,14120
2013-02-04,12.0,11.4,12.0,11.7,3.0,4020
2013-02-05,11.9,11.3,11.9,11.3,2.9,9230
2013-02-06,11.7,11.5,11.5,11.7,3.0,9590
2013-02-07,12.0,11.7,11.7,11.9,3.05,29270
2013-02-08,12.0,11.8,11.9,12.0,3.08,14650
2013-02-18,12.1,11.9,12.0,12.0,3.08,59310
2013-02-19,12.1,11.9,12.0,12.0,3.08,17020
2013-02-20,12.1,11.9,12.0,12.0,3.08,47790
2013-02-21,12.5,12.0,12.0,12.0,3.08,87000
2013-02-22,12.0,11.8,12.0,11.8,3.02,41530
2013-02-25,12.0,11.7,11.7,12.0,3.08,820
2013-02-26,12.0,11.3,12.0,11.3,2.9,63540
2013-02-27,12.0,11.3,11.3,11.5,2.95,28760
2013-02-28,11.9,11.6,11.6,11.9,3.05,21670
2013-03-01,11.9,11.6,11.8,11.8,3.02,13240
2013-03-04,11.9,11.6,11.9,11.7,3.0,15370
2013-03-05,12.1,11.5,11.8,12.1,3.1,8380
2013-03-06,12.1,11.8,11.9,11.8,3.02,20060
2013-03-07,12.0,11.7,11.8,11.9,3.05,2270
