Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.0,17.0,17.0,17.0,6.61,0
2012-01-04,17.0,17.0,17.0,17.0,6.61,1000
2012-01-05,17.0,17.0,17.0,17.0,6.61,0
2012-01-06,18.0,16.1,16.1,18.0,7.0,1600
2012-01-09,17.8,17.0,17.0,17.8,6.92,600
2012-01-10,18.4,18.4,18.4,18.4,7.16,500
2012-01-11,18.8,18.8,18.8,18.8,7.31,100
2012-01-12,18.8,18.5,18.5,18.8,7.31,800
2012-01-13,19.0,19.0,19.0,19.0,7.39,1000
2012-01-16,19.0,19.0,19.0,19.0,7.39,400
2012-01-17,19.0,18.9,18.9,19.0,7.39,5700
2012-01-18,19.0,19.0,19.0,19.0,7.39,0
2012-01-19,18.5,18.5,18.5,18.5,7.39,0
2012-01-20,19.5,19.4,19.4,19.5,7.79,1200
2012-01-30,19.5,19.5,19.5,19.5,7.79,0
2012-01-31,19.5,19.5,19.5,19.5,7.79,0
2012-02-01,18.5,18.5,18.5,18.5,7.39,300
2012-02-02,18.0,18.0,18.0,18.0,7.19,3500
2012-02-03,18.0,18.0,18.0,18.0,7.19,0
2012-02-06,18.0,18.0,18.0,18.0,7.19,0
2012-02-07,18.2,18.2,18.2,18.2,7.27,100
2012-02-08,19.0,18.2,19.0,18.2,7.27,300
2012-02-09,18.4,18.4,18.4,18.4,7.35,3000
2012-02-10,18.4,18.4,18.4,18.4,7.35,0
2012-02-13,18.0,18.0,18.0,18.0,7.19,2000
2012-02-14,18.0,17.9,18.0,18.0,7.19,7200
2012-02-15,18.0,17.8,18.0,18.0,7.19,4000
2012-02-16,18.5,18.0,18.0,18.5,7.39,4100
2012-02-17,19.0,18.7,18.7,19.0,7.59,4800
2012-02-20,19.5,19.0,19.0,19.5,7.79,3000
2012-02-21,19.0,18.8,19.0,18.8,7.51,7400
2012-02-22,19.0,18.8,19.0,19.0,7.59,3000
2012-02-23,19.2,18.8,18.8,19.2,7.67,2800
2012-02-24,19.0,18.8,19.0,18.8,7.51,3600
2012-02-27,19.0,18.5,18.5,19.0,7.59,1200
2012-03-13,21.3,21.3,21.3,21.3,8.51,900
2012-03-14,20.3,20.3,20.3,20.3,8.11,500
2012-03-15,19.3,19.3,19.3,19.3,7.71,4320
2012-03-16,19.3,18.6,18.6,19.3,7.71,6330
