Date,High,Low,Open,Close,adjust,Volume
2012-01-03,11.7,11.5,11.5,11.7,4.84,6560
2012-01-04,11.7,11.7,11.7,11.7,4.84,0
2012-01-05,11.7,11.7,11.7,11.7,4.84,300
2012-01-06,11.7,11.2,11.2,11.7,4.84,8430
2012-01-09,12.2,12.2,12.2,12.2,5.04,300
2012-01-10,12.2,12.2,12.2,12.2,5.04,0
2012-01-11,12.2,12.2,12.2,12.2,5.04,0
2012-01-12,12.0,12.0,12.0,12.0,4.96,10
2012-01-13,12.0,12.0,12.0,12.0,4.96,3700
2012-01-16,12.4,12.4,12.4,12.4,5.13,10
2012-01-17,12.0,11.8,12.0,11.8,4.88,9520
2012-01-18,12.0,11.8,11.8,12.0,4.96,100
2012-01-19,12.2,11.8,11.8,12.2,5.04,4160
2012-01-20,11.9,11.6,11.6,11.9,4.92,8280
2012-01-30,11.9,11.9,11.9,11.9,4.92,310
2012-01-31,12.3,11.9,12.3,12.1,5.0,1860
2012-02-01,12.0,12.0,12.0,12.0,4.96,7270
2012-02-02,12.4,12.0,12.0,12.4,5.13,33730
2012-02-03,12.6,12.0,12.6,12.6,5.21,4630
2012-02-06,12.5,12.0,12.0,12.5,5.17,7060
2012-02-07,12.4,11.9,11.9,12.0,4.96,12050
2012-02-08,12.4,12.0,12.0,12.3,5.09,16830
2012-02-09,12.4,12.0,12.1,12.3,5.09,30550
2012-02-10,12.3,12.0,12.0,12.3,5.09,9740
2012-02-13,12.3,11.8,12.0,12.3,5.09,1430
2012-02-14,12.2,12.0,12.1,12.2,5.04,2020
2012-02-15,12.0,11.9,12.0,11.9,4.92,5690
2012-02-16,12.2,11.8,11.8,12.1,5.0,9030
2012-02-17,12.3,12.3,12.3,12.3,5.09,520
2012-02-20,12.5,12.2,12.5,12.5,5.17,9100
2012-02-21,12.4,12.1,12.1,12.4,5.13,4470
2012-02-22,12.4,11.9,12.0,12.3,5.09,9280
2012-02-23,12.8,12.0,12.8,12.0,4.96,22420
2012-02-24,12.6,12.1,12.1,12.3,5.09,17750
2012-02-27,12.7,12.4,12.6,12.5,5.17,12580
2012-02-28,12.4,12.1,12.3,12.4,5.13,3840
2012-02-29,12.4,12.4,12.4,12.4,5.13,36810
2012-03-01,13.0,12.4,12.4,13.0,5.37,49620
2012-03-02,13.6,13.5,13.5,13.6,5.62,117560
2012-03-05,14.2,14.2,14.2,14.2,5.87,11580
2012-03-06,14.9,14.0,14.9,14.6,6.04,85150
2012-03-07,14.6,13.9,14.0,14.3,5.91,21430
2012-03-08,14.2,13.6,13.6,14.0,5.79,104710
2012-03-09,13.8,13.3,13.4,13.8,5.71,22530
2012-03-12,13.8,13.2,13.8,13.2,5.46,27300
2012-03-13,13.7,12.6,13.7,13.2,5.46,63100
2012-03-14,13.0,12.7,13.0,12.7,5.25,35470
2012-03-15,13.3,12.3,13.0,13.3,5.5,68350
2012-03-16,13.3,13.1,13.3,13.3,5.5,35000
2012-03-19,13.1,12.8,13.0,13.1,5.42,10740
2012-03-20,13.2,12.8,12.8,13.1,5.42,16310
2012-03-21,13.6,13.1,13.1,13.6,5.62,46600
2012-03-22,13.6,13.3,13.5,13.5,5.58,51900
2012-03-23,13.7,13.5,13.5,13.6,5.62,60250
2012-03-26,13.7,13.4,13.6,13.6,5.62,65250
2012-03-27,13.6,13.4,13.4,13.4,5.54,47500
2012-03-28,13.5,13.0,13.1,13.5,5.58,13410
2012-03-29,13.6,13.3,13.5,13.5,5.58,45420
2012-03-30,13.4,13.1,13.1,13.4,5.54,51880
2012-04-03,13.5,13.1,13.1,13.5,5.58,21170
2012-04-04,13.5,13.4,13.5,13.4,5.54,280
2012-04-05,13.5,13.0,13.1,13.5,5.58,3710
2012-04-06,13.5,13.4,13.5,13.5,5.58,11070
2012-04-09,13.5,13.1,13.1,13.5,5.58,23590
2012-04-10,13.5,13.5,13.5,13.5,5.58,4100
2012-04-11,14.1,13.4,13.5,14.1,5.83,47440
2012-04-12,14.8,14.1,14.1,14.6,6.04,92010
2012-04-13,14.2,13.9,14.2,13.9,5.75,38690
2012-04-16,14.5,14.1,14.4,14.5,5.99,113370
2012-04-17,14.7,14.2,14.2,14.5,5.99,27270
2012-04-18,14.9,14.5,14.8,14.8,6.12,52950
2012-04-19,14.9,14.1,14.9,14.1,5.83,31720
2012-04-20,14.1,13.5,14.1,13.7,5.66,20010
2012-04-23,14.0,13.4,14.0,13.6,5.62,18310
2012-04-24,13.8,13.4,13.7,13.8,5.71,94420
2012-04-25,14.0,13.8,14.0,14.0,5.79,5480
2012-04-26,14.2,14.0,14.0,14.0,5.79,3010
2012-04-27,14.0,13.6,13.6,14.0,5.79,13650
2012-05-02,14.6,13.7,13.9,13.7,5.66,87870
2012-05-03,14.2,13.7,13.8,14.1,5.83,32940
2012-05-04,14.6,14.2,14.2,14.3,5.91,60090
2012-05-07,15.0,14.6,14.6,15.0,6.2,111460
2012-05-08,15.7,15.3,15.6,15.7,6.49,118070
2012-05-09,16.4,16.0,16.1,16.4,6.78,75740
2012-05-10,17.2,16.5,17.2,17.2,7.11,122660
2012-05-11,17.6,16.7,17.6,16.7,6.9,97380
2012-05-14,16.7,15.9,16.7,15.9,6.57,106080
2012-05-15,15.8,15.2,15.8,15.2,6.28,86140
2012-05-16,15.9,14.5,15.2,14.5,5.99,85860
2012-05-17,15.1,14.5,14.5,14.9,6.16,35680
2012-05-18,14.9,14.5,14.9,14.7,6.08,42090
2012-05-21,15.4,14.7,15.4,15.3,6.33,37860
2012-05-22,15.3,15.0,15.3,15.3,6.33,60820
2012-05-23,15.1,14.7,15.0,14.7,6.08,68290
2012-05-24,14.7,14.7,14.7,14.7,6.08,44830
2012-05-25,15.4,14.7,14.7,15.4,6.37,21490
2012-05-28,16.0,15.0,16.0,15.8,6.53,29780
2012-05-29,15.6,15.1,15.2,15.6,6.45,24900
2012-05-30,16.0,15.1,16.0,15.5,6.41,10020
2012-05-31,15.2,15.0,15.1,15.1,6.24,30570
2012-06-01,15.1,14.9,15.1,14.9,6.16,14700
2012-06-04,14.9,14.7,14.9,14.7,6.08,11210
2012-06-05,14.8,14.7,14.8,14.7,6.08,13410
2012-06-06,14.8,14.6,14.7,14.8,6.12,10120
2012-06-07,15.4,14.8,14.8,15.4,6.37,13660
2012-06-08,15.0,14.8,15.0,14.8,6.12,25520
2012-06-11,15.4,14.7,14.8,15.4,6.37,29860
2012-06-12,15.3,14.7,15.0,15.3,6.33,8140
2012-06-13,14.9,14.8,14.9,14.8,6.12,20010
2012-06-14,14.9,14.8,14.9,14.8,6.12,5610
2012-06-15,15.2,14.8,14.8,15.2,6.28,4020
2012-06-18,15.4,14.8,15.2,15.2,6.28,9940
2012-06-19,15.5,15.5,15.5,15.5,6.41,20
2012-06-20,14.8,14.2,14.8,14.7,6.41,10410
2012-06-21,14.5,14.4,14.4,14.5,6.32,8020
2012-06-22,14.5,14.2,14.4,14.5,6.32,11380
2012-06-25,14.5,14.5,14.5,14.5,6.32,0
2012-06-26,14.3,13.8,14.0,14.3,6.23,7190
2012-06-27,14.5,14.5,14.5,14.5,6.32,20
2012-06-28,13.9,13.8,13.8,13.9,6.06,12100
2012-06-29,14.0,13.5,13.5,14.0,6.1,4780
2012-07-02,14.0,13.5,14.0,13.5,5.89,690
2012-07-03,14.1,13.0,13.7,14.0,6.1,13730
2012-07-04,13.5,13.5,13.5,13.5,5.89,20
2012-07-05,13.9,13.8,13.8,13.9,6.06,70
2012-07-06,13.5,13.5,13.5,13.5,5.89,330
2012-07-09,13.2,13.2,13.2,13.2,5.75,10
2012-07-10,13.8,12.6,12.6,12.6,5.49,4230
2012-07-11,12.8,12.7,12.7,12.8,5.58,320
2012-07-12,13.4,12.5,13.4,12.5,5.45,30
2012-07-13,13.1,12.8,13.1,13.1,5.71,350
2012-07-16,13.7,13.7,13.7,13.7,5.97,30
2012-07-17,14.0,14.0,14.0,14.0,6.1,10
2012-07-18,13.6,13.4,13.6,13.4,5.84,19520
2012-07-19,14.0,13.4,14.0,13.4,5.84,6220
2012-07-20,13.9,13.5,13.9,13.5,5.89,90
2012-07-23,13.0,13.0,13.0,13.0,5.67,360
2012-07-24,13.0,13.0,13.0,13.0,5.67,0
2012-07-25,13.6,13.6,13.6,13.6,5.93,300
2012-07-26,13.6,13.6,13.6,13.6,5.93,20
2012-07-27,13.8,13.0,13.8,13.7,5.97,1070
2012-07-30,13.7,13.7,13.7,13.7,5.97,100
2012-07-31,13.9,13.1,13.1,13.2,5.75,130
2012-08-01,13.2,13.2,13.2,13.2,5.75,5000
2012-08-02,13.5,13.0,13.5,13.0,5.67,30
2012-08-03,13.3,13.3,13.3,13.3,5.8,10
2012-08-06,13.5,12.9,13.5,12.9,5.62,130
2012-08-07,13.3,12.6,13.3,12.6,5.49,2520
2012-08-08,13.2,12.6,12.6,13.2,5.75,2240
2012-08-09,13.1,12.8,12.8,13.1,5.71,11680
2012-08-10,12.9,12.9,12.9,12.9,5.62,20
2012-08-13,12.9,12.6,12.9,12.6,5.49,1950
2012-08-14,12.7,12.6,12.6,12.7,5.54,22000
2012-08-15,13.2,12.6,13.2,12.6,5.49,40
2012-08-16,12.7,12.6,12.6,12.7,5.54,150
2012-08-17,13.0,12.6,12.6,13.0,5.67,9930
2012-08-20,13.1,12.8,12.8,13.1,5.71,1770
2012-08-21,12.7,12.5,12.7,12.5,5.45,32290
2012-08-22,13.1,12.1,13.0,12.2,5.32,7950
2012-08-23,11.8,11.6,11.8,11.6,5.06,15440
2012-08-24,12.1,11.6,11.6,12.0,5.23,1710
2012-08-27,12.6,11.7,12.6,11.7,5.1,20
2012-08-28,11.8,11.7,11.8,11.7,5.1,1560
2012-08-29,12.1,11.7,12.1,11.7,5.1,610
2012-08-30,12.0,11.8,11.8,12.0,5.23,300
2012-08-31,12.0,12.0,12.0,12.0,5.23,1000
2012-09-04,12.6,12.0,12.6,12.3,5.36,1710
2012-09-05,12.0,12.0,12.0,12.0,5.23,480
2012-09-06,12.6,11.8,12.4,11.9,5.19,1710
2012-09-07,12.2,12.0,12.0,12.0,5.23,150
2012-09-10,12.0,11.8,11.8,11.8,5.14,1040
2012-09-11,12.0,11.3,11.3,11.5,5.01,2640
2012-09-12,11.5,11.5,11.5,11.5,5.01,0
2012-09-13,11.9,11.5,11.5,11.5,5.01,1130
2012-09-14,12.0,11.8,11.8,12.0,5.23,830
2012-09-17,12.5,12.5,12.5,12.5,5.45,280
2012-09-18,13.0,11.9,13.0,11.9,5.19,80
2012-09-19,11.9,11.5,11.9,11.5,5.01,100
2012-09-20,11.6,11.1,11.6,11.1,4.84,1560
2012-09-21,11.6,11.3,11.3,11.5,5.01,80
2012-09-24,11.8,11.6,11.8,11.8,5.14,700
2012-09-25,12.2,11.3,11.3,11.9,5.19,2030
2012-09-26,11.6,11.6,11.6,11.6,5.06,10
2012-09-27,12.1,11.4,11.4,12.1,5.27,60
2012-09-28,11.6,11.6,11.6,11.6,5.06,10
2012-10-01,12.1,11.6,11.6,12.1,5.27,480
2012-10-02,12.1,11.9,12.0,11.9,5.19,510
2012-10-03,12.0,11.4,12.0,11.4,4.97,800
2012-10-04,11.5,11.5,11.5,11.5,5.01,3000
2012-10-05,11.6,11.6,11.6,11.6,5.06,102430
2012-10-08,11.8,11.5,11.6,11.8,5.14,1420
2012-10-09,11.8,11.8,11.8,11.8,5.14,50
2012-10-10,11.8,11.6,11.6,11.8,5.14,1000
2012-10-11,12.0,12.0,12.0,12.0,5.23,2900
2012-10-12,12.0,12.0,12.0,12.0,5.23,500
2012-10-15,11.8,11.7,11.8,11.7,5.1,6000
2012-10-16,12.0,11.7,11.7,12.0,5.23,1740
2012-10-17,12.0,11.7,11.8,12.0,5.23,6010
2012-10-18,12.0,12.0,12.0,12.0,5.23,14460
2012-10-19,12.0,12.0,12.0,12.0,5.23,5100
2012-10-22,12.0,12.0,12.0,12.0,5.23,0
2012-10-23,12.0,12.0,12.0,12.0,5.23,0
2012-10-24,11.6,11.6,11.6,11.6,5.06,1000
2012-10-25,12.0,12.0,12.0,12.0,5.23,10
2012-10-26,12.0,12.0,12.0,12.0,5.23,310
2012-10-29,12.4,12.4,12.4,12.4,5.41,10
2012-10-30,12.4,12.4,12.4,12.4,5.41,0
