Date,High,Low,Open,Close,adjust,Volume
2018-11-12,14.9,14.9,14.9,14.9,9.47,31200
2018-11-13,17.1,17.1,17.1,17.1,10.87,14800
2018-11-14,17.1,17.1,17.1,17.1,10.87,0
2018-11-15,17.1,17.1,17.1,17.1,10.87,0
2018-11-16,19.6,14.6,19.6,14.7,9.34,3300
2018-11-19,17.8,17.8,17.8,17.8,11.31,0
2018-11-20,17.8,17.8,17.8,17.8,11.31,0
2018-11-21,17.8,17.8,17.8,17.8,11.31,0
2018-11-22,17.8,17.8,17.8,17.8,11.31,0
2018-11-23,17.8,17.8,17.8,17.8,11.31,0
2018-11-26,17.8,17.8,17.8,17.8,11.31,0
2018-11-27,17.4,17.0,17.4,17.0,10.81,3600
2018-11-28,16.5,16.0,16.0,16.4,10.42,3600
2018-11-29,16.0,16.0,16.0,16.0,10.17,2000
2018-11-30,15.5,15.5,15.5,15.5,9.85,1500
2018-12-03,15.5,15.5,15.5,15.5,9.85,1500
2018-12-04,15.5,15.5,15.5,15.5,9.85,0
2018-12-05,15.2,14.8,15.0,15.1,9.6,107200
2018-12-06,15.0,15.0,15.0,15.0,9.53,100000
2018-12-07,15.0,14.7,14.7,15.0,9.53,111767
2018-12-10,15.0,15.0,15.0,15.0,9.53,92000
2018-12-11,14.9,14.9,14.9,14.9,9.47,1000
2018-12-12,14.9,14.8,14.9,14.8,9.41,38000
2018-12-13,15.0,15.0,15.0,15.0,9.53,64500
2018-12-14,15.0,15.0,15.0,15.0,9.53,0
2018-12-17,15.0,15.0,15.0,15.0,9.53,0
2018-12-18,15.0,15.0,15.0,15.0,9.53,2000
2018-12-19,15.0,14.8,15.0,14.8,9.41,5000
2018-12-20,14.9,14.9,14.9,14.9,9.47,2600
2018-12-21,15.0,15.0,15.0,15.0,9.53,2500
2018-12-24,15.0,15.0,15.0,15.0,9.53,0
2018-12-25,14.9,14.9,14.9,14.9,9.47,44000
2018-12-26,15.0,14.9,15.0,14.9,9.47,7700
2018-12-27,14.8,14.8,14.8,14.8,9.41,2600
2018-12-28,14.6,14.6,14.6,14.6,9.28,2800
