Date,High,Low,Open,Close,adjust,Volume
2015-12-22,12.5,11.7,12.5,11.7,7.82,31900
2015-12-23,11.7,11.7,11.7,11.7,7.82,17000
2015-12-24,12.0,11.7,11.7,12.0,8.02,109000
2015-12-25,11.9,11.7,11.7,11.9,7.95,54300
2015-12-28,12.0,11.9,11.9,12.0,8.02,54300
2015-12-29,12.0,11.9,12.0,12.0,8.02,27500
2015-12-30,12.5,12.1,12.1,12.5,8.35,72600
2015-12-31,13.7,12.5,12.5,13.7,9.15,165900
2016-01-04,14.2,12.5,12.5,14.2,9.49,98100
2016-01-05,15.0,13.9,14.2,15.0,10.02,195500
2016-01-06,15.1,14.9,15.0,15.1,10.09,189100
2016-01-07,15.3,14.6,14.9,15.3,10.22,186100
2016-01-08,15.6,14.9,14.9,15.6,10.42,193400
2016-01-11,15.8,15.6,15.6,15.8,10.55,230900
2016-01-12,15.8,15.5,15.8,15.5,10.35,138400
2016-01-13,15.5,15.0,15.4,15.4,10.29,119300
2016-01-14,15.8,15.4,15.4,15.7,10.49,87400
2016-01-15,16.1,15.7,15.7,15.9,10.62,22800
2016-01-18,15.5,15.3,15.5,15.4,10.29,16300
2016-01-19,16.9,15.5,15.5,16.9,11.29,160200
2016-01-20,17.2,16.9,16.9,17.2,11.49,873900
2016-01-21,17.5,16.8,17.0,17.2,11.49,111800
2016-01-22,18.9,17.7,17.9,18.9,12.63,175300
2016-01-25,19.1,18.7,18.8,19.0,12.69,63400
2016-01-26,18.8,18.5,18.7,18.6,12.43,18600
2016-01-27,20.3,18.6,18.6,20.1,13.43,51400
2016-01-28,20.2,19.9,20.1,20.1,13.43,92100
2016-01-29,20.0,19.8,19.9,19.8,13.23,42500
2016-02-01,19.7,18.5,19.7,18.8,12.56,160300
2016-02-02,19.1,18.0,18.7,19.1,12.76,107000
2016-02-03,19.3,19.0,19.0,19.3,12.89,17000
2016-02-04,19.3,19.2,19.2,19.3,12.89,4100
2016-02-05,19.1,19.0,19.1,19.1,12.76,3200
2016-02-15,19.2,18.9,19.2,19.1,12.76,236500
2016-02-16,19.7,19.0,19.0,19.6,13.09,201800
2016-02-17,19.9,19.6,19.6,19.9,13.29,187400
2016-02-18,20.4,19.9,19.9,20.4,13.63,200900
2016-02-19,20.5,20.3,20.4,20.5,13.69,193400
2016-02-22,20.5,20.0,20.5,20.0,13.36,95200
