Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.9,8.9,8.9,8.9,1.3,0
2012-01-04,9.3,9.3,9.3,9.3,1.36,10
2012-01-05,9.3,9.3,9.3,9.3,1.36,890
2012-01-06,9.3,9.3,9.3,9.3,1.36,0
2012-01-09,9.5,9.5,9.5,9.5,1.39,10
2012-01-10,9.8,9.8,9.8,9.8,1.43,10
2012-01-11,9.4,9.4,9.4,9.4,1.37,20
2012-01-12,9.0,9.0,9.0,9.0,1.31,10000
2012-01-13,8.6,8.6,8.6,8.6,1.25,10
2012-01-16,8.2,8.2,8.2,8.2,1.2,9990
2012-01-17,8.6,7.8,7.8,8.6,1.25,20
2012-01-18,8.6,8.6,8.6,8.6,1.25,0
2012-01-19,8.6,8.6,8.6,8.6,1.25,0
2012-01-20,9.0,8.6,8.6,9.0,1.31,40
2012-01-30,9.2,9.2,9.2,9.2,1.34,10
2012-01-31,9.4,9.3,9.4,9.3,1.36,2810
2012-02-01,9.7,9.0,9.0,9.7,1.42,17740
2012-02-02,10.1,10.0,10.1,10.1,1.47,9540
2012-02-03,10.4,10.4,10.4,10.4,1.52,500
2012-02-06,10.9,10.7,10.9,10.7,1.56,950
2012-02-07,10.4,10.2,10.2,10.2,1.49,3600
2012-02-08,10.1,9.7,9.7,9.9,1.44,1880
2012-02-09,9.9,9.9,9.9,9.9,1.44,5640
2012-02-10,9.9,9.9,9.9,9.9,1.44,0
2012-02-13,9.9,9.9,9.9,9.9,1.44,0
2012-02-14,10.1,10.0,10.0,10.1,1.47,60
2012-02-15,9.9,9.9,9.9,9.9,1.44,180
2012-02-16,10.3,10.0,10.3,10.0,1.46,3690
2012-02-17,10.0,10.0,10.0,10.0,1.46,3210
2012-02-20,10.0,9.5,10.0,9.5,1.39,4000
2012-02-21,9.9,9.9,9.9,9.9,1.44,20
2012-02-22,10.0,9.7,10.0,9.7,1.42,3970
2012-02-23,10.1,10.1,10.1,10.1,1.47,420
2012-02-24,10.6,10.6,10.6,10.6,1.55,9170
2012-02-27,11.1,11.1,11.1,11.1,1.62,6800
2012-02-28,11.6,11.6,11.6,11.6,1.69,28790
2012-02-29,11.6,11.1,11.6,11.6,1.69,6080
2012-03-01,11.6,11.1,11.6,11.4,1.66,9780
2012-03-02,11.9,11.4,11.5,11.9,1.74,15270
2012-03-05,12.4,11.8,12.2,12.4,1.81,18970
2012-03-06,13.0,12.4,12.4,12.8,1.87,14860
2012-03-07,12.8,12.2,12.2,12.8,1.87,2710
2012-03-08,11.4,11.4,11.4,11.4,1.87,0
2012-03-09,11.2,10.9,11.2,10.9,1.79,5690
2012-03-12,10.8,10.4,10.8,10.4,1.7,20
2012-03-13,9.9,9.9,9.9,9.9,1.62,1040
2012-03-14,10.3,9.5,9.9,9.5,1.56,210
2012-03-15,9.1,9.1,9.1,9.1,1.49,2330
2012-03-16,9.5,9.1,9.5,9.5,1.56,4230
2012-03-19,9.9,9.9,9.9,9.9,1.62,620
2012-03-20,10.3,10.3,10.3,10.3,1.69,100
2012-03-21,10.8,10.8,10.8,10.8,1.77,1100
2012-03-22,11.3,10.4,11.3,10.4,1.7,240
2012-03-23,10.8,9.9,10.8,9.9,1.62,450
2012-03-26,10.3,9.5,9.5,9.7,1.59,25470
2012-03-27,9.5,9.5,9.5,9.5,1.56,100
2012-03-28,9.9,9.1,9.1,9.9,1.62,11100
2012-03-29,10.3,9.5,9.5,10.3,1.69,740
2012-03-30,10.3,10.3,10.3,10.3,1.69,0
2012-04-03,10.4,9.8,9.8,10.4,1.7,590
2012-04-04,10.0,9.9,9.9,9.9,1.62,31930
2012-04-05,9.6,9.6,9.6,9.6,1.57,1100
2012-04-06,10.0,9.5,10.0,10.0,1.64,3030
2012-04-09,10.0,10.0,10.0,10.0,1.64,30
2012-04-10,10.0,10.0,10.0,10.0,1.64,0
2012-04-11,10.1,9.9,10.0,10.1,1.65,17360
2012-04-12,10.6,9.6,9.6,10.6,1.74,50200
2012-04-13,11.0,11.0,11.0,11.0,1.8,500
2012-04-16,11.3,11.3,11.3,11.3,1.85,20
2012-04-17,11.4,10.8,10.8,10.8,1.77,540
2012-04-18,10.3,10.3,10.3,10.3,1.69,10310
2012-04-19,10.8,9.9,10.8,9.9,1.62,1170
2012-04-20,10.3,9.9,10.3,9.9,1.62,7800
2012-04-23,10.3,10.3,10.3,10.3,1.69,5000
2012-04-24,10.8,9.8,10.8,9.8,1.61,5750
2012-04-25,10.2,9.6,10.2,9.6,1.57,10200
2012-04-26,10.0,9.3,10.0,9.3,1.52,50030
2012-04-27,9.7,9.5,9.5,9.7,1.59,470030
2012-05-02,10.1,10.1,10.1,10.1,1.65,120
2012-05-03,10.6,10.6,10.6,10.6,1.74,20030
2012-05-04,11.1,11.1,11.1,11.1,1.82,24730
2012-05-07,11.6,11.6,11.6,11.6,1.9,300110
2012-05-08,12.1,12.0,12.0,12.1,1.98,38590
2012-05-09,12.7,12.7,12.7,12.7,2.08,25600
2012-05-10,13.3,13.3,13.3,13.3,2.18,52000
2012-05-11,13.9,13.9,13.9,13.9,2.28,138060
2012-05-14,14.4,13.3,14.4,13.3,2.18,87960
2012-05-15,13.7,12.7,13.7,13.3,2.18,21040
2012-05-16,13.3,12.7,13.3,13.1,2.15,35950
2012-05-17,13.6,13.1,13.1,13.5,2.21,38210
2012-05-18,13.6,12.9,13.6,13.5,2.21,55680
2012-05-21,13.4,12.9,13.2,13.2,2.16,66770
2012-05-22,13.6,12.7,13.6,13.5,2.21,22540
2012-05-23,13.0,12.9,13.0,12.9,2.11,42500
2012-05-24,12.7,12.3,12.7,12.3,2.02,42190
2012-05-25,12.9,12.1,12.3,12.9,2.11,28660
2012-05-28,13.5,13.0,13.5,13.2,2.16,63850
2012-05-29,13.4,13.0,13.1,13.4,2.2,2610
2012-05-30,13.4,12.9,13.0,13.0,2.13,37800
2012-05-31,13.0,12.5,12.5,12.6,2.06,104210
2012-06-01,13.2,13.0,13.0,13.2,2.16,73900
2012-06-04,13.4,12.8,13.4,13.2,2.16,50510
2012-06-05,13.6,12.9,12.9,13.6,2.23,34600
2012-06-06,13.6,13.2,13.3,13.6,2.23,88270
2012-06-07,14.2,13.9,13.9,14.2,2.33,124440
2012-06-08,14.9,14.9,14.9,14.9,2.44,99420
2012-06-11,15.6,15.4,15.6,15.6,2.56,227840
2012-06-12,16.3,16.2,16.3,16.3,2.67,139690
2012-06-13,17.0,15.5,16.3,16.9,2.77,258250
2012-06-14,16.1,16.1,16.1,16.1,2.64,25480
2012-06-15,15.3,15.3,15.3,15.3,2.51,97510
2012-06-18,15.4,14.6,14.9,15.2,2.49,206800
2012-06-19,15.2,14.5,15.0,14.5,2.38,513010
2012-06-20,14.0,13.8,13.9,13.8,2.26,193460
2012-06-21,14.1,13.3,14.1,13.5,2.21,110750
2012-06-22,13.8,13.0,13.3,13.1,2.15,89990
2012-06-25,13.2,12.5,13.2,12.5,2.05,106030
2012-06-26,11.9,11.9,11.9,11.9,1.95,7160
2012-06-27,11.4,11.4,11.4,11.4,1.87,10700
2012-06-28,10.9,10.9,10.9,10.9,1.79,6150
2012-06-29,11.0,10.4,10.5,10.7,1.75,273730
2012-07-02,11.1,10.2,10.3,10.2,1.67,57900
2012-07-03,10.0,9.7,9.8,9.7,1.59,161220
2012-07-04,10.1,9.7,9.7,10.1,1.65,67060
2012-07-05,10.4,10.0,10.4,10.1,1.65,63060
2012-07-06,10.6,10.0,10.1,10.3,1.69,43360
2012-07-09,10.5,9.8,10.0,9.8,1.61,80390
2012-07-10,9.8,9.4,9.4,9.4,1.54,125940
2012-07-11,9.6,9.4,9.5,9.4,1.54,41500
2012-07-12,9.8,9.6,9.6,9.8,1.61,63090
2012-07-13,10.2,10.1,10.1,10.2,1.67,50970
2012-07-16,10.6,10.0,10.2,10.2,1.67,47600
2012-07-17,10.5,9.8,10.0,10.3,1.69,43980
2012-07-18,10.6,10.0,10.3,10.0,1.64,43850
2012-07-19,10.5,9.8,10.1,10.5,1.72,78070
2012-07-20,11.0,11.0,11.0,11.0,1.8,162540
2012-07-23,11.5,11.0,11.2,11.5,1.88,85500
2012-07-24,12.0,11.0,11.8,11.0,1.8,81140
2012-07-25,11.0,10.5,10.7,10.5,1.72,80770
2012-07-26,10.6,10.0,10.6,10.5,1.72,57120
2012-07-27,10.6,10.0,10.6,10.4,1.7,84030
2012-07-30,10.3,9.9,10.3,9.9,1.62,55820
2012-07-31,10.3,10.0,10.0,10.2,1.67,98510
2012-08-01,10.1,9.7,9.8,9.8,1.61,42510
2012-08-02,10.0,9.6,10.0,9.6,1.57,46100
2012-08-03,9.9,9.5,9.5,9.9,1.62,3670
2012-08-06,10.3,9.9,9.9,10.0,1.64,26240
2012-08-07,10.4,9.8,10.2,9.8,1.61,42500
2012-08-08,10.0,9.8,10.0,9.8,1.61,8220
2012-08-09,10.2,10.0,10.0,10.2,1.67,47670
2012-08-10,10.3,9.9,10.1,9.9,1.62,8040
2012-08-13,9.9,9.7,9.8,9.9,1.62,8830
2012-08-14,10.1,9.8,9.8,10.0,1.64,8310
2012-08-15,10.2,9.7,10.0,9.7,1.59,12060
2012-08-16,9.9,9.5,9.8,9.5,1.56,17420
2012-08-17,9.8,9.5,9.7,9.6,1.57,10410
2012-08-20,9.7,9.5,9.6,9.7,1.59,8840
2012-08-21,9.5,9.3,9.5,9.3,1.52,31310
2012-08-22,9.0,8.9,8.9,8.9,1.46,151350
2012-08-23,8.5,8.5,8.5,8.5,1.39,42580
2012-08-24,8.9,8.1,8.1,8.1,1.33,86650
2012-08-27,8.2,7.7,8.2,7.9,1.29,34250
2012-08-28,8.2,8.1,8.1,8.2,1.34,29850
2012-08-29,8.6,8.3,8.4,8.6,1.41,10050
2012-08-30,8.8,8.4,8.4,8.8,1.44,2070
2012-08-31,8.9,8.5,8.8,8.5,1.39,7670
2012-09-04,8.8,8.2,8.8,8.2,1.34,11830
2012-09-05,8.4,7.8,8.4,8.3,1.36,46000
2012-09-06,8.7,8.0,8.7,8.5,1.39,12530
2012-09-07,8.6,8.1,8.6,8.3,1.36,9970
2012-09-10,8.0,8.0,8.0,8.0,1.31,20000
2012-09-11,8.4,8.2,8.4,8.3,1.36,240
2012-09-12,8.4,8.3,8.3,8.4,1.38,100
