Date,High,Low,Open,Close,adjust,Volume
2016-06-06,18.0,15.0,15.0,17.8,11.22,65660
2016-06-07,17.9,16.8,17.9,17.6,11.09,13030
2016-06-08,17.6,17.6,17.6,17.6,11.09,0
2016-06-09,16.5,16.4,16.4,16.4,10.34,10020
2016-06-10,16.5,15.3,16.1,15.4,9.71,15970
2016-06-13,15.4,14.8,15.4,14.8,9.33,7220
2016-06-14,15.8,14.6,14.6,15.8,9.96,6170
2016-06-15,16.4,15.8,16.4,15.8,9.96,13040
2016-06-16,16.0,15.5,16.0,15.5,9.77,11930
2016-06-17,15.5,15.1,15.4,15.1,9.52,1970
2016-06-20,15.6,15.4,15.4,15.5,9.77,24920
2016-06-21,15.9,15.1,15.1,15.9,10.02,9860
2016-06-22,15.9,15.4,15.4,15.9,10.02,400
2016-06-23,15.5,15.4,15.4,15.5,9.77,5900
2016-06-24,15.2,15.0,15.0,15.2,9.58,9060
2016-06-27,15.2,14.6,14.6,14.6,9.2,16490
2016-06-28,15.6,15.5,15.6,15.5,9.77,160
2016-06-29,15.5,15.5,15.5,15.5,9.77,0
2016-06-30,15.2,15.0,15.0,15.2,9.58,44600
2016-07-01,15.4,15.3,15.3,15.3,9.64,12480
2016-07-04,15.5,15.0,15.0,15.5,9.77,13450
2016-07-05,15.5,15.3,15.5,15.3,9.64,2760
2016-07-06,15.3,15.1,15.3,15.1,9.52,2370
2016-07-07,15.5,15.3,15.3,15.5,9.77,11000
2016-07-08,15.8,15.1,15.1,15.7,9.9,17310
2016-07-11,15.7,15.7,15.7,15.7,9.9,16880
2016-07-12,15.7,15.7,15.7,15.7,9.9,2590
2016-07-13,15.7,15.1,15.1,15.7,9.9,10190
2016-07-14,15.7,15.7,15.7,15.7,9.9,12000
2016-07-15,15.3,15.2,15.2,15.3,9.64,2300
2016-07-18,15.4,15.2,15.2,15.4,9.71,3300
2016-07-19,15.6,15.5,15.5,15.6,9.83,1300
2016-07-20,15.8,15.6,15.6,15.8,9.96,3110
2016-07-21,15.7,15.5,15.5,15.7,9.9,28100
2016-07-22,15.8,15.6,15.7,15.8,9.96,5130
2016-07-25,15.8,15.7,15.8,15.7,9.9,4600
2016-07-26,16.7,15.7,15.7,16.7,10.53,15710
2016-07-27,17.8,17.5,16.7,17.8,11.22,60980
2016-07-28,18.9,17.9,17.9,18.9,11.91,74290
2016-07-29,19.0,18.5,18.9,18.5,11.66,33690
2016-08-01,18.5,17.5,18.4,18.5,11.66,10740
2016-08-02,18.5,17.5,18.5,18.4,11.6,31180
2016-08-03,18.3,17.5,17.5,18.3,11.53,33590
2016-08-04,18.5,17.8,18.5,17.8,11.22,14430
2016-08-05,18.8,17.5,17.5,17.8,11.22,17820
2016-08-08,18.0,17.8,18.0,17.8,11.22,12600
2016-08-09,18.3,17.8,18.0,18.3,11.53,10950
2016-08-10,18.5,18.0,18.5,18.3,11.53,31780
2016-08-11,19.0,18.3,18.3,18.5,11.66,5420
2016-08-12,18.5,18.5,18.5,18.5,11.66,19650
2016-08-15,18.5,18.5,18.5,18.5,11.66,1500
2016-08-16,18.5,18.2,18.5,18.2,11.47,10030
2016-08-17,18.5,17.8,17.8,18.0,11.35,9540
2016-08-18,18.0,17.9,18.0,17.9,11.28,14880
2016-08-19,18.5,17.8,17.8,17.8,11.22,6910
2016-08-22,18.1,17.8,18.1,17.9,11.28,23010
2016-08-23,18.0,17.9,17.9,17.9,11.28,26080
2016-08-24,18.0,17.9,17.9,17.9,11.28,15330
2016-08-25,18.2,17.9,17.9,18.0,11.35,19830
2016-08-26,18.0,18.0,18.0,18.0,11.35,4500
2016-08-29,18.4,18.0,18.0,18.2,11.47,14360
2016-08-30,18.2,18.0,18.2,18.1,11.41,4650
2016-08-31,18.5,18.2,18.5,18.5,11.66,16910
2016-09-01,18.5,18.2,18.2,18.5,11.66,22420
2016-09-05,19.4,18.1,18.1,19.4,12.23,13210
2016-09-06,19.0,18.6,19.0,18.9,11.91,7000
2016-09-07,18.8,18.7,18.7,18.8,11.85,3360
2016-09-08,19.3,17.8,18.5,18.2,11.47,17720
2016-09-09,18.5,18.3,18.3,18.5,11.66,9500
2016-09-12,18.2,18.1,18.1,18.2,11.47,6770
2016-09-13,18.9,18.9,18.9,18.9,11.91,10
2016-09-14,18.9,18.1,18.9,18.9,11.91,220
2016-09-15,18.5,18.2,18.2,18.2,11.47,12000
2016-09-16,19.45,18.2,18.2,18.7,11.79,2410
2016-09-19,18.6,18.25,18.25,18.5,11.66,6270
2016-09-20,18.6,18.1,18.3,18.1,11.41,7100
2016-09-21,18.2,18.0,18.2,18.1,11.41,28290
2016-09-22,18.2,17.0,18.1,18.2,11.47,21110
2016-09-23,18.25,18.25,18.25,18.25,11.5,9500
2016-09-26,18.25,18.25,18.25,18.25,11.5,5000
2016-09-27,18.25,17.9,18.25,18.2,11.47,6510
2016-09-28,18.2,17.75,18.2,18.2,11.47,24830
2016-09-29,18.2,17.75,18.2,18.1,11.41,19550
2016-09-30,18.1,17.7,17.7,18.1,11.41,9920
2016-10-03,17.8,17.5,17.8,17.8,11.22,15510
2016-10-04,17.8,17.5,17.8,17.8,11.22,25110
2016-10-05,18.0,17.6,17.8,17.9,11.28,3210
2016-10-06,17.8,17.7,17.8,17.8,11.22,12400
2016-10-07,17.8,17.2,17.6,17.2,10.84,12560
