Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.2,17.1,17.2,17.1,7.47,28500
2012-01-04,17.9,17.2,17.9,17.3,7.55,25630
2012-01-05,17.4,17.1,17.4,17.1,7.47,19420
2012-01-06,17.3,16.9,17.2,17.1,7.47,16220
2012-01-09,17.3,17.1,17.3,17.1,7.47,8750
2012-01-10,17.1,16.7,17.1,16.7,7.29,900
2012-01-11,17.2,16.5,16.5,17.0,7.42,22930
2012-01-12,17.2,16.8,17.1,16.8,7.33,30520
2012-01-13,17.0,17.0,17.0,17.0,7.42,5190
2012-01-16,17.0,17.0,17.0,17.0,7.42,720
2012-01-17,17.8,16.5,17.8,16.5,7.2,5310
2012-01-18,17.0,16.8,17.0,16.8,7.33,8010
2012-01-19,17.0,17.0,17.0,17.0,7.42,12490
2012-01-20,17.1,16.9,17.1,16.9,7.38,51820
2012-01-30,17.1,17.0,17.0,17.0,7.42,17030
2012-01-31,17.5,16.6,17.0,17.0,7.42,590
2012-02-01,17.1,17.0,17.0,17.1,7.47,30
2012-02-02,17.9,17.0,17.0,17.1,7.47,14110
2012-02-03,17.3,17.0,17.1,17.0,7.42,9640
2012-02-06,17.2,16.5,17.2,16.5,7.2,1010
2012-02-07,16.9,16.4,16.9,16.4,7.16,72000
2012-02-08,17.0,16.4,16.4,16.4,7.16,29270
2012-02-09,17.1,16.4,17.1,16.4,7.16,13720
2012-02-10,16.7,16.0,16.7,16.3,7.12,27290
2012-02-13,16.2,16.0,16.0,16.2,7.07,1510
2012-02-14,16.3,16.2,16.2,16.3,7.12,3000
2012-02-15,16.4,16.2,16.2,16.4,7.16,4240
2012-02-16,16.4,16.4,16.4,16.4,7.16,14000
2012-02-17,16.8,16.6,16.8,16.6,7.25,5470
2012-02-20,16.8,16.6,16.6,16.7,7.29,30070
2012-02-21,17.0,16.7,16.7,17.0,7.42,45110
2012-02-22,17.0,16.9,17.0,17.0,7.42,52390
2012-02-23,17.0,17.0,17.0,17.0,7.42,13000
2012-02-24,16.8,16.4,16.8,16.4,7.16,30730
2012-02-27,16.8,16.2,16.4,16.8,7.33,28160
2012-02-28,16.5,16.2,16.5,16.2,7.07,5380
2012-02-29,16.3,16.2,16.2,16.3,7.12,6500
2012-03-01,16.4,16.4,16.4,16.4,7.16,7700
2012-03-02,16.9,16.5,16.5,16.6,7.25,11930
2012-03-05,17.4,16.8,16.8,17.4,7.6,29340
2012-03-06,17.5,16.8,17.5,16.9,7.38,19650
2012-03-07,17.0,16.7,16.8,17.0,7.42,5250
2012-03-08,17.4,16.6,17.4,16.6,7.25,4010
2012-03-09,17.0,16.4,16.5,17.0,7.42,6660
2012-03-12,17.1,16.6,17.1,16.9,7.38,8560
2012-03-13,17.1,16.6,16.6,17.0,7.42,4980
2012-03-14,17.0,16.9,16.9,17.0,7.42,5010
2012-03-15,17.0,17.0,17.0,17.0,7.42,8580
2012-03-16,17.7,16.9,17.7,17.0,7.42,4130
2012-03-19,17.0,17.0,17.0,17.0,7.42,15660
2012-03-20,17.0,16.6,16.6,17.0,7.42,8100
2012-03-21,17.2,17.0,17.0,17.2,7.51,6960
2012-03-22,17.5,17.0,17.0,17.4,7.6,23540
2012-03-23,17.6,17.1,17.1,17.6,7.68,2030
2012-03-26,17.2,17.1,17.2,17.2,7.51,6270
2012-03-27,17.1,17.1,17.1,17.1,7.47,14000
2012-03-28,17.1,17.1,17.1,17.1,7.47,0
2012-03-29,17.1,17.0,17.0,17.1,7.47,7650
2012-03-30,17.0,17.0,17.0,17.0,7.42,1300
2012-04-03,17.2,17.0,17.0,17.2,7.51,13600
2012-04-04,17.2,17.2,17.2,17.2,7.51,3600
2012-04-05,18.0,17.8,17.8,18.0,7.86,18040
2012-04-06,18.8,18.5,18.5,18.5,8.08,1030
2012-04-09,19.0,18.0,19.0,18.0,7.86,1090
2012-04-10,18.0,18.0,18.0,18.0,7.86,3360
2012-04-11,18.5,18.5,18.5,18.5,8.08,110
2012-04-12,18.9,18.5,18.7,18.8,8.21,11800
2012-04-13,19.0,18.5,19.0,19.0,8.29,18820
2012-04-16,19.7,19.2,19.2,19.7,8.6,20700
2012-04-17,20.2,20.0,20.2,20.0,8.73,17320
2012-04-18,20.5,19.9,20.0,19.9,8.69,24700
2012-04-19,20.0,19.7,20.0,19.7,8.6,11890
2012-04-20,20.6,19.8,19.8,20.0,8.73,70160
2012-04-23,20.5,20.0,20.5,20.0,8.73,133620
2012-04-24,20.9,20.0,20.5,20.0,8.73,24500
2012-04-25,20.9,20.0,20.9,20.5,8.95,13730
2012-04-26,20.0,20.0,20.0,20.0,8.73,133950
2012-04-27,20.3,19.8,20.0,19.8,8.64,21040
2012-05-02,20.5,19.5,20.5,19.6,8.56,8560
2012-05-03,19.8,19.6,19.6,19.6,8.56,10570
2012-05-04,20.2,19.4,19.4,20.0,8.73,102410
2012-05-07,20.1,20.0,20.1,20.0,8.73,152090
2012-05-08,20.4,20.0,20.2,20.3,8.86,22240
2012-05-09,20.5,20.0,20.3,20.3,8.86,1603380
2012-05-10,21.3,20.0,20.0,20.8,9.08,33800
2012-05-11,21.2,20.0,21.2,20.9,9.12,178020
2012-05-14,21.2,20.6,20.7,21.2,9.26,28860
2012-05-15,21.0,20.8,20.8,21.0,9.17,6090
2012-05-16,21.4,21.1,21.2,21.4,9.34,11590
2012-05-17,22.4,21.5,22.0,22.0,9.6,26510
2012-05-18,22.0,21.5,22.0,21.5,9.39,24980
2012-05-21,22.0,22.0,22.0,22.0,9.6,4650
2012-05-22,22.0,21.0,22.0,21.9,9.56,9020
2012-05-23,21.6,21.0,21.6,21.0,9.17,4190
2012-05-24,21.0,20.5,21.0,20.5,8.95,290
2012-05-25,21.5,21.5,21.5,21.5,9.39,200
2012-05-28,21.5,21.0,21.0,21.5,9.39,1010
2012-05-29,21.0,21.0,21.0,21.0,9.17,700
2012-05-30,21.5,21.0,21.0,21.2,9.26,1000
2012-05-31,21.2,21.2,21.2,21.2,9.26,1250
2012-06-01,21.4,21.1,21.1,21.4,9.34,7100
2012-06-04,20.9,20.6,20.6,20.9,9.12,2400
2012-06-05,21.1,20.3,20.3,21.1,9.21,930
2012-06-06,21.2,20.7,21.2,21.1,9.21,20520
2012-06-07,21.2,20.6,20.6,21.2,9.26,2810
2012-06-08,21.2,21.2,21.2,21.2,9.26,500
2012-06-11,21.4,21.4,21.4,21.4,9.34,100
2012-06-12,21.4,20.5,21.4,20.5,8.95,1500
2012-06-13,21.4,21.4,21.4,21.4,9.34,100
2012-06-14,22.0,21.0,21.0,22.0,9.6,2910
2012-06-15,21.0,21.0,21.0,21.0,9.17,1010
2012-06-18,21.0,21.0,21.0,21.0,9.17,0
2012-06-19,21.0,20.3,21.0,20.3,8.86,5220
2012-06-20,20.2,20.0,20.2,20.1,8.78,3410
2012-06-21,20.5,20.0,20.0,20.5,8.95,1480
2012-06-22,21.5,21.5,21.5,21.5,9.39,20
2012-06-25,20.9,20.9,20.9,20.9,9.12,20
2012-06-26,20.9,20.9,20.9,20.9,9.12,0
2012-06-27,20.9,20.9,20.9,20.9,9.12,100
2012-06-28,20.5,20.2,20.5,20.2,8.82,6610
2012-06-29,20.4,20.3,20.3,20.4,8.91,1780
2012-07-02,21.0,21.0,21.0,21.0,9.17,1804500
2012-07-03,21.0,20.5,21.0,20.5,8.95,710090
2012-07-04,21.0,21.0,21.0,21.0,9.17,60000
2012-07-05,21.0,21.0,21.0,21.0,9.17,100
2012-07-06,21.0,21.0,21.0,21.0,9.17,100000
2012-07-09,21.0,20.5,20.5,20.5,8.95,18100
2012-07-10,20.5,20.5,20.5,20.5,8.95,14600
2012-07-11,20.5,20.5,20.5,20.5,8.95,22960
2012-07-12,21.0,20.5,20.5,20.5,8.95,32500
2012-07-13,20.0,19.6,20.0,20.0,9.18,122710
2012-07-16,20.5,20.0,20.0,20.0,9.18,69090
2012-07-17,20.0,20.0,20.0,20.0,9.18,0
2012-07-18,20.0,19.5,19.5,20.0,9.18,1010
2012-07-19,19.4,19.4,19.4,19.4,8.9,1200
2012-07-20,19.5,19.5,19.5,19.5,8.95,2500
2012-07-23,19.5,19.5,19.5,19.5,8.95,0
2012-07-24,20.4,18.9,19.2,18.9,8.67,4230
2012-07-25,19.8,19.0,19.0,19.0,8.72,13010
2012-07-26,19.6,18.2,18.2,19.0,8.72,27400
2012-07-27,19.5,19.5,19.5,19.5,8.95,46000
2012-07-30,18.7,18.7,18.7,18.7,8.58,410
2012-07-31,18.0,18.0,18.0,18.0,8.26,10
2012-08-01,18.9,17.7,17.7,18.9,8.67,120
2012-08-02,18.9,18.9,18.9,18.9,8.67,0
2012-08-03,19.8,19.8,19.8,19.8,9.09,10
2012-08-06,20.0,19.1,19.2,20.0,9.18,1310
2012-08-07,20.5,20.5,20.5,20.5,9.41,10
2012-08-08,20.5,20.5,20.5,20.5,9.41,0
2012-08-09,19.8,19.8,19.8,19.8,9.09,480
2012-08-10,19.5,19.5,19.5,19.5,8.95,2000
2012-08-13,19.1,19.0,19.1,19.0,8.72,2000
2012-08-14,19.2,19.2,19.2,19.2,8.81,500
2012-08-15,19.5,19.5,19.5,19.5,8.95,350
2012-08-16,19.5,19.5,19.5,19.5,8.95,0
2012-08-17,19.5,19.5,19.5,19.5,8.95,0
2012-08-20,19.5,19.5,19.5,19.5,8.95,0
2012-08-21,19.5,18.6,19.2,19.5,8.95,27020
2012-08-22,18.9,18.8,18.9,18.8,8.63,3070
2012-08-23,18.5,18.5,18.5,18.5,8.49,90
2012-08-24,19.4,18.7,18.7,19.4,8.9,3300
2012-08-27,19.0,18.5,19.0,18.5,8.49,6010
2012-08-28,18.0,18.0,18.0,18.0,8.26,50
2012-08-29,18.0,18.0,18.0,18.0,8.26,0
2012-08-30,18.9,18.8,18.8,18.9,8.67,1500
2012-08-31,19.0,19.0,19.0,19.0,8.72,20
2012-09-04,19.0,19.0,19.0,19.0,8.72,2500
2012-09-05,19.0,18.7,18.7,19.0,8.72,2010
2012-09-06,19.0,19.0,19.0,19.0,8.72,2000
2012-09-07,19.0,19.0,19.0,19.0,8.72,2000
2012-09-10,18.7,18.2,18.7,18.2,8.35,5810
2012-09-11,18.2,18.2,18.2,18.2,8.35,3600
2012-09-12,18.2,18.0,18.2,18.0,8.26,610
2012-09-13,18.0,18.0,18.0,18.0,8.26,5900
2012-09-14,18.5,18.0,18.0,18.5,8.49,14330
2012-09-17,18.5,18.5,18.5,18.5,8.49,2910
2012-09-18,18.4,18.4,18.4,18.4,8.44,1000
2012-09-19,18.5,18.4,18.4,18.5,8.49,3000
2012-09-20,17.9,17.9,17.9,17.9,8.22,4000
2012-09-21,18.7,18.0,18.0,18.7,8.58,2600
2012-09-24,19.4,19.4,19.4,19.4,8.9,1500
2012-09-25,19.4,19.4,19.4,19.4,8.9,0
2012-09-26,19.5,19.5,19.5,19.5,8.95,7000
2012-09-27,19.3,19.3,19.3,19.3,8.86,2480
2012-09-28,19.4,19.3,19.3,19.4,8.9,12030
2012-10-01,19.3,19.3,19.3,19.3,8.86,3000
2012-10-02,19.3,19.3,19.3,19.3,8.86,0
2012-10-03,19.0,19.0,19.0,19.0,8.72,100
2012-10-04,19.0,19.0,19.0,19.0,8.72,0
2012-10-05,19.0,19.0,19.0,19.0,8.72,300
2012-10-08,19.0,19.0,19.0,19.0,8.72,0
2012-10-09,19.0,19.0,19.0,19.0,8.72,10
2012-10-10,19.0,19.0,19.0,19.0,8.72,0
2012-10-11,19.0,19.0,19.0,19.0,8.72,0
2012-10-12,19.0,18.5,19.0,18.5,8.49,1010
2012-10-15,18.5,18.5,18.5,18.5,8.49,0
2012-10-16,19.0,19.0,19.0,19.0,8.72,500
2012-10-17,19.0,19.0,19.0,19.0,8.72,0
2012-10-18,19.0,19.0,19.0,19.0,8.72,0
2012-10-19,18.5,18.5,18.5,18.5,8.49,2470
2012-10-22,19.0,19.0,19.0,19.0,8.72,100
2012-10-23,19.0,19.0,19.0,19.0,8.72,0
2012-10-24,18.5,18.5,18.5,18.5,8.49,400
2012-10-25,18.5,18.5,18.5,18.5,8.49,0
2012-10-26,18.5,18.5,18.5,18.5,8.49,5040
2012-10-29,18.5,18.5,18.5,18.5,8.49,4100
2012-10-30,18.5,18.5,18.5,18.5,8.49,1270
2012-10-31,18.5,18.5,18.5,18.5,8.49,0
2012-11-01,18.5,18.0,18.0,18.5,8.49,710
2012-11-02,18.0,18.0,18.0,18.0,8.26,2000
2012-11-05,18.0,18.0,18.0,18.0,8.26,2000
2012-11-06,18.0,18.0,18.0,18.0,8.26,2000
2012-11-07,18.0,18.0,18.0,18.0,8.26,0
2012-11-08,18.0,18.0,18.0,18.0,8.26,2370
2012-11-09,18.0,18.0,18.0,18.0,8.26,1000
2012-11-12,18.0,18.0,18.0,18.0,8.26,0
2012-11-13,18.0,18.0,18.0,18.0,8.26,5000
2012-11-14,18.0,18.0,18.0,18.0,8.26,2030
2012-11-15,18.0,18.0,18.0,18.0,8.26,0
2012-11-16,18.0,18.0,18.0,18.0,8.26,300
2012-11-19,18.0,18.0,18.0,18.0,8.26,0
2012-11-20,18.1,18.1,18.1,18.1,8.31,260
2012-11-21,18.3,18.0,18.0,18.3,8.4,1050
2012-11-22,18.5,18.5,18.5,18.5,8.49,3440
2012-11-23,19.0,18.6,19.0,19.0,8.72,1210
2012-11-26,19.0,19.0,19.0,19.0,8.72,460
2012-11-27,19.0,19.0,19.0,19.0,8.72,0
2012-11-28,19.5,19.0,19.5,19.0,8.72,310
2012-11-29,19.1,19.0,19.0,19.0,8.72,110
2012-11-30,19.5,19.5,19.5,19.5,8.95,90
2012-12-03,19.5,19.5,19.5,19.5,8.95,120
2012-12-04,19.5,19.5,19.5,19.5,8.95,260
2012-12-05,18.0,18.0,18.0,18.0,8.71,520
2012-12-06,18.0,17.9,17.9,18.0,8.71,100
2012-12-07,18.5,17.9,17.9,17.9,8.66,280
2012-12-10,18.3,18.0,18.0,18.3,8.85,110
2012-12-11,18.4,17.5,17.5,18.4,8.9,270
2012-12-12,18.4,18.4,18.4,18.4,8.9,0
2012-12-13,19.3,18.4,19.3,18.5,8.95,4900
2012-12-14,19.3,19.3,19.3,19.3,9.34,10
2012-12-17,19.3,19.3,19.3,19.3,9.34,10
2012-12-18,19.3,19.3,19.3,19.3,9.34,230
2012-12-19,19.1,19.0,19.1,19.1,9.24,2060
2012-12-20,20.0,19.4,19.4,20.0,9.68,50
2012-12-21,20.4,19.9,19.9,20.4,9.87,50
2012-12-24,20.4,20.4,20.4,20.4,9.87,200
2012-12-25,20.0,20.0,20.0,20.0,9.68,2000
2012-12-26,20.0,20.0,20.0,20.0,9.68,4530
2012-12-27,19.0,19.0,19.0,19.0,9.19,1160
2012-12-28,19.0,18.1,19.0,19.0,9.19,18350
2013-01-02,19.5,19.5,19.5,19.5,9.43,4900
2013-01-03,19.5,18.8,19.2,19.0,9.19,8300
2013-01-04,19.0,18.2,18.2,19.0,9.19,9800
2013-01-07,19.0,18.2,19.0,19.0,9.19,12560
2013-01-08,19.0,18.5,18.5,19.0,9.19,2010
2013-01-09,19.0,19.0,19.0,19.0,9.19,0
2013-01-10,18.4,18.4,18.4,18.4,8.9,1000
2013-01-11,19.0,18.4,18.4,18.5,8.95,5150
2013-01-14,18.5,18.5,18.5,18.5,8.95,0
2013-01-15,18.6,18.5,18.6,18.5,8.95,3530
2013-01-16,18.5,18.5,18.5,18.5,8.95,7870
2013-01-17,18.5,18.0,18.5,18.0,8.71,8020
2013-01-18,18.0,18.0,18.0,18.0,8.71,2000
2013-01-21,18.0,18.0,18.0,18.0,8.71,2000
2013-01-22,18.5,18.0,18.0,18.5,8.95,3010
2013-01-23,18.2,18.2,18.2,18.2,8.8,1090
2013-01-24,18.2,18.2,18.2,18.2,8.8,1030
2013-01-25,18.2,18.2,18.2,18.2,8.8,3000
2013-01-28,18.3,18.3,18.3,18.3,8.85,1200
2013-01-29,18.5,18.3,18.3,18.5,8.95,3500
2013-01-30,18.5,18.3,18.3,18.5,8.95,4900
2013-01-31,18.5,18.5,18.5,18.5,8.95,1000
2013-02-01,18.0,18.0,18.0,18.0,8.71,3410
2013-02-04,18.1,18.0,18.0,18.0,8.71,6900
2013-02-05,18.0,18.0,18.0,18.0,8.71,2010
2013-02-06,18.4,18.0,18.0,18.4,8.9,3410
2013-02-07,18.0,18.0,18.0,18.0,8.71,8470
2013-02-08,18.0,18.0,18.0,18.0,8.71,0
2013-02-18,18.0,18.0,18.0,18.0,8.71,0
2013-02-19,18.3,18.0,18.3,18.0,8.71,1020
