Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.8,4.6,4.7,4.8,1.96,59830
2012-01-04,4.8,4.6,4.6,4.8,1.96,44830
2012-01-05,4.7,4.6,4.7,4.7,1.92,46320
2012-01-06,4.7,4.5,4.6,4.7,1.92,70580
2012-01-09,4.7,4.5,4.6,4.7,1.92,54900
2012-01-10,4.8,4.6,4.6,4.8,1.96,78880
2012-01-11,4.8,4.6,4.8,4.8,1.96,137500
2012-01-12,4.7,4.6,4.7,4.7,1.92,55040
2012-01-13,4.7,4.6,4.6,4.7,1.92,44260
2012-01-16,4.8,4.7,4.7,4.8,1.96,49700
2012-01-17,4.8,4.6,4.6,4.8,1.96,40770
2012-01-18,4.8,4.7,4.7,4.8,1.96,16130
2012-01-19,4.9,4.8,4.8,4.9,2.0,51800
2012-01-20,5.0,4.9,5.0,5.0,2.04,62250
2012-01-30,5.2,5.0,5.0,5.2,2.12,149760
2012-01-31,5.4,5.1,5.2,5.3,2.16,114570
2012-02-01,5.3,5.1,5.3,5.2,2.12,62120
2012-02-02,5.3,5.0,5.0,5.3,2.16,145740
2012-02-03,5.3,5.1,5.3,5.2,2.12,102140
2012-02-06,5.2,5.0,5.2,5.2,2.12,31650
2012-02-07,5.2,5.0,5.2,5.2,2.12,56020
2012-02-08,5.2,5.0,5.2,5.0,2.04,105190
2012-02-09,5.1,4.8,5.0,4.8,1.96,111920
2012-02-10,4.9,4.7,4.7,4.8,1.96,67760
2012-02-13,4.8,4.7,4.8,4.8,1.96,30660
2012-02-14,4.8,4.7,4.8,4.8,1.96,29470
2012-02-15,4.9,4.6,4.9,4.6,1.88,50250
2012-02-16,4.6,4.6,4.6,4.6,1.88,17170
2012-02-17,4.7,4.5,4.6,4.7,1.92,63070
2012-02-20,4.9,4.7,4.7,4.9,2.0,139390
2012-02-21,5.0,4.7,5.0,4.7,1.92,121040
2012-02-22,4.9,4.6,4.6,4.9,2.0,174910
2012-02-23,5.1,4.8,4.9,5.1,2.08,335250
2012-02-24,5.2,5.0,5.1,5.0,2.04,259750
2012-02-27,5.2,4.9,5.0,5.2,2.12,411830
2012-02-28,5.3,5.0,5.3,5.0,2.04,289190
2012-02-29,5.1,4.8,4.9,5.1,2.08,177750
2012-03-01,5.2,5.0,5.1,5.1,2.08,244530
2012-03-02,5.3,5.1,5.2,5.3,2.16,812660
2012-03-05,5.5,5.5,5.5,5.5,2.25,66910
2012-03-06,5.7,5.5,5.7,5.7,2.33,919080
2012-03-07,5.9,5.6,5.9,5.9,2.41,918120
2012-03-08,5.9,5.7,5.8,5.8,2.37,522480
2012-03-09,5.8,5.6,5.8,5.7,2.33,263410
2012-03-12,5.7,5.5,5.6,5.5,2.25,205800
2012-03-13,5.6,5.3,5.4,5.4,2.21,306160
2012-03-14,5.5,5.3,5.5,5.4,2.21,196490
2012-03-15,5.6,5.6,5.6,5.6,2.29,59130
2012-03-16,5.8,5.8,5.8,5.8,2.37,272010
2012-03-19,6.0,6.0,6.0,6.0,2.45,295040
2012-03-20,6.3,6.1,6.3,6.3,2.57,791680
2012-03-21,6.6,6.5,6.6,6.6,2.7,501540
2012-03-22,6.6,6.3,6.5,6.3,2.57,595150
2012-03-23,6.6,6.3,6.3,6.6,2.7,762200
2012-03-26,6.8,6.5,6.7,6.7,2.74,589000
2012-03-27,6.8,6.4,6.7,6.4,2.61,667850
2012-03-28,6.2,6.1,6.1,6.1,2.49,474490
2012-03-29,5.9,5.8,5.8,5.8,2.37,408580
2012-03-30,5.7,5.6,5.6,5.6,2.29,295380
2012-04-03,5.8,5.5,5.6,5.8,2.37,240480
2012-04-04,5.8,5.6,5.7,5.6,2.29,110590
2012-04-05,5.8,5.5,5.6,5.8,2.37,170070
