Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.8,6.8,6.8,6.8,3.82,10100
2012-01-04,7.0,6.5,6.5,7.0,3.93,350
2012-01-05,6.7,6.7,6.7,6.7,3.76,10
2012-01-06,6.4,6.4,6.4,6.4,3.59,10
2012-01-09,6.2,6.1,6.2,6.1,3.43,1060
2012-01-10,6.4,5.8,5.8,5.8,3.26,2080
2012-01-11,6.0,5.6,5.6,5.7,3.2,12590
2012-01-12,5.9,5.5,5.9,5.9,3.31,30
2012-01-13,6.0,6.0,6.0,6.0,3.37,2910
2012-01-16,6.3,5.7,5.7,6.3,3.54,6210
2012-01-17,6.5,6.0,6.0,6.5,3.65,30
2012-01-18,6.5,6.2,6.5,6.2,3.48,20
2012-01-19,6.2,5.9,5.9,6.2,3.48,10010
2012-01-20,6.5,5.9,6.5,5.9,3.31,10030
2012-01-30,6.1,5.8,6.1,6.1,3.43,260
2012-01-31,6.1,6.0,6.1,6.0,3.37,11000
2012-02-01,5.8,5.8,5.8,5.8,3.26,10
2012-02-02,6.0,6.0,6.0,6.0,3.37,200
2012-02-03,5.8,5.7,5.8,5.7,3.2,41800
2012-02-06,5.7,5.5,5.5,5.7,3.2,6990
2012-02-07,5.7,5.6,5.7,5.6,3.15,20
2012-02-08,5.8,5.8,5.8,5.8,3.26,30
2012-02-09,6.0,5.7,6.0,5.7,3.2,60
2012-02-10,5.9,5.9,5.9,5.9,3.31,60
2012-02-13,5.7,5.7,5.7,5.7,3.2,3210
2012-02-14,5.6,5.5,5.5,5.5,3.09,1550
2012-02-15,5.7,5.5,5.5,5.7,3.2,40
2012-02-16,5.9,5.7,5.9,5.7,3.2,4100
2012-02-17,5.9,5.6,5.9,5.9,3.31,6490
2012-02-20,6.1,6.0,6.0,6.1,3.43,1020
2012-02-21,5.8,5.8,5.8,5.8,3.26,30060
2012-02-22,5.8,5.7,5.8,5.8,3.26,18530
2012-02-23,5.8,5.7,5.7,5.7,3.2,33300
2012-02-24,5.8,5.7,5.7,5.8,3.26,8620
2012-02-27,6.0,5.7,5.9,5.7,3.2,7740
2012-02-28,5.9,5.5,5.5,5.5,3.09,20290
2012-02-29,5.5,5.5,5.5,5.5,3.09,6700
2012-03-01,5.7,5.5,5.5,5.7,3.2,2980
2012-03-02,5.8,5.8,5.8,5.8,3.26,2320
2012-03-05,6.0,5.7,5.7,5.9,3.31,91540
2012-03-06,6.1,5.8,6.1,5.9,3.31,51810
2012-03-07,6.0,5.8,6.0,5.8,3.26,36640
2012-03-08,6.0,5.7,6.0,5.7,3.2,53490
2012-03-09,5.8,5.6,5.6,5.6,3.15,25730
2012-03-12,5.7,5.6,5.6,5.6,3.15,6040
2012-03-13,5.6,5.6,5.6,5.6,3.15,300
2012-03-14,5.8,5.6,5.8,5.6,3.15,5050
2012-03-15,5.8,5.4,5.4,5.6,3.15,22080
2012-03-16,5.6,5.6,5.6,5.6,3.15,2250
2012-03-19,5.6,5.6,5.6,5.6,3.15,11300
2012-03-20,5.8,5.6,5.6,5.6,3.15,3640
2012-03-21,5.7,5.7,5.7,5.7,3.2,6800
2012-03-22,5.7,5.6,5.6,5.6,3.15,27040
2012-03-23,5.7,5.6,5.6,5.7,3.2,48190
2012-03-26,5.7,5.6,5.7,5.6,3.15,40150
2012-03-27,5.8,5.6,5.6,5.8,3.26,7290
2012-03-28,6.0,5.6,6.0,5.9,3.31,13880
2012-03-29,6.0,5.9,6.0,5.9,3.31,210
2012-03-30,5.8,5.7,5.8,5.7,3.2,1510
2012-04-03,5.6,5.6,5.6,5.6,3.15,1330
2012-04-04,5.6,5.4,5.6,5.4,3.03,2100
2012-04-05,5.6,5.4,5.5,5.4,3.03,6540
2012-04-06,5.6,5.5,5.6,5.5,3.09,6170
2012-04-09,5.6,5.6,5.6,5.6,3.15,2030
2012-04-10,5.6,5.5,5.6,5.5,3.09,5030
2012-04-11,5.5,5.5,5.5,5.5,3.09,1240
2012-04-12,5.7,5.5,5.6,5.5,3.09,1510
2012-04-13,5.6,5.5,5.5,5.5,3.09,2030
2012-04-16,5.7,5.6,5.6,5.7,3.2,1450
2012-04-17,5.8,5.6,5.8,5.7,3.2,9090
2012-04-18,5.8,5.6,5.7,5.7,3.2,10020
2012-04-19,5.8,5.5,5.7,5.5,3.09,9040
2012-04-20,5.5,5.4,5.4,5.5,3.09,550
2012-04-23,5.7,5.5,5.5,5.7,3.2,7230
2012-04-24,5.5,5.5,5.5,5.5,3.09,10050
2012-04-25,5.7,5.5,5.5,5.5,3.09,12610
2012-04-26,5.7,5.4,5.4,5.5,3.09,280
2012-04-27,5.6,5.5,5.6,5.6,3.15,10680
2012-05-02,5.6,5.6,5.6,5.6,3.15,2340
2012-05-03,5.5,5.5,5.5,5.5,3.09,470
2012-05-04,5.7,5.4,5.4,5.7,3.2,28660
2012-05-07,5.9,5.7,5.9,5.9,3.31,12770
2012-05-08,6.1,6.1,6.1,6.1,3.43,36070
2012-05-09,6.4,6.4,6.4,6.4,3.59,640
2012-05-10,6.6,6.1,6.5,6.1,3.43,22880
2012-05-11,6.4,5.9,6.4,5.9,3.31,49030
2012-05-14,6.1,5.7,6.1,5.7,3.2,17980
2012-05-15,5.6,5.5,5.6,5.5,3.09,5630
2012-05-16,5.7,5.4,5.4,5.7,3.2,7890
2012-05-17,5.7,5.5,5.7,5.6,3.15,12210
2012-05-18,5.7,5.4,5.6,5.4,3.03,30600
2012-05-21,5.6,5.3,5.3,5.3,2.98,1330
2012-05-22,5.5,5.4,5.4,5.5,3.09,1020
2012-05-23,5.4,5.3,5.4,5.3,2.98,15490
2012-05-24,5.5,5.1,5.5,5.1,2.86,190
2012-05-25,5.3,5.0,5.3,5.3,2.98,2380
2012-05-28,5.4,5.3,5.4,5.3,2.98,10100
2012-05-29,5.5,5.2,5.5,5.2,2.92,270
2012-05-30,5.4,5.3,5.3,5.4,3.03,510
2012-05-31,5.5,5.3,5.5,5.3,2.98,6010
2012-06-01,5.4,5.2,5.4,5.2,2.92,2060
2012-06-04,5.1,5.1,5.1,5.1,2.86,210
2012-06-05,5.2,5.1,5.2,5.1,2.86,210
2012-06-06,5.3,5.1,5.1,5.3,2.98,420
2012-06-07,5.5,5.3,5.5,5.5,3.09,1220
2012-06-08,5.7,5.4,5.7,5.6,3.15,260
2012-06-11,5.8,5.5,5.8,5.5,3.09,1150
2012-06-12,5.4,5.4,5.4,5.4,3.03,2560
2012-06-13,5.3,5.3,5.3,5.3,2.98,150
2012-06-14,5.4,5.2,5.4,5.2,2.92,7400
2012-06-15,5.4,5.2,5.2,5.4,3.03,3760
2012-06-18,5.5,5.4,5.5,5.4,3.03,3060
2012-06-19,5.3,5.3,5.3,5.3,2.98,1000
2012-06-20,5.3,5.2,5.3,5.2,2.92,17100
2012-06-21,5.3,5.2,5.3,5.2,2.92,660
2012-06-22,5.2,5.2,5.2,5.2,2.92,240
2012-06-25,5.2,5.2,5.2,5.2,2.92,7300
2012-06-26,5.2,5.1,5.2,5.1,2.86,7260
2012-06-27,5.2,5.2,5.2,5.2,2.92,10
2012-06-28,5.4,5.1,5.2,5.4,3.03,2100
2012-06-29,5.3,5.3,5.3,5.3,2.98,2360
2012-07-02,5.3,5.3,5.3,5.3,2.98,40
2012-07-03,5.4,5.1,5.2,5.4,3.03,10590
2012-07-04,5.2,5.2,5.2,5.2,2.92,20
2012-07-05,5.2,5.2,5.2,5.2,2.92,30
2012-07-06,5.1,5.1,5.1,5.1,2.86,640
2012-07-09,5.2,5.2,5.2,5.2,2.92,500
2012-07-10,5.1,5.1,5.1,5.1,2.86,3030
2012-07-11,5.2,5.2,5.2,5.2,2.92,100
2012-07-12,5.4,5.2,5.3,5.4,3.03,13370
2012-07-13,5.5,5.3,5.3,5.4,3.03,4030
2012-07-16,5.6,5.4,5.6,5.4,3.03,12560
2012-07-17,5.5,5.2,5.2,5.5,3.09,1510
2012-07-18,5.6,5.3,5.3,5.6,3.15,300
2012-07-19,5.7,5.4,5.4,5.7,3.2,1020
2012-07-20,5.8,5.5,5.5,5.8,3.26,1020
2012-07-23,5.6,5.6,5.6,5.6,3.15,10
2012-07-24,5.4,5.4,5.4,5.4,3.03,20
2012-07-25,5.6,5.2,5.2,5.6,3.15,1390
2012-07-26,5.7,5.7,5.7,5.7,3.2,600
2012-07-27,5.7,5.5,5.5,5.7,3.2,280
2012-07-30,5.5,5.5,5.5,5.5,3.09,200
2012-07-31,5.6,5.6,5.6,5.6,3.15,300
2012-08-01,5.6,5.6,5.6,5.6,3.15,100
2012-08-02,5.6,5.4,5.4,5.6,3.15,30
2012-08-03,5.6,5.4,5.4,5.6,3.15,6010
2012-08-06,5.6,5.6,5.6,5.6,3.15,110
2012-08-07,5.6,5.4,5.6,5.5,3.09,1920
2012-08-08,5.7,5.7,5.7,5.7,3.2,200
2012-08-09,5.6,5.6,5.6,5.6,3.15,2000
2012-08-10,5.7,5.4,5.7,5.4,3.03,2420
2012-08-13,5.3,5.2,5.3,5.2,2.92,3300
2012-08-14,5.4,5.2,5.2,5.4,3.03,600
2012-08-15,5.6,5.6,5.6,5.6,3.15,150
2012-08-16,5.6,5.4,5.6,5.4,3.03,590
2012-08-17,5.6,5.2,5.6,5.2,2.92,330
2012-08-20,5.2,5.2,5.2,5.2,2.92,0
2012-08-21,5.0,5.0,5.0,5.0,2.81,3390
2012-08-22,5.1,5.0,5.1,5.0,2.81,11200
2012-08-23,4.8,4.8,4.8,4.8,2.7,10000
2012-08-24,4.6,4.6,4.6,4.6,2.58,15200
2012-08-27,4.7,4.7,4.7,4.7,2.64,100
2012-08-28,4.8,4.8,4.8,4.8,2.7,100
2012-08-29,4.9,4.9,4.9,4.9,2.75,100
2012-08-30,4.7,4.7,4.7,4.7,2.64,10050
2012-08-31,4.7,4.7,4.7,4.7,2.64,0
2012-09-04,4.5,4.5,4.5,4.5,2.53,500
2012-09-05,4.7,4.7,4.7,4.7,2.64,10
2012-09-06,4.8,4.8,4.8,4.8,2.7,100
2012-09-07,4.8,4.8,4.8,4.8,2.7,0
2012-09-10,4.8,4.7,4.7,4.8,2.7,200
2012-09-11,4.8,4.8,4.8,4.8,2.7,0
2012-09-12,4.8,4.8,4.8,4.8,2.7,0
2012-09-13,4.6,4.6,4.6,4.6,2.58,5010
2012-09-14,4.6,4.6,4.6,4.6,2.58,0
2012-09-17,4.7,4.7,4.7,4.7,2.64,100
2012-09-18,4.7,4.7,4.7,4.7,2.64,0
2012-09-19,4.5,4.5,4.5,4.5,2.53,110
2012-09-20,4.5,4.5,4.5,4.5,2.53,200
2012-09-21,4.5,4.5,4.5,4.5,2.53,0
2012-09-24,4.3,4.3,4.3,4.3,2.42,1500
2012-09-25,4.3,4.1,4.1,4.3,2.42,6400
2012-09-26,4.5,4.5,4.5,4.5,2.53,1030
2012-09-27,4.7,4.7,4.7,4.7,2.64,570
2012-09-28,4.9,4.5,4.9,4.5,2.53,20
2012-10-01,4.6,4.3,4.3,4.6,2.58,50
2012-10-02,4.4,4.4,4.4,4.4,2.47,10
2012-10-03,4.6,4.2,4.2,4.6,2.58,110
2012-10-04,4.8,4.4,4.4,4.8,2.7,160
2012-10-05,4.6,4.6,4.6,4.6,2.58,140
2012-10-08,4.4,4.4,4.4,4.4,2.47,10
2012-10-09,4.3,4.2,4.2,4.3,2.42,30
2012-10-10,4.5,4.2,4.3,4.5,2.53,60
2012-10-11,4.5,4.3,4.5,4.3,2.42,1920
2012-10-12,4.3,4.3,4.3,4.3,2.42,30
2012-10-15,4.5,4.4,4.4,4.5,2.53,5300
2012-10-16,4.7,4.7,4.7,4.7,2.64,6780
2012-10-17,4.9,4.7,4.7,4.9,2.75,330
2012-10-18,4.9,4.9,4.9,4.9,2.75,570
2012-10-19,5.1,4.9,4.9,5.1,2.86,16660
2012-10-22,5.2,4.9,4.9,5.2,2.92,1010
2012-10-23,5.0,5.0,5.0,5.0,2.81,2010
2012-10-24,5.2,5.2,5.2,5.2,2.92,120
2012-10-25,5.4,5.0,5.0,5.4,3.03,1010
2012-10-26,5.2,5.2,5.2,5.2,2.92,510
2012-10-29,5.4,5.0,5.0,5.4,3.03,1010
2012-10-30,5.6,5.2,5.4,5.2,2.92,90
2012-10-31,5.2,5.0,5.0,5.2,2.92,5980
2012-11-01,5.4,5.0,5.0,5.4,3.03,6330
2012-11-02,5.5,5.2,5.2,5.5,3.09,510
