Date,High,Low,Open,Close,adjust,Volume
2019-05-30,36.0,36.0,36.0,36.0,9.06,30
2019-05-31,38.5,38.5,38.5,38.5,9.69,30
2019-06-03,41.15,41.15,41.15,41.15,10.36,30
2019-06-04,41.15,41.15,41.15,41.15,10.36,0
2019-06-05,44.0,44.0,44.0,44.0,11.08,30
2019-06-06,47.05,47.05,47.05,47.05,11.84,30
2019-06-07,48.0,48.0,48.0,48.0,12.08,3000
2019-06-10,51.3,51.3,51.3,51.3,12.91,40
2019-06-11,54.8,53.0,54.8,53.0,13.34,470
2019-06-12,56.7,56.7,56.7,56.7,14.27,380
2019-06-13,60.6,60.6,60.6,60.6,15.26,430
2019-06-14,64.8,58.0,64.8,58.0,14.6,1000
2019-06-17,56.0,54.0,56.0,54.0,13.59,440
2019-06-18,54.5,50.3,50.3,54.5,13.72,590
2019-06-19,54.5,50.7,54.5,54.5,13.72,1030
2019-06-20,50.7,50.7,50.7,50.7,12.76,1340
2019-06-21,54.2,47.2,54.2,54.2,13.64,1120
2019-06-24,55.0,54.0,54.0,55.0,13.85,1320
2019-06-25,55.0,54.9,55.0,55.0,13.85,2030
2019-06-26,56.0,55.5,56.0,56.0,14.1,330
2019-06-27,56.0,53.5,55.5,55.5,13.97,570
2019-06-28,55.5,55.4,55.5,55.5,13.97,680
2019-07-01,59.3,51.7,55.0,55.0,13.85,1630
2019-07-02,54.0,51.2,54.0,54.0,13.59,1410
2019-07-03,53.5,53.5,53.5,53.5,13.47,1530
2019-07-04,53.0,50.0,53.5,50.0,12.59,1310
2019-07-05,53.5,46.5,53.5,53.0,13.34,810
2019-07-08,55.8,50.1,52.0,55.8,14.05,1600
2019-07-09,55.8,53.2,53.2,55.8,14.05,1100
2019-07-10,56.0,52.8,55.0,52.8,13.29,920
2019-07-11,54.8,54.0,54.8,54.8,13.8,1360
2019-07-12,55.1,55.1,55.1,55.1,13.87,680
2019-07-15,55.1,52.1,55.1,55.1,13.87,1930
2019-07-16,55.5,55.1,55.1,55.5,13.97,1680
2019-07-17,56.0,55.5,55.5,56.0,14.1,1010
2019-07-18,55.5,52.1,55.5,55.5,13.97,1250
2019-07-19,56.0,55.5,55.5,56.0,14.1,670
2019-07-22,56.5,56.0,56.0,56.5,14.22,2000
2019-07-23,56.5,52.7,52.7,56.5,14.22,1500
2019-07-24,56.5,52.6,52.6,56.0,14.1,1130
2019-07-25,57.0,57.0,57.0,57.0,14.35,750
2019-07-26,57.0,57.0,57.0,57.0,14.35,1010
2019-07-29,57.1,57.1,57.1,57.1,14.37,1280
2019-07-30,58.0,53.4,53.4,58.0,14.6,1200
2019-07-31,56.5,54.0,54.0,56.5,14.22,1350
2019-08-01,56.5,56.5,56.5,56.5,14.22,1090
2019-08-02,55.5,54.0,55.0,55.5,13.97,1730
2019-08-05,57.5,55.9,55.9,56.0,14.1,3410
2019-08-06,56.0,56.0,56.0,56.0,14.1,2330
2019-08-07,58.0,52.1,56.0,56.0,14.1,1960
2019-08-08,57.0,55.0,56.0,57.0,14.35,2220
2019-08-09,57.5,54.5,57.3,57.5,14.48,4250
2019-08-12,60.0,53.6,60.0,57.0,14.35,1220
2019-08-13,56.0,53.4,53.4,56.0,14.1,2380
2019-08-14,57.0,56.0,57.0,56.0,14.1,1150
2019-08-15,59.0,52.3,52.3,56.0,14.1,2040
2019-08-16,56.5,52.2,56.0,56.5,14.22,1320
2019-08-19,56.5,53.0,53.0,55.0,13.85,2010
2019-08-20,57.5,55.5,57.5,55.5,13.97,990
2019-08-21,55.5,54.0,55.5,54.0,13.59,2300
2019-08-22,57.0,53.1,53.1,56.5,14.22,2170
2019-08-23,59.0,56.5,57.0,56.5,14.22,1500
2019-08-26,56.5,53.0,53.0,56.5,14.22,2610
2019-08-27,56.5,56.0,56.0,56.4,14.2,2830
2019-08-28,56.2,56.2,56.2,56.2,14.15,2310
2019-08-29,55.3,55.0,55.0,55.0,13.85,2010
2019-08-30,54.8,51.6,51.6,54.5,13.72,1290
2019-09-03,54.0,51.5,51.5,54.0,13.59,2100
2019-09-04,54.0,54.0,51.5,54.0,13.59,2220
