Date,High,Low,Open,Close,adjust,Volume
2012-01-03,13.0,12.6,13.0,13.0,3.56,1940
2012-01-04,13.0,12.8,13.0,12.8,3.51,890
2012-01-05,12.8,12.2,12.7,12.2,3.35,6920
2012-01-06,12.5,12.0,12.0,12.5,3.43,3080
2012-01-09,12.7,12.2,12.2,12.7,3.48,9790
2012-01-10,13.1,12.5,12.5,13.0,3.56,10420
2012-01-11,13.1,12.8,13.0,12.8,3.51,4010
2012-01-12,12.7,12.7,12.7,12.7,3.48,300
2012-01-13,13.0,12.5,13.0,12.8,3.51,13240
2012-01-16,12.9,12.8,12.9,12.8,3.51,4610
2012-01-17,12.9,12.5,12.9,12.5,3.43,870
2012-01-18,12.8,12.8,12.8,12.8,3.51,30
2012-01-19,13.0,12.8,12.9,13.0,3.56,6380
2012-01-20,13.1,13.0,13.0,13.1,3.59,6410
2012-01-30,13.2,12.8,12.8,13.2,3.62,2940
2012-01-31,13.5,13.2,13.5,13.2,3.62,14590
2012-02-01,13.3,13.0,13.0,13.2,3.62,11960
2012-02-02,13.3,12.9,12.9,13.2,3.62,38380
2012-02-03,13.2,12.8,13.2,12.8,3.51,6090
2012-02-06,13.0,12.6,13.0,13.0,3.56,88450
2012-02-07,12.9,12.9,12.9,12.9,3.54,6310
2012-02-08,13.2,12.9,13.0,13.2,3.62,23400
2012-02-09,13.8,13.2,13.2,13.8,3.78,70380
2012-02-10,14.1,13.5,14.0,13.5,3.7,20520
2012-02-13,13.4,13.0,13.2,13.4,3.67,11760
2012-02-14,13.4,13.0,13.0,13.2,3.62,30680
2012-02-15,13.1,13.0,13.1,13.0,3.56,11300
2012-02-16,13.1,12.9,13.0,13.0,3.56,6210
2012-02-17,13.2,13.0,13.0,13.1,3.59,9550
2012-02-20,13.4,13.1,13.1,13.3,3.65,52960
2012-02-21,13.4,13.0,13.4,13.1,3.59,22520
2012-02-22,13.3,12.8,13.0,13.2,3.62,32270
2012-02-23,13.7,13.2,13.4,13.4,3.67,19880
2012-02-24,13.7,13.2,13.7,13.3,3.65,135340
2012-02-27,13.8,13.3,13.4,13.7,3.76,49650
2012-02-28,13.8,13.2,13.8,13.3,3.65,38730
2012-02-29,13.4,13.0,13.0,13.3,3.65,76920
2012-03-01,13.5,13.0,13.5,13.0,3.56,74950
2012-03-02,13.3,13.0,13.3,13.2,3.62,61490
2012-03-05,13.8,13.8,13.8,13.8,3.78,56800
2012-03-06,14.0,13.3,14.0,13.4,3.67,94380
2012-03-07,13.5,13.2,13.5,13.3,3.65,55330
2012-03-08,13.4,12.9,13.2,13.0,3.56,55770
2012-03-09,13.5,12.9,13.0,13.2,3.62,50250
2012-03-12,13.2,13.0,13.2,13.0,3.56,48180
2012-03-13,13.2,12.8,13.1,13.2,3.62,20890
2012-03-14,13.3,12.9,13.3,12.9,3.54,27240
2012-03-15,13.3,12.7,12.7,13.1,3.59,27710
2012-03-16,13.4,13.0,13.4,13.0,3.56,48490
2012-03-19,13.1,12.7,13.0,12.7,3.48,29620
2012-03-20,13.1,12.8,13.0,13.0,3.56,32110
2012-03-21,13.3,13.0,13.2,13.1,3.59,45260
2012-03-22,13.1,12.7,12.8,13.0,3.56,89730
2012-03-23,13.1,12.8,13.0,13.0,3.56,56370
2012-03-26,13.6,12.8,13.0,13.6,3.73,311380
2012-03-27,14.2,13.2,13.8,13.2,3.62,110540
2012-03-28,13.4,13.0,13.1,13.4,3.67,55380
2012-03-29,13.4,13.1,13.2,13.1,3.59,25000
2012-03-30,13.1,12.7,13.1,12.7,3.48,39200
2012-04-03,13.0,12.7,12.8,12.9,3.54,45480
2012-04-04,12.8,12.5,12.8,12.5,3.43,82950
2012-04-05,12.8,12.1,12.5,12.8,3.51,28910
2012-04-06,13.0,12.6,12.7,12.8,3.51,68540
2012-04-09,13.0,12.7,12.8,12.8,3.51,33090
2012-04-10,12.9,12.5,12.8,12.8,3.51,67250
2012-04-11,13.1,12.9,13.0,12.9,3.54,48490
2012-04-12,13.3,12.9,13.2,13.0,3.56,98700
2012-04-13,13.0,12.8,13.0,12.8,3.51,26550
2012-04-16,13.4,12.8,12.8,13.4,3.67,86810
2012-04-17,13.5,13.1,13.3,13.2,3.62,61330
2012-04-18,13.5,12.9,13.2,13.3,3.65,126880
2012-04-19,13.2,12.8,13.2,12.8,3.51,96230
2012-04-20,13.0,12.6,12.8,12.8,3.51,66350
2012-04-23,13.0,12.7,12.9,12.8,3.51,44290
2012-04-24,12.9,12.6,12.7,12.8,3.51,52250
2012-04-25,13.4,12.9,12.9,13.4,3.67,277590
2012-04-26,14.0,13.8,14.0,14.0,3.84,309960
2012-04-27,14.1,13.3,13.4,13.9,3.81,248380
2012-05-02,13.9,13.3,13.7,13.8,3.78,86060
2012-05-03,13.6,13.2,13.2,13.2,3.62,151940
2012-05-04,13.3,12.8,13.1,13.2,3.62,174940
2012-05-07,13.8,13.4,13.4,13.8,3.78,141860
2012-05-08,14.4,14.1,14.4,14.4,3.95,287400
2012-05-09,14.6,14.0,14.5,14.4,3.95,216020
2012-05-10,15.1,14.3,14.4,15.1,4.14,435460
2012-05-11,15.8,15.6,15.8,15.8,4.33,364760
2012-05-14,15.8,15.1,15.1,15.1,4.14,57200
2012-05-15,14.6,14.4,14.4,14.4,3.95,106830
2012-05-16,14.0,13.7,13.8,13.7,3.76,94900
2012-05-17,13.7,13.1,13.3,13.1,3.59,218510
2012-05-18,12.8,12.5,12.7,12.5,3.43,208470
2012-05-21,13.1,12.1,12.1,13.1,3.59,42310
2012-05-22,13.4,12.8,12.9,13.1,3.59,21870
2012-05-23,12.7,12.5,12.6,12.5,3.43,78760
2012-05-24,12.4,11.9,12.4,11.9,3.26,110520
2012-05-25,12.4,12.0,12.4,12.0,3.29,69930
2012-05-28,12.5,11.8,12.3,11.8,3.24,44010
2012-05-29,12.0,11.6,11.7,12.0,3.29,10380
2012-05-30,12.2,11.9,12.2,11.9,3.26,5070
2012-05-31,11.8,11.4,11.7,11.4,3.13,85170
2012-06-01,11.4,11.0,11.2,11.0,3.02,54700
2012-06-04,10.7,10.5,10.7,10.5,2.88,49220
2012-06-05,10.8,10.0,10.3,10.8,2.96,59730
2012-06-06,10.8,10.5,10.5,10.8,2.96,23160
2012-06-07,11.3,10.8,10.8,11.0,3.02,37390
