Date,High,Low,Open,Close,adjust,Volume
2018-12-10,16.2,16.2,16.2,16.2,14.82,3200
2018-12-11,17.3,17.3,17.3,17.3,15.83,1100
2018-12-12,18.5,18.5,18.5,18.5,16.93,1000
2018-12-13,19.15,19.1,19.15,19.1,18.06,4860
2018-12-14,20.4,20.4,20.4,20.4,19.29,110
2018-12-17,19.0,19.0,19.0,19.0,17.96,600
2018-12-18,17.7,17.7,17.7,17.7,16.74,140
2018-12-19,17.7,17.7,17.7,17.7,16.74,0
2018-12-20,16.5,16.5,16.5,16.5,15.6,10
2018-12-21,15.35,15.35,15.35,15.35,14.51,2410
2018-12-24,14.3,14.3,14.3,14.3,13.52,10
2018-12-25,13.3,13.3,13.3,13.3,12.58,50
2018-12-26,12.4,12.4,12.4,12.4,11.72,1350520
2018-12-27,13.25,11.55,11.55,11.55,10.92,1070
2018-12-28,12.35,10.75,10.8,10.75,10.16,590
2019-01-02,11.5,10.0,11.5,11.5,10.87,1360
2019-01-03,12.25,12.25,12.25,12.25,11.58,70
2019-01-04,12.95,12.95,12.95,12.95,12.24,10
2019-01-07,12.95,12.95,12.95,12.95,12.24,0
2019-01-08,12.95,12.95,12.95,12.95,12.24,0
2019-01-09,12.95,12.95,12.95,12.95,12.24,0
2019-01-10,12.95,12.95,12.95,12.95,12.24,0
2019-01-11,12.95,12.95,12.95,12.95,12.24,0
2019-01-14,12.05,12.05,12.05,12.05,11.39,10
2019-01-15,12.05,12.05,12.05,12.05,11.39,0
2019-01-16,12.05,12.05,12.05,12.05,11.39,0
2019-01-17,12.05,12.05,12.05,12.05,11.39,0
2019-01-18,11.25,11.25,11.25,11.25,10.64,10
2019-01-21,10.5,10.5,10.5,10.5,9.93,130
2019-01-22,11.2,9.77,9.77,11.2,10.59,230
2019-01-23,11.2,11.2,11.2,11.2,10.59,0
2019-01-24,10.45,10.45,10.45,10.45,9.88,1000
2019-01-25,10.45,9.72,9.72,9.72,9.19,160
2019-01-28,10.3,9.04,9.04,10.3,9.74,480
2019-01-29,11.0,10.3,11.0,10.3,9.74,100
2019-01-30,10.45,10.45,10.45,10.45,9.88,10
2019-01-31,10.5,10.5,10.5,10.5,9.93,10
2019-02-01,10.5,10.5,10.5,10.5,9.93,0
2019-02-11,10.5,9.77,10.5,9.77,9.24,610
2019-02-12,10.4,9.09,9.09,10.4,9.83,1970
2019-02-13,11.1,10.7,11.1,10.7,10.12,110
2019-02-14,11.0,9.96,11.0,9.96,9.42,90
2019-02-15,10.2,9.27,9.27,9.27,8.76,680
2019-02-18,9.5,9.27,9.5,9.27,8.76,40
2019-02-19,8.64,8.63,8.63,8.64,8.17,570
2019-02-20,9.2,8.05,9.2,8.06,7.62,40
2019-02-21,8.6,7.5,7.5,8.5,8.04,50
2019-02-22,9.0,7.91,7.91,7.91,7.48,280
2019-02-25,8.46,7.36,7.36,8.4,7.94,30
2019-02-26,8.98,8.9,8.9,8.97,8.48,200
2019-02-27,9.57,9.4,9.57,9.5,8.98,300
2019-02-28,9.9,9.5,9.5,9.9,9.36,110
2019-03-01,10.0,9.5,9.95,10.0,9.46,680
2019-03-04,10.4,9.6,10.4,9.6,9.08,150
2019-03-05,9.6,9.6,9.6,9.6,9.08,100
2019-03-06,9.6,9.6,9.6,9.6,9.08,0
2019-03-07,9.6,9.6,9.6,9.6,9.08,10
2019-03-08,9.6,9.6,9.6,9.6,9.08,0
2019-03-11,9.6,9.6,9.6,9.6,9.08,0
2019-03-12,9.8,9.8,9.8,9.8,9.27,1000
2019-03-13,10.0,10.0,10.0,10.0,9.46,100
2019-03-14,10.0,10.0,10.0,10.0,9.46,0
2019-03-15,10.0,10.0,10.0,10.0,9.46,100
2019-03-18,10.0,10.0,10.0,10.0,9.46,0
2019-03-19,10.0,10.0,10.0,10.0,9.46,0
2019-03-20,10.0,10.0,10.0,10.0,9.46,80
2019-03-21,10.7,10.0,10.7,10.0,9.46,100
2019-03-22,10.0,10.0,10.0,10.0,9.46,20
2019-03-25,10.7,10.7,10.7,10.7,10.12,560
2019-03-26,10.7,10.7,10.7,10.7,10.12,0
2019-03-27,11.4,11.4,11.4,11.4,10.78,760
2019-03-28,12.15,12.15,12.15,12.15,11.49,20
2019-03-29,12.9,12.9,12.9,12.9,12.2,10
2019-04-01,13.7,12.0,13.7,12.0,11.35,830
2019-04-02,12.8,12.8,12.8,12.8,12.1,50
2019-04-03,13.3,13.3,13.3,13.3,12.58,10
2019-04-04,13.9,13.8,0.0,13.8,13.05,30
2019-04-05,14.7,12.85,12.85,14.7,13.9,1510
2019-04-08,14.7,14.7,14.7,14.7,13.9,0
2019-04-09,15.0,15.0,15.0,15.0,14.18,50
2019-04-10,15.0,15.0,15.0,15.0,14.18,0
2019-04-11,16.0,15.0,16.0,15.0,14.18,30
2019-04-12,13.95,13.95,13.95,13.95,13.19,10
2019-04-16,13.95,13.95,13.95,13.95,13.19,0
2019-04-17,13.8,13.8,13.8,13.8,13.05,50
2019-04-18,13.8,13.8,13.8,13.8,13.05,0
2019-04-19,13.5,13.5,13.5,13.5,12.76,30
2019-04-22,13.5,13.5,13.5,13.5,12.76,0
2019-04-23,14.4,14.0,14.0,14.4,13.62,100
2019-04-24,14.4,14.4,14.4,14.4,13.62,0
2019-04-25,14.4,14.4,14.4,14.4,13.62,0
2019-04-26,14.4,14.4,14.4,14.4,13.62,0
2019-05-02,14.4,14.4,14.4,14.4,13.62,0
2019-05-03,14.5,14.5,14.5,14.5,13.71,50
2019-05-06,14.2,14.0,14.0,14.2,13.43,50
2019-05-07,14.5,14.5,14.5,14.5,13.71,20
2019-05-08,14.5,14.5,14.5,14.5,13.71,0
2019-05-09,14.5,14.5,14.5,14.5,13.71,0
2019-05-10,14.5,14.5,14.5,14.5,13.71,0
2019-05-13,14.5,14.5,14.5,14.5,13.71,0
2019-05-14,14.5,14.5,14.5,14.5,13.71,0
2019-05-15,14.5,14.5,14.5,14.5,13.71,0
2019-05-16,14.5,14.5,14.5,14.5,13.71,0
2019-05-17,14.5,14.5,14.5,14.5,13.71,0
2019-05-20,14.5,14.5,14.5,14.5,13.71,0
2019-05-21,14.5,14.5,14.5,14.5,13.71,100
2019-05-22,14.5,14.5,14.5,14.5,13.71,60
2019-05-23,14.5,14.5,14.5,14.5,13.71,0
2019-05-24,14.5,14.5,14.5,14.5,13.71,0
2019-05-27,15.0,14.5,14.5,15.0,14.18,400
2019-05-28,15.0,15.0,15.0,15.0,14.18,750
2019-05-29,15.0,15.0,15.0,15.0,14.18,50
2019-05-30,15.0,15.0,15.0,15.0,14.18,0
2019-05-31,15.5,15.2,15.2,15.5,14.66,220
2019-06-03,15.5,15.5,15.5,15.5,14.66,0
2019-06-04,15.5,15.5,15.5,15.5,14.66,0
2019-06-05,15.5,15.5,15.5,15.5,14.66,0
2019-06-06,15.5,15.5,15.5,15.5,14.66,0
2019-06-07,15.5,15.5,15.5,15.5,14.66,0
2019-06-10,15.5,15.5,15.5,15.5,14.66,0
2019-06-11,15.5,15.5,15.5,15.5,14.66,0
2019-06-12,15.5,15.5,15.5,15.5,14.66,0
2019-06-13,15.5,15.5,15.5,15.5,14.66,0
2019-06-14,15.5,15.5,15.5,15.5,14.66,0
2019-06-17,15.5,15.5,15.5,15.5,14.66,0
2019-06-18,15.5,15.5,15.5,15.5,14.66,0
2019-06-19,16.5,16.0,16.5,16.5,15.6,240
2019-06-20,16.5,16.5,16.5,16.5,15.6,0
2019-06-21,16.5,16.5,16.5,16.5,15.6,0
2019-06-24,16.5,16.5,16.5,16.5,15.6,0
2019-06-25,16.7,16.7,16.7,16.7,15.79,20
2019-06-26,16.7,15.7,16.7,16.7,15.79,770
2019-06-27,16.7,16.7,16.7,16.7,15.79,0
2019-06-28,16.7,15.55,16.7,16.7,15.79,110
2019-07-01,16.7,16.7,16.7,16.7,15.79,0
2019-07-02,16.7,16.7,16.7,16.7,15.79,0
2019-07-03,16.7,16.7,16.7,16.7,15.79,0
2019-07-04,17.8,17.8,17.8,17.8,16.83,10
2019-07-05,17.4,16.6,16.6,16.6,15.7,110
2019-07-08,15.5,15.5,15.5,15.5,14.66,100
2019-07-09,16.2,16.2,16.2,16.2,15.32,10
2019-07-10,16.2,16.2,16.2,16.2,15.32,0
2019-07-11,16.2,16.2,16.2,16.2,15.32,0
2019-07-12,16.2,16.2,16.2,16.2,15.32,0
2019-07-15,16.2,16.2,16.2,16.2,15.32,0
2019-07-16,15.1,15.1,15.1,15.1,14.28,150
2019-07-17,14.05,14.05,14.05,14.05,13.28,10
2019-07-18,14.0,13.1,14.05,14.0,13.24,850
2019-07-19,14.0,14.0,14.0,14.0,13.24,0
2019-07-22,14.5,14.5,14.5,14.5,13.71,10
2019-07-23,13.55,13.55,13.55,13.55,12.81,200
2019-07-24,13.15,13.1,13.1,13.1,12.39,510
2019-07-25,13.5,12.25,13.5,13.5,12.76,300
2019-07-26,13.8,13.8,13.8,13.8,13.05,20
2019-07-29,13.8,12.85,13.5,13.8,13.05,530
2019-07-30,13.8,13.8,13.8,13.8,13.05,0
2019-07-31,13.8,13.8,13.8,13.8,13.05,0
2019-08-01,13.8,13.8,13.8,13.8,13.05,0
2019-08-02,14.0,14.0,14.0,14.0,13.24,10
2019-08-05,14.5,14.0,14.0,14.5,13.71,20
2019-08-06,14.5,14.5,14.5,14.5,13.71,0
2019-08-07,14.5,14.5,14.5,14.5,13.71,0
2019-08-08,14.5,14.5,14.5,14.5,13.71,0
2019-08-09,14.5,14.5,14.5,14.5,13.71,0
2019-08-12,14.5,14.5,14.5,14.5,13.71,0
2019-08-13,14.5,14.5,14.5,14.5,13.71,0
2019-08-14,14.5,14.5,14.5,14.5,13.71,0
2019-08-15,14.5,14.5,14.5,14.5,13.71,0
2019-08-16,14.5,14.5,14.5,14.5,13.71,0
2019-08-19,14.5,14.5,14.5,14.5,13.71,0
2019-08-20,14.5,14.5,14.5,14.5,13.71,0
2019-08-21,14.9,14.9,14.9,14.9,14.09,10
2019-08-22,14.9,14.9,14.9,14.9,14.09,0
2019-08-23,14.9,14.9,14.9,14.9,14.09,0
2019-08-26,14.9,14.9,14.9,14.9,14.09,0
2019-08-27,14.9,14.9,14.9,14.9,14.09,0
2019-08-28,14.9,14.9,14.9,14.9,14.09,0
2019-08-29,14.9,14.9,14.9,14.9,14.09,0
2019-08-30,14.9,14.9,14.9,14.9,14.09,0
2019-09-03,14.9,14.9,14.9,14.9,14.09,0
2019-09-04,15.2,15.2,15.2,15.2,14.37,10
2019-09-05,15.2,15.2,15.2,15.2,14.37,0
2019-09-06,14.15,14.15,14.15,14.15,13.38,500
2019-09-09,14.9,13.2,14.9,13.2,12.48,40
2019-09-10,13.2,13.2,13.2,13.2,12.48,0
2019-09-11,12.3,12.3,12.3,12.3,11.63,10
2019-09-12,13.15,11.45,13.15,13.15,12.43,130
2019-09-13,12.25,12.25,12.25,12.25,11.58,40
2019-09-16,13.1,12.0,12.0,13.1,12.39,730
2019-09-17,13.5,12.2,13.5,13.5,12.76,160
2019-09-18,14.0,14.0,13.5,14.0,13.24,60
2019-09-19,14.0,14.0,14.0,14.0,13.24,0
2019-09-20,14.0,14.0,14.0,14.0,13.24,250
2019-09-23,14.5,13.05,13.5,14.5,13.71,130
2019-09-24,13.5,13.5,13.5,13.5,12.76,1230
2019-09-25,14.4,12.6,12.6,14.4,13.62,250
2019-09-26,15.0,15.0,15.0,15.0,14.18,50
2019-09-27,16.0,15.1,15.1,16.0,15.13,70
2019-09-30,16.0,16.0,16.0,16.0,15.13,0
2019-10-01,17.1,17.1,17.1,17.1,16.17,10
2019-10-02,17.0,17.0,17.0,17.0,16.07,50
2019-10-03,17.0,17.0,17.0,17.0,16.07,0
2019-10-04,17.0,17.0,17.0,17.0,16.07,0
2019-10-07,17.0,17.0,17.0,17.0,16.07,0
2019-10-08,18.0,18.0,18.0,18.0,17.02,10
2019-10-09,18.0,18.0,18.0,18.0,17.02,0
2019-10-10,16.8,16.8,16.8,16.8,15.88,10
2019-10-11,17.95,15.7,17.95,17.0,16.07,90
2019-10-14,17.0,15.9,15.9,17.0,16.07,110
2019-10-15,17.0,17.0,17.0,17.0,16.07,0
2019-10-16,17.0,17.0,17.0,17.0,16.07,50
2019-10-17,17.0,15.9,15.9,17.0,16.07,20
2019-10-18,17.1,15.9,15.9,17.1,16.17,20
2019-10-21,17.6,17.6,17.6,17.6,16.64,10
2019-10-22,17.7,16.4,16.45,16.4,15.51,390
2019-10-23,17.1,15.3,15.3,17.0,16.07,250
2019-10-24,17.0,17.0,17.0,17.0,16.07,0
2019-10-25,17.0,17.0,17.0,17.0,16.07,0
