Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.9,5.8,5.9,5.9,4.76,23650
2012-01-04,6.0,5.8,5.9,5.8,4.68,18160
2012-01-05,6.0,5.8,5.8,6.0,4.85,203010
2012-01-06,6.2,5.9,5.9,5.9,4.76,71550
2012-01-09,6.1,6.0,6.1,6.1,4.93,131330
2012-01-10,6.4,6.2,6.2,6.4,5.17,90860
2012-01-11,6.6,6.1,6.6,6.6,5.33,36880
2012-01-12,6.6,6.3,6.3,6.3,5.09,34800
2012-01-13,6.6,6.3,6.3,6.5,5.25,34320
2012-01-16,6.8,6.5,6.5,6.7,5.41,119690
2012-01-17,6.6,6.4,6.6,6.4,5.17,98870
2012-01-18,6.7,6.1,6.3,6.1,4.93,206310
2012-01-19,6.3,5.8,6.1,6.3,5.09,101550
2012-01-20,6.5,6.2,6.5,6.3,5.09,51710
2012-01-30,6.5,6.2,6.3,6.5,5.25,24540
2012-01-31,6.6,6.2,6.6,6.2,5.01,58420
2012-02-01,6.4,6.2,6.2,6.4,5.17,31970
2012-02-02,6.6,6.3,6.5,6.6,5.33,122860
2012-02-03,6.7,6.4,6.5,6.4,5.17,43710
2012-02-06,6.4,6.1,6.4,6.1,4.93,98160
2012-02-07,6.3,6.0,6.2,6.1,4.93,32950
2012-02-08,6.4,6.1,6.3,6.2,5.01,66430
2012-02-09,6.4,6.1,6.4,6.2,5.01,43460
2012-02-10,6.2,5.9,6.1,5.9,4.76,111830
2012-02-13,6.0,5.7,5.9,5.8,4.68,28660
2012-02-14,5.9,5.7,5.8,5.8,4.68,9000
2012-02-15,5.9,5.6,5.8,5.9,4.76,13260
2012-02-16,5.9,5.7,5.8,5.8,4.68,18040
2012-02-17,6.0,5.7,5.8,5.9,4.76,51170
2012-02-20,6.1,6.0,6.0,6.1,4.93,174530
2012-02-21,6.3,6.1,6.3,6.1,4.93,34410
2012-02-22,6.2,6.0,6.0,6.2,5.01,14040
2012-02-23,6.4,6.1,6.3,6.4,5.17,74450
2012-02-24,6.7,6.4,6.5,6.7,5.41,292710
2012-02-27,7.0,6.8,6.9,7.0,5.65,210390
2012-02-28,7.3,6.9,7.3,6.9,5.57,184860
2012-02-29,7.1,6.7,6.7,7.0,5.65,33470
2012-03-01,7.1,6.8,7.0,6.9,5.57,148450
2012-03-02,7.0,6.8,6.8,6.8,5.49,149540
2012-03-05,7.1,7.1,7.1,7.1,5.73,133160
2012-03-06,7.4,6.8,7.4,6.9,5.57,199450
2012-03-07,7.0,6.6,7.0,7.0,5.65,167300
2012-03-08,7.0,6.7,6.8,6.7,5.41,107830
2012-03-09,6.9,6.5,6.6,6.7,5.41,106140
2012-03-12,6.7,6.4,6.6,6.7,5.41,62060
2012-03-13,6.8,6.6,6.7,6.8,5.49,95060
2012-03-14,6.9,6.5,6.9,6.5,5.25,33010
2012-03-15,6.8,6.4,6.4,6.8,5.49,84900
2012-03-16,7.0,6.7,6.9,6.8,5.49,60830
2012-03-19,6.8,6.6,6.7,6.8,5.49,12870
2012-03-20,6.8,6.6,6.7,6.8,5.49,58510
2012-03-21,7.1,6.7,6.7,7.0,5.65,131110
2012-03-22,7.3,6.8,7.1,7.3,5.9,261240
2012-03-23,7.6,7.5,7.6,7.6,6.14,107320
2012-03-26,7.9,7.7,7.8,7.9,6.38,297710
2012-03-27,8.1,7.6,8.1,7.6,6.14,199950
2012-03-28,7.7,7.3,7.3,7.5,6.06,207560
2012-03-29,7.6,7.2,7.6,7.2,5.81,140820
2012-03-30,7.2,6.9,7.1,6.9,5.57,100190
2012-04-03,7.2,6.9,6.9,7.1,5.73,82610
2012-04-04,7.1,6.8,7.1,7.0,5.65,146360
2012-04-05,7.1,6.8,6.8,7.0,5.65,27480
2012-04-06,7.2,6.9,7.1,7.0,5.65,56090
2012-04-09,7.2,6.9,7.2,7.1,5.73,86060
2012-04-10,7.2,7.0,7.1,7.2,5.81,87770
2012-04-11,7.5,7.3,7.4,7.5,6.06,235210
2012-04-12,7.8,7.7,7.8,7.8,6.3,622990
2012-04-13,8.1,7.8,8.1,8.1,6.54,467750
2012-04-16,8.5,8.5,8.5,8.5,6.86,119600
2012-04-17,8.9,8.9,8.9,8.9,7.19,43960
2012-04-18,9.3,9.3,9.3,9.3,7.51,65060
2012-04-19,9.7,9.3,9.7,9.5,7.67,1530350
2012-04-20,9.9,9.3,9.5,9.9,7.99,705970
2012-04-23,10.3,9.9,9.9,10.3,8.32,457210
2012-04-24,10.4,10.0,10.2,10.2,8.24,548310
2012-04-25,10.7,10.1,10.2,10.7,8.64,403570
2012-04-26,11.2,10.9,11.2,11.2,9.04,372730
2012-04-27,11.7,11.4,11.4,11.7,9.45,421820
2012-05-02,12.1,11.2,12.0,11.2,9.04,545990
2012-05-03,10.9,10.7,10.7,10.7,8.64,594160
2012-05-04,11.2,11.1,11.2,11.2,9.04,371290
2012-05-07,11.7,11.7,11.7,11.7,9.45,16380
2012-05-08,12.2,11.8,12.2,12.0,9.69,601530
2012-05-09,12.0,11.4,11.9,11.4,9.21,818720
2012-05-10,11.9,10.9,11.9,11.0,8.88,659180
2012-05-11,11.2,10.5,11.0,10.5,8.48,417710
2012-05-14,10.3,10.0,10.1,10.0,8.08,184990
2012-05-15,9.8,9.5,9.6,9.5,7.67,888230
2012-05-16,9.7,9.3,9.5,9.5,7.67,302910
2012-05-17,9.9,9.5,9.7,9.5,7.67,227150
2012-05-18,9.5,9.1,9.3,9.1,7.35,277260
2012-05-21,9.5,9.1,9.1,9.5,7.67,201060
2012-05-22,9.9,9.4,9.6,9.5,7.67,332120
2012-05-23,9.5,9.1,9.5,9.1,7.35,79360
2012-05-24,9.1,8.7,9.1,8.7,7.03,202740
2012-05-25,9.1,8.7,8.7,9.1,7.35,231250
2012-05-28,9.5,9.0,9.3,9.3,7.51,276780
2012-05-29,9.2,8.9,9.0,9.2,7.43,169750
2012-05-30,9.4,9.2,9.2,9.3,7.51,26690
2012-05-31,9.2,8.9,9.2,8.9,7.19,348840
2012-06-01,9.1,8.6,8.9,8.6,6.95,230460
2012-06-04,8.6,8.2,8.6,8.2,6.62,425590
2012-06-05,8.6,7.9,7.9,8.6,6.95,157660
2012-06-06,9.0,8.6,8.8,9.0,7.27,341640
2012-06-07,9.4,9.3,9.4,9.4,7.59,322370
2012-06-08,9.8,9.5,9.7,9.8,7.91,896640
2012-06-11,10.1,9.7,9.9,9.8,7.91,260140
2012-06-12,9.7,9.4,9.6,9.4,7.59,385360
2012-06-13,9.5,9.2,9.5,9.3,7.51,154460
2012-06-14,9.6,9.3,9.3,9.4,7.59,364030
2012-06-15,9.6,9.3,9.5,9.5,7.67,188830
2012-06-18,9.8,9.3,9.8,9.4,7.59,659170
2012-06-19,8.0,7.6,8.0,7.6,7.37,133750
2012-06-20,7.9,7.6,7.6,7.9,7.66,97370
2012-06-21,8.0,7.8,8.0,7.8,7.56,36790
2012-06-22,7.8,7.5,7.8,7.5,7.27,188920
2012-06-25,7.4,7.2,7.2,7.2,6.98,175460
2012-06-26,7.1,6.9,7.0,6.9,6.69,190130
2012-06-27,7.2,6.7,6.7,7.0,6.78,18060
2012-06-28,6.9,6.7,6.9,6.7,6.49,233140
2012-06-29,6.9,6.6,6.8,6.9,6.69,39930
2012-07-02,7.0,6.6,7.0,6.8,6.59,123660
2012-07-03,6.9,6.5,6.9,6.5,6.3,163510
2012-07-04,6.7,6.2,6.7,6.2,6.01,78350
2012-07-05,6.3,6.0,6.0,6.3,6.11,28170
2012-07-06,6.6,6.2,6.2,6.5,6.3,55520
2012-07-09,6.5,6.2,6.5,6.2,6.01,55410
2012-07-10,6.5,6.0,6.5,6.0,5.81,5420
2012-07-11,6.3,6.0,6.2,6.2,6.01,45640
2012-07-12,6.5,6.2,6.3,6.5,6.3,28630
2012-07-13,6.8,6.5,6.5,6.7,6.49,216130
2012-07-16,6.8,6.4,6.6,6.4,6.2,45070
2012-07-17,6.7,6.4,6.4,6.7,6.49,61490
2012-07-18,7.0,6.6,6.9,6.8,6.59,79620
2012-07-19,7.1,6.7,6.9,7.1,6.88,105260
2012-07-20,7.4,7.2,7.3,7.2,6.98,229200
2012-07-23,7.2,6.9,6.9,6.9,6.69,212810
2012-07-24,7.0,6.6,7.0,6.6,6.4,67510
2012-07-25,6.8,6.4,6.6,6.7,6.49,43530
2012-07-26,6.9,6.6,6.7,6.7,6.49,79060
2012-07-27,6.9,6.7,6.7,6.7,6.49,86850
2012-07-30,7.0,6.7,6.9,6.8,6.59,23030
2012-07-31,7.0,6.7,6.8,6.8,6.59,30250
2012-08-01,6.8,6.5,6.8,6.8,6.59,45900
2012-08-02,7.0,6.6,6.8,6.9,6.69,27620
2012-08-03,7.0,6.7,6.7,6.9,6.69,47230
2012-08-06,7.1,6.8,6.8,7.0,6.78,89370
2012-08-07,7.1,6.8,7.1,6.8,6.59,25760
2012-08-08,7.0,6.8,6.8,6.8,6.59,34320
2012-08-09,7.0,6.6,6.9,6.6,6.4,56520
2012-08-10,6.8,6.3,6.5,6.6,6.4,832760
2012-08-13,6.6,6.3,6.6,6.4,6.2,374940
2012-08-14,6.4,6.2,6.3,6.3,6.11,452660
2012-08-15,6.4,6.1,6.4,6.3,6.11,362690
2012-08-16,6.1,6.0,6.1,6.0,5.81,266810
2012-08-17,5.9,5.7,5.7,5.7,5.52,472660
2012-08-20,5.9,5.7,5.8,5.9,5.72,53850
2012-08-21,6.1,5.7,6.1,5.8,5.62,981520
2012-08-22,6.0,5.8,5.9,6.0,5.81,799250
2012-08-23,5.9,5.7,5.9,5.7,5.52,156190
2012-08-24,5.9,5.5,5.5,5.9,5.72,355570
2012-08-27,5.7,5.7,5.7,5.7,5.52,41590
2012-08-28,5.5,5.5,5.5,5.5,5.33,81550
2012-08-29,5.5,5.3,5.3,5.5,5.33,580200
2012-08-30,5.5,5.3,5.4,5.3,5.14,257200
2012-08-31,5.4,5.2,5.2,5.3,5.14,128950
2012-09-04,5.5,5.4,5.4,5.5,5.33,123950
2012-09-05,5.5,5.3,5.5,5.3,5.14,324530
2012-09-06,5.3,5.1,5.2,5.1,4.94,215200
2012-09-07,5.1,4.9,5.1,5.0,4.85,216760
