Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.1,8.1,8.1,8.1,0.34,0
2012-01-04,8.4,8.4,8.4,8.4,0.36,100
2012-01-05,8.4,8.4,8.4,8.4,0.36,2000
2012-01-06,8.4,8.4,8.4,8.4,0.36,0
2012-01-09,8.4,8.4,8.4,8.4,0.36,0
2012-01-10,8.4,8.4,8.4,8.4,0.36,0
2012-01-11,8.2,8.2,8.2,8.2,0.35,2600
2012-01-12,8.2,8.2,8.2,8.2,0.35,3000
2012-01-13,8.4,8.3,8.3,8.4,0.36,3500
2012-01-16,8.3,8.3,8.3,8.3,0.35,0
2012-01-17,8.5,8.2,8.5,8.2,0.35,2500
2012-01-18,8.4,8.4,8.4,8.4,0.36,0
2012-01-19,8.5,8.2,8.2,8.5,0.36,1700
2012-01-20,8.4,8.4,8.4,8.4,0.36,0
2012-01-30,8.4,8.4,8.4,8.4,0.36,0
2012-01-31,8.5,8.5,8.5,8.5,0.36,700
2012-02-01,8.8,8.6,8.8,8.6,0.36,4100
2012-02-02,9.0,9.0,9.0,9.0,0.38,3500
2012-02-03,9.0,9.0,9.0,9.0,0.38,0
2012-02-06,9.0,9.0,9.0,9.0,0.38,3000
2012-02-07,9.0,9.0,9.0,9.0,0.38,400
2012-02-08,9.0,9.0,9.0,9.0,0.38,2000
2012-02-09,9.0,9.0,9.0,9.0,0.38,2000
2012-02-10,8.9,8.9,8.9,8.9,0.38,900
2012-02-13,8.8,8.8,8.8,8.8,0.37,1000
2012-02-14,8.8,8.8,8.8,8.8,0.37,0
2012-02-15,9.0,9.0,9.0,9.0,0.38,300
2012-02-16,9.0,9.0,9.0,9.0,0.38,3700
2012-02-17,9.4,9.3,9.3,9.4,0.4,4000
2012-02-20,10.0,9.5,9.5,10.0,0.42,6800
2012-02-21,10.0,10.0,10.0,10.0,0.42,1200
2012-02-22,10.3,10.3,10.3,10.3,0.44,3200
2012-02-23,10.4,10.1,10.2,10.1,0.43,2100
2012-02-24,10.2,10.2,10.2,10.2,0.43,1500
2012-02-27,10.5,10.5,10.5,10.5,0.44,200
2012-02-28,10.0,10.0,10.0,10.0,0.42,500
2012-02-29,10.2,10.0,10.0,10.2,0.43,2200
2012-03-01,10.2,10.0,10.1,10.2,0.43,2600
2012-03-02,10.1,10.1,10.1,10.1,0.43,500
2012-03-05,10.8,10.5,10.5,10.8,0.46,7700
2012-03-06,11.4,11.0,11.4,11.4,0.48,15800
2012-03-07,10.9,10.7,10.9,10.8,0.46,10200
2012-03-08,11.5,10.3,11.5,10.3,0.44,2400
2012-03-09,11.1,10.0,11.1,10.0,0.42,400
2012-03-12,10.5,10.2,10.3,10.5,0.44,3400
2012-03-13,10.6,10.6,10.6,10.6,0.45,1500
2012-03-14,11.3,10.5,11.3,10.8,0.46,800
2012-03-15,11.5,10.8,11.5,10.9,0.46,9000
2012-03-16,11.1,11.0,11.0,11.1,0.47,5800
2012-03-19,11.0,11.0,11.0,11.0,0.47,2000
2012-03-20,11.1,11.0,11.1,11.0,0.47,8200
2012-03-21,11.2,11.0,11.1,11.2,0.47,2700
2012-03-22,11.4,11.3,11.3,11.3,0.48,2500
2012-03-23,11.5,11.4,11.4,11.5,0.49,6000
2012-03-26,11.6,11.4,11.4,11.6,0.49,10400
2012-03-27,11.7,11.6,11.6,11.6,0.49,3700
2012-03-28,11.8,11.5,11.5,11.8,0.5,600
2012-03-29,11.9,11.6,11.8,11.9,0.5,9100
2012-03-30,11.7,11.5,11.7,11.5,0.49,11900
2012-04-03,11.9,11.6,11.6,11.9,0.5,14700
2012-04-04,11.9,11.9,11.9,11.9,0.5,0
2012-04-05,11.8,11.8,11.8,11.8,0.5,7000
2012-04-06,11.7,11.7,11.7,11.7,0.5,300
2012-04-09,11.8,11.8,11.8,11.8,0.5,900
2012-04-10,11.8,11.8,11.8,11.8,0.5,5600
2012-04-11,12.0,11.9,11.9,12.0,0.51,16000
2012-04-12,12.2,12.2,12.2,12.2,0.52,300
2012-04-13,12.2,12.2,12.2,12.2,0.52,500
2012-04-16,12.2,11.9,12.0,12.2,0.52,11500
2012-04-17,12.5,12.1,12.1,12.3,0.52,8500
2012-04-18,12.5,12.2,12.2,12.4,0.52,900
2012-04-19,12.4,12.4,12.4,12.4,0.52,0
2012-04-20,12.3,12.3,12.3,12.3,0.52,1000
2012-04-23,12.3,12.3,12.3,12.3,0.52,1000
2012-04-24,12.5,12.3,12.3,12.5,0.53,800
2012-04-25,12.6,12.4,12.4,12.6,0.53,2100
2012-04-26,12.6,12.6,12.6,12.6,0.53,0
2012-04-27,12.7,12.7,12.7,12.7,0.54,700
2012-05-02,12.7,12.7,12.7,12.7,0.54,9400
2012-05-03,13.5,12.9,12.9,13.5,0.57,13600
2012-05-04,13.6,13.5,13.6,13.5,0.57,8000
2012-05-07,14.1,14.0,14.0,14.1,0.6,2600
2012-05-08,13.8,13.6,13.6,13.8,0.58,4000
2012-05-09,14.5,13.8,13.8,14.5,0.61,10900
2012-05-10,14.1,14.1,14.1,14.1,0.6,1000
2012-05-11,14.2,13.8,14.1,14.1,0.6,9700
2012-05-14,13.9,13.8,13.9,13.9,0.59,9000
2012-05-15,13.8,13.7,13.8,13.8,0.58,13000
2012-05-16,13.8,13.8,13.8,13.8,0.58,1900
2012-05-17,14.3,13.9,14.3,13.9,0.59,5900
2012-05-18,14.7,13.8,13.8,14.7,0.62,12400
2012-05-21,14.7,14.7,14.7,14.7,0.62,0
2012-05-22,14.9,13.8,13.8,14.9,0.63,1300
2012-05-23,13.9,13.9,13.9,13.9,0.59,7400
2012-05-24,14.8,13.1,14.8,13.7,0.58,7700
2012-05-25,14.3,13.7,13.7,14.3,0.61,600
2012-05-28,14.7,14.7,14.7,14.7,0.62,100
2012-05-29,14.7,13.7,13.7,14.7,0.62,27800
2012-05-30,13.7,13.7,13.7,13.7,0.58,7700
2012-05-31,13.6,13.4,13.6,13.4,0.57,17600
2012-06-01,13.4,13.4,13.4,13.4,0.57,0
2012-06-04,13.4,13.4,13.4,13.4,0.57,3000
2012-06-05,14.0,14.0,14.0,14.0,0.59,100
2012-06-06,14.0,14.0,14.0,14.0,0.59,0
2012-06-07,14.9,13.5,13.5,14.9,0.63,3300
2012-06-08,14.9,14.9,14.9,14.9,0.63,0
2012-06-11,13.9,13.9,13.9,13.9,0.59,100
2012-06-12,13.9,13.9,13.9,13.9,0.59,0
2012-06-13,14.0,13.5,13.5,14.0,0.59,14700
2012-06-14,14.0,14.0,14.0,14.0,0.59,0
2012-06-15,14.0,14.0,14.0,14.0,0.59,1000
