Date,High,Low,Open,Close,adjust,Volume
2015-06-18,11.9,11.9,11.9,11.9,3.68,64300
2015-06-19,13.0,13.0,13.0,13.0,4.02,201000
2015-06-22,14.3,14.3,14.3,14.3,4.43,288000
2015-06-23,15.7,15.7,15.7,15.7,4.86,147500
2015-06-24,17.2,14.2,17.2,14.3,4.43,372900
2015-06-25,15.0,13.5,14.8,13.5,4.18,2510600
2015-06-26,13.0,12.4,12.4,12.6,3.9,89200
2015-06-29,13.7,11.3,11.3,11.4,3.53,239900
2015-06-30,11.2,10.7,10.7,11.0,3.4,249800
2015-07-01,11.1,10.7,10.9,10.7,3.31,177300
2015-07-02,11.1,10.0,10.0,11.0,3.4,190700
2015-07-03,10.8,10.5,10.8,10.6,3.28,205100
2015-07-06,11.0,10.3,10.7,10.6,3.28,503400
2015-07-07,10.9,10.5,10.5,10.8,3.34,151500
2015-07-08,11.0,10.4,10.8,10.4,3.22,448000
2015-07-09,10.6,9.7,10.6,10.3,3.19,172800
2015-07-10,10.3,9.8,10.0,9.9,3.06,118800
2015-07-13,10.2,9.8,10.1,9.9,3.06,126500
2015-07-14,9.9,9.4,9.8,9.9,3.06,123900
2015-07-15,9.7,9.3,9.5,9.5,2.94,133700
2015-07-16,9.6,9.5,9.5,9.5,2.94,93800
2015-07-17,9.7,9.5,9.5,9.7,3.0,94700
2015-07-20,9.7,9.3,9.6,9.3,2.88,66600
2015-07-21,9.4,9.2,9.4,9.2,2.85,73200
2015-07-22,9.5,9.2,9.3,9.5,2.94,87400
2015-07-23,9.4,9.2,9.2,9.2,2.85,75200
2015-07-24,9.2,9.0,9.2,9.0,2.79,74500
2015-07-27,9.3,9.0,9.1,9.2,2.85,67200
2015-07-28,9.4,9.0,9.2,9.1,2.82,78200
2015-07-29,9.4,9.1,9.1,9.2,2.85,69400
2015-07-30,9.4,9.2,9.2,9.2,2.85,41600
2015-07-31,9.5,9.0,9.2,9.0,2.79,34300
2015-08-03,9.2,8.9,9.2,9.2,2.85,34900
2015-08-04,9.5,9.1,9.2,9.2,2.85,69000
2015-08-05,9.6,9.2,9.2,9.3,2.88,71300
2015-08-06,9.4,9.3,9.3,9.4,2.91,71100
2015-08-07,9.8,9.4,9.4,9.5,2.94,76800
2015-08-10,9.4,9.3,9.4,9.3,2.88,56600
2015-08-11,9.8,9.4,9.4,9.5,2.94,72900
2015-08-12,9.8,9.4,9.5,9.5,2.94,86300
2015-08-13,9.7,9.3,9.5,9.5,2.94,89300
2015-08-14,9.7,9.3,9.4,9.5,2.94,96200
2015-08-17,9.5,9.0,9.4,9.2,2.85,92300
2015-08-18,9.4,9.1,9.1,9.3,2.88,89800
2015-08-19,10.5,9.1,9.2,10.5,3.25,104600
2015-08-20,9.7,9.0,9.3,9.5,2.94,155000
2015-08-21,9.2,8.9,9.2,9.0,2.79,104000
2015-08-24,9.1,9.0,9.1,9.0,2.79,95200
2015-08-25,9.0,8.8,9.0,8.9,2.75,161700
2015-08-26,9.3,8.8,8.9,9.0,2.79,169300
2015-08-27,9.3,9.1,9.2,9.1,2.82,119400
2015-08-28,9.4,9.2,9.2,9.2,2.85,113600
2015-08-31,9.2,9.1,9.2,9.2,2.85,115700
2015-09-01,9.5,9.2,9.2,9.3,2.88,92900
2015-09-03,9.3,9.2,9.3,9.2,2.85,63100
2015-09-04,9.3,9.1,9.2,9.3,2.88,69800
2015-09-07,9.1,9.1,9.1,9.1,2.82,72500
2015-09-08,9.3,9.0,9.1,9.1,2.82,77900
2015-09-09,9.1,9.0,9.0,9.0,2.79,71900
2015-09-10,9.1,9.0,9.0,9.1,2.82,84200
2015-09-11,9.1,9.0,9.0,9.0,2.79,75700
2015-09-14,9.3,9.0,9.1,9.1,2.82,74100
2015-09-15,9.1,9.0,9.0,9.0,2.79,74000
2015-09-16,9.1,9.0,9.0,9.1,2.82,76200
2015-09-17,9.1,9.0,9.0,9.0,2.79,77900
2015-09-18,9.1,9.0,9.0,9.1,2.82,68100
2015-09-21,9.1,9.0,9.1,9.1,2.82,74400
2015-09-22,9.2,8.9,9.0,9.0,2.79,104800
2015-09-23,9.1,9.0,9.0,9.1,2.82,106800
2015-09-24,9.1,9.0,9.0,9.0,2.79,99700
2015-09-25,9.1,9.0,9.0,9.1,2.82,101900
2015-09-28,9.0,8.9,9.0,9.0,2.79,105200
2015-09-29,9.1,8.9,9.0,9.1,2.82,104700
2015-09-30,9.2,9.0,9.0,9.0,2.79,106200
2015-10-01,9.1,9.0,9.0,9.1,2.82,106600
2015-10-02,9.1,8.9,9.0,9.0,2.79,101100
2015-10-05,9.2,8.9,9.0,9.0,2.79,115300
2015-10-06,8.9,8.9,8.9,8.9,2.75,111100
2015-10-07,9.0,8.8,9.0,9.0,2.79,117300
2015-10-08,9.0,8.9,8.9,9.0,2.79,109200
2015-10-09,9.0,8.9,9.0,9.0,2.79,110200
2015-10-12,9.0,8.9,8.9,9.0,2.79,106000
2015-10-13,9.0,8.9,8.9,9.0,2.79,109700
2015-10-14,9.0,8.9,8.9,9.0,2.79,116400
2015-10-15,8.9,8.9,8.9,8.9,2.75,109600
2015-10-16,8.9,8.9,8.9,8.9,2.75,110900
2015-10-19,8.9,8.8,8.9,8.8,2.72,102500
2015-10-20,9.0,8.9,8.9,9.0,2.79,117500
2015-10-21,9.0,8.9,8.9,9.0,2.79,107900
2015-10-22,9.2,8.9,9.0,9.0,2.79,128700
2015-10-23,9.3,9.0,9.0,9.1,2.82,121400
2015-10-26,9.0,8.9,9.0,9.0,2.79,114500
2015-10-27,9.0,8.9,9.0,9.0,2.79,119200
2015-10-28,9.0,8.9,9.0,8.9,2.75,104600
2015-10-29,8.9,8.8,8.9,8.9,2.75,116300
2015-10-30,8.9,8.8,8.8,8.8,2.72,112300
2015-11-02,9.0,8.8,8.8,9.0,2.79,114800
2015-11-03,9.0,8.9,8.9,9.0,2.79,104100
2015-11-04,9.0,8.8,9.0,9.0,2.79,105700
2015-11-05,9.1,8.9,8.9,9.0,2.79,102400
2015-11-06,9.0,8.9,9.0,8.9,2.75,103500
