Date,High,Low,Open,Close,adjust,Volume
2012-01-03,2.8,2.6,2.6,2.8,1.29,920
2012-01-04,2.9,2.7,2.7,2.9,1.33,14930
2012-01-05,3.0,2.8,2.8,3.0,1.38,14670
2012-01-06,3.0,3.0,3.0,3.0,1.38,11530
2012-01-09,3.1,2.9,2.9,3.0,1.38,4190
2012-01-10,3.1,2.9,2.9,2.9,1.33,11080
2012-01-11,2.9,2.9,2.9,2.9,1.33,260
2012-01-12,3.0,3.0,3.0,3.0,1.38,2500
2012-01-13,3.0,3.0,3.0,3.0,1.38,4140
2012-01-16,3.1,3.0,3.0,3.1,1.42,880
2012-01-17,3.0,3.0,3.0,3.0,1.38,1560
2012-01-18,3.0,2.9,2.9,3.0,1.38,6800
2012-01-19,3.1,3.0,3.0,3.1,1.42,210
2012-01-20,3.2,3.0,3.1,3.0,1.38,6400
2012-01-30,3.1,3.0,3.1,3.1,1.42,5970
2012-01-31,3.2,3.2,3.2,3.2,1.47,7940
2012-02-01,3.3,3.2,3.3,3.2,1.47,8060
2012-02-02,3.3,3.2,3.2,3.3,1.52,300
2012-02-03,3.4,3.2,3.4,3.3,1.52,6240
2012-02-06,3.2,3.2,3.2,3.2,1.47,1740
2012-02-07,3.2,3.1,3.2,3.2,1.47,4470
2012-02-08,3.3,3.1,3.2,3.3,1.52,13630
2012-02-09,3.4,3.3,3.3,3.4,1.56,10490
2012-02-10,3.4,3.4,3.4,3.4,1.56,30
2012-02-13,3.5,3.3,3.5,3.3,1.52,14490
2012-02-14,3.4,3.2,3.4,3.3,1.52,13460
2012-02-15,3.4,3.2,3.3,3.3,1.52,19630
2012-02-16,3.4,3.2,3.4,3.3,1.52,3380
2012-02-17,3.4,3.2,3.4,3.3,1.52,1440
2012-02-20,3.4,3.2,3.4,3.3,1.52,4390
2012-02-21,3.4,3.3,3.4,3.3,1.52,28900
2012-02-22,3.4,3.2,3.3,3.4,1.56,12030
2012-02-23,3.4,3.3,3.3,3.4,1.56,10480
2012-02-24,3.4,3.3,3.3,3.4,1.56,17440
2012-02-27,3.5,3.4,3.4,3.4,1.56,59890
2012-02-28,3.5,3.3,3.4,3.5,1.61,80550
2012-02-29,3.6,3.5,3.6,3.6,1.65,47670
2012-03-01,3.7,3.5,3.7,3.6,1.65,107310
2012-03-02,3.7,3.7,3.7,3.7,1.7,35670
2012-03-05,3.8,3.7,3.7,3.8,1.75,3310
2012-03-06,3.9,3.7,3.9,3.9,1.79,66870
2012-03-07,4.0,3.8,4.0,4.0,1.84,43230
2012-03-08,4.0,3.8,3.8,4.0,1.84,33430
2012-03-09,3.8,3.8,3.8,3.8,1.75,30090
2012-03-12,3.8,3.7,3.8,3.7,1.7,15700
2012-03-13,3.7,3.6,3.7,3.6,1.65,7660
2012-03-14,3.7,3.5,3.7,3.5,1.61,10970
2012-03-15,3.6,3.4,3.4,3.6,1.65,15960
2012-03-16,3.7,3.6,3.7,3.7,1.7,3910
2012-03-19,3.8,3.6,3.8,3.6,1.65,16930
2012-03-20,3.7,3.5,3.7,3.6,1.65,65740
2012-03-21,3.7,3.5,3.5,3.6,1.65,22900
2012-03-22,3.7,3.6,3.7,3.7,1.7,31840
2012-03-23,3.8,3.6,3.7,3.8,1.75,26790
2012-03-26,3.9,3.7,3.7,3.9,1.79,44610
2012-03-27,4.0,4.0,4.0,4.0,1.84,81870
2012-03-28,4.2,3.9,4.0,4.1,1.88,40910
2012-03-29,4.2,4.0,4.2,4.2,1.93,16700
2012-03-30,4.2,4.0,4.2,4.1,1.88,7730
2012-04-03,4.0,3.9,4.0,3.9,1.79,49540
2012-04-04,3.9,3.8,3.8,3.8,1.75,35480
2012-04-05,3.9,3.8,3.8,3.9,1.79,13510
2012-04-06,3.9,3.8,3.9,3.9,1.79,22560
2012-04-09,3.9,3.8,3.9,3.9,1.79,4210
2012-04-10,3.9,3.8,3.9,3.8,1.75,29790
2012-04-11,3.9,3.7,3.8,3.9,1.79,4280
2012-04-12,3.9,3.8,3.9,3.9,1.79,29110
2012-04-13,3.8,3.8,3.8,3.8,1.75,43070
2012-04-16,3.9,3.7,3.9,3.9,1.79,13840
2012-04-17,4.0,3.9,4.0,4.0,1.84,30020
2012-04-18,4.2,4.2,4.2,4.2,1.93,77420
2012-04-19,4.4,4.1,4.4,4.3,1.98,84620
2012-04-20,4.4,4.2,4.4,4.3,1.98,12410
2012-04-23,4.5,4.3,4.5,4.3,1.98,26260
2012-04-24,4.3,4.2,4.2,4.3,1.98,33750
2012-04-25,4.4,4.2,4.4,4.4,2.02,28750
2012-04-26,4.5,4.3,4.5,4.4,2.02,13110
2012-04-27,4.6,4.4,4.5,4.6,2.11,66930
2012-05-02,4.8,4.7,4.8,4.8,2.21,196780
2012-05-03,5.0,4.9,5.0,5.0,2.3,133620
2012-05-04,5.2,5.2,5.2,5.2,2.39,59180
2012-05-07,5.4,5.4,5.4,5.4,2.48,52880
2012-05-08,5.6,5.6,5.6,5.6,2.57,5530
2012-05-09,5.8,5.8,5.8,5.8,2.67,48370
2012-05-10,6.0,6.0,6.0,6.0,2.76,3710
2012-05-11,6.3,6.1,6.3,6.2,2.85,162460
2012-05-14,6.2,5.9,6.2,5.9,2.71,115320
2012-05-15,5.9,5.7,5.9,5.7,2.62,32840
2012-05-16,5.5,5.5,5.5,5.5,2.53,37480
2012-05-17,5.7,5.4,5.4,5.4,2.48,42070
2012-05-18,5.3,5.2,5.2,5.2,2.39,34850
2012-05-21,5.4,5.0,5.2,5.4,2.48,37930
2012-05-22,5.6,5.2,5.6,5.2,2.39,19780
2012-05-23,5.3,5.0,5.3,5.0,2.3,32340
2012-05-24,5.1,4.8,4.8,4.8,2.21,31630
2012-05-25,5.0,4.7,4.8,4.9,2.25,83270
2012-05-28,5.1,4.7,5.1,5.0,2.3,43480
2012-05-29,5.1,4.8,5.1,5.0,2.3,12290
2012-05-30,5.1,4.9,5.0,4.9,2.25,19250
2012-05-31,4.9,4.7,4.8,4.8,2.21,11400
2012-06-01,4.9,4.6,4.9,4.8,2.21,5840
2012-06-04,4.9,4.6,4.6,4.6,2.11,7950
2012-06-05,4.7,4.4,4.4,4.5,2.07,12930
2012-06-06,4.7,4.4,4.4,4.6,2.11,28690
2012-06-07,4.8,4.6,4.6,4.8,2.21,16420
2012-06-08,4.9,4.7,4.8,4.8,2.21,24620
2012-06-11,4.8,4.6,4.8,4.6,2.11,33720
2012-06-12,4.7,4.4,4.6,4.4,2.02,112060
2012-06-13,4.4,4.3,4.4,4.4,2.02,18590
2012-06-14,4.4,4.3,4.3,4.4,2.02,7930
2012-06-15,4.6,4.4,4.4,4.5,2.07,18270
2012-06-18,4.7,4.5,4.5,4.6,2.11,69690
2012-06-19,4.7,4.4,4.7,4.6,2.11,10740
2012-06-20,4.6,4.6,4.6,4.6,2.11,1040
2012-06-21,4.6,4.4,4.4,4.6,2.11,3970
2012-06-22,4.6,4.4,4.4,4.5,2.07,20990
2012-06-25,4.5,4.3,4.3,4.3,1.98,19750
2012-06-26,4.2,4.1,4.2,4.1,1.88,81220
2012-06-27,4.1,3.9,4.0,4.0,1.84,36830
2012-06-28,4.1,3.8,3.9,3.8,1.75,38360
2012-06-29,3.9,3.8,3.8,3.9,1.79,17420
2012-07-02,3.9,3.8,3.9,3.9,1.79,38090
2012-07-03,3.9,3.8,3.8,3.8,1.75,15480
2012-07-04,3.9,3.9,3.9,3.9,1.79,55650
2012-07-05,4.0,3.9,3.9,4.0,1.84,14340
2012-07-06,4.1,4.0,4.0,4.1,1.88,22060
2012-07-09,4.1,3.9,3.9,4.0,1.84,3790
2012-07-10,4.0,3.9,4.0,3.9,1.79,11060
2012-07-11,4.0,3.9,3.9,4.0,1.84,13420
2012-07-12,4.1,3.9,4.1,4.1,1.88,9260
2012-07-13,4.3,4.1,4.2,4.3,1.98,23960
2012-07-16,4.5,4.2,4.5,4.3,1.98,18320
2012-07-17,4.3,4.2,4.3,4.3,1.98,19060
2012-07-18,4.4,4.3,4.4,4.3,1.98,6230
2012-07-19,4.5,4.2,4.2,4.5,2.07,18720
2012-07-20,4.6,4.5,4.6,4.6,2.11,28180
2012-07-23,4.6,4.4,4.6,4.4,2.02,6070
2012-07-24,4.2,4.2,4.2,4.2,1.93,16600
2012-07-25,4.3,4.0,4.0,4.3,1.98,19420
2012-07-26,4.4,4.1,4.1,4.4,2.02,23220
2012-07-27,4.2,4.2,4.2,4.2,1.93,350
2012-07-30,4.1,4.0,4.0,4.0,1.84,24640
2012-07-31,4.2,3.9,4.0,4.0,1.84,7180
2012-08-01,4.2,3.8,3.9,4.2,1.93,28140
2012-08-02,4.1,4.0,4.0,4.0,1.84,7760
2012-08-03,4.0,3.8,3.8,3.9,1.79,4900
2012-08-06,4.0,3.9,4.0,4.0,1.84,13460
2012-08-07,4.1,4.0,4.0,4.1,1.88,330
2012-08-08,4.1,4.0,4.0,4.1,1.88,9980
2012-08-09,4.1,4.0,4.1,4.1,1.88,10620
2012-08-10,4.0,3.9,4.0,3.9,1.79,11480
2012-08-13,4.0,3.8,3.9,3.9,1.79,12290
2012-08-14,4.0,3.9,3.9,4.0,1.84,15370
2012-08-15,4.0,3.9,4.0,3.9,1.79,7230
2012-08-16,4.0,4.0,4.0,4.0,1.84,6030
2012-08-17,4.0,3.9,3.9,4.0,1.84,3030
2012-08-20,4.0,3.9,4.0,4.0,1.84,9540
2012-08-21,3.9,3.8,3.8,3.8,1.75,35900
2012-08-22,3.8,3.7,3.7,3.8,1.75,5270
2012-08-23,3.7,3.7,3.7,3.7,1.7,8200
2012-08-24,3.8,3.6,3.6,3.8,1.75,13160
2012-08-27,3.8,3.7,3.8,3.7,1.7,2600
2012-08-28,3.7,3.6,3.6,3.6,1.65,16060
2012-08-29,3.7,3.6,3.6,3.7,1.7,7030
2012-08-30,3.7,3.6,3.6,3.7,1.7,8850
2012-08-31,3.7,3.6,3.6,3.7,1.7,3040
