Date,High,Low,Open,Close,adjust,Volume
2012-01-03,92.5,90.0,91.0,92.0,50.58,17600
2012-01-04,93.0,90.0,93.0,92.5,50.85,780
2012-01-05,92.5,90.0,92.5,92.0,50.58,39380
2012-01-06,93.0,90.0,90.0,93.0,51.13,1290
2012-01-09,92.0,91.0,92.0,92.0,50.58,11220
2012-01-10,93.0,92.5,92.5,93.0,51.13,68430
2012-01-11,94.5,91.0,91.0,92.5,50.85,3340
2012-01-12,94.0,93.0,93.0,94.0,51.68,10750
2012-01-13,95.0,92.0,92.0,94.0,51.68,570
2012-01-16,94.0,91.5,92.0,93.0,51.13,4740
2012-01-17,94.0,90.5,91.5,92.0,50.58,6110
2012-01-18,92.0,90.5,92.0,90.5,49.75,307700
2012-01-19,95.0,95.0,95.0,95.0,52.23,1000
2012-01-20,98.5,91.0,96.0,97.0,53.33,2120
2012-01-30,97.0,97.0,97.0,97.0,53.33,0
2012-01-31,97.0,94.0,94.0,97.0,53.33,350
2012-02-01,92.5,92.5,92.5,92.5,50.85,10
2012-02-02,94.5,91.0,91.5,94.5,51.95,160
2012-02-03,97.0,95.0,97.0,95.0,52.23,20
2012-02-06,95.0,95.0,95.0,95.0,52.23,0
2012-02-07,95.0,95.0,95.0,95.0,52.23,0
2012-02-08,95.0,95.0,95.0,95.0,52.23,0
2012-02-09,95.0,94.0,95.0,94.5,51.95,630
2012-02-10,96.0,94.0,94.0,95.0,52.23,3640
2012-02-13,95.0,95.0,95.0,95.0,52.23,1770
2012-02-14,95.5,95.5,95.5,95.5,52.5,3210
2012-02-15,95.5,95.5,95.5,95.5,52.5,10
2012-02-16,96.0,95.5,95.5,95.5,52.5,760
2012-02-17,100.0,91.5,91.5,100.0,54.97,15200
2012-02-20,105.0,96.5,104.0,105.0,57.72,1450
2012-02-21,103.0,100.0,103.0,100.0,54.97,1020
2012-02-22,104.0,97.5,97.5,104.0,57.17,380
2012-02-23,107.0,99.5,107.0,105.0,57.72,190
2012-02-24,106.0,103.0,103.0,106.0,58.27,1710
2012-02-27,102.0,102.0,102.0,102.0,56.07,1990
2012-02-28,102.0,102.0,102.0,102.0,56.07,1000
2012-02-29,102.0,100.0,102.0,100.0,54.97,1660
2012-03-01,99.0,95.0,99.0,96.5,53.05,2620
2012-03-02,101.0,100.0,100.0,101.0,55.52,17210
2012-03-05,106.0,103.0,103.0,106.0,58.27,1020
2012-03-06,111.0,102.0,108.0,110.0,60.47,20720
2012-03-07,106.0,105.0,106.0,105.0,57.72,1380
2012-03-08,109.0,105.0,108.0,107.0,58.82,19120
2012-03-09,108.0,104.0,105.0,108.0,59.37,5030
