Date,High,Low,Open,Close,adjust,Volume
2017-07-07,57.6,57.6,57.6,57.6,13.04,114260
2017-07-10,61.6,58.0,61.6,60.1,13.61,3022190
2017-07-11,60.2,58.0,60.2,59.0,13.36,1623360
2017-07-12,59.9,58.6,59.0,59.2,13.41,1914580
2017-07-13,59.1,58.3,59.1,58.3,13.2,780690
2017-07-14,58.6,57.3,58.1,57.4,13.0,1884788
2017-07-17,59.0,57.2,57.9,58.2,13.18,2089140
2017-07-18,58.2,57.6,58.0,57.6,13.04,595170
2017-07-19,58.3,57.5,58.0,57.7,13.07,279130
2017-07-20,58.0,57.5,57.8,57.8,13.09,2754660
2017-07-21,58.0,57.6,57.8,57.7,13.07,700450
2017-07-24,57.8,57.7,57.7,57.7,13.07,322460
2017-07-25,58.0,57.3,57.5,57.5,13.02,1198020
2017-07-26,59.5,57.6,57.7,58.9,13.34,407260
2017-07-27,61.4,58.9,59.4,60.0,13.59,993580
2017-07-28,61.4,60.0,61.0,61.0,13.81,1600310
2017-07-31,61.2,60.5,60.5,61.0,13.81,245430
2017-08-01,61.0,60.0,61.0,60.0,13.59,198280
2017-08-02,61.0,59.8,60.0,60.0,13.59,530950
2017-08-03,61.1,60.1,60.1,61.0,13.81,2016970
2017-08-04,61.0,60.5,61.0,60.6,13.72,579610
2017-08-07,61.2,60.6,60.6,61.0,13.81,672390
2017-08-08,61.0,60.3,61.0,60.5,13.7,1491400
2017-08-09,60.9,59.5,60.1,60.0,13.59,384710
2017-08-10,60.5,59.1,59.2,60.1,13.61,227310
2017-08-11,60.3,59.9,59.9,60.1,13.61,152540
2017-08-14,60.5,59.5,60.5,60.0,13.59,168300
2017-08-15,61.0,58.0,61.0,60.0,13.59,151120
2017-08-16,60.2,59.0,59.0,60.0,13.59,73300
2017-08-17,60.1,59.5,60.0,60.0,13.59,462870
2017-08-18,60.0,59.9,59.9,60.0,13.59,188990
2017-08-21,60.4,59.8,60.0,60.0,13.59,176960
2017-08-22,60.0,59.7,60.0,59.9,13.56,71320
2017-08-23,60.0,59.7,60.0,59.8,13.54,128770
2017-08-24,59.9,59.7,59.9,59.9,13.56,199860
2017-08-25,59.9,59.5,59.7,59.7,13.52,60460
2017-08-28,59.7,59.3,59.5,59.3,13.43,1058920
2017-08-29,59.5,59.0,59.2,59.3,13.43,49710
2017-08-30,59.3,59.0,59.3,59.3,13.43,72360
2017-08-31,59.3,59.0,59.3,59.2,13.41,845660
2017-09-01,59.5,59.2,59.5,59.2,13.41,19610
2017-09-05,59.1,58.8,59.0,59.0,13.36,41150
2017-09-06,58.8,58.0,58.8,58.0,13.13,63080
2017-09-07,58.0,57.5,58.0,57.6,13.04,1174740
2017-09-08,58.3,57.4,58.3,57.4,13.0,81480
2017-09-11,57.5,55.2,57.5,55.2,12.5,95710
2017-09-12,56.2,55.1,55.1,56.0,12.68,331310
2017-09-13,57.9,55.8,56.0,57.9,13.11,543630
2017-09-14,57.1,56.3,57.0,56.3,12.75,57710
2017-09-15,56.4,55.5,56.3,55.5,12.57,170940
2017-09-18,56.0,55.0,55.5,56.0,12.68,97640
2017-09-19,56.0,55.5,56.0,55.9,12.66,161810
2017-09-20,57.1,55.9,56.0,56.5,12.79,122020
2017-09-21,56.5,55.7,56.5,56.0,12.68,19560
2017-09-22,56.8,56.0,56.0,56.5,12.79,209740
2017-09-25,56.5,55.6,56.4,56.4,12.77,123790
2017-09-26,58.4,56.2,56.5,58.2,13.18,223860
2017-09-27,58.8,57.8,58.2,58.4,13.23,162700
2017-09-28,59.5,58.4,58.8,58.9,13.34,365840
2017-09-29,59.8,59.0,59.0,59.7,13.52,468620
2017-10-02,60.0,58.2,60.0,58.2,13.18,32020
2017-10-03,59.0,58.0,59.0,58.1,13.16,40260
2017-10-04,59.0,58.0,58.0,59.0,13.36,15340
2017-10-05,59.1,58.5,58.5,59.0,13.36,34120
