Date,High,Low,Open,Close,adjust,Volume
2012-01-03,101.0,98.5,99.0,98.5,16.37,39190
2012-01-04,100.0,98.5,99.5,99.0,16.45,38760
2012-01-05,98.5,94.5,98.5,94.5,15.7,15860
2012-01-06,94.5,93.5,94.5,94.0,15.62,22080
2012-01-09,98.5,93.0,94.0,98.5,16.37,110140
2012-01-10,102.0,96.0,102.0,98.5,16.37,121890
2012-01-11,99.0,95.0,99.0,95.5,15.87,70990
2012-01-12,97.5,95.0,97.0,95.5,15.87,35220
2012-01-13,98.0,95.0,95.0,96.5,16.04,63120
2012-01-16,96.5,94.0,95.5,94.0,15.62,5138080
2012-01-17,98.5,93.0,93.0,98.0,16.29,36590
2012-01-18,100.0,94.0,100.0,99.5,16.54,19050
2012-01-19,104.0,99.0,99.0,104.0,17.28,240240
2012-01-20,105.0,103.0,105.0,103.0,17.12,3022667
2012-01-30,108.0,103.0,103.0,108.0,17.95,40070
2012-01-31,110.0,108.0,110.0,109.0,18.11,200100
2012-02-01,113.0,107.0,109.0,113.0,18.78,820760
2012-02-02,116.0,110.0,113.0,114.0,18.95,859860
2012-02-03,116.0,114.0,116.0,114.0,18.95,90510
2012-02-06,118.0,114.0,115.0,118.0,19.61,63650
2012-02-07,120.0,115.0,118.0,117.0,19.44,74480
2012-02-08,118.0,115.0,116.0,117.0,19.44,81410
2012-02-09,118.0,117.0,118.0,117.0,19.44,44630
2012-02-10,116.0,114.0,116.0,116.0,19.28,103570
2012-02-13,114.0,111.0,114.0,111.0,18.45,2064720
2012-02-14,115.0,109.0,109.0,115.0,19.11,1299490
2012-02-15,117.0,112.0,112.0,115.0,19.11,1910141
2012-02-16,117.0,113.0,117.0,115.0,19.11,1519708
2012-02-17,117.0,112.0,112.0,114.0,18.95,24790
2012-02-20,117.0,110.0,115.0,113.0,18.78,12450
2012-02-21,116.0,112.0,116.0,113.0,18.78,19080
2012-02-22,115.0,111.0,113.0,115.0,19.11,21970
2012-02-23,115.0,113.0,114.0,115.0,19.11,58220
2012-02-24,116.0,112.0,116.0,112.0,18.61,61550
2012-02-27,115.0,110.0,112.0,110.0,18.28,102920
2012-02-28,112.0,109.0,110.0,110.0,18.28,40460
2012-02-29,110.0,105.0,110.0,105.0,17.45,2304553
2012-03-01,102.0,100.0,102.0,100.0,16.62,209560
2012-03-02,105.0,102.0,102.0,105.0,17.45,156970
2012-03-05,110.0,110.0,110.0,110.0,18.28,143510
2012-03-06,115.0,107.0,115.0,107.0,17.78,66240
2012-03-07,108.0,103.0,107.0,106.0,17.62,117880
2012-03-08,109.0,104.0,104.0,105.0,17.45,244220
2012-03-09,108.0,105.0,105.0,108.0,17.95,97970
2012-03-12,110.0,103.0,103.0,106.0,17.62,1091400
2012-03-13,105.0,101.0,104.0,101.0,16.78,267460
2012-03-14,105.0,99.0,105.0,105.0,17.45,1065600
2012-03-15,105.0,100.0,102.0,100.0,16.62,230330
2012-03-16,104.0,97.0,104.0,98.0,16.29,1240330
2012-03-19,98.0,95.0,98.0,98.0,16.29,150700
2012-03-20,102.0,98.0,98.0,100.0,16.62,1323021
2012-03-21,101.0,99.0,101.0,100.0,16.62,144040
2012-03-22,101.0,98.5,98.5,100.0,16.62,123360
2012-03-23,103.0,100.0,100.0,103.0,17.12,453050
2012-03-26,107.0,102.0,105.0,107.0,17.78,219500
2012-03-27,107.0,102.0,107.0,102.0,16.95,1039110
2012-03-28,98.0,97.0,97.0,97.0,16.12,4638350
2012-03-29,99.5,94.0,99.5,94.5,15.7,528600
2012-03-30,96.0,94.0,96.0,96.0,15.95,196260
2012-04-03,96.0,95.0,96.0,96.0,15.95,238470
2012-04-04,96.0,93.0,96.0,93.0,15.46,248100
2012-04-05,94.5,91.5,93.0,93.0,15.46,256960
2012-04-06,94.5,93.0,94.0,94.0,15.62,93370
2012-04-09,95.0,92.0,95.0,93.0,15.46,234310
2012-04-10,93.0,92.0,93.0,92.0,15.29,359080
2012-04-11,94.5,91.5,92.0,94.5,15.7,710240
2012-04-12,97.0,94.5,95.5,95.5,15.87,429800
2012-04-13,98.0,95.0,95.5,95.0,15.79,1320290
2012-04-16,98.5,95.5,96.0,97.5,16.2,248680
2012-04-17,99.5,96.5,97.5,99.0,16.45,418830
2012-04-18,103.0,99.0,100.0,99.5,16.54,346310
2012-04-19,100.0,97.5,99.5,99.0,16.45,285740
2012-04-20,100.0,97.5,100.0,98.5,16.37,350770
2012-04-23,99.0,97.5,97.5,99.0,16.45,256350
2012-04-24,99.0,97.5,98.0,99.0,16.45,160260
2012-04-25,99.0,98.0,99.0,99.0,16.45,233260
2012-04-26,101.0,99.5,100.0,100.0,16.62,1894521
2012-04-27,101.0,100.0,101.0,101.0,16.78,171160
2012-05-02,105.0,101.0,103.0,102.0,16.95,517450
2012-05-03,103.0,101.0,102.0,102.0,16.95,136060
2012-05-04,104.0,101.0,102.0,104.0,17.28,675910
2012-05-07,105.0,101.0,104.0,104.0,17.28,733040
2012-05-08,104.0,102.0,104.0,104.0,17.28,837150
2012-05-09,104.0,102.0,104.0,103.0,17.12,122410
2012-05-10,104.0,102.0,104.0,103.0,17.12,90920
2012-05-11,104.0,102.0,103.0,102.0,16.95,93430
2012-05-14,103.0,101.0,101.0,102.0,16.95,79080
2012-05-15,103.0,99.0,101.0,100.0,16.62,114310
2012-05-16,102.0,98.5,100.0,99.5,16.54,143950
2012-05-17,99.5,97.0,98.0,99.5,16.54,207350
2012-05-18,99.5,96.0,99.5,99.0,16.45,169600
2012-05-21,101.0,100.0,100.0,101.0,16.78,108700
2012-05-22,103.0,101.0,102.0,103.0,17.12,87130
2012-05-23,104.0,100.0,100.0,102.0,16.95,101180
2012-05-24,103.0,100.0,100.0,101.0,16.78,71170
2012-05-25,102.0,100.0,102.0,102.0,16.95,169090
2012-05-28,104.0,101.0,103.0,103.0,17.12,86790
2012-05-29,104.0,102.0,103.0,104.0,17.28,158843
2012-05-30,105.0,103.0,104.0,105.0,17.45,251650
2012-05-31,105.0,103.0,103.0,103.0,17.12,61250
2012-06-01,104.0,103.0,104.0,103.0,17.12,73670
2012-06-04,84.0,80.0,84.0,81.0,17.16,85690
2012-06-05,82.0,78.0,79.0,81.0,17.16,161020
2012-06-06,83.0,80.5,81.0,83.0,17.59,186260
2012-06-07,85.5,83.5,85.5,84.0,17.8,103390
2012-06-08,86.0,84.0,86.0,84.0,17.8,115130
2012-06-11,84.0,81.0,84.0,84.0,17.8,144500
2012-06-12,84.0,81.5,84.0,83.5,17.69,116260
2012-06-13,84.5,82.0,84.5,83.5,17.69,124350
2012-06-14,83.5,80.5,83.5,83.0,17.59,224830
2012-06-15,83.0,81.0,82.0,82.5,17.48,348600
2012-06-18,83.0,82.5,83.0,82.5,17.48,116570
2012-06-19,82.5,81.5,82.0,82.0,17.37,887230
2012-06-20,82.5,81.0,82.5,82.0,17.37,387450
2012-06-21,82.5,81.5,82.0,82.5,17.48,100900
2012-06-22,82.0,81.0,82.0,81.0,17.16,108520
2012-06-25,85.0,81.0,81.0,85.0,18.01,1659766
2012-06-26,85.0,82.0,85.0,85.0,18.01,472290
2012-06-27,85.5,84.0,85.0,85.0,18.01,427270
2012-06-28,84.5,82.5,84.5,84.5,17.9,2015400
2012-06-29,84.5,83.0,83.0,84.0,17.8,664171
2012-07-02,84.0,81.5,82.5,82.0,17.37,169750
2012-07-03,82.0,80.5,81.5,81.0,17.16,1123890
2012-07-04,81.5,80.5,81.0,81.0,17.16,75960
2012-07-05,82.0,80.0,80.0,81.0,17.16,76350
2012-07-06,82.0,80.0,81.0,80.5,17.06,91920
2012-07-09,81.0,78.0,80.0,79.0,16.74,161250
2012-07-10,79.0,77.0,79.0,78.5,16.63,120480
2012-07-11,78.5,76.5,78.5,77.5,16.42,371620
2012-07-12,79.0,75.0,75.0,77.5,16.42,256610
2012-07-13,80.0,78.0,78.0,80.0,16.95,181940
2012-07-16,80.0,77.0,80.0,79.0,16.74,102830
2012-07-17,79.0,76.5,76.5,79.0,16.74,273730
2012-07-18,79.0,78.0,79.0,78.5,16.63,133715
2012-07-19,79.0,77.0,77.0,79.0,16.74,735100
2012-07-20,79.0,78.5,79.0,78.5,16.63,225810
2012-07-23,79.0,77.0,79.0,78.0,16.53,109340
2012-07-24,78.0,75.5,78.0,77.0,16.32,240320
2012-07-25,77.5,75.5,77.0,77.0,16.32,100730
2012-07-26,77.5,76.0,76.0,77.0,16.32,111310
2012-07-27,77.5,76.0,77.0,77.5,16.42,1573091
2012-07-30,77.5,76.0,76.0,77.5,16.42,199800
2012-07-31,77.5,76.5,76.5,77.0,16.32,159950
2012-08-01,77.0,75.5,76.5,76.5,16.21,172190
2012-08-02,80.0,77.0,77.0,78.5,16.63,254950
2012-08-03,78.5,77.5,78.5,78.5,16.63,123450
2012-08-06,78.5,76.5,76.5,78.5,16.63,147010
2012-08-07,79.5,78.0,79.0,79.0,16.74,165390
2012-08-08,80.0,79.0,80.0,79.5,16.85,107540
2012-08-09,80.0,79.0,79.5,79.5,16.85,100400
2012-08-10,80.0,79.0,80.0,79.5,16.85,65470
2012-08-13,80.0,78.5,78.5,80.0,16.95,53020
2012-08-14,80.5,80.0,80.0,80.5,17.06,93610
2012-08-15,81.0,80.0,81.0,80.0,16.95,79010
2012-08-16,80.0,79.0,80.0,79.5,16.85,115560
2012-08-17,80.0,78.5,80.0,78.5,16.63,85650
2012-08-20,79.5,78.0,79.5,79.0,16.74,230260
2012-08-21,79.0,75.5,78.0,76.5,16.21,165180
2012-08-22,77.0,75.0,76.0,76.5,16.21,212800
2012-08-23,75.0,73.0,74.5,73.0,15.47,244370
2012-08-24,74.0,69.5,73.0,73.0,15.47,294918
2012-08-27,73.0,69.5,73.0,69.5,14.73,304450
2012-08-28,70.0,68.5,69.5,70.0,14.83,158670
2012-08-29,73.5,70.0,72.5,70.5,14.94,135960
2012-08-30,74.0,71.0,72.0,74.0,15.68,60820
2012-08-31,73.0,70.5,73.0,70.5,14.94,208770
2012-09-04,74.0,72.0,73.0,72.5,15.36,73830
2012-09-05,74.0,71.5,74.0,72.0,15.26,87930
2012-09-06,73.0,71.5,71.5,72.5,15.36,70640
2012-09-07,73.0,72.0,72.5,72.0,15.26,90690
2012-09-10,73.0,71.0,73.0,71.5,15.15,68830
2012-09-11,72.5,71.5,72.0,72.0,15.26,73230
2012-09-12,72.5,72.0,72.5,72.0,15.26,83310
2012-09-13,72.5,71.5,72.0,72.0,15.26,2580380
2012-09-14,74.0,73.0,74.0,74.0,15.68,251910
2012-09-17,77.5,75.0,76.0,75.0,15.89,424310
2012-09-18,77.5,74.0,77.0,76.5,16.21,249580
2012-09-19,77.0,76.0,76.0,77.0,16.32,1076300
2012-09-20,77.5,76.5,77.5,77.0,16.32,885490
2012-09-21,80.0,77.5,77.5,80.0,16.95,907720
2012-09-24,80.0,78.0,80.0,79.5,16.85,962890
2012-09-25,80.5,78.5,80.0,80.5,17.06,1314740
2012-09-26,84.0,81.0,81.5,83.5,17.69,450280
2012-09-27,85.0,80.0,84.5,83.0,17.59,316390
2012-09-28,83.5,80.5,82.5,83.0,17.59,278510
2012-10-01,82.5,80.5,82.0,82.5,17.48,160560
2012-10-02,82.5,81.5,82.0,82.0,17.37,141870
2012-10-03,82.0,79.0,82.0,79.0,16.74,112160
2012-10-04,80.0,79.0,80.0,80.0,16.95,53330
2012-10-05,80.0,79.0,80.0,80.0,16.95,53850
2012-10-08,81.0,80.0,80.0,81.0,17.16,325200
2012-10-09,81.0,80.0,80.0,80.5,17.06,1112400
2012-10-10,81.0,79.5,81.0,80.0,16.95,954980
2012-10-11,80.0,79.0,79.0,79.0,16.74,253630
2012-10-12,80.0,78.0,78.0,78.5,16.63,34370
2012-10-15,79.0,77.5,77.5,79.0,16.74,42970
2012-10-16,79.5,78.0,79.0,79.0,16.74,62130
2012-10-17,79.0,78.0,79.0,79.0,16.74,44560
2012-10-18,79.0,77.0,77.0,79.0,16.74,52280
2012-10-19,79.5,78.0,79.0,79.0,16.74,59850
2012-10-22,79.0,77.0,79.0,78.5,16.63,51680
