Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.0,4.0,4.0,4.0,0.55,3100
2012-01-04,3.9,3.8,3.9,3.8,0.52,1400
2012-01-05,3.6,3.6,3.6,3.6,0.5,4000
2012-01-06,3.4,3.4,3.4,3.4,0.47,4000
2012-01-09,3.3,3.3,3.3,3.3,0.45,2700
2012-01-10,3.5,3.5,3.5,3.5,0.48,500
2012-01-11,3.7,3.7,3.7,3.7,0.51,500
2012-01-12,3.6,3.6,3.6,3.6,0.5,500
2012-01-13,3.4,3.4,3.4,3.4,0.47,800
2012-01-16,3.2,3.2,3.2,3.2,0.44,2200
2012-01-17,3.4,3.4,3.4,3.4,0.47,100
2012-01-18,3.6,3.2,3.2,3.6,0.5,1100
2012-01-19,3.5,3.5,3.5,3.5,0.48,100
2012-01-20,3.7,3.7,3.7,3.7,0.51,100
2012-01-30,3.9,3.9,3.9,3.9,0.54,3300
2012-01-31,4.1,3.9,4.1,3.9,0.54,1800
2012-02-01,3.9,3.8,3.9,3.8,0.52,1700
2012-02-02,4.0,4.0,4.0,4.0,0.55,1400
2012-02-03,4.2,4.2,4.2,4.2,0.58,2000
2012-02-06,4.0,4.0,4.0,4.0,0.55,1200
2012-02-07,4.2,3.8,4.2,3.8,0.52,200
2012-02-08,3.8,3.8,3.8,3.8,0.52,900
2012-02-09,3.7,3.6,3.7,3.6,0.5,21700
2012-02-10,3.8,3.4,3.8,3.4,0.47,30000
2012-02-13,3.7,3.4,3.7,3.4,0.47,200
2012-02-14,3.8,3.4,3.8,3.4,0.47,600
2012-02-15,3.7,3.7,3.7,3.7,0.51,0
2012-02-16,3.5,3.5,3.5,3.5,0.48,1200
2012-02-17,3.5,3.3,3.4,3.5,0.48,27000
2012-02-20,3.5,3.5,3.5,3.5,0.48,300
2012-02-21,3.7,3.7,3.7,3.7,0.51,2100
2012-02-22,3.9,3.9,3.9,3.9,0.54,2100
2012-02-23,4.1,4.1,4.1,4.1,0.56,8300
2012-02-24,4.3,4.3,4.3,4.3,0.59,3500
2012-02-27,4.6,4.6,4.6,4.6,0.63,2200
2012-02-28,4.9,4.9,4.9,4.9,0.67,12600
2012-02-29,5.2,4.6,5.2,5.2,0.72,8700
2012-03-01,5.1,5.1,5.1,5.1,0.7,4900
2012-03-02,5.4,5.1,5.4,5.1,0.7,1300
2012-03-05,5.7,5.7,5.7,5.7,0.78,100
2012-03-06,6.0,5.4,6.0,5.7,0.78,7200
2012-03-07,6.1,5.6,5.6,6.1,0.84,7100
2012-03-08,5.6,5.5,5.5,5.5,0.76,14800
2012-03-09,5.4,5.3,5.4,5.3,0.73,2500
2012-03-12,5.0,5.0,5.0,5.0,0.69,1600
2012-03-13,4.8,4.7,4.8,4.7,0.65,4100
2012-03-14,4.9,4.5,4.5,4.9,0.67,4500
2012-03-15,4.8,4.8,4.8,4.8,0.66,100
2012-03-16,5.1,5.1,5.1,5.1,0.7,200
2012-03-19,5.4,5.4,5.4,5.4,0.74,2200
2012-03-20,5.7,5.5,5.7,5.5,0.76,3200
2012-03-21,5.9,5.9,5.9,5.9,0.81,85300
2012-03-22,6.3,6.2,6.3,6.2,0.85,800
2012-03-23,6.2,6.0,6.2,6.0,0.83,8100
2012-03-26,6.1,5.9,5.9,6.0,0.83,8900
2012-03-27,6.2,6.0,6.0,6.0,0.83,15600
2012-03-28,6.0,6.0,6.0,6.0,0.83,1400
2012-03-29,6.4,6.0,6.0,6.1,0.84,18200
2012-03-30,6.0,6.0,6.0,6.0,0.83,100
2012-04-03,6.4,6.1,6.1,6.4,0.88,3000
2012-04-04,6.4,6.0,6.1,6.0,0.83,700
2012-04-05,6.3,6.2,6.2,6.3,0.87,1100
2012-04-06,6.0,5.9,6.0,6.0,0.83,6000
2012-04-09,6.4,6.1,6.1,6.4,0.88,5400
2012-04-10,6.8,6.8,6.8,6.8,0.94,19100
2012-04-11,7.2,7.2,7.2,7.2,0.99,3100
2012-04-12,7.7,7.7,7.7,7.7,1.06,3900
2012-04-13,8.2,8.2,8.2,8.2,1.13,2000
2012-04-16,8.7,8.7,8.7,8.7,1.2,6500
2012-04-17,9.3,9.3,9.3,9.3,1.28,8800
2012-04-18,9.9,9.9,9.9,9.9,1.36,5253900
2012-04-19,10.5,10.5,10.5,10.5,1.44,3017800
2012-04-20,11.2,10.5,11.2,11.2,1.54,76100
2012-04-23,11.9,11.8,11.8,11.9,1.64,10700
2012-04-24,12.7,12.6,12.7,12.7,1.75,33200
2012-04-25,12.5,12.5,12.5,12.5,1.87,2686400
2012-04-26,13.3,13.3,13.3,13.3,1.98,6100
2012-04-27,14.2,14.2,14.2,14.2,2.12,25500
2012-05-02,15.1,13.4,15.1,13.5,2.01,60300
2012-05-03,14.4,13.8,13.8,14.4,2.15,2250200
2012-05-04,15.4,15.0,15.4,15.2,2.27,17600
2012-05-07,16.0,14.2,16.0,15.2,2.27,8200
2012-05-08,14.7,14.1,14.7,14.1,2.1,2075900
2012-05-09,13.3,13.2,13.3,13.2,1.97,1100
2012-05-10,12.3,12.3,12.3,12.3,1.84,49100
2012-05-11,12.9,11.5,11.5,12.3,1.84,2157100
2012-05-14,12.9,11.9,12.9,12.5,1.87,41500
2012-05-15,12.7,12.4,12.7,12.5,1.87,18600
2012-05-16,12.4,11.8,11.8,12.4,1.85,18000
2012-05-17,12.8,12.1,12.1,12.5,1.87,20600
2012-05-18,12.8,12.0,12.8,12.4,1.85,16500
2012-05-21,13.1,12.1,12.2,13.1,1.96,29200
2012-05-22,13.2,12.5,12.5,13.1,1.96,13500
2012-05-23,13.0,12.3,12.8,12.8,1.91,38600
2012-05-24,13.2,12.0,12.9,12.8,1.91,41500
2012-05-25,13.2,12.5,12.9,13.2,1.97,59600
2012-05-28,13.4,13.0,13.2,13.2,1.97,40500
2012-05-29,13.1,12.5,12.9,13.1,1.96,30600
2012-05-30,13.3,12.9,12.9,13.3,1.98,33100
2012-05-31,13.3,12.6,13.2,13.1,1.96,40300
2012-06-01,13.1,12.9,13.0,13.1,1.96,10300
2012-06-04,13.0,12.6,12.9,12.7,1.9,16100
2012-06-05,13.0,12.7,13.0,12.9,1.93,20600
2012-06-06,13.2,12.5,12.8,13.1,1.96,36200
2012-06-07,13.4,12.8,13.1,13.1,1.96,36900
2012-06-08,13.2,12.3,12.9,13.2,1.97,42900
2012-06-11,13.2,12.9,13.0,13.2,1.97,30400
2012-06-12,13.2,13.0,13.1,13.2,1.97,23900
2012-06-13,13.2,12.9,12.9,13.2,1.97,29500
2012-06-14,13.1,12.7,13.0,13.1,1.96,35500
2012-06-15,13.2,12.7,12.9,13.2,1.97,53600
2012-06-18,13.1,13.0,13.0,13.1,1.96,24100
2012-06-19,13.0,12.5,12.7,13.0,1.94,23500
2012-06-20,13.0,12.9,12.9,13.0,1.94,30500
2012-06-21,13.0,12.9,12.9,13.0,1.94,24500
2012-06-22,12.9,12.3,12.5,12.9,1.93,27400
2012-06-25,12.9,12.2,12.9,12.5,1.87,23400
2012-06-26,12.5,12.0,12.0,12.5,1.87,30900
2012-06-27,12.5,12.4,12.4,12.5,1.87,17700
2012-06-28,12.9,12.3,12.4,12.9,1.93,12100
2012-06-29,12.7,12.4,12.7,12.6,1.88,20600
2012-07-02,12.6,12.5,12.5,12.6,1.88,29000
2012-07-03,12.4,12.2,12.4,12.2,1.82,16700
2012-07-04,12.7,11.7,12.7,12.2,1.82,12000
2012-07-05,12.3,12.0,12.0,12.3,1.84,20500
2012-07-06,12.5,12.2,12.5,12.3,1.84,16900
2012-07-09,12.4,11.9,12.4,12.3,1.84,17400
2012-07-10,12.2,11.9,12.2,12.2,1.82,20700
2012-07-11,12.2,11.8,12.2,12.1,1.81,10400
2012-07-12,12.2,12.0,12.0,12.2,1.82,13200
2012-07-13,12.5,12.0,12.0,12.5,1.87,29000
2012-07-16,12.5,12.3,12.3,12.5,1.87,10600
2012-07-17,12.6,12.4,12.4,12.6,1.88,6000
2012-07-18,12.6,12.5,12.5,12.6,1.88,13500
2012-07-19,12.8,12.5,12.5,12.7,1.9,33300
2012-07-20,12.8,12.5,12.7,12.7,1.9,17600
2012-07-23,12.8,12.5,12.7,12.8,1.91,12000
2012-07-24,12.7,12.4,12.7,12.7,1.9,15000
2012-07-25,12.5,12.4,12.5,12.4,1.85,13700
2012-07-26,12.3,12.2,12.3,12.3,1.84,7900
2012-07-27,12.3,12.2,12.3,12.3,1.84,13000
2012-07-30,12.3,12.3,12.3,12.3,1.84,7500
2012-07-31,12.5,12.1,12.3,12.3,1.84,15600
2012-08-01,12.4,12.4,12.4,12.4,1.85,7500
2012-08-02,12.5,12.4,12.5,12.5,1.87,9500
2012-08-03,12.4,12.1,12.4,12.4,1.85,14500
2012-08-06,12.5,12.4,12.4,12.5,1.87,10200
2012-08-07,12.5,12.3,12.5,12.3,1.84,6200
2012-08-08,12.4,12.4,12.4,12.4,1.85,11000
2012-08-09,12.5,12.3,12.5,12.4,1.85,18000
2012-08-10,12.5,12.2,12.5,12.4,1.85,11000
2012-08-13,12.4,12.2,12.4,12.4,1.85,10400
2012-08-14,12.4,12.2,12.4,12.4,1.85,8900
2012-08-15,12.4,12.4,12.4,12.4,1.85,11000
2012-08-16,12.4,12.4,12.4,12.4,1.85,12000
2012-08-17,12.4,12.3,12.3,12.4,1.85,11500
2012-08-20,12.4,12.2,12.4,12.4,1.85,17500
2012-08-21,12.4,11.6,12.4,11.6,1.73,12200
2012-08-22,11.2,10.8,10.8,11.1,1.66,3500
2012-08-23,10.7,10.4,10.7,10.4,1.55,7300
2012-08-24,10.7,9.7,9.7,10.6,1.58,27400
2012-08-27,10.9,10.6,10.6,10.9,1.63,3000
2012-08-28,10.4,10.4,10.4,10.4,1.55,3000
2012-08-29,11.1,10.6,10.6,11.1,1.66,2100
2012-08-30,11.6,11.6,11.6,11.6,1.73,2000
2012-08-31,11.7,11.7,11.7,11.7,1.75,2000
2012-09-04,11.7,11.7,11.7,11.7,1.75,0
2012-09-05,11.7,11.7,11.7,11.7,1.75,2500
2012-09-06,11.7,11.7,11.7,11.7,1.75,0
2012-09-07,11.2,11.2,11.2,11.2,1.67,100
2012-09-10,11.1,11.1,11.1,11.1,1.66,3000
2012-09-11,11.0,10.4,10.4,11.0,1.64,2100
2012-09-12,11.2,11.2,11.2,11.2,1.67,2000
2012-09-13,11.0,10.9,10.9,11.0,1.64,2100
2012-09-14,11.0,10.3,11.0,10.8,1.61,2300
2012-09-17,10.9,10.1,10.8,10.1,1.51,4700
2012-09-18,10.4,10.4,10.4,10.4,1.55,2000
2012-09-19,10.5,10.0,10.0,10.5,1.57,12600
2012-09-20,10.5,10.5,10.5,10.5,1.57,0
2012-09-21,10.2,9.8,9.8,10.2,1.52,3500
2012-09-24,10.2,10.0,10.0,10.2,1.52,10500
2012-09-25,10.5,10.0,10.0,10.5,1.57,7500
2012-09-26,10.3,9.8,9.8,10.3,1.54,2800
2012-09-27,10.4,10.3,10.4,10.3,1.54,1100
2012-09-28,10.3,10.3,10.3,10.3,1.54,0
2012-10-01,10.3,10.3,10.3,10.3,1.54,0
2012-10-02,10.1,10.0,10.1,10.0,1.49,14700
2012-10-03,10.1,10.1,10.1,10.1,1.51,1000
2012-10-04,10.0,10.0,10.0,10.0,1.49,100
2012-10-05,10.2,10.2,10.2,10.2,1.52,1000
2012-10-08,10.3,10.3,10.3,10.3,1.54,3000
2012-10-09,10.0,9.6,9.6,10.0,1.49,2500
2012-10-10,10.0,10.0,10.0,10.0,1.49,0
2012-10-11,10.1,9.5,10.1,9.7,1.45,27600
2012-10-12,9.9,9.9,9.9,9.9,1.48,1500
2012-10-15,9.9,9.9,9.9,9.9,1.48,0
2012-10-16,9.9,9.9,9.9,9.9,1.48,0
2012-10-17,9.8,9.8,9.8,9.8,1.46,1600
2012-10-18,9.2,9.2,9.2,9.2,1.37,600
