Date,High,Low,Open,Close,adjust,Volume
2012-01-03,21.0,20.7,21.0,20.8,7.44,223500
2012-01-04,20.9,20.8,20.8,20.8,7.44,120450
2012-01-05,20.8,20.7,20.8,20.7,7.4,85400
2012-01-06,20.8,20.7,20.7,20.7,7.4,135530
2012-01-09,20.8,20.7,20.7,20.7,7.4,166700
2012-01-10,20.8,20.5,20.7,20.7,7.4,106400
2012-01-11,20.7,20.5,20.7,20.5,7.33,62530
2012-01-12,20.7,20.3,20.5,20.3,7.26,84830
2012-01-13,20.4,20.1,20.3,20.1,7.19,163500
2012-01-16,20.1,19.8,20.1,19.8,7.08,96700
2012-01-17,16.9,16.8,16.9,16.9,7.08,58000
2012-01-18,17.0,16.9,16.9,16.9,7.08,94350
2012-01-19,17.0,16.9,16.9,17.0,7.12,353000
2012-01-20,17.0,16.8,17.0,16.8,7.04,143860
2012-01-30,16.9,16.7,16.8,16.9,7.08,93050
2012-01-31,17.0,16.8,16.9,16.8,7.04,121540
2012-02-01,16.9,16.7,16.8,16.7,7.0,329150
2012-02-02,16.8,16.6,16.7,16.7,7.0,203350
2012-02-03,16.7,16.2,16.4,16.3,6.83,159690
2012-02-06,16.3,16.0,16.3,16.2,6.79,169650
2012-02-07,16.4,15.8,15.8,16.4,6.87,385150
2012-02-08,16.5,16.2,16.3,16.4,6.87,374580
2012-02-09,17.2,16.4,16.5,17.2,7.21,306420
2012-02-10,17.5,17.1,17.5,17.1,7.16,217180
2012-02-13,17.1,16.9,17.1,17.0,7.12,307440
2012-02-14,17.0,16.5,16.9,17.0,7.12,516060
2012-02-15,17.0,16.8,17.0,16.9,7.08,370100
2012-02-16,16.9,16.7,16.9,16.7,7.0,184950
2012-02-17,16.8,16.1,16.7,16.1,6.75,348570
2012-02-20,16.9,16.6,16.6,16.9,7.08,309450
2012-02-21,16.9,16.4,16.9,16.5,6.91,266020
2012-02-22,16.7,16.5,16.5,16.7,7.0,150580
2012-02-23,16.7,16.5,16.7,16.7,7.0,150660
2012-02-24,16.7,16.5,16.7,16.6,6.95,152450
2012-02-27,16.9,16.3,16.6,16.8,7.04,182960
2012-02-28,16.9,16.6,16.9,16.8,7.04,98200
2012-02-29,17.1,16.7,16.7,17.0,7.12,134860
2012-03-01,17.2,17.0,17.0,17.2,7.21,268880
2012-03-02,17.3,17.1,17.1,17.3,7.25,138050
2012-03-05,18.1,17.3,17.3,18.1,7.58,245270
2012-03-06,18.2,17.5,18.2,17.7,7.42,399420
2012-03-07,17.6,17.0,17.6,17.0,7.12,348790
2012-03-08,16.8,16.4,16.7,16.5,6.91,194100
2012-03-09,16.6,16.2,16.3,16.4,6.87,271820
2012-03-12,16.6,16.3,16.5,16.3,6.83,195800
2012-03-13,16.4,16.2,16.3,16.4,6.87,413660
2012-03-14,16.5,16.4,16.4,16.5,6.91,203540
2012-03-15,16.7,16.5,16.5,16.6,6.95,415250
2012-03-16,17.0,16.6,16.6,16.8,7.04,231790
2012-03-19,16.8,16.7,16.8,16.8,7.04,149550
2012-03-20,17.0,16.7,16.8,16.9,7.08,152710
2012-03-21,16.9,16.7,16.8,16.9,7.08,344000
2012-03-22,16.9,16.7,16.8,16.9,7.08,455140
2012-03-23,17.3,16.9,17.0,16.9,7.08,188740
2012-03-26,17.3,16.9,16.9,16.9,7.08,363260
2012-03-27,17.0,16.7,16.9,16.7,7.0,321290
2012-03-28,16.9,16.6,16.6,16.9,7.08,282420
2012-03-29,16.9,16.8,16.8,16.9,7.08,275700
2012-03-30,17.0,16.9,16.9,16.9,7.08,500130
2012-04-03,17.0,16.9,16.9,16.9,7.08,273870
2012-04-04,17.0,16.9,16.9,17.0,7.12,301320
2012-04-05,17.1,16.9,16.9,17.0,7.12,220000
2012-04-06,17.0,16.8,16.8,16.9,7.08,131090
2012-04-09,16.9,16.8,16.8,16.9,7.08,487550
2012-04-10,17.0,16.8,16.8,16.9,7.08,267850
2012-04-11,17.1,16.8,16.8,16.9,7.08,469180
2012-04-12,17.2,17.0,17.1,17.1,7.16,85900
2012-04-13,17.0,16.9,17.0,16.9,7.08,224060
2012-04-16,17.7,16.7,16.9,17.1,7.16,392580
2012-04-17,17.9,17.1,17.2,17.9,7.5,454070
2012-04-18,18.7,17.6,17.6,18.5,7.75,161910
2012-04-19,18.5,17.9,18.5,18.3,7.67,278620
2012-04-20,18.3,18.2,18.3,18.3,7.67,441790
2012-04-23,18.7,17.9,18.3,17.9,7.5,435530
2012-04-24,18.0,17.7,17.9,17.9,7.5,181910
2012-04-25,18.0,17.8,17.9,17.9,7.5,177470
2012-04-26,17.9,17.6,17.9,17.9,7.5,200210
2012-04-27,17.9,17.5,17.9,17.5,7.33,450080
2012-05-02,18.3,17.9,18.1,18.3,7.67,228940
2012-05-03,18.4,18.0,18.4,18.0,7.54,239670
2012-05-04,18.0,17.8,17.9,18.0,7.54,239950
2012-05-07,18.2,17.9,18.0,18.1,7.58,382400
2012-05-08,18.2,17.8,17.9,18.0,7.54,187670
2012-05-09,18.0,17.7,18.0,17.7,7.42,212530
2012-05-10,17.8,17.7,17.7,17.7,7.42,313690
2012-05-11,18.0,17.6,17.7,17.8,7.46,426330
