Date,High,Low,Open,Close,adjust,Volume
2012-01-03,9.2,9.2,9.2,9.2,8.53,0
2012-01-04,8.8,8.8,8.8,8.8,8.16,10
2012-01-05,9.2,8.8,8.8,9.2,8.53,26420
2012-01-06,9.2,9.2,9.2,9.2,8.53,10
2012-01-09,9.0,9.0,9.0,9.0,8.34,1000
2012-01-10,8.6,8.6,8.6,8.6,7.97,10
2012-01-11,8.2,8.2,8.2,8.2,7.6,10
2012-01-12,8.2,8.2,8.2,8.2,7.6,0
2012-01-13,7.8,7.8,7.8,7.8,7.23,1080
2012-01-16,7.5,7.5,7.5,7.5,6.95,70
2012-01-17,7.2,7.2,7.2,7.2,6.67,510
2012-01-18,6.9,6.9,6.9,6.9,6.4,50
2012-01-19,6.6,6.6,6.6,6.6,6.12,800
2012-01-20,6.3,6.3,6.3,6.3,5.84,200
2012-01-30,6.6,6.3,6.6,6.3,5.84,110
2012-01-31,6.3,6.3,6.3,6.3,5.84,0
2012-02-01,6.6,6.6,6.6,6.6,6.12,540
2012-02-02,6.4,6.3,6.4,6.3,5.84,14330
2012-02-03,6.0,6.0,6.0,6.0,5.56,2710
2012-02-06,5.8,5.7,5.8,5.7,5.28,1200
2012-02-07,5.9,5.5,5.9,5.6,5.19,700
2012-02-08,5.5,5.4,5.4,5.4,5.0,2910
2012-02-09,5.4,5.2,5.2,5.4,5.0,2590
2012-02-10,5.6,5.6,5.6,5.6,5.19,100
2012-02-13,5.6,5.4,5.6,5.4,5.0,1210
2012-02-14,5.4,5.2,5.2,5.4,5.0,5360
2012-02-15,5.5,5.2,5.2,5.5,5.1,600
2012-02-16,5.5,5.3,5.3,5.3,4.91,6170
2012-02-17,5.5,5.2,5.2,5.5,5.1,4030
2012-02-20,5.5,5.4,5.5,5.5,5.1,9590
2012-02-21,5.5,5.3,5.3,5.5,5.1,2000
2012-02-22,5.7,5.4,5.5,5.5,5.1,29370
2012-02-23,5.7,5.4,5.4,5.7,5.28,6100
2012-02-24,5.9,5.9,5.9,5.9,5.47,10
2012-02-27,6.0,5.8,5.9,6.0,5.56,260
2012-02-28,5.8,5.7,5.8,5.7,5.28,19000
2012-02-29,5.5,5.5,5.5,5.5,5.1,4720
2012-03-01,5.4,5.3,5.4,5.3,4.91,4600
2012-03-02,5.2,5.1,5.1,5.1,4.73,9610
2012-03-05,5.3,5.1,5.3,5.3,4.91,139300
2012-03-06,5.5,5.3,5.5,5.5,5.1,66560
2012-03-07,5.7,5.6,5.7,5.6,5.19,14550
2012-03-08,5.6,5.5,5.5,5.6,5.19,4760
2012-03-09,5.4,5.4,5.4,5.4,5.0,5170
2012-03-12,5.2,5.2,5.2,5.2,4.82,12370
2012-03-13,5.1,5.0,5.1,5.0,4.63,21910
2012-03-14,4.8,4.8,4.8,4.8,4.45,21140
2012-03-15,5.0,4.6,4.6,4.6,4.26,71510
2012-03-16,4.8,4.4,4.6,4.8,4.45,293340
2012-03-19,5.0,4.9,5.0,5.0,4.63,17950
2012-03-20,5.2,5.2,5.2,5.2,4.82,11050
2012-03-21,5.4,5.4,5.4,5.4,5.0,1270
2012-03-22,5.6,5.3,5.6,5.6,5.19,82030
2012-03-23,5.8,5.8,5.8,5.8,5.38,53570
2012-03-26,6.0,5.7,6.0,6.0,5.56,64380
2012-03-27,6.3,5.8,6.0,6.1,5.65,65320
2012-03-28,6.1,5.8,5.9,5.8,5.38,18410
2012-03-29,5.7,5.6,5.6,5.7,5.28,5120
2012-03-30,5.5,5.5,5.5,5.5,5.1,5520
2012-04-03,5.6,5.3,5.4,5.4,5.0,18170
2012-04-04,5.5,5.2,5.5,5.2,4.82,7720
2012-04-05,5.4,5.0,5.0,5.4,5.0,970
2012-04-06,5.5,5.2,5.5,5.2,4.82,1050
2012-04-09,5.4,5.1,5.1,5.1,4.73,6040
2012-04-10,5.3,5.0,5.1,5.3,4.91,9140
2012-04-11,5.5,5.3,5.4,5.5,5.1,13540
2012-04-12,5.7,5.7,5.7,5.7,5.28,8380
2012-04-13,5.8,5.5,5.8,5.7,5.28,8410
2012-04-16,5.8,5.5,5.5,5.8,5.38,15730
2012-04-17,5.8,5.6,5.8,5.6,5.19,17350
2012-04-18,5.8,5.5,5.6,5.8,5.38,26690
2012-04-19,6.0,5.8,5.9,6.0,5.56,19680
2012-04-20,6.2,5.9,6.0,6.2,5.75,2120
2012-04-23,6.3,5.9,6.2,6.3,5.84,2230
2012-04-24,6.4,6.0,6.0,6.3,5.84,12830
2012-04-25,6.4,6.0,6.3,6.0,5.56,13840
2012-04-26,6.2,5.9,6.0,6.0,5.56,3580
2012-04-27,6.3,6.0,6.0,6.3,5.84,47990
2012-05-02,6.6,6.6,6.6,6.6,6.12,10020
2012-05-03,6.9,6.6,6.9,6.9,6.4,36130
2012-05-04,7.2,7.2,7.2,7.2,6.67,7510
2012-05-07,7.5,7.5,7.5,7.5,6.95,720
2012-05-08,7.8,7.8,7.8,7.8,7.23,13010
2012-05-09,8.1,8.1,8.1,8.1,7.51,5110
2012-05-10,8.5,8.5,8.5,8.5,7.88,2520
2012-05-11,8.9,8.5,8.9,8.7,8.06,85620
2012-05-14,8.4,8.3,8.4,8.3,7.69,11170
2012-05-15,8.1,7.9,7.9,7.9,7.32,5440
2012-05-16,8.0,7.6,8.0,7.6,7.04,2330
2012-05-17,7.6,7.3,7.6,7.3,6.77,3670
2012-05-18,7.0,7.0,7.0,7.0,6.49,2100
2012-05-21,7.3,7.1,7.1,7.3,6.77,3510
2012-05-22,7.4,7.0,7.4,7.0,6.49,5620
2012-05-23,6.7,6.7,6.7,6.7,6.21,7000
2012-05-24,6.4,6.4,6.4,6.4,5.93,110
2012-05-25,6.7,6.2,6.5,6.7,6.21,9520
2012-05-28,7.0,6.7,7.0,6.7,6.21,1820
2012-05-29,7.0,6.4,6.8,7.0,6.49,230
2012-05-30,7.0,7.0,7.0,7.0,6.49,50
2012-05-31,6.9,6.7,6.7,6.7,6.21,220
2012-06-01,7.0,6.4,7.0,6.9,6.4,1550
2012-06-04,6.8,6.6,6.6,6.6,6.12,560
2012-06-05,6.3,6.3,6.3,6.3,5.84,5500
2012-06-06,6.3,6.0,6.0,6.3,5.84,3480
2012-06-07,6.6,6.5,6.5,6.6,6.12,3800
2012-06-08,6.8,6.3,6.8,6.6,6.12,14890
2012-06-11,6.9,6.3,6.9,6.4,5.93,6060
2012-06-12,6.3,6.1,6.3,6.1,5.65,3210
2012-06-13,6.3,5.8,6.3,6.2,5.75,3130
2012-06-14,6.3,5.9,6.3,5.9,5.47,400
2012-06-15,6.1,5.7,5.7,6.1,5.65,2350
2012-06-18,6.2,6.1,6.2,6.1,5.65,5140
2012-06-19,6.1,6.0,6.0,6.1,5.65,310
2012-06-20,6.4,6.1,6.1,6.4,5.93,330
2012-06-21,6.5,6.1,6.5,6.2,5.75,350
2012-06-22,6.3,6.2,6.2,6.3,5.84,130
2012-06-25,6.1,6.0,6.0,6.0,5.56,610
2012-06-26,6.0,5.7,5.8,5.7,5.28,4420
2012-06-27,5.9,5.5,5.9,5.9,5.47,2760
2012-06-28,6.0,5.7,6.0,6.0,5.56,5130
2012-06-29,6.1,5.7,5.7,6.1,5.65,1300
2012-07-02,6.2,5.8,5.8,6.2,5.75,520
2012-07-03,6.2,6.2,6.2,6.2,5.75,0
2012-07-04,6.1,6.0,6.1,6.1,5.65,120
2012-07-05,6.1,6.1,6.1,6.1,5.65,0
2012-07-06,6.1,6.0,6.1,6.0,5.56,3980
2012-07-09,6.2,6.2,6.2,6.2,5.75,10
2012-07-10,6.1,6.0,6.1,6.0,5.56,5100
2012-07-11,5.9,5.9,5.9,5.9,5.47,100
2012-07-12,5.8,5.7,5.8,5.7,5.28,2370
2012-07-13,5.9,5.5,5.9,5.9,5.47,2780
2012-07-16,6.0,6.0,6.0,6.0,5.56,10
2012-07-17,6.0,5.7,5.7,5.7,5.28,750
2012-07-18,5.9,5.7,5.9,5.9,5.47,2200
2012-07-19,5.9,5.9,5.9,5.9,5.47,0
2012-07-20,5.9,5.9,5.9,5.9,5.47,1500
2012-07-23,5.9,5.9,5.9,5.9,5.47,0
2012-07-24,5.9,5.9,5.9,5.9,5.47,0
2012-07-25,5.9,5.9,5.9,5.9,5.47,10
2012-07-26,5.7,5.7,5.7,5.7,5.28,380
2012-07-27,5.7,5.5,5.5,5.7,5.28,2610
2012-07-30,5.7,5.5,5.5,5.5,5.1,520
2012-07-31,5.6,5.3,5.4,5.5,5.1,3040
2012-08-01,5.5,5.3,5.3,5.5,5.1,2250
2012-08-02,5.5,5.3,5.3,5.3,4.91,9930
2012-08-03,5.4,5.4,5.4,5.4,5.0,1010
2012-08-06,5.6,5.6,5.6,5.6,5.19,10
2012-08-07,5.8,5.4,5.8,5.6,5.19,240
2012-08-08,5.4,5.4,5.4,5.4,5.0,170
2012-08-09,5.6,5.2,5.2,5.4,5.0,10250
2012-08-10,5.4,5.2,5.2,5.3,4.91,3070
2012-08-13,5.5,5.3,5.3,5.4,5.0,7490
2012-08-14,5.5,5.4,5.4,5.5,5.1,3030
2012-08-15,5.5,5.4,5.4,5.5,5.1,9170
2012-08-16,5.7,5.5,5.5,5.7,5.28,12820
2012-08-17,5.7,5.5,5.5,5.7,5.28,160
2012-08-20,5.9,5.6,5.8,5.8,5.38,9520
2012-08-21,5.9,5.7,5.8,5.8,5.38,21930
2012-08-22,5.9,5.8,5.8,5.9,5.47,18860
2012-08-23,5.9,5.7,5.9,5.7,5.28,44760
2012-08-24,5.9,5.6,5.7,5.7,5.28,7800
2012-08-27,5.9,5.7,5.7,5.8,5.38,1950
2012-08-28,5.9,5.8,5.8,5.9,5.47,520
2012-08-29,6.0,5.9,5.9,6.0,5.56,2550
2012-08-30,6.3,6.2,6.2,6.3,5.84,6200
2012-08-31,6.5,6.5,6.5,6.5,6.02,10
2012-09-04,6.5,6.4,6.4,6.5,6.02,2120
2012-09-05,6.4,6.2,6.4,6.2,5.75,16620
2012-09-06,6.4,6.2,6.2,6.3,5.84,10890
2012-09-07,6.2,6.0,6.2,6.0,5.56,2460
2012-09-10,6.0,5.8,6.0,5.8,5.38,3500
2012-09-11,5.8,5.8,5.8,5.8,5.38,6200
2012-09-12,5.6,5.6,5.6,5.6,5.19,500
2012-09-13,5.8,5.6,5.6,5.8,5.38,6260
2012-09-14,5.8,5.8,5.8,5.8,5.38,0
2012-09-17,5.9,5.9,5.9,5.9,5.47,140
2012-09-18,6.1,5.9,5.9,6.1,5.65,1110
2012-09-19,6.1,6.1,6.1,6.1,5.65,0
