Date,High,Low,Open,Close,adjust,Volume
2012-01-03,11.5,11.5,11.5,11.5,4.23,1000
2012-01-04,11.9,11.1,11.9,11.1,4.09,800
2012-01-05,11.1,11.0,11.1,11.0,4.05,1810
2012-01-06,11.1,11.0,11.1,11.0,4.05,1200
2012-01-09,11.0,11.0,11.0,11.0,4.05,0
2012-01-10,11.2,11.0,11.0,11.2,4.12,1550
2012-01-11,11.5,11.2,11.2,11.5,4.23,510
2012-01-12,11.7,11.0,11.0,11.7,4.31,1240
2012-01-13,12.0,11.7,11.7,12.0,4.42,640
2012-01-16,11.9,11.9,11.9,11.9,4.38,100
2012-01-17,11.9,11.9,11.9,11.9,4.38,3000
2012-01-18,11.9,11.9,11.9,11.9,4.38,0
2012-01-19,11.8,11.8,11.8,11.8,4.34,1510
2012-01-20,11.9,11.8,11.9,11.8,4.34,1260
2012-01-30,12.0,12.0,12.0,12.0,4.42,10
2012-01-31,12.0,12.0,12.0,12.0,4.42,0
2012-02-01,12.4,12.0,12.0,12.4,4.56,3470
2012-02-02,12.4,12.4,12.4,12.4,4.56,0
2012-02-03,12.4,12.4,12.4,12.4,4.56,0
2012-02-06,12.4,12.4,12.4,12.4,4.56,0
2012-02-07,12.5,12.0,12.4,12.3,4.53,10580
2012-02-08,12.4,12.0,12.3,12.0,4.42,7080
2012-02-09,12.3,12.2,12.3,12.2,4.49,40
2012-02-10,12.0,11.7,12.0,11.7,4.31,7000
2012-02-13,11.7,11.7,11.7,11.7,4.31,3000
2012-02-14,11.7,11.7,11.7,11.7,4.31,0
2012-02-15,11.6,11.6,11.6,11.6,4.27,580
2012-02-16,12.0,12.0,12.0,12.0,4.42,200
2012-02-17,12.0,12.0,12.0,12.0,4.42,3000
2012-02-20,12.3,11.9,11.9,12.3,4.53,40
2012-02-21,12.4,11.7,12.0,12.4,4.56,5230
2012-02-22,12.0,11.9,12.0,11.9,4.38,2080
2012-02-23,12.3,11.8,12.3,11.8,4.34,190
2012-02-24,12.2,11.8,12.2,12.1,4.45,320
2012-02-27,12.5,11.8,12.5,11.8,4.34,20
2012-02-28,11.8,11.8,11.8,11.8,4.34,2000
2012-02-29,12.3,11.8,11.8,12.3,4.53,20
2012-03-01,12.3,12.3,12.3,12.3,4.53,0
2012-03-02,12.5,11.8,11.8,12.5,4.6,1510
2012-03-05,13.0,12.8,12.8,13.0,4.78,700
2012-03-06,12.5,12.4,12.5,12.4,4.56,4090
2012-03-07,12.5,12.4,12.4,12.5,4.6,2880
2012-03-08,12.3,12.3,12.3,12.3,4.53,120
2012-03-09,12.9,12.8,12.8,12.9,4.75,2900
2012-03-12,12.9,12.4,12.9,12.9,4.75,3940
2012-03-13,13.5,12.5,13.4,12.9,4.75,3820
2012-03-14,12.7,12.0,12.5,12.7,4.98,1390
2012-03-15,12.7,12.7,12.7,12.7,4.98,0
2012-03-16,12.7,12.7,12.7,12.7,4.98,0
2012-03-19,12.1,12.1,12.1,12.1,4.75,4810
2012-03-20,11.5,11.5,11.5,11.5,4.51,10
2012-03-21,11.3,11.3,11.3,11.3,4.43,150
2012-03-22,11.8,11.8,11.8,11.8,4.63,10
2012-03-23,11.4,11.3,11.3,11.4,4.47,130
2012-03-26,11.9,11.5,11.5,11.9,4.67,1520
2012-03-27,12.4,11.9,11.9,12.4,4.87,660
2012-03-28,12.1,11.8,12.1,11.8,4.63,8930
2012-03-29,12.0,11.3,12.0,12.0,4.71,9640
2012-03-30,12.0,12.0,12.0,12.0,4.71,0
2012-04-03,12.0,12.0,12.0,12.0,4.71,0
2012-04-04,11.5,11.5,11.5,11.5,4.51,10
2012-04-05,12.0,11.5,11.8,11.5,4.51,3320
2012-04-06,12.0,11.3,12.0,11.3,4.43,60
2012-04-09,11.8,11.8,11.8,11.8,4.63,1010
2012-04-10,12.3,11.6,12.3,11.6,4.55,20
2012-04-11,11.6,11.6,11.6,11.6,4.55,0
2012-04-12,12.1,11.6,11.6,12.1,4.75,4020
2012-04-13,12.6,11.5,11.5,11.6,4.55,280
2012-04-16,12.1,12.0,12.0,12.1,4.75,970
2012-04-17,12.6,11.6,11.6,12.6,4.94,5820
2012-04-18,12.7,12.6,12.6,12.7,4.98,1010
2012-04-19,13.1,12.2,13.1,12.7,4.98,2070
2012-04-20,13.0,13.0,13.0,13.0,5.1,10
2012-04-23,13.2,12.5,12.5,12.5,4.9,5910
2012-04-24,12.5,12.5,12.5,12.5,4.9,0
2012-04-25,13.0,13.0,13.0,13.0,5.1,10
2012-04-26,12.8,12.5,12.8,12.5,4.9,110
2012-04-27,12.7,12.5,12.5,12.7,4.98,10800
2012-05-02,12.5,12.5,12.5,12.5,4.9,300
2012-05-03,13.1,12.1,13.1,13.0,5.1,3500
2012-05-04,13.1,12.6,13.1,12.6,4.94,480
2012-05-07,13.0,12.3,12.3,13.0,5.1,210
2012-05-08,13.1,12.6,12.6,13.1,5.14,5680
2012-05-09,13.2,12.5,12.6,13.2,5.18,6860
2012-05-10,13.2,12.7,13.2,13.1,5.14,4500
2012-05-11,13.2,12.6,13.1,13.2,5.18,520
2012-05-14,13.6,12.8,13.6,13.0,5.1,2510
2012-05-15,13.0,12.8,12.9,12.8,5.02,12890
2012-05-16,12.6,12.5,12.6,12.5,4.9,1010
2012-05-17,12.5,12.5,12.5,12.5,4.9,3000
2012-05-18,12.5,12.5,12.5,12.5,4.9,1060
2012-05-21,12.9,12.7,12.7,12.9,5.06,10050
2012-05-22,13.0,13.0,13.0,13.0,5.1,10
2012-05-23,13.0,13.0,13.0,13.0,5.1,0
2012-05-24,12.9,12.4,12.6,12.9,5.06,7860
2012-05-25,12.7,12.5,12.5,12.5,4.9,6550
2012-05-28,12.7,12.5,12.5,12.7,4.98,2010
2012-05-29,12.9,12.7,12.7,12.9,5.06,2010
2012-05-30,12.8,12.5,12.5,12.8,5.02,140
2012-05-31,12.5,12.5,12.5,12.5,4.9,490
2012-06-01,13.0,12.5,12.5,13.0,5.1,910
2012-06-04,12.7,12.5,12.5,12.7,4.98,3400
2012-06-05,12.7,12.7,12.7,12.7,4.98,2000
2012-06-06,12.6,12.6,12.6,12.6,4.94,750
2012-06-07,12.7,12.5,12.7,12.5,4.9,10070
