Date,High,Low,Open,Close,adjust,Volume
2017-11-28,35.8,35.8,35.8,35.8,21.68,5000
2017-11-29,39.3,39.3,39.3,39.3,23.8,10060600
2017-11-30,43.2,40.5,43.2,41.4,25.07,598500
2017-12-01,44.0,40.0,44.0,41.4,25.07,62300
2017-12-04,41.4,40.0,41.4,40.0,24.22,165600
2017-12-05,40.0,39.0,39.7,39.4,23.86,149900
2017-12-06,40.0,38.6,40.0,38.6,23.37,57000
2017-12-07,39.1,38.7,39.1,39.0,23.62,21300
2017-12-08,39.0,38.0,39.0,38.2,23.13,100300
2017-12-11,38.5,37.5,38.2,38.3,23.19,91400
2017-12-12,38.3,37.0,38.0,38.0,23.01,101200
2017-12-13,38.2,37.0,38.2,37.8,22.89,76900
2017-12-14,37.8,36.8,37.8,36.8,22.28,115900
2017-12-15,37.0,35.2,37.0,35.2,21.32,116400
2017-12-18,38.0,35.0,35.1,37.5,22.71,615030
2017-12-19,37.6,36.7,37.5,36.7,22.22,203900
2017-12-20,36.9,36.3,36.8,36.9,22.35,110200
2017-12-21,36.8,35.6,36.8,36.0,22.47,181200
2017-12-22,36.2,35.7,36.0,36.2,22.6,161500
2017-12-25,36.3,35.3,36.2,36.3,22.66,187500
2017-12-26,36.0,35.2,35.8,36.0,22.47,219400
2017-12-27,36.0,35.4,35.5,36.0,22.47,96100
2017-12-28,36.1,35.1,36.0,36.1,22.53,79000
2017-12-29,38.0,35.0,36.0,38.0,23.72,216600
2018-01-02,38.0,36.2,38.0,36.2,22.6,252200
2018-01-03,36.2,35.5,36.2,36.0,22.47,193330
2018-01-04,36.0,35.6,36.0,36.0,22.47,259600
2018-01-05,36.1,35.7,35.7,36.1,22.53,202700
2018-01-08,36.1,35.8,36.0,36.1,22.53,237900
2018-01-09,36.0,35.8,35.8,35.8,22.35,97200
2018-01-10,36.0,35.8,35.9,35.9,22.41,132400
2018-01-11,36.0,35.9,35.9,36.0,22.47,92900
2018-01-12,36.0,35.9,35.9,36.0,22.47,123400
2018-01-15,36.8,36.0,36.0,36.6,22.85,125130
2018-01-16,36.7,36.3,36.6,36.6,22.85,69900
2018-01-17,37.2,36.6,36.6,36.9,23.03,182800
2018-01-18,37.6,36.9,36.9,37.2,23.22,87900
2018-01-19,37.9,37.2,37.2,37.7,23.53,193700
2018-01-22,37.9,37.5,37.7,37.8,23.6,138500
2018-01-23,37.9,37.4,37.7,37.9,23.66,78400
2018-01-24,38.0,37.7,37.9,38.0,23.72,73300
2018-01-25,38.2,37.6,37.9,38.2,23.85,119800
2018-01-26,38.3,37.5,38.3,38.2,23.85,100000
2018-01-29,38.2,37.5,38.0,37.9,23.66,145800
2018-01-30,37.7,36.9,37.7,37.0,23.1,157800
2018-01-31,37.9,36.8,37.8,37.5,23.41,296800
2018-02-01,37.9,37.4,37.8,37.7,23.53,78800
2018-02-02,37.7,37.3,37.6,37.7,23.53,134400
2018-02-05,37.5,36.3,37.5,37.0,23.1,59200
2018-02-06,36.9,34.0,34.0,35.8,22.35,73300
2018-02-07,36.5,35.5,35.6,36.1,22.53,143400
2018-02-08,37.0,35.9,37.0,36.2,22.6,127200
2018-02-09,36.5,35.0,35.0,36.5,22.78,141500
2018-02-12,37.5,36.0,36.3,37.0,23.1,169600
2018-02-13,37.4,35.8,37.0,37.4,23.35,177300
2018-02-21,37.8,37.3,37.6,37.8,23.6,203000
2018-02-22,37.9,37.4,37.8,37.5,23.41,209100
2018-02-23,37.8,37.0,37.5,37.8,23.6,204700
2018-02-26,38.4,37.5,37.7,38.0,23.72,226600
2018-02-27,38.1,37.5,37.8,38.0,23.72,233440
2018-02-28,38.0,37.4,37.8,38.0,23.72,174300
2018-03-01,37.9,37.5,37.8,37.5,23.41,180700
2018-03-02,37.9,37.7,37.9,37.9,23.66,308630
2018-03-05,38.0,37.6,37.6,37.9,23.66,170500
2018-03-06,38.0,37.6,37.8,37.9,23.66,117000
2018-03-07,38.0,37.6,37.9,37.8,23.6,144400
2018-03-08,37.9,37.5,37.6,37.8,23.6,137409
2018-03-09,37.9,37.3,37.8,37.5,23.41,123600
2018-03-12,37.5,37.3,37.5,37.5,23.41,300700
2018-03-13,37.5,37.3,37.4,37.5,23.41,89000
2018-03-14,37.8,37.1,37.4,37.8,23.6,82100
2018-03-15,38.0,37.4,37.9,37.9,23.66,82300
2018-03-16,37.9,37.4,37.6,37.9,23.66,119000
2018-03-19,37.9,37.5,37.7,37.9,23.66,152431
2018-03-20,37.9,37.4,37.9,37.9,23.66,101900
2018-03-21,37.9,37.3,37.9,37.7,23.53,84300
2018-03-22,37.8,37.5,37.5,37.6,23.47,96200
2018-03-23,37.6,37.2,37.2,37.6,23.47,96200
2018-03-26,37.5,37.0,37.3,37.5,23.41,82400
2018-03-27,38.7,37.2,37.5,38.6,24.1,175600
2018-03-28,39.0,38.3,38.8,38.9,24.28,126700
2018-03-29,40.0,38.4,40.0,39.0,24.34,203700
2018-03-30,39.5,38.4,38.9,39.5,24.66,136700
2018-04-02,40.6,39.4,39.5,40.6,25.34,500400
2018-04-03,40.7,39.7,40.0,40.7,25.41,287700
2018-04-04,41.0,40.1,40.1,40.7,25.41,151200
2018-04-05,40.9,40.3,40.8,40.9,25.53,867230
2018-04-06,42.5,40.8,40.8,42.5,26.53,1832530
2018-04-09,42.9,42.1,42.3,42.5,26.53,701000
2018-04-10,42.8,41.1,42.5,42.7,26.65,198600
2018-04-11,42.8,41.5,42.5,41.5,25.91,1545221
2018-04-12,42.1,41.5,42.1,41.9,26.15,230800
2018-04-13,42.0,41.7,41.9,42.0,26.22,589200
2018-04-16,42.4,41.8,42.0,42.2,26.34,4637100
2018-04-17,42.6,42.3,42.3,42.5,26.53,489400
2018-04-18,42.7,42.1,42.6,42.2,26.34,736200
2018-04-19,42.2,41.5,42.2,41.5,25.91,229300
2018-04-20,42.7,41.3,41.3,42.7,26.65,202930
2018-04-23,43.7,42.2,42.2,42.9,26.78,308200
2018-04-24,42.9,42.1,42.6,42.9,26.78,185100
2018-04-26,43.5,42.2,43.5,42.5,26.53,248630
2018-04-27,42.9,42.0,42.9,42.6,26.59,348300
2018-05-02,42.4,41.5,42.2,42.0,26.22,224710
2018-05-03,42.0,41.1,41.9,42.0,26.22,170030
2018-05-04,42.3,41.8,42.0,42.2,26.34,225300
2018-05-07,42.5,41.0,41.8,42.5,26.53,159400
2018-05-08,42.6,41.4,42.5,42.5,26.53,120900
2018-05-09,42.5,41.4,42.5,42.5,26.53,173700
2018-05-10,42.6,41.5,42.2,42.2,26.34,160110
2018-05-11,42.5,41.0,42.5,42.0,26.22,129300
2018-05-14,42.4,41.4,42.4,42.3,26.4,142100
2018-05-15,44.0,41.5,42.2,43.9,27.4,445190
2018-05-16,44.2,43.0,44.0,43.8,27.34,236700
2018-05-17,44.1,43.5,43.5,44.0,27.47,243800
2018-05-18,44.2,43.4,44.2,44.0,27.47,243760
2018-05-21,44.1,43.0,44.1,43.2,26.97,227220
2018-05-22,43.2,42.6,43.0,43.0,26.84,377600
2018-05-23,43.6,42.6,42.8,43.6,27.22,410800
2018-05-24,43.5,42.9,43.5,43.3,27.03,202100
2018-05-25,43.5,42.8,43.5,42.8,26.72,160300
2018-05-28,42.8,41.5,42.5,41.5,25.91,331200
2018-05-29,42.1,41.5,41.7,42.0,26.22,180510
2018-05-30,42.2,41.6,41.8,42.0,26.22,208100
2018-05-31,43.0,41.5,42.4,42.7,26.65,193600
2018-06-01,43.1,41.0,42.7,43.1,26.9,315010
2018-06-04,43.5,42.5,42.6,43.5,27.15,262000
2018-06-05,43.8,43.0,43.8,43.5,27.15,139900
2018-06-06,43.6,42.9,43.0,43.6,27.22,110310
2018-06-07,44.9,43.0,43.0,44.6,27.84,582640
2018-06-08,45.0,44.6,44.6,44.9,28.03,424860
2018-06-11,45.1,44.0,44.5,44.9,28.03,327510
2018-06-12,45.0,44.0,44.9,44.5,27.78,378410
2018-06-13,44.7,44.2,44.4,44.6,27.84,306070
2018-06-14,45.2,44.2,44.6,44.3,27.65,237820
2018-06-15,44.4,44.0,44.2,44.2,27.59,393760
2018-06-18,44.4,43.4,44.0,43.4,27.09,418700
2018-06-19,43.4,42.0,43.4,42.5,26.53,500230
2018-06-29,44.5,42.5,43.6,43.6,27.22,207990
2018-07-02,43.4,42.2,43.2,42.75,26.69,205100
2018-07-03,42.75,40.9,42.75,40.9,25.53,379810
2018-07-04,41.55,40.7,41.2,40.95,25.56,255960
2018-07-05,41.2,40.65,40.9,40.75,25.44,266120
2018-07-06,41.3,40.5,40.65,41.3,25.78,203460
2018-07-09,41.45,40.8,41.0,41.2,25.72,196450
2018-07-10,41.3,41.0,41.2,41.2,25.72,178260
2018-07-11,41.05,40.6,40.8,40.75,25.44,194200
2018-07-12,41.0,40.5,41.0,41.0,25.59,203600
2018-07-13,41.55,40.9,41.0,41.3,25.78,228900
2018-07-16,41.75,41.0,41.4,41.35,25.81,184000
2018-07-17,41.55,41.15,41.35,41.55,25.94,214080
2018-07-18,41.8,41.3,41.3,41.7,26.03,362420
2018-07-19,42.0,41.35,41.75,41.65,26.0,176810
2018-07-20,41.65,41.25,41.5,41.5,25.91,321770
2018-07-23,41.75,41.25,41.75,41.75,26.06,210790
2018-07-24,41.8,41.5,41.6,41.75,26.06,474810
2018-07-25,41.95,41.5,41.6,41.8,26.09,218110
2018-07-26,41.95,41.5,41.7,41.9,26.15,193620
2018-07-27,42.2,41.5,41.9,42.1,26.28,211310
2018-07-30,42.4,42.1,42.1,42.3,26.4,226540
2018-07-31,42.2,41.7,42.2,42.15,26.31,177420
2018-08-01,42.2,41.85,42.2,42.0,26.22,136650
2018-08-02,41.9,41.6,41.9,41.9,26.15,245380
2018-08-03,42.0,41.6,41.8,41.6,25.97,195360
2018-08-06,41.85,40.95,41.6,41.25,25.75,231600
2018-08-07,41.4,40.5,41.2,40.8,25.47,500600
2018-08-08,41.0,40.0,40.7,40.8,25.47,257160
2018-08-09,41.2,40.75,40.8,40.9,25.53,187450
2018-08-10,41.2,40.75,40.9,41.0,25.59,376490
2018-08-13,41.1,40.75,40.9,41.0,25.59,169400
2018-08-14,41.35,40.85,41.0,41.2,25.72,277110
2018-08-15,41.3,40.9,41.2,41.3,25.78,175810
2018-08-16,41.5,41.1,41.3,41.45,25.87,192000
2018-08-17,41.75,41.25,41.35,41.75,26.06,173280
2018-08-20,41.75,41.2,41.75,41.5,25.91,150480
2018-08-21,41.75,41.4,41.45,41.7,26.03,169910
2018-08-22,41.75,41.4,41.6,41.65,26.0,145310
2018-08-23,41.7,40.45,41.7,41.3,25.78,196790
2018-08-24,42.05,41.35,41.4,42.0,26.22,238350
2018-08-27,42.1,41.7,42.0,42.05,26.25,236810
2018-08-28,42.2,41.6,41.7,41.9,26.15,207350
2018-08-29,42.3,41.65,41.8,42.15,26.31,243150
2018-08-30,42.3,41.8,42.15,42.2,26.34,426200
2018-08-31,42.3,41.8,41.9,42.25,26.37,419540
2018-09-04,42.1,41.6,41.9,42.0,26.22,119520
2018-09-05,42.2,41.55,41.8,42.0,26.22,316450
2018-09-06,42.0,41.7,41.8,41.8,26.09,252910
2018-09-07,42.0,41.4,41.7,42.0,26.22,194420
2018-09-10,42.1,41.6,41.8,42.0,26.22,184830
2018-09-11,42.4,41.8,42.1,42.25,26.37,255990
2018-09-12,42.7,41.95,42.0,42.35,26.44,240590
2018-09-13,42.45,42.2,42.2,42.35,26.44,195380
2018-09-14,42.35,42.0,42.35,42.2,26.34,120120
2018-09-17,42.2,41.9,42.2,42.0,26.22,171140
2018-09-18,42.6,41.95,42.0,42.55,26.56,273470
2018-09-19,42.9,42.3,42.5,42.75,26.69,346360
2018-09-20,42.85,42.6,42.65,42.85,26.75,1435060
2018-09-21,42.9,42.6,42.7,42.85,26.75,111540
2018-09-24,42.9,42.4,42.75,42.8,26.72,153960
2018-09-25,42.85,42.5,42.85,42.85,26.75,282970
2018-09-26,42.7,42.0,42.6,42.2,26.34,132890
2018-09-27,42.5,42.0,42.5,42.5,26.53,123460
2018-09-28,42.8,42.0,42.5,42.65,26.62,135180
2018-10-01,42.8,42.4,42.4,42.55,26.56,184760
2018-10-02,42.7,42.4,42.6,42.55,26.56,155000
2018-10-03,43.0,42.4,42.6,42.7,26.65,963600
2018-10-04,42.8,42.6,42.65,42.6,26.59,93320
2018-10-05,42.85,42.35,42.6,42.8,26.72,115650
2018-10-08,42.65,41.9,42.4,42.2,26.34,95670
2018-10-09,42.5,42.2,42.2,42.3,26.4,165230
2018-10-10,42.55,42.3,42.55,42.45,26.5,180050
2018-10-11,42.4,42.1,42.45,42.3,26.4,101240
2018-10-12,42.5,42.0,42.0,42.25,26.37,1722420
2018-10-15,42.45,42.25,42.25,42.35,26.44,741380
2018-10-16,42.55,42.3,42.45,42.55,26.56,529000
2018-10-17,42.6,42.45,42.55,42.55,26.56,470640
2018-10-18,42.8,42.25,42.4,42.75,26.69,147130
2018-10-19,42.4,42.05,42.2,42.2,26.34,132730
2018-10-22,42.6,42.2,42.2,42.3,26.4,1789280
2018-10-23,42.4,42.15,42.2,42.4,26.47,296720
