Date,High,Low,Open,Close,adjust,Volume
2015-08-19,18.0,18.0,18.0,18.0,8.39,6460
2015-08-20,19.2,19.2,19.2,19.2,8.95,10
2015-08-21,20.5,20.5,20.5,20.5,9.56,10
2015-08-24,21.9,21.9,21.9,21.9,10.21,10
2015-08-25,23.4,21.9,23.4,21.9,10.21,1720
2015-08-26,22.0,20.4,22.0,22.0,10.26,360
2015-08-27,22.0,22.0,22.0,22.0,10.26,10
2015-08-28,22.9,22.9,22.9,22.9,10.67,10
2015-08-31,23.4,21.3,21.3,23.0,10.72,80
2015-09-01,22.1,21.4,21.5,22.1,10.3,1240
2015-09-03,22.9,20.6,20.7,22.9,10.67,230
2015-09-04,22.9,22.9,22.9,22.9,10.67,0
2015-09-07,22.0,21.3,21.3,22.0,10.26,110
2015-09-08,21.9,21.6,21.8,21.9,10.21,310
2015-09-09,20.5,20.4,20.5,20.4,9.51,150
2015-09-10,19.7,19.0,19.7,19.0,8.86,380
2015-09-11,20.3,17.7,19.0,17.7,8.25,3330
2015-09-14,18.9,16.5,16.5,16.5,7.69,3850
2015-09-15,17.6,15.4,15.5,15.7,7.32,1670
2015-09-16,16.7,14.7,16.7,14.8,6.9,10730
2015-09-17,15.8,14.3,14.3,15.8,7.37,1450
2015-09-18,16.9,16.8,16.8,16.8,7.83,3800
2015-09-21,16.5,15.7,16.3,16.3,7.6,1380
2015-09-22,16.5,15.5,16.4,16.4,7.64,4150
2015-09-23,16.7,16.7,16.7,16.7,7.78,20
2015-09-24,16.7,16.7,16.7,16.7,7.78,0
2015-09-25,15.8,15.8,15.8,15.8,7.37,220
2015-09-28,16.0,15.8,16.0,15.8,7.37,2180
2015-09-29,16.1,15.7,15.7,16.1,7.5,1050
2015-09-30,16.1,15.8,15.8,16.1,7.5,340
2015-10-01,16.0,15.5,15.5,15.5,7.23,70
2015-10-02,16.4,15.6,15.6,16.4,7.64,20
2015-10-05,16.4,16.4,16.4,16.4,7.64,0
2015-10-06,16.5,16.5,16.5,16.5,7.69,400
2015-10-07,17.2,17.2,17.2,17.2,8.02,20
2015-10-08,17.5,17.5,17.5,17.5,8.16,10
2015-10-09,18.0,16.3,16.3,18.0,8.39,1130
2015-10-12,18.5,16.8,16.8,18.5,8.62,30
2015-10-13,18.7,18.7,18.7,18.7,8.72,200
2015-10-14,18.7,18.7,18.7,18.7,8.72,0
2015-10-15,19.0,19.0,19.0,19.0,8.86,10
2015-10-16,17.7,17.7,17.7,17.7,8.25,170
2015-10-19,17.7,16.5,16.5,17.5,8.16,870
2015-10-20,17.5,17.5,17.5,17.5,8.16,0
2015-10-21,17.5,17.5,17.5,17.5,8.16,0
2015-10-22,18.2,16.4,18.2,16.5,7.69,4060
2015-10-23,16.5,16.5,16.5,16.5,7.69,0
2015-10-26,17.6,17.5,17.5,17.6,8.2,60
2015-10-27,17.6,17.6,17.6,17.6,8.2,0
2015-10-28,17.6,17.6,17.6,17.6,8.2,0
2015-10-29,17.6,17.6,17.6,17.6,8.2,0
2015-10-30,17.6,17.6,17.6,17.6,8.2,1000
2015-11-02,17.6,17.6,17.6,17.6,8.2,0
2015-11-03,17.6,17.6,17.6,17.6,8.2,0
2015-11-04,17.1,16.4,16.4,17.1,7.97,20
2015-11-05,16.0,16.0,16.0,16.0,7.46,30
2015-11-06,17.0,15.9,15.9,17.0,7.92,100
2015-11-09,17.2,15.9,15.9,16.0,7.46,30
2015-11-10,17.0,15.9,15.9,17.0,7.92,30
2015-11-11,17.0,16.0,16.0,17.0,7.92,20
2015-11-12,17.0,17.0,17.0,17.0,7.92,10
2015-11-13,16.9,16.0,16.0,16.1,7.5,200
2015-11-16,17.2,15.9,17.0,15.9,7.41,1080
2015-11-17,17.0,16.9,16.9,17.0,7.92,30
2015-11-18,17.1,16.9,17.0,17.1,7.97,180
2015-11-19,17.2,17.1,17.1,17.2,8.02,30
2015-11-20,17.5,17.2,17.2,17.5,8.16,310
2015-11-23,17.8,17.8,17.8,17.8,8.3,10
2015-11-24,17.5,17.5,17.5,17.5,8.16,10
2015-11-25,17.5,17.5,17.5,17.5,8.16,0
2015-11-26,16.5,16.5,16.5,16.5,7.69,200
2015-11-27,17.6,16.5,17.6,17.3,8.06,620
2015-11-30,17.3,16.3,16.3,16.3,7.6,40
2015-12-01,17.1,17.1,17.1,17.1,7.97,10
2015-12-02,17.7,17.7,17.1,17.7,8.25,10
2015-12-03,17.7,17.7,17.7,17.7,8.25,0
2015-12-04,18.9,16.6,16.6,18.4,8.58,90
2015-12-07,19.2,17.2,19.2,17.2,8.02,1160
2015-12-08,17.2,17.2,17.2,17.2,8.02,0
2015-12-09,17.4,16.2,16.2,17.4,8.11,1680
2015-12-10,17.0,17.0,17.0,17.0,7.92,1680
2015-12-11,17.4,17.0,17.0,17.4,8.11,510
2015-12-14,18.4,18.4,17.4,18.4,8.58,10
2015-12-15,18.7,17.2,18.7,18.3,8.53,70
2015-12-16,18.0,17.1,17.1,18.0,8.39,20
2015-12-17,19.2,17.1,19.2,18.9,8.81,40
2015-12-18,20.0,20.0,20.0,20.0,9.32,10
2015-12-21,20.0,20.0,20.0,20.0,9.32,0
2015-12-22,18.6,18.6,18.6,18.6,8.67,10
2015-12-23,18.6,18.6,18.6,18.6,8.67,0
2015-12-24,18.6,18.6,18.6,18.6,8.67,0
2015-12-25,17.3,17.3,17.3,17.3,8.06,10
2015-12-28,17.8,17.0,17.8,17.0,7.92,220
2015-12-29,18.1,18.1,18.1,18.1,8.44,10
2015-12-30,16.9,16.9,16.9,16.9,7.88,10
2015-12-31,18.0,18.0,16.9,18.0,8.39,10
2016-01-04,18.2,18.2,18.2,18.2,8.48,10
2016-01-05,17.9,17.2,17.2,17.9,8.34,30
2016-01-06,17.9,17.9,17.9,17.9,8.34,0
2016-01-07,18.3,16.9,18.3,16.9,7.88,20
2016-01-08,18.0,18.0,18.0,18.0,8.39,110
2016-01-11,17.1,17.1,17.1,17.1,7.97,190
2016-01-12,17.1,17.1,17.1,17.1,7.97,0
2016-01-13,17.0,17.0,17.0,17.0,7.92,50
2016-01-14,17.0,17.0,17.0,17.0,7.92,0
