Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.4,8.3,8.3,8.3,4.66,129020
2012-01-04,8.4,8.3,8.3,8.3,4.66,153830
2012-01-05,8.4,8.2,8.4,8.2,4.6,208500
2012-01-06,8.3,8.2,8.2,8.3,4.66,188840
2012-01-09,8.3,8.1,8.3,8.3,4.66,31580
2012-01-10,8.3,8.1,8.2,8.2,4.6,67500
2012-01-11,8.3,8.0,8.2,8.1,4.55,154130
2012-01-12,8.1,7.8,8.0,8.0,4.49,364740
2012-01-13,8.1,7.8,8.0,8.0,4.49,456900
2012-01-16,8.0,7.8,8.0,8.0,4.49,495660
2012-01-17,8.0,7.9,7.9,8.0,4.49,361050
2012-01-18,8.1,7.9,8.1,8.1,4.55,520050
2012-01-19,8.2,8.0,8.1,8.2,4.6,80700
2012-01-20,8.2,8.0,8.2,8.1,4.55,111300
2012-01-30,8.2,8.1,8.1,8.2,4.6,247760
2012-01-31,8.4,8.2,8.3,8.3,4.66,621870
2012-02-01,8.3,8.2,8.3,8.3,4.66,207160
2012-02-02,8.7,8.3,8.4,8.7,4.88,464370
2012-02-03,8.9,8.5,8.9,8.5,4.77,269490
2012-02-06,8.5,8.3,8.5,8.4,4.71,142850
2012-02-07,8.5,8.3,8.3,8.5,4.77,207140
2012-02-08,8.7,8.5,8.6,8.6,4.83,151900
2012-02-09,8.9,8.6,8.7,8.9,5.0,460430
2012-02-10,8.9,8.5,8.9,8.6,4.83,301750
2012-02-13,8.6,8.5,8.6,8.5,4.77,205610
2012-02-14,8.6,8.4,8.4,8.6,4.83,143070
2012-02-15,8.7,8.5,8.7,8.6,4.83,218110
2012-02-16,8.6,8.6,8.6,8.6,4.83,87730
2012-02-17,8.8,8.6,8.6,8.7,4.88,211070
2012-02-20,8.9,8.8,8.8,8.9,5.0,216610
2012-02-21,9.0,8.7,9.0,8.7,4.88,254970
2012-02-22,9.0,8.7,8.7,9.0,5.05,528170
2012-02-23,9.1,8.9,9.0,9.0,5.05,286890
2012-02-24,9.2,8.9,9.0,9.2,5.16,1025820
2012-02-27,9.6,9.2,9.2,9.5,5.33,518050
2012-02-28,9.8,9.3,9.7,9.4,5.28,465530
2012-02-29,9.8,9.4,9.4,9.8,5.5,960140
2012-03-01,10.2,9.8,9.9,10.2,5.73,1049110
2012-03-02,10.7,10.7,10.7,10.7,6.01,324640
2012-03-05,11.2,11.2,11.2,11.2,6.29,48110
2012-03-06,11.7,11.4,11.7,11.7,6.57,2914930
2012-03-07,12.2,11.3,12.2,12.0,6.74,3943820
2012-03-08,12.0,11.4,11.9,11.4,6.4,1047120
2012-03-09,11.6,11.0,11.4,11.2,6.29,601980
2012-03-12,11.1,10.7,11.1,10.7,6.01,918190
2012-03-13,11.2,10.4,10.7,11.2,6.29,1515250
2012-03-14,11.5,10.9,11.5,11.0,6.17,627200
2012-03-15,11.5,10.8,10.8,11.5,6.46,1539460
2012-03-16,11.9,11.6,11.9,11.9,6.68,2252920
2012-03-19,11.8,11.4,11.7,11.4,6.4,1116870
2012-03-20,11.6,11.2,11.4,11.6,6.51,867050
2012-03-21,12.1,11.5,11.5,11.8,6.62,1938010
2012-03-22,12.0,11.7,11.8,11.8,6.62,858120
2012-03-23,12.0,11.7,11.8,11.8,6.62,1147650
2012-03-26,12.0,11.7,11.9,11.8,6.62,1112310
2012-03-27,11.8,11.4,11.7,11.4,6.4,396570
2012-03-28,11.6,11.3,11.4,11.6,6.51,883640
2012-03-29,11.6,11.3,11.6,11.3,6.34,493300
2012-03-30,11.3,11.1,11.3,11.1,6.23,809340
2012-04-03,11.6,11.3,11.4,11.5,6.46,373690
2012-04-04,11.6,11.3,11.6,11.3,6.34,205170
2012-04-05,11.6,11.2,11.3,11.6,6.51,593220
2012-04-06,11.7,11.4,11.6,11.6,6.51,492600
2012-04-09,11.7,11.5,11.7,11.6,6.51,513600
2012-04-10,11.7,11.4,11.6,11.4,6.4,582030
2012-04-11,11.7,11.4,11.6,11.7,6.57,432650
2012-04-12,11.8,11.6,11.8,11.6,6.51,446360
2012-04-13,11.8,11.5,11.6,11.5,6.46,281150
2012-04-16,11.9,11.4,11.6,11.8,6.62,649790
2012-04-17,12.3,11.8,11.8,12.3,6.9,859800
2012-04-18,12.9,12.6,12.9,12.6,7.07,2696960
2012-04-19,12.6,12.0,12.4,12.0,6.74,1115520
2012-04-20,12.3,11.8,12.0,11.9,6.68,387500
2012-04-23,12.0,11.8,11.8,11.9,6.68,445050
2012-04-24,12.1,11.7,11.8,12.0,6.74,700840
2012-04-25,12.3,12.0,12.1,12.1,6.79,585580
2012-04-26,12.2,11.9,12.2,11.9,6.68,573660
2012-04-27,12.2,11.9,12.0,12.0,6.74,589040
2012-05-02,12.6,12.1,12.3,12.6,7.07,3043480
2012-05-03,12.7,12.2,12.6,12.5,7.02,964760
2012-05-04,13.1,12.7,12.7,13.1,7.35,3691050
2012-05-07,13.7,13.5,13.7,13.7,7.69,1423620
2012-05-08,14.3,13.8,14.3,14.0,7.86,3550400
2012-05-09,14.2,13.8,13.8,13.8,7.75,1427420
2012-05-10,14.0,13.2,13.8,13.4,7.52,2571120
2012-05-11,14.0,13.3,13.3,13.6,7.63,1300200
2012-05-14,13.8,13.0,13.8,13.0,7.3,1421970
2012-05-15,12.9,12.4,12.6,12.4,6.96,1990110
2012-05-16,12.6,12.2,12.4,12.5,7.02,1405770
2012-05-17,12.9,12.4,12.7,12.5,7.02,890940
2012-05-18,12.5,11.9,12.5,12.0,6.74,1293050
2012-05-21,12.6,12.1,12.1,12.6,7.07,737330
2012-05-22,12.9,12.5,12.8,12.5,7.02,341350
2012-05-23,12.4,12.0,12.4,12.1,6.79,594520
2012-05-24,12.3,11.9,12.1,12.1,6.79,718400
2012-05-25,12.7,12.3,12.3,12.7,7.13,794700
2012-05-28,12.9,12.3,12.9,12.5,7.02,287600
2012-05-29,12.5,12.2,12.3,12.3,6.9,109140
2012-05-30,12.4,12.3,12.3,12.4,6.96,300920
2012-05-31,12.5,12.1,12.2,12.5,7.02,332240
2012-06-01,12.4,12.2,12.2,12.2,6.85,117360
2012-06-04,12.1,11.6,12.1,11.6,6.51,1166890
2012-06-05,11.9,11.4,11.9,11.7,6.57,284660
2012-06-06,12.1,11.7,11.7,12.1,6.79,204000
2012-06-07,12.5,12.0,12.3,12.0,6.74,763880
2012-06-08,12.3,11.9,12.3,12.0,6.74,675710
2012-06-11,12.1,11.8,11.8,12.0,6.74,442860
2012-06-12,11.9,11.7,11.8,11.7,6.57,486710
2012-06-13,11.7,11.5,11.7,11.5,6.46,591410
2012-06-14,11.7,11.3,11.5,11.3,6.34,969220
2012-06-15,11.8,11.3,11.4,11.8,6.62,1097310
2012-06-18,12.2,11.8,12.1,12.0,6.74,904790
2012-06-19,11.9,11.6,11.7,11.6,6.51,352080
2012-06-20,11.7,11.5,11.7,11.6,6.51,841490
2012-06-21,11.7,11.5,11.7,11.5,6.46,778540
2012-06-22,11.5,11.3,11.5,11.3,6.34,775410
2012-06-25,11.5,10.9,11.3,11.0,6.17,1002060
2012-06-26,11.0,10.8,11.0,10.8,6.06,1278030
2012-06-27,10.9,10.5,10.8,10.5,5.89,1123400
2012-06-28,10.7,10.3,10.6,10.5,5.89,476570
2012-06-29,10.6,10.5,10.5,10.5,5.89,194750
2012-07-02,10.9,10.5,10.7,10.5,5.89,1145960
2012-07-03,10.6,10.3,10.5,10.3,5.78,512050
2012-07-04,10.6,10.3,10.4,10.4,5.84,321070
2012-07-05,10.5,10.3,10.4,10.5,5.89,334160
2012-07-06,10.7,10.5,10.5,10.7,6.01,266610
2012-07-09,10.7,10.2,10.6,10.2,5.73,967260
2012-07-10,10.4,10.2,10.4,10.2,5.73,411580
2012-07-11,10.4,10.2,10.3,10.3,5.78,245830
2012-07-12,10.4,10.2,10.4,10.4,5.84,103170
2012-07-13,10.8,10.4,10.4,10.6,5.95,608710
2012-07-16,10.7,10.4,10.7,10.4,5.84,269130
2012-07-17,10.9,10.4,10.4,10.8,6.06,748340
2012-07-18,10.9,10.5,10.8,10.7,6.01,695690
2012-07-19,11.2,10.6,10.7,11.2,6.29,906360
2012-07-20,11.5,10.9,11.3,10.9,6.12,504710
2012-07-23,10.9,10.6,10.9,10.7,6.01,417620
2012-07-24,10.6,10.5,10.6,10.5,5.89,361860
2012-07-25,10.6,10.4,10.5,10.6,5.95,259950
2012-07-26,10.7,10.5,10.6,10.6,5.95,99430
2012-07-27,10.7,10.5,10.7,10.5,5.89,394400
2012-07-30,10.6,10.4,10.6,10.4,5.84,228650
2012-07-31,10.6,10.4,10.5,10.5,5.89,333020
2012-08-01,10.6,10.4,10.5,10.5,5.89,628550
2012-08-02,10.6,10.5,10.5,10.6,5.95,388850
2012-08-03,10.7,10.5,10.6,10.5,5.89,114850
2012-08-06,10.8,10.5,10.5,10.8,6.06,131340
2012-08-07,10.8,10.6,10.8,10.6,5.95,161120
2012-08-08,10.8,10.6,10.6,10.8,6.06,169830
2012-08-09,10.9,10.8,10.8,10.8,6.06,254500
2012-08-10,10.9,10.7,10.8,10.8,6.06,233080
2012-08-13,10.9,10.8,10.8,10.8,6.06,281350
2012-08-14,10.9,10.8,10.9,10.8,6.06,279890
2012-08-15,11.0,10.8,10.9,10.9,6.12,369150
2012-08-16,11.0,10.8,10.8,10.9,6.12,263040
2012-08-17,11.1,10.9,10.9,11.1,6.23,402100
2012-08-20,11.4,11.1,11.2,11.3,6.34,306490
2012-08-21,11.0,10.8,11.0,10.8,6.06,925220
2012-08-22,10.7,10.4,10.7,10.5,5.89,713140
2012-08-23,10.5,10.0,10.4,10.0,5.61,1580350
2012-08-24,10.5,9.6,9.7,10.5,5.89,727040
2012-08-27,10.5,10.1,10.5,10.1,5.67,1166560
2012-08-28,10.5,10.1,10.1,10.5,5.89,349850
2012-08-29,10.9,10.6,10.6,10.8,6.06,373340
2012-08-30,10.9,10.6,10.8,10.7,6.01,168120
2012-08-31,10.7,10.6,10.7,10.6,5.95,120290
2012-09-04,10.8,10.6,10.7,10.6,5.95,122080
2012-09-05,10.6,10.4,10.6,10.5,5.89,120400
2012-09-06,10.5,10.4,10.5,10.4,5.84,100650
2012-09-07,10.5,10.3,10.5,10.4,5.84,143760
2012-09-10,10.4,10.1,10.4,10.1,5.67,447700
2012-09-11,10.2,10.1,10.1,10.2,5.73,85400
2012-09-12,10.4,10.2,10.3,10.2,5.73,205000
2012-09-13,10.4,10.1,10.3,10.3,5.78,184500
2012-09-14,10.5,10.3,10.5,10.4,5.84,359220
2012-09-17,10.4,10.3,10.4,10.4,5.84,149210
2012-09-18,10.4,10.1,10.4,10.2,5.73,263080
2012-09-19,10.4,10.2,10.2,10.4,5.84,172820
2012-09-20,10.3,10.1,10.3,10.2,5.73,342380
2012-09-21,10.7,10.2,10.3,10.7,6.01,436460
2012-09-24,10.7,10.2,10.7,10.2,5.73,131040
2012-09-25,10.4,10.2,10.2,10.3,5.78,71910
2012-09-26,10.4,10.3,10.3,10.4,5.84,43860
2012-09-27,10.4,10.2,10.4,10.3,5.78,61480
2012-09-28,10.3,10.2,10.3,10.2,5.73,56890
2012-10-01,10.3,10.1,10.3,10.2,5.73,174630
2012-10-02,10.2,10.1,10.2,10.2,5.73,117840
2012-10-03,10.4,10.2,10.2,10.3,5.78,84450
2012-10-04,10.3,10.2,10.2,10.2,5.73,503000
2012-10-05,10.3,10.2,10.2,10.3,5.78,300120
2012-10-08,10.4,10.2,10.2,10.3,5.78,361070
2012-10-09,10.4,10.2,10.4,10.2,5.73,335130
2012-10-10,10.3,10.2,10.2,10.3,5.78,179660
2012-10-11,10.4,10.2,10.3,10.2,5.73,352530
2012-10-12,10.3,10.2,10.2,10.2,5.73,221710
2012-10-15,10.3,10.2,10.2,10.2,5.73,98260
2012-10-16,10.6,10.2,10.2,10.5,5.89,408830
2012-10-17,10.5,10.3,10.5,10.4,5.84,195320
2012-10-18,10.5,10.4,10.4,10.4,5.84,126410
2012-10-19,10.4,10.2,10.3,10.3,5.78,223230
2012-10-22,10.3,10.2,10.2,10.3,5.78,205140
2012-10-23,10.4,10.3,10.3,10.3,5.78,287990
2012-10-24,10.5,10.3,10.3,10.4,5.84,271800
2012-10-25,10.5,10.3,10.4,10.4,5.84,272350
2012-10-26,10.5,10.4,10.4,10.5,5.89,173520
2012-10-29,10.5,10.4,10.4,10.5,5.89,185120
2012-10-30,10.6,10.4,10.5,10.4,5.84,125700
2012-10-31,10.5,10.4,10.4,10.5,5.89,364320
2012-11-01,11.0,10.5,10.5,10.9,6.12,654030
2012-11-02,10.8,10.5,10.6,10.5,5.89,293600
2012-11-05,10.9,10.5,10.5,10.8,6.06,307230
2012-11-06,11.0,10.8,10.9,10.9,6.12,576960
2012-11-07,11.0,10.8,10.9,10.9,6.12,330700
2012-11-08,10.9,10.8,10.8,10.9,6.12,339070
2012-11-09,11.0,10.8,10.9,10.9,6.12,115530
2012-11-12,11.0,10.8,10.9,10.9,6.12,219710
2012-11-13,11.0,10.9,11.0,10.9,6.12,211720
2012-11-14,11.4,10.8,10.8,11.1,6.23,545020
2012-11-15,11.4,11.1,11.2,11.2,6.29,506350
2012-11-16,11.3,11.1,11.2,11.1,6.23,97250
2012-11-19,11.2,11.1,11.1,11.1,6.23,176340
2012-11-20,11.3,11.2,11.2,11.2,6.29,214720
2012-11-21,11.3,11.0,11.2,11.0,6.17,259570
2012-11-22,11.1,11.0,11.0,11.0,6.17,60660
2012-11-23,11.1,10.9,11.0,11.0,6.17,82230
2012-11-26,10.9,10.8,10.9,10.8,6.06,142050
2012-11-27,11.1,10.8,10.8,10.9,6.12,176490
2012-11-28,11.0,10.7,10.9,10.9,6.12,1548848
2012-11-29,10.9,10.8,10.8,10.8,6.06,57590
2012-11-30,10.9,10.7,10.9,10.8,6.06,127510
2012-12-03,10.9,10.7,10.8,10.9,6.12,459520
2012-12-04,10.9,10.7,10.8,10.8,6.06,162730
2012-12-05,11.0,10.8,10.8,10.9,6.12,222130
2012-12-06,11.0,10.8,10.8,10.8,6.06,131360
2012-12-07,11.0,10.9,10.9,10.9,6.12,226870
2012-12-10,11.0,10.8,10.9,10.9,6.12,240490
2012-12-11,11.0,10.9,10.9,10.9,6.12,475190
2012-12-12,11.0,10.9,11.0,10.9,6.12,223790
2012-12-13,11.0,10.8,10.9,11.0,6.17,281060
2012-12-14,11.0,10.8,10.9,10.9,6.12,276310
2012-12-17,10.4,10.2,10.4,10.2,6.06,522710
2012-12-18,10.3,10.0,10.2,10.0,5.94,401630
2012-12-19,10.2,10.0,10.1,10.2,6.06,343520
2012-12-20,10.2,10.1,10.1,10.1,6.0,250180
2012-12-21,10.2,10.0,10.1,10.2,6.06,546430
2012-12-24,10.3,10.1,10.2,10.3,6.12,369240
2012-12-25,10.3,10.2,10.3,10.2,6.06,145170
2012-12-26,10.2,10.0,10.2,10.2,6.06,294550
2012-12-27,10.6,10.1,10.2,10.3,6.12,707420
2012-12-28,10.4,10.3,10.3,10.3,6.12,209810
2013-01-02,10.5,10.3,10.3,10.4,6.18,532600
2013-01-03,10.4,10.2,10.4,10.4,6.18,383370
2013-01-04,10.5,10.3,10.3,10.4,6.18,392830
2013-01-07,10.9,10.6,10.6,10.9,6.47,1778950
2013-01-08,11.4,11.2,11.4,11.4,6.77,2337780
2013-01-09,11.7,11.0,11.7,11.3,6.71,1069840
2013-01-10,11.3,10.8,11.0,11.3,6.71,1353100
2013-01-11,11.4,10.9,11.4,11.1,6.59,799660
2013-01-14,11.1,10.9,11.1,11.1,6.59,414540
2013-01-15,11.6,11.0,11.1,11.5,6.83,1030380
2013-01-16,11.7,11.3,11.5,11.6,6.89,1160520
2013-01-17,11.6,11.3,11.5,11.3,6.71,508240
2013-01-18,11.3,10.9,11.3,11.2,6.65,474030
2013-01-21,11.2,10.9,11.2,11.0,6.53,539520
2013-01-22,11.0,10.7,11.0,10.8,6.41,338690
2013-01-23,11.0,10.8,10.8,11.0,6.53,356880
2013-01-24,11.2,10.9,11.0,11.2,6.65,526070
2013-01-25,11.5,11.1,11.1,11.5,6.83,1110190
2013-01-28,12.3,11.6,11.6,12.3,7.31,2891660
2013-01-29,13.1,12.1,12.1,12.9,7.66,1667930
2013-01-30,12.9,12.5,12.9,12.6,7.48,754760
2013-01-31,12.6,12.0,12.6,12.0,7.13,859350
2013-02-01,12.1,11.8,12.1,11.9,7.07,683890
2013-02-04,12.4,12.0,12.0,12.1,7.19,503310
2013-02-05,12.2,11.9,12.1,12.0,7.13,326420
2013-02-06,12.6,12.0,12.0,12.6,7.48,791890
2013-02-07,12.8,12.4,12.8,12.5,7.42,356200
2013-02-08,12.7,12.3,12.5,12.4,7.37,337870
2013-02-18,12.6,12.3,12.6,12.6,7.48,301290
2013-02-19,13.0,12.5,12.6,12.8,7.6,1026070
2013-02-20,12.9,12.6,12.8,12.8,7.6,445370
2013-02-21,12.8,12.0,12.8,12.0,7.13,915720
2013-02-22,12.5,11.8,12.2,11.8,7.01,1396060
