Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.6,6.6,6.6,6.6,2.48,10
2012-01-04,6.6,6.6,6.6,6.6,2.48,10
2012-01-05,6.6,6.6,6.6,6.6,2.48,160
2012-01-06,6.6,6.3,6.6,6.5,2.45,340
2012-01-09,6.6,6.6,6.5,6.6,2.48,10
2012-01-10,6.6,6.6,6.6,6.6,2.48,40
2012-01-11,6.6,6.3,6.6,6.6,2.48,2050
2012-01-12,6.6,6.3,6.6,6.6,2.48,90
2012-01-13,6.6,6.3,6.3,6.6,2.48,70
2012-01-16,6.9,6.3,6.9,6.9,2.6,17190
2012-01-17,7.0,7.0,7.0,7.0,2.63,50
2012-01-18,7.1,6.7,7.1,7.0,2.63,190
2012-01-19,7.2,7.1,7.2,7.1,2.67,410
2012-01-20,7.2,7.1,7.2,7.1,2.67,20
2012-01-30,7.3,7.0,7.3,7.2,2.71,80
2012-01-31,7.4,7.4,7.4,7.4,2.79,10
2012-02-01,7.4,7.1,7.2,7.1,2.67,660
2012-02-02,7.3,6.9,7.2,7.2,2.71,830
2012-02-03,7.1,6.9,7.0,7.0,2.63,11220
2012-02-06,7.3,6.7,6.7,7.1,2.67,250
2012-02-07,7.2,6.8,6.8,7.2,2.71,3650
2012-02-08,7.3,6.9,7.3,7.3,2.75,760
2012-02-09,7.5,7.0,7.0,7.4,2.79,3480
2012-02-10,7.4,7.4,7.4,7.4,2.79,100
2012-02-13,7.4,7.1,7.4,7.1,2.67,17730
2012-02-14,7.2,6.8,6.8,7.2,2.71,4650
2012-02-15,7.4,7.0,7.3,7.4,2.79,1790
2012-02-16,7.4,7.1,7.3,7.4,2.79,1210
2012-02-17,7.5,7.1,7.4,7.5,2.82,1300
2012-02-20,7.7,7.2,7.6,7.5,2.82,8190
2012-02-21,7.6,7.2,7.6,7.4,2.79,3010
2012-02-22,7.7,7.1,7.4,7.2,2.71,34850
2012-02-23,7.5,7.3,7.5,7.5,2.82,5750
2012-02-24,7.7,7.5,7.6,7.7,2.9,18510
2012-02-27,8.0,7.7,7.7,8.0,3.01,3970
2012-02-28,8.1,7.6,8.1,7.6,2.86,9840
2012-02-29,7.7,7.3,7.7,7.7,2.9,34250
2012-03-01,7.1,7.0,7.1,7.0,2.86,3410
2012-03-02,7.1,6.8,7.0,6.9,2.82,22140
2012-03-05,7.2,6.7,7.0,7.2,2.94,148300
2012-03-06,7.3,7.1,7.2,7.2,2.94,11850
2012-03-07,7.3,7.1,7.2,7.3,2.98,5370
2012-03-08,7.5,7.1,7.5,7.4,3.02,1200
2012-03-09,7.3,7.1,7.1,7.1,2.9,13730
2012-03-12,7.3,6.9,7.3,7.1,2.9,19860
2012-03-13,7.2,7.1,7.1,7.2,2.94,6240
2012-03-14,7.3,7.2,7.2,7.3,2.98,11860
2012-03-15,7.4,7.2,7.3,7.4,3.02,3590
2012-03-16,7.6,7.4,7.5,7.6,3.1,15350
2012-03-19,7.7,7.3,7.7,7.6,3.1,5720
2012-03-20,7.6,7.3,7.3,7.6,3.1,27740
2012-03-21,7.7,7.5,7.6,7.7,3.14,6910
2012-03-22,7.8,7.5,7.8,7.8,3.18,3220
2012-03-23,8.0,7.7,7.9,8.0,3.27,1990
2012-03-26,8.3,8.0,8.0,8.0,3.27,9890
2012-03-27,8.2,8.0,8.2,8.2,3.35,7850
2012-03-28,8.6,8.2,8.2,8.5,3.47,21460
2012-03-29,8.8,8.3,8.8,8.8,3.59,6510
2012-03-30,9.1,8.8,8.8,8.9,3.63,5190
2012-04-03,9.2,8.9,8.9,9.2,3.76,18000
2012-04-04,9.4,8.8,9.3,9.4,3.84,6940
2012-04-05,9.4,9.3,9.4,9.3,3.8,770
2012-04-06,9.4,9.4,9.4,9.4,3.84,540
2012-04-09,9.4,9.0,9.4,9.4,3.84,5840
2012-04-10,9.4,9.0,9.4,9.3,3.8,8350
2012-04-11,9.3,8.9,8.9,9.1,3.71,6100
2012-04-12,9.3,8.8,9.3,9.1,3.71,10910
2012-04-13,9.1,8.8,9.0,9.1,3.71,7480
2012-04-16,9.0,8.8,8.9,8.9,3.63,18770
2012-04-17,8.9,8.5,8.7,8.5,3.47,20120
2012-04-18,8.9,8.7,8.7,8.9,3.63,18190
2012-04-19,9.3,8.9,8.9,9.2,3.76,1150
2012-04-20,9.5,9.2,9.2,9.5,3.88,3500
2012-04-23,9.2,9.1,9.1,9.2,3.76,6150
2012-04-24,9.4,8.8,8.9,9.4,3.84,5410
2012-04-25,9.7,9.4,9.4,9.7,3.96,24470
2012-04-26,9.7,9.4,9.7,9.5,3.88,4930
2012-04-27,9.5,9.3,9.5,9.5,3.88,3500
2012-05-02,9.5,9.2,9.2,9.3,3.8,10610
2012-05-03,9.4,9.3,9.4,9.3,3.8,6370
2012-05-04,9.4,9.3,9.3,9.4,3.84,2210
2012-05-07,9.8,9.4,9.4,9.8,4.0,45430
2012-05-08,10.0,9.4,10.0,9.8,4.0,4490
2012-05-09,10.0,9.8,9.8,10.0,4.08,1460
2012-05-10,10.2,10.0,10.2,10.2,4.16,170
2012-05-11,10.0,9.7,10.0,9.7,3.96,3100
2012-05-14,9.5,9.3,9.4,9.5,3.88,9070
2012-05-15,9.1,9.1,9.1,9.1,3.71,5460
2012-05-16,9.1,8.7,8.8,9.1,3.71,17200
2012-05-17,9.2,9.1,9.1,9.2,3.76,1480
2012-05-18,9.2,8.8,8.8,9.2,3.76,14020
2012-05-21,9.2,9.0,9.1,9.1,3.71,3230
2012-05-22,9.5,8.8,9.3,9.5,3.88,1570
2012-05-23,9.1,9.1,9.1,9.1,3.71,1350
2012-05-24,9.3,8.7,9.3,8.7,3.55,1760
2012-05-25,9.1,8.4,9.1,9.1,3.71,42760
2012-05-28,9.1,9.1,9.1,9.1,3.71,3700
2012-05-29,8.8,8.8,8.8,8.8,3.59,80
2012-05-30,9.1,8.6,9.0,8.6,3.51,1290
2012-05-31,9.0,8.5,9.0,8.7,3.55,5530
2012-06-01,9.1,8.6,8.9,9.1,3.71,810
2012-06-04,9.0,8.7,9.0,8.8,3.59,1010
2012-06-05,9.0,8.5,8.5,9.0,3.67,6970
2012-06-06,9.1,8.9,9.1,9.0,3.67,1550
2012-06-07,9.1,9.1,9.1,9.1,3.71,50
2012-06-08,9.0,9.0,9.0,9.0,3.67,100
2012-06-11,9.1,9.1,9.1,9.1,3.71,60
2012-06-12,8.9,8.7,8.9,8.7,3.55,2760
2012-06-13,8.5,8.5,8.5,8.5,3.47,610
2012-06-14,8.9,8.4,8.9,8.4,3.43,430
2012-06-15,8.8,8.2,8.2,8.8,3.59,900
2012-06-18,9.1,8.6,8.7,9.1,3.71,660
2012-06-19,8.8,8.8,8.8,8.8,3.59,1350
2012-06-20,8.5,8.5,8.5,8.5,3.47,50
2012-06-21,8.9,8.9,8.9,8.9,3.63,50
2012-06-22,9.0,8.5,8.5,9.0,3.67,600
2012-06-25,9.2,8.7,8.7,8.7,3.55,1200
2012-06-26,8.7,8.5,8.7,8.5,3.47,530
2012-06-27,8.5,8.5,8.5,8.5,3.47,0
2012-06-28,8.9,8.2,8.2,8.9,3.63,140
2012-06-29,9.0,8.5,8.5,9.0,3.67,60
2012-07-02,8.7,8.6,8.7,8.6,3.51,1190
2012-07-03,8.3,8.3,8.3,8.3,3.39,450
2012-07-04,8.0,8.0,8.0,8.0,3.27,850
2012-07-05,8.1,7.8,8.1,7.8,3.18,1100
2012-07-06,8.1,8.1,8.1,8.1,3.31,130
2012-07-09,8.1,8.1,8.1,8.1,3.31,0
2012-07-10,7.8,7.8,7.8,7.8,3.18,100
2012-07-11,8.1,8.0,8.0,8.1,3.31,120
2012-07-12,8.4,8.4,8.4,8.4,3.43,5010
2012-07-13,8.7,8.0,8.7,8.0,3.27,60
2012-07-16,8.4,8.4,8.4,8.4,3.43,1130
2012-07-17,8.5,8.4,8.5,8.4,3.43,560
2012-07-18,8.4,8.4,8.4,8.4,3.43,1020
2012-07-19,8.8,8.2,8.4,8.4,3.43,2890
2012-07-20,8.7,8.1,8.7,8.7,3.55,290
2012-07-23,8.3,8.3,8.3,8.3,3.39,1900
2012-07-24,8.0,8.0,8.0,8.0,3.27,520
2012-07-25,8.4,7.9,8.0,8.0,3.27,1450
2012-07-26,8.4,7.8,8.4,7.8,3.18,250
2012-07-27,8.1,8.1,8.1,8.1,3.31,10
2012-07-30,8.1,8.0,8.1,8.0,3.27,400
2012-07-31,8.4,7.8,7.8,8.0,3.27,160
2012-08-01,8.2,7.8,7.8,8.2,3.35,210
