Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.3,4.2,4.3,4.2,1.54,14760
2012-01-04,4.2,4.2,4.2,4.2,1.54,27760
2012-01-05,4.1,4.1,4.1,4.1,1.5,35840
2012-01-06,4.1,4.0,4.1,4.0,1.46,166270
2012-01-09,4.1,4.0,4.1,4.1,1.5,6680
2012-01-10,4.2,4.1,4.1,4.2,1.54,37220
2012-01-11,4.2,4.1,4.2,4.2,1.54,11750
2012-01-12,4.1,4.1,4.1,4.1,1.5,20070
2012-01-13,4.2,4.1,4.1,4.1,1.5,16810
2012-01-16,4.2,4.1,4.2,4.2,1.54,13620
2012-01-17,4.2,4.1,4.2,4.1,1.5,95770
2012-01-18,4.2,4.1,4.1,4.2,1.54,267830
2012-01-19,4.3,4.2,4.2,4.3,1.57,34470
2012-01-20,4.3,4.2,4.3,4.3,1.57,18840
2012-01-30,4.4,4.3,4.4,4.3,1.57,45920
2012-01-31,4.5,4.3,4.3,4.4,1.61,62670
2012-02-01,4.4,4.2,4.4,4.3,1.57,69120
2012-02-02,4.5,4.3,4.3,4.5,1.65,91260
2012-02-03,4.6,4.3,4.5,4.4,1.61,57350
2012-02-06,4.3,4.2,4.2,4.3,1.57,57270
2012-02-07,4.3,4.2,4.3,4.2,1.54,24480
2012-02-08,4.3,4.2,4.2,4.3,1.57,88850
2012-02-09,4.4,4.1,4.3,4.4,1.61,75550
2012-02-10,4.4,4.2,4.3,4.2,1.54,76450
2012-02-13,4.3,4.1,4.2,4.2,1.54,38610
2012-02-14,4.3,4.1,4.1,4.2,1.54,33890
2012-02-15,4.2,4.1,4.2,4.2,1.54,128310
2012-02-16,4.3,4.2,4.3,4.3,1.57,20350
2012-02-17,4.3,4.2,4.3,4.2,1.54,43840
2012-02-20,4.3,4.2,4.3,4.3,1.57,145090
2012-02-21,4.3,4.2,4.3,4.3,1.57,265250
2012-02-22,4.4,4.2,4.3,4.3,1.57,159250
2012-02-23,4.5,4.3,4.5,4.5,1.65,184920
2012-02-24,4.7,4.4,4.5,4.6,1.68,387980
2012-02-27,4.8,4.7,4.7,4.8,1.76,473580
2012-02-28,5.0,4.7,4.9,4.8,1.76,428100
2012-02-29,4.8,4.6,4.7,4.8,1.76,180960
2012-03-01,4.9,4.7,4.9,4.8,1.76,169570
2012-03-02,4.9,4.7,4.8,4.9,1.79,204100
2012-03-05,5.1,5.0,5.0,5.1,1.87,195490
2012-03-06,5.3,4.9,5.3,4.9,1.79,618020
2012-03-07,5.1,4.8,4.9,5.1,1.87,322520
2012-03-08,5.2,4.9,5.1,4.9,1.79,277540
2012-03-09,4.9,4.7,4.8,4.8,1.76,102470
2012-03-12,4.8,4.6,4.8,4.6,1.68,255650
2012-03-13,4.8,4.6,4.7,4.8,1.76,58100
2012-03-14,4.8,4.6,4.8,4.7,1.72,195350
2012-03-15,4.9,4.6,4.7,4.9,1.79,153580
2012-03-16,5.1,4.9,5.1,5.1,1.87,655950
2012-03-19,5.1,5.0,5.0,5.0,1.83,133770
2012-03-20,5.1,4.9,5.0,5.1,1.87,157590
2012-03-21,5.3,5.1,5.1,5.2,1.9,270440
2012-03-22,5.3,5.0,5.2,5.1,1.87,159920
2012-03-23,5.2,5.1,5.1,5.1,1.87,218020
2012-03-26,5.3,5.1,5.1,5.3,1.94,508430
2012-03-27,5.5,5.2,5.4,5.3,1.94,407620
2012-03-28,5.3,5.1,5.3,5.3,1.94,101750
2012-03-29,5.3,5.1,5.3,5.1,1.87,288620
2012-03-30,5.1,4.9,5.0,4.9,1.79,153890
