Date,High,Low,Open,Close,adjust,Volume
2018-08-21,17.85,17.85,17.85,17.85,12.37,33580
2018-08-22,19.05,19.05,19.05,19.05,13.2,42250
2018-08-23,20.35,20.35,20.35,20.35,14.1,207920
2018-08-24,21.75,21.0,21.75,21.75,15.07,544430
2018-08-27,23.25,22.0,22.1,23.25,16.11,634360
2018-08-28,24.25,21.65,24.15,23.0,15.94,213750
2018-08-29,22.5,21.4,21.5,22.0,15.24,776680
2018-08-30,22.25,21.85,21.9,22.05,15.28,125770
2018-08-31,22.1,20.55,22.05,21.8,15.11,135030
2018-09-04,22.0,20.3,21.7,21.5,14.9,227150
2018-09-05,23.0,20.0,21.5,23.0,15.94,709490
2018-09-06,24.6,21.4,24.0,24.6,17.05,496490
2018-09-07,26.3,24.6,24.6,26.3,18.22,413000
2018-09-10,26.7,24.5,26.3,26.25,18.19,760650
2018-09-11,28.05,24.45,26.25,28.05,19.44,825810
2018-09-12,29.0,26.1,28.1,29.0,20.09,281970
2018-09-13,29.0,27.0,28.85,27.0,18.71,507160
2018-09-14,27.0,25.15,27.0,25.15,17.43,271130
2018-09-17,25.0,23.4,23.4,23.4,16.21,334760
2018-09-18,23.5,21.8,22.0,23.5,16.28,558590
2018-09-19,25.1,21.9,23.5,24.9,17.25,656810
2018-09-20,24.9,23.2,24.9,23.2,16.08,337610
2018-09-21,22.0,21.6,21.6,21.6,14.97,588800
2018-09-24,21.25,20.1,20.1,20.1,13.93,566510
2018-09-25,21.0,18.7,20.75,20.75,14.38,380100
2018-09-26,20.5,19.6,20.5,20.0,13.86,76950
2018-09-27,20.2,19.3,20.2,20.2,14.0,90590
2018-09-28,20.55,19.0,20.0,20.2,14.0,170250
2018-10-01,20.7,19.45,20.7,20.1,13.93,62870
2018-10-02,19.9,19.2,19.2,19.9,13.79,207180
2018-10-03,19.9,19.1,19.9,19.9,13.79,70060
2018-10-04,20.25,19.2,20.0,20.2,14.0,113560
2018-10-05,19.5,18.8,19.5,18.8,13.03,654370
2018-10-08,19.1,18.2,18.6,19.1,13.23,128990
2018-10-09,19.9,18.4,19.1,19.9,13.79,117820
2018-10-10,20.1,19.0,20.1,19.5,13.51,116750
2018-10-11,18.6,18.15,18.15,18.15,12.58,62900
2018-10-12,19.4,18.0,18.0,19.4,13.44,214310
2018-10-15,20.1,19.3,19.8,19.3,13.37,44840
2018-10-16,19.7,18.7,18.7,19.4,13.44,71690
2018-10-17,19.4,18.65,19.4,19.4,13.44,54080
2018-10-18,19.8,19.2,19.4,19.8,13.72,72760
2018-10-19,19.8,18.45,19.3,19.6,13.58,52070
2018-10-22,19.65,18.95,19.65,19.45,13.48,33380
2018-10-23,20.0,18.55,19.45,20.0,13.86,83680
2018-10-24,20.0,18.65,20.0,19.75,13.68,37190
2018-10-25,19.75,18.5,19.75,19.3,13.37,8340
2018-10-26,19.6,18.95,19.6,19.3,13.37,24920
2018-10-29,19.4,17.95,19.4,18.95,13.13,82340
2018-10-30,18.95,17.7,17.7,18.4,12.75,23860
2018-10-31,19.0,17.85,19.0,18.3,12.68,22000
2018-11-01,18.75,17.7,18.3,17.7,12.26,26010
2018-11-02,18.3,17.7,17.7,18.2,12.61,29070
2018-11-05,18.5,17.8,18.5,18.2,12.61,29560
